"","ID","Description","Count","GeneRatio","geneID"
"GO:0050789","GO:0050789","regulation of biological process",354,"354/663","1062/127833/79792/79171/10190/51283/29108/8660/80115/51035/727857/2264/51465/5915/8829/246/7416/140890/81930/5657/2281/57657/56271/2115/81628/81704/143244/5481/51715/6695/9453/83849/22933/11122/9261/340061/22887/3383/255324/6668/1718/1308/109/6196/22997/161725/10294/9026/79673/166793/64412/126567/2549/3661/57572/202151/5453/990/115362/57332/23468/442890/7018/2099/23145/9858/2733/255057/10743/51379/1676/79574/23390/55188/6670/2020/344022/389114/10219/10379/11261/9063/1374/63935/1612/8408/54499/1445/10699/55802/1674/483/55105/4610/3486/55741/128869/1395/10168/2146/54328/10590/9265/30837/8019/84808/221178/338872/7022/94234/6689/55697/51780/995/1822/1240/2568/6247/6792/23348/8826/11240/602/344787/26263/84466/653268/90853/9905/22914/219287/205147/27148/5890/64207/57624/54471/114294/344657/11335/10110/389941/26574/25822/26586/1238/23187/9289/9175/9068/219699/23332/57599/7711/7638/9940/57628/80824/9240/124976/22807/26686/8863/56970/375449/6041/5595/2261/5734/60468/134430/27344/7436/10111/51523/10443/161253/55531/9743/9398/6326/406955/2191/2887/1180/84547/4616/128178/111/23451/30812/552/6010/63923/84861/353376/142891/79971/395/571/26033/55255/930/51389/768/7329/29085/91750/124583/114897/2825/344561/10242/25923/2958/663/9736/9683/2104/1428/26005/147837/115703/8190/10254/10396/85477/79848/247/166336/400961/10409/6331/203245/57337/160418/4100/51545/144233/7087/10621/115727/440503/94027/28512/5336/54784/9684/7755/25897/8301/6526/80119/80818/55706/324/9139/285590/26298/125170/57707/8837/51804/342892/5707/10184/1071/2719/284/8357/5495/10262/4659/1993/9414/84727/5797/29993/80149/8350/5019/5501/9831/286075/51112/5439/6988/1605/146923/55885/7543/25/10090/30820/4188/151449/11116/1054/79989/5983/1361/7314/26058/10023/51277/57591/100820829/51061/8835/83666/80139/1439/55818/55109/81566/2224/23623/1268/51/8877/285605/150465/84524/8503/10943/55233/1716/5603/4359/7855/85464/6199/84749/129303/8473/4848/5891/290/353238/6505/1839/1209/7048/64343/23171/24145/51043/10988/10623/55917/7482/53944/27202/7625"
"GO:0071704","GO:0071704","organic substance metabolic process",344,"344/663","1062/79171/10190/374378/51283/1577/29108/216/23093/8660/164395/51035/727857/9654/2264/51465/54995/5915/8829/246/28983/54059/140890/5657/2281/56271/8798/2115/81628/143244/5481/51715/22838/6695/9453/84750/22933/11122/9261/340061/79717/22887/10243/3383/255324/200933/130507/54332/6668/1718/2687/109/83887/6196/161725/9026/79673/166793/64412/51634/2549/3661/202151/5453/990/57332/23468/442890/25797/7018/2099/23145/9858/2733/10743/51379/1676/23390/1267/6670/2020/344022/389114/10379/11261/9063/1374/1612/8408/1445/10699/2813/55802/4610/64064/3486/55741/128869/10168/2146/10993/30837/8019/84808/4913/7022/94234/27301/6689/55697/51645/51780/995/1822/51573/1240/3978/6792/1036/266722/8826/11240/602/344787/26263/90853/27148/5890/64207/11098/114294/283807/11335/5825/5646/10110/26574/83743/25822/26586/5095/51363/9175/57599/7711/7638/83590/57628/80824/124976/22807/8863/56970/375449/6041/5595/2261/5734/60468/134430/27344/7436/10111/64377/51523/10443/9885/406955/2191/84547/4616/111/84532/23451/5191/30812/271/552/6010/84861/28987/112479/142891/56941/571/5313/728911/930/51389/2525/249/768/66002/7329/51102/285755/29085/4329/91750/124583/114897/2958/663/128387/9736/9683/84706/2104/1428/26005/147837/55229/79873/10254/128308/121642/247/400961/10409/54977/84842/57337/160418/4100/51545/144233/10621/115727/440503/168391/5336/4016/54784/9684/7755/25897/8301/6526/80119/80818/55706/9329/324/9139/285590/26298/11342/8837/51804/83548/342892/29958/5707/1071/51299/2719/284/8357/5495/10262/10004/4659/1993/9414/84727/64979/10612/5797/80149/8350/5019/833/5501/9831/286075/7264/51112/5439/275/1605/55885/9468/7543/25/10090/4188/151449/11116/1054/5983/1361/60490/7314/26058/51277/57591/10478/205/8835/3291/137362/83666/80139/1439/55818/9140/55109/81566/2224/23623/1268/51/8877/6897/140901/150465/84524/8503/10943/65008/1716/5603/7855/85464/6199/84749/129303/8473/4848/5891/290/353238/1839/7048/23171/51043/51365/10988/10623/55917/53944/2110/27202/7625"
"GO:0044237","GO:0044237","cellular metabolic process",343,"343/663","1062/79171/10190/374378/51283/1577/29108/216/23093/8660/164395/51035/727857/9654/2264/51465/54995/5915/8829/246/7416/54059/140890/2281/56271/8798/2115/81628/143244/5481/51715/22838/6695/9453/84750/22933/6649/11122/9261/340061/79717/22887/10243/3383/255324/200933/130507/54332/6668/1718/2687/109/83887/6196/161725/9026/79673/166793/64412/51634/2549/3661/202151/5453/990/57332/23468/442890/25797/7018/2099/23145/9858/2733/10743/51379/1676/23390/1267/6670/2020/344022/389114/10379/11261/9063/1374/63935/1612/8408/1445/10699/2813/55802/55105/4610/64064/3486/55741/128869/10168/2146/10993/30837/8019/84808/4913/7022/94234/27301/6689/55697/51645/51780/995/1822/51573/1240/3978/6792/1036/266722/8826/11240/602/344787/26263/90853/22914/27148/5890/64207/11098/283807/11335/5825/5646/10110/26574/83743/25822/26586/5095/51363/9175/57599/7711/7638/83590/80824/124976/22807/8863/56970/375449/6041/5595/2261/5734/60468/134430/27344/7436/10111/64377/51523/10443/9885/406955/2191/2887/84547/4616/111/84532/23451/5191/30812/271/552/6010/84861/28987/112479/142891/571/5313/55255/728911/930/51389/2525/249/768/66002/7329/51102/285755/29085/4329/91750/124583/114897/2958/663/128387/9736/9683/84706/2104/1428/147837/55229/79873/10254/128308/121642/247/400961/10409/54977/84842/160418/4100/51545/144233/10621/115727/440503/168391/5336/4016/54784/9684/7755/2329/25897/8301/6526/80119/80818/55706/9329/324/9139/285590/26298/11342/8837/51804/83548/342892/29958/5707/1071/51299/2719/284/8357/5495/10262/4659/1993/9414/84727/64979/10612/5797/80777/80149/8350/5019/833/5501/9831/286075/7264/5439/275/1605/55885/9468/7543/25/10090/4188/151449/11116/1054/5983/1361/60490/7314/26058/51277/57591/10478/205/8835/137362/83666/80139/1439/55818/9140/55109/81566/2224/23623/1268/51/8877/6897/140901/150465/84524/8503/10943/65008/1716/5603/7855/85464/6199/84749/129303/8473/4848/5891/290/353238/1839/7048/23171/51043/51365/10988/10623/55917/53944/2110/27202/7625"
"GO:0044238","GO:0044238","primary metabolic process",337,"337/663","1062/79171/10190/374378/51283/1577/29108/216/23093/8660/164395/51035/727857/9654/2264/51465/54995/5915/8829/246/28983/54059/140890/5657/2281/56271/8798/2115/81628/143244/5481/51715/22838/6695/9453/84750/22933/11122/9261/340061/79717/22887/10243/3383/255324/200933/130507/6668/1718/2687/109/83887/6196/161725/9026/79673/166793/64412/51634/2549/3661/202151/5453/990/57332/23468/442890/25797/7018/2099/23145/9858/2733/10743/51379/1676/23390/1267/6670/2020/344022/389114/10379/11261/9063/1374/1612/8408/1445/10699/2813/55802/4610/3486/55741/128869/10168/2146/10993/30837/8019/84808/4913/7022/94234/27301/6689/55697/51645/51780/995/1822/51573/1240/3978/6792/1036/266722/8826/11240/602/344787/26263/90853/27148/5890/64207/11098/114294/283807/11335/5825/5646/10110/26574/83743/25822/26586/5095/51363/9175/57599/7711/7638/83590/57628/80824/124976/22807/8863/56970/375449/6041/5595/2261/5734/60468/134430/27344/7436/10111/64377/51523/10443/9885/406955/2191/84547/4616/111/84532/23451/5191/30812/271/552/6010/84861/28987/112479/142891/56941/571/5313/728911/930/51389/2525/249/768/66002/7329/51102/285755/29085/4329/91750/124583/114897/2958/128387/9736/9683/84706/2104/1428/26005/147837/55229/79873/10254/128308/121642/247/400961/10409/84842/57337/160418/4100/51545/144233/10621/115727/440503/168391/5336/4016/54784/9684/7755/25897/8301/6526/80119/80818/55706/9329/324/9139/26298/11342/8837/51804/83548/342892/5707/1071/51299/2719/284/8357/5495/10262/10004/4659/1993/9414/84727/64979/10612/5797/80149/8350/833/5501/9831/286075/7264/51112/5439/275/1605/55885/9468/7543/25/10090/4188/151449/11116/1054/5983/1361/60490/7314/26058/51277/57591/10478/205/8835/3291/137362/83666/80139/1439/55818/9140/55109/81566/2224/23623/1268/51/8877/6897/140901/150465/84524/8503/10943/65008/1716/5603/7855/85464/6199/84749/129303/8473/4848/5891/290/353238/1839/7048/23171/51043/51365/10988/10623/55917/53944/2110/27202/7625"
"GO:0050794","GO:0050794","regulation of cellular process",337,"337/663","1062/127833/79792/79171/10190/51283/29108/8660/80115/51035/727857/2264/51465/5915/8829/246/7416/140890/81930/5657/2281/56271/2115/81628/81704/143244/5481/51715/6695/83849/22933/11122/9261/340061/22887/3383/255324/6668/1718/109/6196/22997/161725/10294/9026/79673/166793/64412/126567/2549/3661/57572/202151/5453/990/115362/57332/23468/442890/7018/2099/23145/9858/2733/255057/10743/51379/1676/79574/23390/55188/6670/2020/344022/389114/10219/10379/11261/9063/1374/63935/1612/8408/54499/1445/55802/483/55105/4610/3486/55741/128869/1395/10168/2146/54328/10590/9265/30837/8019/84808/221178/338872/7022/94234/6689/55697/51780/995/1822/1240/2568/6247/6792/23348/8826/11240/602/344787/26263/84466/653268/90853/9905/22914/219287/205147/27148/5890/64207/57624/54471/344657/11335/10110/389941/26574/25822/26586/1238/23187/9289/9175/9068/219699/23332/57599/7711/7638/9940/57628/80824/9240/124976/22807/26686/8863/56970/375449/6041/5595/2261/5734/60468/134430/27344/7436/10111/51523/10443/161253/55531/9743/9398/6326/406955/2191/2887/84547/4616/128178/111/30812/552/6010/63923/84861/353376/142891/79971/395/571/26033/55255/930/51389/768/7329/29085/91750/124583/114897/2825/344561/25923/2958/663/9736/9683/2104/1428/26005/147837/115703/8190/10254/10396/85477/79848/247/166336/400961/10409/6331/203245/57337/160418/4100/51545/144233/10621/115727/440503/94027/28512/5336/54784/9684/7755/25897/8301/80119/80818/55706/324/9139/285590/26298/125170/57707/8837/51804/342892/5707/1071/2719/284/8357/5495/10262/4659/1993/9414/84727/5797/29993/80149/8350/5019/9831/286075/51112/5439/6988/1605/146923/55885/7543/25/10090/30820/4188/151449/11116/1054/79989/5983/1361/7314/26058/10023/51277/57591/100820829/51061/8835/83666/80139/1439/55818/55109/81566/23623/1268/8877/285605/150465/84524/8503/10943/55233/1716/5603/4359/7855/85464/6199/84749/129303/8473/4848/5891/290/353238/1839/1209/7048/64343/23171/24145/51043/10988/10623/7482/53944/27202/7625"
"GO:0006807","GO:0006807","nitrogen compound metabolic process",317,"317/663","1062/79171/10190/374378/51283/1577/29108/23093/8660/164395/51035/727857/9654/2264/51465/5915/8829/246/28983/54059/140890/5657/2281/56271/8798/2115/81628/143244/5481/51715/22838/6695/84750/22933/11122/9261/340061/79717/22887/10243/3383/255324/200933/130507/54332/6668/1718/2687/109/83887/6196/161725/9026/79673/166793/64412/51634/3661/202151/5453/990/57332/23468/442890/25797/7018/2099/23145/9858/2733/10743/51379/1676/23390/1267/6670/2020/344022/389114/10379/11261/9063/1374/1612/8408/1445/10699/2813/55802/4610/3486/55741/128869/10168/2146/10993/30837/8019/84808/4913/7022/94234/27301/6689/51645/51780/995/1822/51573/1240/3978/6792/1036/266722/8826/11240/602/344787/26263/90853/22914/27148/5890/64207/11098/114294/283807/11335/5646/10110/26574/83743/25822/26586/5095/51363/9175/57599/7711/7638/83590/57628/80824/124976/22807/8863/56970/375449/6041/5595/2261/5734/60468/134430/27344/7436/10111/64377/51523/10443/406955/2191/84547/4616/111/23451/30812/271/6010/84861/28987/112479/142891/56941/571/5313/728911/930/51389/2525/249/768/7329/285755/29085/4329/91750/124583/114897/2958/128387/9736/9683/84706/2104/1428/26005/147837/55229/79873/10254/128308/121642/400961/10409/54977/84842/57337/160418/4100/51545/144233/10621/115727/168391/4016/54784/9684/7755/25897/8301/80119/80818/55706/9329/324/9139/26298/11342/8837/51804/83548/342892/29958/5707/1071/51299/2719/284/8357/5495/10262/10004/4659/1993/9414/84727/64979/10612/5797/80149/8350/833/5501/9831/286075/7264/51112/5439/275/1605/55885/9468/7543/25/10090/4188/151449/11116/1054/5983/1361/60490/7314/26058/51277/57591/205/8835/137362/83666/80139/1439/55818/9140/55109/81566/23623/8877/6897/140901/150465/84524/10943/65008/1716/5603/7855/85464/6199/84749/8473/4848/5891/290/353238/1839/7048/23171/51043/51365/10988/10623/55917/53944/27202/7625"
"GO:0051716","GO:0051716","cellular response to stimulus",226,"226/663","79792/51283/1577/29108/8660/80115/51035/2264/51465/5915/8829/246/81930/5657/2281/57657/81704/5481/51715/6695/22933/6649/11122/9261/340061/3383/255324/200933/54332/1718/109/6196/22997/161725/9026/2549/3661/57572/990/115362/57332/442890/7018/2099/51379/79574/23390/55188/10219/10379/11261/9063/1374/1612/8408/54499/1445/3486/55741/128869/1395/2146/54328/9265/30837/221178/338872/4913/27301/55697/51780/995/1240/2568/3978/6247/1036/23348/8826/11240/602/26263/653268/22914/219287/205147/27148/5890/57624/344657/11335/10110/26574/1238/9289/9175/9068/219699/57599/83590/80824/63895/124976/26686/375449/6041/5595/2261/5734/27344/7436/10111/51523/161253/9743/9398/6326/406955/2887/4616/128178/111/30812/552/6010/63923/353376/79971/395/571/5313/26033/930/51389/249/768/7329/29085/124583/114897/2825/344561/9736/9683/2104/26005/115703/8190/10254/121642/247/166336/6331/9990/57337/160418/4100/144233/115727/440503/94027/28512/5336/9684/7755/80119/55706/324/9139/57707/8837/5707/2719/284/8357/5495/4659/9414/84727/5797/80777/80149/8350/5019/5439/1605/55885/25/4188/151449/1054/79989/5983/1361/7314/26058/10023/51277/100820829/51061/8835/83666/80139/1439/55818/23623/1268/8877/57048/8503/55233/5603/7855/6199/8473/4848/5891/290/1839/7048/64343/23171/10988/7482/53944/27202"
"GO:0009058","GO:0009058","biosynthetic process",212,"212/663","10190/374378/29108/23093/8660/727857/2264/51465/54995/5915/246/2115/81628/143244/5481/9453/84750/22933/9261/340061/79717/22887/10243/3383/6668/1718/2687/109/79673/166793/64412/2549/3661/5453/990/57332/23468/442890/2099/2733/10743/51379/23390/1267/6670/2020/344022/389114/10379/11261/9063/1612/2813/4610/128869/10168/2146/10993/8019/84808/4913/7022/94234/6689/55697/51780/995/1822/1240/3978/1036/266722/11240/602/344787/90853/22914/27148/5890/64207/11335/5825/26574/83743/25822/26586/51363/9175/7711/7638/22807/8863/56970/6041/5595/2261/60468/7436/10111/64377/51523/10443/9885/406955/84547/111/84532/5191/30812/271/552/142891/571/5313/51389/2525/249/768/7329/51102/91750/124583/2958/84706/2104/1428/147837/55229/79873/128308/247/400961/10409/54977/4100/51545/144233/10621/440503/168391/5336/54784/9684/7755/8301/80119/80818/55706/9329/9139/26298/8837/51804/83548/342892/5707/51299/2719/284/8357/5495/4659/1993/64979/80149/8350/833/9831/286075/7264/5439/1605/55885/9468/7543/25/10090/4188/151449/1054/5983/60490/7314/26058/57591/205/3291/137362/83666/80139/55818/9140/81566/2224/8877/6897/84524/8503/10943/65008/1716/5603/7855/6199/8473/4848/353238/1839/23171/51043/10623/7625"
"GO:0019222","GO:0019222","regulation of metabolic process",211,"211/663","1062/79171/29108/8660/51035/727857/2264/51465/5915/8829/246/7416/140890/2281/56271/2115/81628/143244/5481/6695/9453/22933/9261/340061/22887/3383/255324/6668/1718/109/9026/79673/166793/64412/3661/5453/990/57332/23468/442890/2099/23145/9858/2733/10743/51379/1676/6670/2020/344022/389114/10379/11261/9063/1374/63935/1612/8408/1445/55802/55105/4610/3486/55741/10168/2146/30837/8019/84808/7022/94234/6689/55697/51780/995/1822/1240/8826/11240/602/344787/26263/90853/22914/27148/64207/114294/11335/26574/25822/26586/9175/57599/7711/7638/80824/22807/8863/56970/6041/5595/2261/60468/27344/7436/10111/51523/10443/406955/2191/2887/84547/4616/111/23451/30812/552/142891/571/55255/930/51389/768/7329/114897/2958/9683/2104/1428/26005/147837/400961/10409/160418/4100/51545/144233/10621/440503/5336/54784/9684/7755/25897/8301/80119/80818/55706/324/9139/285590/26298/8837/51804/342892/5707/2719/284/8357/10262/4659/1993/80149/8350/5501/9831/286075/5439/1605/55885/7543/25/4188/151449/11116/1054/5983/1361/7314/26058/51277/57591/8835/83666/80139/55818/55109/81566/2224/1268/51/8877/84524/8503/10943/5603/7855/6199/84749/129303/8473/4848/5891/353238/1839/7048/23171/51043/10623/27202/7625"
"GO:0007154","GO:0007154","cell communication",207,"207/663","127833/79792/51283/6572/29108/8660/80115/2264/5915/8829/246/7416/5657/2281/81704/51715/6695/83849/22933/11122/9261/3383/255324/54332/1718/55327/109/6196/22997/161725/9026/126567/2549/3661/57572/442890/2099/9228/51379/79574/23390/1267/55188/10219/10379/85376/11261/9063/1374/1612/8408/54499/1445/3486/55741/128869/1395/2146/54328/10590/9265/30837/221178/338872/7022/55697/995/1240/2568/6247/23348/8826/11240/602/26263/653268/22914/219287/205147/27148/57624/344657/10110/1238/9289/9175/9068/219699/80824/124976/26686/375449/6041/5595/2261/5734/27344/7436/10111/51523/161253/9743/9398/6326/406955/2887/1180/4616/128178/111/30812/552/6010/63923/353376/79971/8572/395/26033/930/51389/7329/29085/124583/114897/2825/344561/56147/10242/9736/2104/26005/115703/9229/8190/10254/247/166336/6331/9990/57337/4100/115727/440503/94027/28512/5336/9684/7755/324/9139/8837/5707/2719/284/8357/5495/4659/9414/84727/5797/56123/80149/8350/5019/5439/1605/55885/25/4188/151449/79989/5983/7314/26058/10023/51277/100820829/8835/83666/80139/1439/55818/23623/1268/8877/8503/55233/5603/4359/7855/6199/8473/4848/5891/290/6505/1839/7048/64343/23171/24145/10988/23114/7482/53944/27202"
