"","ID","Description","Count","GeneRatio","geneID"
"GO:0005515","GO:0005515","protein binding",360,"360/663","1062/127833/79792/79171/10190/51283/1182/29108/3881/8660/51035/727857/9654/2264/51465/5915/8829/246/7416/140890/81930/5657/2281/57657/56271/8798/2009/810/2115/81628/81704/5481/51715/9453/83849/22933/6649/11122/9261/340061/10243/3383/255324/200933/6668/9755/1718/84929/259173/55327/1308/109/6196/22997/161725/3853/10294/9026/79673/166793/51634/126567/2549/3661/57572/202151/169981/990/115362/57332/23468/7018/2099/9228/9858/2733/255057/10743/51379/9080/1676/79574/6273/23390/23046/83538/55188/6670/10219/10379/85376/11261/9063/1374/1612/8408/1445/26504/55802/1674/483/4610/3486/1395/2146/10993/6444/9265/30837/8019/221178/338872/4913/7022/55697/51645/995/1822/1240/388551/84747/6792/23348/8826/11240/602/26263/84466/653268/9905/22914/219287/205147/27148/5890/57624/54471/114294/496/23397/11335/5825/5646/389941/10328/26574/6641/83743/25822/1238/25981/5095/9175/9068/219699/23332/57599/83590/57628/9240/22807/10712/8863/56970/6041/5595/10501/2261/5734/203062/27344/7436/10111/51523/10443/9743/9885/2191/2887/1180/84547/4616/128178/111/84532/23451/9832/5191/30812/271/2993/552/6010/8971/63923/84861/353376/79971/8572/395/571/55255/930/51389/249/768/7329/1434/29085/91750/124583/114897/2825/79983/25923/80228/2958/663/9736/9683/2104/1428/26005/115703/9229/8190/79873/10254/10396/85477/400961/10409/6331/727851/26515/203245/57337/55281/160418/4100/51545/144233/7087/10621/115727/440503/94027/168391/5336/54784/57701/9684/7755/25897/79710/8301/80818/9329/324/9139/285590/125170/57707/11342/8837/83548/5707/2719/284/8357/5495/10262/4659/160335/1993/116224/9414/84727/152789/10612/5797/29993/80777/80149/8350/5019/833/5501/286075/7264/51112/5439/1605/146923/55885/25/30820/4188/151449/11116/1054/79989/5983/60490/7314/22998/79696/26058/10023/51277/57591/10478/100820829/222255/51061/8835/83666/80139/1439/55818/9140/55109/81566/23623/1268/51/8877/54680/57048/6897/84524/4135/8503/10943/65008/55233/5603/7855/85464/129303/8473/4848/283284/6505/1839/1209/7048/64343/23171/24145/3889/3892/51043/10623/23114/55917/7482/53944/51298/27202"
"GO:0043167","GO:0043167","ion binding",220,"220/663","1062/127833/79792/374378/51283/6572/1577/1182/23093/164395/80115/9654/2264/51465/5915/8829/246/54059/81930/57657/8798/2009/810/51715/22838/6695/9453/83849/22933/6649/9261/340061/10243/130507/6668/1718/84929/109/83887/6196/161725/10294/9026/79673/166793/64412/390667/126567/990/115362/25797/7018/2099/2733/10743/6273/23046/6670/389114/115273/11261/9063/140831/1612/8408/1445/3486/55741/128869/10168/10993/10590/9265/4913/27301/51780/84617/51573/3978/6247/6792/1036/8826/11240/344787/653268/219287/205147/27148/5890/23078/64207/54471/5825/5646/10110/25981/5095/51363/9289/9175/7711/7638/22807/56970/375449/6041/5595/2261/7436/10111/51523/161253/9743/111/25992/84532/271/6010/28987/112479/353376/8572/5313/249/768/66002/7329/4329/124583/56147/25923/663/128387/84706/2104/147837/115703/55229/79873/10396/85477/121642/247/166336/26515/84842/51545/115727/28512/168391/4016/54784/7755/2329/25897/79710/8301/80119/80818/9139/285590/11342/342892/1071/2719/5495/10004/10612/29993/56123/80777/80149/833/5501/9831/286075/1605/55885/7543/25/388512/30820/1361/22998/79696/51277/8303/205/137362/83666/80139/55818/2224/221749/51/8877/54680/57048/6897/140901/150465/84524/55233/1716/5603/6199/8473/5891/290/353238/6505/1839/7048/51043/10988/53944/85320/2110/7625"
"GO:0097159","GO:0097159","organic cyclic compound binding",187,"187/663","1062/79171/1577/1182/216/23093/164395/727857/9654/2264/51465/5915/140890/81930/2281/57657/8798/2115/143244/51715/22933/9261/340061/22887/10243/6668/1718/109/83887/6196/161725/10294/79673/166793/64412/81789/51634/3661/5453/990/115362/57332/442890/2099/3010/10743/51379/23046/1267/6670/2020/344022/389114/115273/10379/9063/1612/8408/1445/55802/55105/4610/10168/2146/10993/4913/7022/94234/27301/6689/51780/1822/84617/3978/6792/602/344787/27148/5890/23078/54471/5825/10110/26574/83743/25981/5095/51363/9175/7711/7638/22807/8863/375449/6041/5595/2261/60468/134430/10111/51523/161253/9885/406955/111/84532/23451/30812/8971/112479/56941/571/5313/66002/7329/4329/25923/84706/2104/1428/147837/55229/10396/400961/10409/51545/10621/28512/7755/2329/80119/80818/9329/26298/57666/51804/342892/29958/1071/8357/10262/1993/152789/80777/80149/8350/833/5501/9831/286075/5439/7543/25/1054/5983/26058/51277/205/3291/137362/83666/80139/55818/55109/81566/2224/51/8877/6897/140901/150465/84524/10943/65008/1716/5603/6199/5891/7048/23171/51043/10988/10623/53944/85320/2110/7625"
"GO:1901363","GO:1901363","heterocyclic compound binding",185,"185/663","1062/79171/1577/1182/216/23093/164395/727857/9654/2264/51465/5915/140890/81930/2281/57657/8798/2115/143244/51715/22933/9261/340061/22887/10243/6668/1718/109/83887/6196/161725/10294/79673/166793/64412/81789/51634/3661/5453/990/115362/57332/442890/2099/3010/10743/51379/23046/1267/6670/2020/344022/389114/115273/10379/9063/1612/8408/1445/55802/55105/4610/10168/2146/10993/4913/7022/94234/27301/6689/51780/1822/84617/3978/6792/602/344787/27148/5890/23078/54471/5825/10110/26574/83743/25981/5095/51363/9175/7711/7638/22807/8863/375449/6041/5595/2261/60468/134430/10111/51523/161253/406955/111/84532/23451/30812/8971/112479/56941/571/5313/66002/7329/4329/25923/84706/2104/1428/147837/55229/10396/400961/10409/51545/10621/28512/7755/2329/80119/80818/9329/26298/57666/51804/342892/29958/8357/10262/1993/152789/80777/80149/8350/833/5501/9831/286075/5439/7543/25/1054/5983/26058/51277/205/3291/137362/83666/80139/55818/55109/81566/2224/51/8877/6897/140901/150465/84524/10943/65008/1716/5603/6199/5891/7048/23171/51043/10988/10623/53944/85320/2110/7625"
"GO:0140096","GO:0140096","catalytic activity, acting on a protein",94,"94/663","374378/51283/29108/23093/9654/2264/51465/8829/28983/54059/5657/2281/8798/5481/22838/22933/11122/9261/200933/130507/2687/6196/161725/25797/23390/9063/1612/8408/1445/10699/128869/2146/51645/51780/995/6792/26263/27148/11098/114294/283807/5646/10110/9175/57599/57628/80824/375449/6041/5595/2261/60468/2191/84861/56941/571/7329/285755/29085/9736/57337/168391/4016/25897/11342/8837/5707/5495/10004/84727/10612/5797/80149/5501/51112/25/11116/1361/51061/1439/55818/140901/150465/5603/85464/6199/84749/8473/5891/290/1839/7048/10988/53944"
"GO:0016740","GO:0016740","transferase activity",89,"89/663","10190/374378/51283/8660/2264/51465/54995/8829/8798/22838/9453/84750/9261/10243/200933/130507/54332/2687/6196/2549/25797/2099/23390/9063/1374/1612/8408/1445/64064/2146/389396/6792/266722/26263/27148/283807/10110/51363/9175/375449/6041/5595/2261/60468/10111/64377/84861/142891/571/5313/930/2525/7329/84706/55229/144233/10621/168391/25897/9329/11342/9414/84727/10612/5019/5439/275/9468/25/10090/11116/205/137362/83666/1439/9140/2224/8877/140901/8503/1716/5603/6199/8473/5891/1839/7048/10623/53944"
"GO:0036094","GO:0036094","small molecule binding",89,"89/663","1062/127833/1182/216/23093/164395/9654/2264/51465/81930/2281/57657/8798/51715/22933/9261/340061/10243/1718/109/83887/6196/10294/990/115362/2733/23046/1267/115273/1612/8408/1445/10993/84617/3978/6792/27148/5890/23078/54471/5825/10110/25981/5095/51363/9175/375449/6041/5595/2261/10111/161253/9885/111/84532/6010/5313/7329/25923/84706/1428/55229/10396/28512/2329/80119/1071/833/25/388512/51277/205/3291/137362/51/8877/6897/140901/150465/1716/5603/6199/5891/6505/7048/23171/53944/85320/2110"
"GO:0016787","GO:0016787","hydrolase activity",81,"81/663","1062/29108/246/28983/54059/81930/5657/51715/22933/11122/2687/161725/115362/23046/1267/115273/10699/55802/483/55741/128869/4913/27301/995/84617/51573/11240/5890/23078/11098/114294/496/5825/5646/25981/57599/57628/80824/6041/10111/161253/9398/2191/271/28987/112479/56941/249/29085/124583/25923/663/128387/9736/145447/79873/10396/121642/57337/28512/5336/80119/8837/5707/5495/10004/5797/80149/5501/51112/5983/1361/51277/85464/84749/4848/290/353238/51365/10988/85320"
"GO:0097367","GO:0097367","carbohydrate derivative binding",76,"76/663","1062/1182/23093/164395/9654/2264/51465/8829/81930/57657/8798/51715/6649/9261/340061/10243/84929/109/83887/6196/10294/990/115362/23046/115273/1612/8408/1445/128869/84617/3978/6792/27148/5890/23078/54471/5825/10110/25981/5095/51363/9289/9175/375449/6041/5595/2261/10111/161253/111/84532/5313/7329/25923/55229/10396/28512/80119/2719/833/25/51277/205/83666/8877/6897/140901/150465/1716/5603/6199/5891/1839/7048/53944/85320"
"GO:0008144","GO:0008144","drug binding",69,"69/663","1062/6572/1577/1182/23093/164395/9654/2264/51465/5915/81930/2281/8798/5481/9261/340061/10243/84929/109/83887/6196/10294/990/2733/23046/1612/8408/1445/10993/3978/6792/27148/5890/23078/5825/10110/25981/5095/9175/375449/6041/5595/2261/10111/111/84532/5313/66002/7329/84706/55229/10396/80119/833/25/205/137362/1268/8877/6897/140901/150465/1716/5603/6199/5891/7048/53944/85320"
