"","ID","Description","Count","GeneRatio","geneID"
"GO:0043167","GO:0043167","ion binding",14,"14/24","164395/10110/1062/6897/57657/10590/85477/93986/353238/833/6199/57538/4913/84706"
"GO:0005515","GO:0005515","protein binding",13,"13/24","55161/65008/1062/6897/57657/84466/85477/93986/833/221178/60490/4913/1428"
"GO:0097159","GO:0097159","organic cyclic compound binding",13,"13/24","164395/10110/65008/1062/6897/57657/93986/833/6199/57538/4913/1428/84706"
"GO:1901363","GO:1901363","heterocyclic compound binding",13,"13/24","164395/10110/65008/1062/6897/57657/93986/833/6199/57538/4913/1428/84706"
"GO:0036094","GO:0036094","small molecule binding",10,"10/24","164395/10110/1062/6897/57657/833/6199/57538/1428/84706"
"GO:0008144","GO:0008144","drug binding",8,"8/24","164395/10110/1062/6897/833/6199/57538/84706"
"GO:0097367","GO:0097367","carbohydrate derivative binding",8,"8/24","164395/10110/1062/6897/57657/833/6199/57538"
"GO:0016740","GO:0016740","transferase activity",4,"4/24","10110/6199/57538/84706"
"GO:0016787","GO:0016787","hydrolase activity",3,"3/24","1062/353238/4913"
"GO:0016874","GO:0016874","ligase activity",3,"3/24","164395/6897/833"
"GO:0140096","GO:0140096","catalytic activity, acting on a protein",3,"3/24","10110/6199/57538"
"GO:0048037","GO:0048037","cofactor binding",3,"3/24","4913/1428/84706"
"GO:0016829","GO:0016829","lyase activity",2,"2/24","60490/4913"
"GO:0140098","GO:0140098","catalytic activity, acting on RNA",2,"2/24","6897/833"
"GO:0022857","GO:0022857","transmembrane transporter activity",2,"2/24","57657/65012"
"GO:0044877","GO:0044877","protein-containing complex binding",2,"2/24","1062/85477"
"GO:0016491","GO:0016491","oxidoreductase activity",1,"1/24","1428"
"GO:0140097","GO:0140097","catalytic activity, acting on DNA",1,"1/24","4913"
"GO:0005044","GO:0005044","scavenger receptor activity",1,"1/24","84466"
"GO:0003735","GO:0003735","structural constituent of ribosome",1,"1/24","65008"
"GO:0017056","GO:0017056","structural constituent of nuclear pore",1,"1/24","55161"
"GO:0008289","GO:0008289","lipid binding",1,"1/24","85477"
"GO:0033218","GO:0033218","amide binding",1,"1/24","6199"
"GO:0042562","GO:0042562","hormone binding",1,"1/24","1428"
"GO:0051540","GO:0051540","metal cluster binding",1,"1/24","4913"
"GO:0072341","GO:0072341","modified amino acid binding",1,"1/24","85477"
"GO:0005085","GO:0005085","guanyl-nucleotide exchange factor activity",1,"1/24","221178"
"GO:0016247","GO:0016247","channel regulator activity",1,"1/24","10110"
"GO:0000988","GO:0000988","transcription factor activity, protein binding",1,"1/24","1428"
"GO:0003700","GO:0003700","DNA binding transcription factor activity",1,"1/24","93986"
"GO:0004133","GO:0004133","glycogen debranching enzyme activity",0,"0/24",""
"GO:0008987","GO:0008987","quinolinate synthetase A activity",0,"0/24",""
"GO:0009975","GO:0009975","cyclase activity",0,"0/24",""
"GO:0010280","GO:0010280","UDP-L-rhamnose synthase activity",0,"0/24",""
"GO:0016853","GO:0016853","isomerase activity",0,"0/24",""
"GO:0032451","GO:0032451","demethylase activity",0,"0/24",""
"GO:0046572","GO:0046572","versicolorin B synthase activity",0,"0/24",""
"GO:0046905","GO:0046905","phytoene synthase activity",0,"0/24",""
"GO:0061783","GO:0061783","peptidoglycan muralytic activity",0,"0/24",""
"GO:0070283","GO:0070283","radical SAM enzyme activity",0,"0/24",""
"GO:1990055","GO:1990055","phenylacetaldehyde synthase activity",0,"0/24",""
"GO:0000156","GO:0000156","phosphorelay response regulator activity",0,"0/24",""
"GO:0004879","GO:0004879","nuclear receptor activity",0,"0/24",""
"GO:0004708","GO:0004708","MAP kinase kinase activity",0,"0/24",""
"GO:0005057","GO:0005057","signal transducer activity, downstream of receptor",0,"0/24",""
"GO:0005068","GO:0005068","transmembrane receptor protein tyrosine kinase adaptor activity",0,"0/24",""
