"t_id","g_id"
1,"MSTRG.21"
2,"MSTRG.22"
3,"MSTRG.22"
4,"MSTRG.22"
5,"MSTRG.23"
6,"MIR1302-2"
7,"MIR1302-9"
8,"MIR1302-10"
9,"MIR1302-11"
10,"FAM138A"
11,"FAM138F"
12,"FAM138C"
13,"OR4F5"
14,"LOC729737"
15,"MIR6859-1"
16,"MIR6859-2"
17,"MIR6859-3"
18,"MIR6859-4"
19,"FAM138D"
20,"OR4F29"
21,"OR4F3"
22,"OR4F16"
23,"LOC100132287"
24,"LOC100132062"
25,"MSTRG.12"
26,"MSTRG.13"
27,"LOC101928626"
28,"MIR6723"
29,"OR4F29"
30,"OR4F3"
31,"OR4F16"
32,"MSTRG.1"
33,"MSTRG.26"
34,"MSTRG.27"
35,"MSTRG.28"
36,"MSTRG.28"
37,"MSTRG.28"
38,"MSTRG.29"
39,"FAM87B"
40,"LINC00115"
41,"MSTRG.14"
42,"MSTRG.14"
43,"MSTRG.14"
44,"MSTRG.14"
45,"MSTRG.14"
46,"MSTRG.14"
47,"MSTRG.14"
48,"MSTRG.14"
49,"MSTRG.14"
50,"MSTRG.14"
51,"MSTRG.14"
52,"MSTRG.15"
53,"MSTRG.16"
54,"MSTRG.16"
55,"LOC100130417"
56,"LOC100130417"
57,"MSTRG.30"
58,"MSTRG.31"
59,"MSTRG.32"
60,"MSTRG.31"
61,"MSTRG.33"
62,"MSTRG.34"
63,"MSTRG.35"
64,"MSTRG.36"
65,"MSTRG.37"
66,"MSTRG.35"
67,"MSTRG.35"
68,"MSTRG.38"
69,"MSTRG.38"
70,"MSTRG.38"
71,"MSTRG.9"
72,"MSTRG.10"
73,"MSTRG.10"
74,"MSTRG.11"
75,"ISG15"
76,"MSTRG.17"
77,"MSTRG.18"
78,"MSTRG.18"
79,"RNF223"
80,"MSTRG.2"
81,"MSTRG.3"
82,"MSTRG.4"
83,"MSTRG.5"
84,"MSTRG.19"
85,"MSTRG.20"
86,"MSTRG.86"
87,"MSTRG.87"
88,"MSTRG.87"
89,"MSTRG.88"
90,"MSTRG.87"
91,"MSTRG.89"
92,"MSTRG.89"
93,"MSTRG.90"
94,"MSTRG.90"
95,"MSTRG.90"
96,"MSTRG.91"
97,"MSTRG.91"
98,"MSTRG.91"
99,"MSTRG.92"
100,"MSTRG.93"
101,"MSTRG.93"
102,"MSTRG.94"
103,"MSTRG.93"
104,"MSTRG.95"
105,"MSTRG.93"
106,"MSTRG.93"
107,"MSTRG.96"
108,"MSTRG.96"
109,"MSTRG.96"
110,"MSTRG.96"
111,"MSTRG.93"
112,"MSTRG.93"
113,"MSTRG.93"
114,"MSTRG.93"
115,"MSTRG.97"
116,"MSTRG.97"
117,"MSTRG.97"
118,"MSTRG.93"
119,"MSTRG.93"
120,"MSTRG.93"
121,"MSTRG.98"
122,"MSTRG.98"
123,"MSTRG.98"
124,"MSTRG.99"
125,"MSTRG.100"
126,"MSTRG.101"
127,"MSTRG.101"
128,"MSTRG.101"
129,"MSTRG.102"
130,"MSTRG.102"
131,"MSTRG.102"
132,"MSTRG.102"
133,"MSTRG.102"
134,"MSTRG.102"
135,"MSTRG.103"
136,"MSTRG.103"
137,"MSTRG.103"
138,"MSTRG.103"
139,"MSTRG.103"
140,"MSTRG.104"
141,"MSTRG.103"
142,"MSTRG.103"
143,"MSTRG.105"
144,"MSTRG.106"
145,"MSTRG.107"
146,"MSTRG.107"
147,"MSTRG.108"
148,"MSTRG.109"
149,"MSTRG.109"
150,"MSTRG.108"
151,"MSTRG.110"
152,"MXRA8"
153,"MXRA8"
154,"MXRA8"
155,"MXRA8"
156,"MXRA8"
157,"MSTRG.24"
158,"MSTRG.25"
159,"MSTRG.25"
160,"MSTRG.25"
161,"MSTRG.25"
162,"MSTRG.42"
163,"MSTRG.43"
164,"MSTRG.42"
165,"MSTRG.44"
166,"MSTRG.45"
167,"MSTRG.46"
168,"MSTRG.46"
169,"MSTRG.46"
170,"MSTRG.46"
171,"MSTRG.47"
172,"MSTRG.47"
173,"MSTRG.47"
174,"MSTRG.48"
175,"MSTRG.49"
176,"MSTRG.49"
177,"MSTRG.49"
178,"MSTRG.50"
179,"MSTRG.50"
180,"MSTRG.46"
181,"MSTRG.46"
182,"MSTRG.7"
183,"MSTRG.8"
184,"MSTRG.72"
185,"MSTRG.72"
186,"MSTRG.72"
187,"MSTRG.73"
188,"MSTRG.74"
189,"MSTRG.75"
190,"MSTRG.75"
191,"MSTRG.76"
192,"MSTRG.77"
193,"MSTRG.76"
194,"MSTRG.76"
195,"MSTRG.76"
196,"MSTRG.76"
