"SRR5687509.SUM44_normal","SRR5687510.SUM44_normal","SRR5687511.SUM44_normal"
0,0,0
0.00994,0,0
0,0,0
0,0,0.001795
0,0,0.00122269370330843
0,0.003179,0.000687
0.000104,0,0
0.025846,0.02816,0.035007
0,0.00621496478373907,0
0,0,0.002422
0,0,0.003129
0.041942,0.032803,0.053535
0,0,0
0.0142298084645669,0.0381766127952756,0.0476020415354331
0,0,0
0,0,0
0,0,0.00779669847238543
0,0,0
0.02716,0,0
0.19023877705768,0.113026198639015,0.186101276733636
0,0,0
0,0,0.039999
0.040469,0.045729,0.05395
0.00878656703910614,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0.005255,0
0,0,0.003331
0,0.006274,0
0,0,0
0,0,0
0,0,0
0.001025,0,0
0.011065,0.006229,0
0.001377,0,0
0,0,0.0213701471830986
0.01265,0.002431,0
0,0,0
0.010924294057377,0,0
0,0,0
0.021028,0.005774,0
0,0,0
0,0,0
0.304325,0.304401,0.307056
0.037118,0.018249,0.04214
0.007334,0.003524,0
0,0.005929,0
0,0,0
0.0175035,0.026228,0.0192005
0.007938,0.023614,0
0.00122102176088044,0.00117394622311156,0.00490958629314657
0.642067,0.619895,0.88727
0,0,0
0,0,0
0.006917,0.013348,0.005063
0,0.004712,0
0,0.007998,0
0.009083,0.01162,0.008903
0.004304,0.002745,0
0.01781,0.026881,0.022468
0,0,0
0.0042123125,0,0.00291940496134021
0,0,0.012515
0,0,0
0,0,0.007381
0.184202,0.119596,0.147959
0,0,0.011592
0,0,0.018703
0.283061,0.349512,0.243987
0,0,0
0,0.00312674117017481,0
0.00741511594202899,0,0.00448095652173913
0,0.007116,0
0,0.0020056218814374,0
0.00661,0.006352,0
0,0,0.031104
0,0,0
0.002064,0.002996,0.005632
0.000996,0,0
0,0,0.006156
0,0.0066680528742699,0.00432420842299416
0.00963856224899598,0.0158988205453393,0.0105187034453604
0,0,0
0,0,0
0.0264051724137931,0.0613514750615764,0
0,0.012051,0
0.012596,0.007246,0
0,0.002325,0
0.000617839151075119,0.00271792543982128,0.00303345797263334
0,0.003656,0.006721
0,0,0.011095
0.174910893577412,0.114170401489296,0.185481297859137
0,0,0
0,0,0
0.107552,0.04944,0.027571
0,0,0
0,0,0.010133
0.066741,0.040673,0.036894
0.00724676407697791,0.0118005431218817,0.00771405702066999
0.016926,0.006457,0.009346
0.0159370954587581,0.0162190824837813,0.0139496663577386
0,0,0
0,1.22238017871649e-05,0
0.00502807789232531,0,0
0,0,0
0,0.00269344175317186,0
0,0,0
0,0,0.004819
0.022543,0,0.007462
0,0,0
0,0,0
0.031177,0.054558,0.051529
0,0.006187,0
0.00316637767969735,0.00775338902900378,0.00376044293820933
0.135316,0.124214,0.187537
0,0,0
0,0,0
0.162274,0.216,0.15472
0,0,0
0.003879,0.005625,0
0,0.0558,0.015261
0,0,0
0,0.003704,0
0,0,0
0,0,0
0.059749278346606,0.0528542965491088,0.00658197572999621
0,0.001345,0
0,0,0
0.002162,0,0.001966
0.00647911891169683,0,0
0.078881,0.079017,0.183173
0,0,0
0,0,0.01243
0.00439019470517449,0.0159902868832732,0.0159291367027677
0,0,0
0,0,0
0.008297,0.007705,0.011306
0,0,0
0,0.008731,0
0,0.004607,0
0,0.013983,0
0,0,0
0,0.0144926570680628,0.00884664168848168
0.115655079287631,0.0612682095633081,0.070618819468163
0,0,0
0,0,0
0.0515799523959647,0,0.0337025835435057
0,0,0
0.028948,0.05153,0.034523
0.029588,0.04937,0.04372
0.065558,0,0.055824
0,0,0.011429
0.003882,0.001924,0.00357
0,0,0
0,0,0.0167043030027298
0.008319,0,0.0019
0.004052,0,0
0,0,0
0,0,0
0.004327,0,0.017856
0,0,0
0,0,0
0.026572701885935,0.0430019729606908,0.0470570445353329
0,0,0
0,0,0.001508
0.007317,0.019542,0.01906
0.00208,0,0.003946
0.00658,0.003194,0.00527
0.099687,0.04888,0.072338
0,0,0
0,0,0
0,0.014103,0
0,0.00116341732778807,0
0,0,0
0,0,0
0,0,0.009629
0.0129272753366407,0,0
0,0.011454,0.030197
0,0,0
0,0,0.014877
0,0,0
0.009383,0,0
0,0.001782,0.000578
0,0.000392,0
0,0,0.005075
0.00136848799519808,0,0
0.0181251081871345,0,0.0080839820662768
0,0,0
0,0,0
0.038265,0.019855,0.040948
0.0295198583569405,0.0214899433427762,0.0243241454202077
0,0,0
0,0,0
0,0,0.00745431733235617
0.06005,0.062103,0.095022
0,0.00129134545454545,0
0.017811,0.007452,0
0,0,0
1.650486,1.72122,1.927421
0,0,0
0,0,0
0,0,0.00412250745526839
0,0,0.000743
0.042749,0.056099,0.052557
0,0,0.00273977126917713
0,0.006652255028463,0
0.011699,0.029727,0.014395
0,0.002528,0
0,0,0
0.006164,0.071282,0.119559
0,0,0
0,0,0
0,0,0
0.022996,0.043931,0.016764
0,0,0.000283714285714286
0,0,0
0,0,0
0.0486198441620714,0.0340472711579957,0.0285246991129226
0,0,0.00834765957446808
0,0,0.034615
0,0,0
0,0,0
0,0.00238,0
0,0,0
0,0,0.018254
