"","ID","Description","Count","GeneRatio","geneID"
"GO:0071704","GO:0071704","organic substance metabolic process",380,"380/748","1062/123745/79171/83443/374378/1577/10423/10200/29108/216/23093/55218/51170/203/164395/7559/51035/727857/89780/5915/8829/246/373863/140890/5657/1508/56271/8798/130557/84669/2115/143244/5481/51715/22838/9453/84750/65061/340061/79717/22887/6352/10243/3383/1719/9217/142827/255324/200933/374899/130507/3175/54332/6668/1718/7634/2687/109/83887/6196/161725/26061/9026/79673/83875/166793/80169/51634/55163/30832/2549/202151/23468/442890/25797/2099/4210/23145/1431/9858/2733/10743/200576/51379/1936/1676/64921/1267/54795/6670/2020/956/344022/389114/10379/11261/1612/8408/3035/170082/1445/1476/10699/2813/55802/284355/55741/128869/3059/2146/10993/30837/84808/4913/7022/94234/27301/6689/55697/51645/2272/51573/84872/3730/9334/3978/5687/5134/400668/1036/116285/266722/1893/8826/4673/11240/602/90853/441024/23016/7761/27148/5686/53905/4313/64207/84433/114294/283807/93100/5984/11335/2242/5646/1337/10110/100132074/83743/3300/25822/57538/54986/5095/54982/1738/51363/221/221191/23564/9175/7638/64061/83590/57628/140902/80824/171019/124976/2098/8106/22807/95681/8863/56970/375449/6041/5595/7718/2261/5734/60468/134430/11108/84301/79643/27344/7436/117246/10111/64377/51523/7357/9885/9245/3563/4616/440822/586/111/147687/5822/51117/84532/23451/554/2064/271/552/7703/28987/10898/142891/571/5313/6694/51389/84458/2525/768/66002/7025/26057/8187/7580/51102/285755/29085/4329/91750/5935/124583/7040/11253/2958/663/128387/9736/9683/84706/2104/6886/1428/26005/55269/55229/79873/10254/247/400961/10409/54977/84842/5872/160418/4100/340485/144233/10621/481/342371/440503/168391/22880/4016/9684/7755/55704/10606/6526/80818/55706/324/133584/26298/11342/8837/51804/83548/23533/342892/29958/1071/51299/2719/9920/8357/5495/10262/10004/387332/4659/1993/84727/51340/64979/147011/122970/10612/5797/80149/8350/5019/7450/833/5501/3376/9831/286075/7264/275/9468/25/10090/9421/400720/4188/11116/143689/5983/1361/60490/51277/57591/8854/205/389421/11331/5805/83666/80139/8886/1439/55818/55109/81566/2224/51426/1268/8877/860/6897/140901/150465/8438/2166/10943/65008/7855/85464/6199/84749/129303/4848/5891/5223/60370/353238/7048/23171/4869/51043/4716/7007/84892/10623/55917/53944/2110/27202/2516"
"GO:0044237","GO:0044237","cellular metabolic process",379,"379/748","1062/123745/79171/83443/374378/1577/10423/10200/29108/216/23093/55218/51170/203/164395/7559/51035/727857/89780/5915/8829/246/373863/140890/1508/56271/8798/130557/84669/2115/143244/5481/51715/22838/9453/84750/6649/65061/340061/79717/22887/6352/10243/3383/1719/9217/142827/255324/200933/374899/130507/3175/54332/6668/1718/7634/2687/109/83887/6196/161725/26061/9026/79673/83875/166793/80169/51634/55163/30832/2549/202151/23468/442890/25797/2099/4210/23145/1431/9858/2733/10743/200576/51379/1936/1676/1267/54795/6670/2020/956/344022/389114/10379/11261/1612/8408/3035/170082/1445/1476/10699/2813/55802/55105/284355/55741/128869/3059/2146/10993/30837/84808/4913/7022/94234/27301/6689/55697/51645/2272/51573/84872/3730/9334/3978/5687/5134/1036/116285/266722/1893/8826/4673/11240/602/90853/441024/23016/7761/27148/5686/53905/4313/64207/84433/283807/93100/5984/11335/2242/5646/1337/10110/100132074/83743/3300/25822/57538/54986/5095/54982/1738/51363/221/23564/9175/7638/64061/83590/140902/80824/124976/2098/8106/22807/95681/8863/56970/375449/6041/5595/7718/2261/5734/60468/134430/11108/79643/27344/7436/117246/10111/64377/51523/7357/9885/9245/2887/3563/4616/440822/586/111/147687/5822/51117/84532/23451/554/2064/271/552/7703/28987/10898/142891/571/5313/6694/55255/51389/84458/2525/768/66002/7025/26057/8187/7580/51102/285755/29085/4329/91750/5935/124583/7040/27328/11253/2958/663/128387/9736/9683/84706/2104/6886/1535/1428/55269/55229/79873/10254/128077/247/400961/10409/54977/84842/5872/160418/4100/340485/144233/10621/481/342371/440503/168391/22880/4016/9684/7755/55704/2329/10606/6526/80818/55706/324/133584/26298/11342/8837/51804/83548/23533/342892/29958/1071/51299/2719/9920/8357/5495/10262/387332/4659/1993/84727/51340/64979/147011/122970/10612/5797/80777/80149/8350/5019/84269/833/5501/3376/9831/286075/7264/275/9468/25/10090/9421/400720/4188/11116/143689/5983/1361/60490/51277/57591/8854/205/389421/11331/5805/83666/80139/8886/1439/55818/55109/81566/2224/51426/1268/8877/860/6897/140901/150465/8438/2166/10943/65008/7855/85464/6199/84749/129303/4848/5891/5223/60370/353238/7048/23171/4869/51043/4716/7007/84892/10623/55917/53944/2110/27202/2516"
"GO:0044238","GO:0044238","primary metabolic process",371,"371/748","1062/123745/79171/83443/374378/1577/10423/10200/29108/216/23093/55218/51170/203/164395/7559/51035/727857/89780/5915/8829/246/373863/140890/5657/1508/56271/8798/130557/84669/2115/143244/5481/51715/22838/9453/84750/65061/340061/79717/22887/6352/10243/3383/1719/9217/142827/255324/200933/374899/130507/3175/6668/1718/7634/2687/109/83887/6196/161725/26061/9026/79673/83875/166793/80169/51634/30832/2549/202151/23468/442890/25797/2099/4210/23145/1431/9858/2733/10743/200576/51379/1936/1676/64921/1267/54795/6670/2020/956/344022/389114/10379/11261/1612/8408/3035/170082/1445/1476/10699/2813/55802/284355/55741/128869/3059/2146/10993/30837/84808/4913/7022/94234/27301/6689/55697/51645/2272/51573/84872/3730/9334/3978/5687/5134/400668/1036/116285/266722/1893/8826/4673/11240/602/90853/441024/23016/7761/27148/5686/4313/64207/84433/114294/283807/93100/5984/11335/2242/5646/1337/10110/100132074/83743/3300/25822/57538/54986/5095/54982/1738/51363/221/221191/23564/9175/7638/64061/83590/57628/140902/80824/171019/124976/8106/22807/95681/8863/56970/375449/6041/5595/7718/2261/5734/60468/134430/11108/84301/79643/27344/7436/117246/10111/64377/51523/7357/9885/9245/3563/4616/440822/586/111/147687/5822/84532/23451/554/2064/271/552/7703/28987/10898/142891/571/5313/6694/51389/84458/2525/768/66002/7025/26057/8187/7580/51102/285755/29085/4329/91750/5935/124583/7040/11253/2958/128387/9736/9683/84706/2104/6886/1428/26005/55269/55229/79873/10254/247/400961/10409/84842/5872/160418/4100/340485/144233/10621/481/342371/440503/168391/22880/4016/9684/7755/55704/10606/6526/80818/55706/324/133584/26298/11342/8837/51804/83548/23533/342892/1071/51299/2719/9920/8357/5495/10262/10004/387332/4659/1993/84727/51340/64979/147011/122970/10612/5797/80149/8350/7450/833/5501/3376/9831/286075/7264/275/9468/25/10090/9421/400720/4188/11116/143689/5983/1361/60490/51277/57591/8854/205/389421/11331/5805/83666/80139/8886/1439/55818/55109/81566/2224/51426/1268/8877/860/6897/140901/150465/8438/2166/10943/65008/7855/85464/6199/84749/129303/4848/5891/5223/60370/353238/7048/23171/4869/51043/4716/7007/84892/10623/55917/53944/2110/27202/2516"
"GO:0050789","GO:0050789","regulation of biological process",370,"370/748","1062/127833/79792/79171/9046/29108/11135/7559/80115/51035/727857/2664/89780/5915/8829/246/373863/140890/81930/5657/1508/57657/56271/51466/130557/80309/2115/81704/143244/5481/51715/9453/83849/65061/340061/22887/6352/3383/1719/9217/142827/255324/374899/3175/6668/1718/7634/109/6196/161725/10294/3782/9026/79673/83875/166793/80169/126567/30832/2549/57572/202151/23468/442890/2099/4210/23145/9858/2733/255057/10743/200576/51379/1936/1676/79574/54795/55188/6670/2020/91404/344022/389114/10379/11261/1612/8408/54499/1445/1476/57463/10699/55802/1674/483/55105/284355/81472/55741/128869/3059/1395/2146/54328/10590/30837/84808/221178/338872/7022/94234/6689/55697/2272/84872/54918/3730/5687/5134/6247/23348/1893/8826/4673/11240/602/84466/90853/23016/7761/219287/27148/5686/53905/4313/64207/57624/8165/84433/7168/114294/5984/11335/8935/2242/3587/10110/100132074/3300/25822/9267/9312/54986/10672/2835/54982/1738/9289/23564/9175/9068/23332/7638/9940/64061/57628/140902/80824/9240/124976/8106/22807/95681/8863/56970/375449/6041/5595/2210/7718/2261/5734/60468/134430/11108/79643/27344/7436/10111/51523/161253/7357/55531/9743/9398/6326/2887/55466/3563/4616/440822/111/147687/23451/554/2064/552/63923/7703/10898/142891/79971/571/26033/6694/55255/51389/84458/768/7025/26057/8187/7580/29085/91750/5935/124583/4900/7040/2825/344561/10242/27328/2958/663/9736/9683/2104/6886/1535/1428/26005/55269/8190/10382/10254/10396/85477/390093/79848/247/166336/400961/10409/6331/5872/160418/4100/340485/144233/7087/10621/481/342371/440503/94027/929/9684/7755/55704/6526/80818/55706/324/133584/26298/8837/51804/64094/23533/342892/1071/2719/8357/5495/10262/387332/4659/1993/84727/27239/5797/29993/80149/8350/901/5019/59345/5501/9831/286075/973/390648/6988/9547/146923/2059/6814/348235/25/10090/9421/400720/30820/4188/11116/143689/5983/1361/10023/51277/57591/8854/100820829/389421/11331/83666/80139/1439/55818/55109/81566/2224/1268/11170/8877/860/55764/150465/10943/55233/4359/7855/85464/6199/1842/84749/129303/4848/5891/5223/60370/353238/6505/1209/7048/23171/4869/283189/3910/51043/11231/10623/55917/7482/553/53944/26538/27202/2516"
"GO:0050794","GO:0050794","regulation of cellular process",353,"353/748","1062/127833/79792/79171/9046/29108/11135/7559/80115/51035/727857/2664/89780/5915/8829/246/373863/140890/81930/5657/1508/56271/51466/130557/80309/2115/81704/143244/5481/51715/83849/65061/340061/22887/6352/3383/1719/9217/142827/255324/374899/3175/6668/1718/7634/109/6196/161725/10294/3782/9026/79673/83875/166793/80169/126567/30832/2549/57572/202151/23468/442890/2099/4210/23145/9858/2733/255057/10743/200576/51379/1936/1676/79574/54795/55188/6670/2020/344022/389114/10379/11261/1612/8408/54499/1445/1476/57463/55802/483/55105/284355/81472/55741/128869/3059/1395/2146/54328/10590/30837/84808/221178/338872/7022/94234/6689/55697/2272/84872/54918/3730/5687/5134/6247/23348/1893/8826/4673/11240/602/84466/90853/23016/7761/219287/27148/5686/53905/4313/64207/57624/8165/84433/7168/5984/11335/8935/2242/3587/10110/100132074/3300/25822/9267/54986/10672/2835/54982/1738/9289/23564/9175/9068/23332/7638/9940/64061/57628/140902/80824/9240/124976/8106/22807/95681/8863/56970/375449/6041/5595/2210/7718/2261/5734/60468/134430/11108/79643/27344/7436/10111/51523/161253/7357/55531/9743/9398/6326/2887/55466/3563/4616/440822/111/147687/554/2064/552/63923/7703/10898/142891/79971/571/26033/6694/55255/51389/84458/768/7025/26057/8187/7580/29085/91750/5935/124583/4900/7040/2825/344561/27328/2958/663/9736/9683/2104/6886/1535/1428/26005/55269/8190/10382/10254/10396/85477/390093/79848/247/166336/400961/10409/6331/5872/160418/4100/340485/144233/10621/481/342371/440503/94027/929/9684/7755/55704/80818/55706/324/26298/8837/51804/64094/23533/342892/1071/2719/8357/5495/10262/387332/4659/1993/84727/27239/5797/29993/80149/8350/901/5019/59345/9831/286075/973/390648/6988/9547/146923/2059/6814/348235/25/10090/9421/400720/30820/4188/11116/143689/5983/1361/10023/51277/57591/8854/100820829/389421/11331/83666/80139/1439/55818/55109/81566/1268/11170/8877/860/55764/150465/10943/55233/4359/7855/85464/6199/84749/129303/4848/5891/5223/60370/353238/1209/7048/23171/4869/283189/3910/51043/11231/10623/7482/553/53944/26538/27202/2516"
"GO:0006807","GO:0006807","nitrogen compound metabolic process",348,"348/748","1062/123745/79171/83443/374378/1577/10200/29108/23093/55218/203/164395/7559/51035/727857/89780/5915/8829/246/373863/140890/5657/1508/56271/8798/130557/84669/2115/143244/5481/51715/22838/84750/65061/340061/79717/22887/6352/10243/3383/1719/9217/255324/200933/374899/130507/3175/54332/6668/1718/7634/2687/109/83887/6196/161725/9026/79673/166793/80169/51634/55163/30832/202151/23468/442890/25797/2099/4210/23145/9858/2733/10743/51379/1936/1676/1267/54795/6670/2020/956/344022/389114/10379/11261/1612/8408/3035/170082/1445/1476/10699/2813/55802/284355/55741/128869/3059/2146/10993/30837/84808/4913/7022/94234/27301/6689/51645/2272/51573/84872/3730/9334/3978/5687/5134/400668/1036/266722/1893/8826/4673/11240/602/90853/441024/23016/7761/27148/5686/53905/4313/64207/84433/114294/283807/93100/5984/11335/2242/5646/1337/10110/100132074/83743/3300/25822/57538/54986/5095/54982/1738/51363/221/221191/23564/9175/7638/64061/83590/57628/140902/80824/171019/124976/2098/8106/22807/95681/8863/56970/375449/6041/5595/7718/2261/5734/60468/134430/11108/84301/79643/27344/7436/117246/10111/64377/51523/7357/9245/3563/4616/440822/586/111/147687/5822/23451/554/2064/271/7703/28987/10898/142891/571/5313/6694/51389/84458/2525/768/7025/26057/8187/7580/285755/29085/4329/91750/5935/124583/7040/11253/2958/128387/9736/9683/84706/2104/6886/1428/26005/55269/55229/79873/10254/400961/10409/54977/84842/5872/160418/4100/340485/144233/10621/481/342371/168391/4016/9684/7755/55704/10606/80818/55706/324/133584/26298/11342/8837/51804/83548/23533/342892/29958/1071/51299/2719/9920/8357/5495/10262/10004/387332/4659/1993/84727/51340/64979/10612/5797/80149/8350/7450/833/5501/3376/9831/286075/7264/275/9468/25/10090/9421/400720/4188/11116/143689/5983/1361/60490/51277/57591/205/389421/11331/5805/83666/80139/8886/1439/55818/55109/81566/51426/8877/860/6897/140901/150465/8438/10943/65008/7855/85464/6199/84749/4848/5891/5223/60370/353238/7048/23171/4869/51043/4716/7007/11231/84892/10623/55917/53944/27202/2516"
"GO:0051716","GO:0051716","cellular response to stimulus",238,"238/748","79792/9046/1577/29108/11135/55218/80115/51035/2664/89780/5915/8829/246/81930/5657/1508/57657/51466/80309/81704/5481/51715/6649/340061/6352/3383/1719/9217/255324/200933/3175/54332/1718/109/6196/161725/9026/80169/2549/57572/442890/2099/200576/51379/1936/79574/54795/55188/10379/11261/1612/8408/54499/1445/81472/55741/128869/3059/1395/2146/54328/30837/221178/338872/4913/27301/55697/2272/84872/54918/3730/3978/5687/6247/1036/116285/23348/1893/8826/11240/602/219287/27148/5686/53905/4313/57624/8165/84433/7168/5984/11335/8935/2242/3587/10110/9267/54986/10672/2835/221/9289/23564/9175/9068/64061/83590/80824/63895/124976/2098/8106/375449/6041/5595/2210/2261/5734/11108/79643/27344/7436/10111/51523/161253/9743/9398/6326/2887/3563/4616/111/554/2064/552/63923/7703/79971/571/5313/26033/51389/768/7025/26057/29085/124583/4900/7040/2825/344561/11253/9736/9683/2104/3310/1535/26005/8190/10254/390093/247/166336/6331/9990/5872/160418/4100/340485/144233/481/440503/94027/929/9684/7755/55704/55706/324/8837/64094/23533/2719/8357/5495/4659/84727/27239/5797/80777/80149/8350/5019/59345/973/390648/9547/2059/6814/25/4188/5983/1361/10023/51277/8854/100820829/389421/11331/83666/80139/8886/1439/55818/51426/1268/8877/57048/860/55764/8438/55233/7855/6199/4848/5891/60370/7048/23171/4869/283189/11231/7482/553/53944/26538/27202/2516"
"GO:0009058","GO:0009058","biosynthetic process",235,"235/748","374378/10423/29108/23093/51170/203/7559/727857/89780/5915/246/373863/130557/2115/143244/5481/9453/84750/340061/79717/22887/6352/10243/3383/1719/9217/142827/374899/3175/6668/1718/7634/2687/109/79673/166793/80169/55163/30832/2549/23468/442890/2099/2733/10743/200576/51379/1936/1267/6670/2020/956/344022/389114/10379/11261/1612/3035/170082/2813/284355/128869/3059/2146/10993/84808/4913/7022/94234/6689/55697/2272/84872/9334/3978/5687/1036/116285/266722/1893/4673/11240/602/90853/441024/7761/27148/5686/53905/64207/84433/93100/5984/11335/100132074/83743/25822/1738/51363/221/23564/9175/7638/64061/2098/8106/22807/8863/56970/6041/5595/7718/2261/60468/11108/7436/10111/64377/51523/7357/9885/9245/440822/586/111/147687/51117/84532/2064/271/552/7703/10898/142891/571/5313/51389/84458/2525/768/7025/26057/8187/7580/51102/91750/5935/124583/7040/11253/2958/84706/2104/6886/1535/1428/55269/55229/79873/247/400961/10409/54977/4100/340485/144233/10621/342371/440503/168391/9684/7755/55704/10606/80818/55706/26298/8837/51804/83548/23533/342892/51299/2719/8357/5495/387332/4659/1993/64979/80149/8350/833/3376/9831/286075/7264/9468/25/10090/9421/400720/4188/143689/5983/60490/57591/8854/205/389421/11331/5805/83666/80139/55818/81566/2224/51426/8877/860/6897/10943/65008/7855/6199/4848/5223/353238/23171/4869/51043/7007/84892/10623/2516"
"GO:0019222","GO:0019222","regulation of metabolic process",221,"221/748","1062/79171/29108/7559/51035/727857/89780/5915/8829/246/373863/140890/56271/130557/2115/143244/5481/9453/340061/22887/6352/3383/1719/9217/255324/374899/3175/6668/1718/7634/109/9026/79673/83875/166793/80169/30832/23468/442890/2099/4210/23145/9858/2733/10743/200576/51379/1936/1676/6670/2020/344022/389114/10379/11261/1612/8408/1445/1476/55802/55105/284355/55741/3059/2146/30837/84808/7022/94234/6689/55697/2272/84872/3730/5687/5134/1893/8826/11240/602/90853/23016/7761/27148/5686/64207/84433/114294/5984/11335/100132074/3300/25822/54986/54982/1738/23564/9175/7638/64061/140902/80824/8106/22807/8863/56970/6041/5595/7718/2261/60468/11108/79643/27344/7436/10111/51523/2887/4616/440822/111/147687/23451/554/2064/552/7703/10898/142891/571/6694/55255/51389/84458/768/7025/26057/8187/7580/5935/7040/27328/2958/9683/2104/6886/1535/1428/26005/55269/400961/10409/160418/4100/340485/144233/10621/481/342371/440503/9684/7755/55704/80818/55706/324/26298/8837/51804/23533/342892/2719/8357/10262/387332/4659/1993/80149/8350/5501/9831/286075/25/9421/400720/4188/11116/143689/5983/1361/51277/57591/8854/389421/11331/83666/80139/55818/55109/81566/2224/1268/8877/860/10943/7855/6199/84749/129303/4848/5891/5223/60370/353238/7048/23171/4869/51043/10623/27202/2516"
"GO:0016043","GO:0016043","cellular component organization",215,"215/748","1062/127833/79792/6891/9046/29108/11135/3881/23093/80115/2664/89780/8829/246/81930/5657/51466/2009/2115/143244/5481/51715/140732/83849/54809/6352/10243/3383/1719/9217/142827/255324/200933/3175/54332/1718/259173/26061/3853/3782/9026/80169/126567/2549/202151/2099/4210/3010/2733/200576/51379/9080/1676/79574/1267/54795/344022/11261/9050/8408/1445/60684/57463/1674/3059/2146/26112/6444/221178/84617/3730/84747/6247/8826/4673/11240/602/84466/27148/4313/57624/7168/23397/5984/11335/8935/2242/3587/10110/100132074/83743/3300/9312/51133/54986/25981/10672/54982/23332/64061/95681/56970/375449/5595/5734/134430/11108/79643/203062/7436/10111/7357/55531/2887/55466/2036/5822/23451/554/2064/552/8971/63923/7703/8572/57097/7025/29085/55752/7040/79983/2958/6886/1535/26005/8190/10382/10254/10396/85477/128077/26515/9990/5872/440145/7087/481/342371/440503/929/4016/57701/7755/55704/55706/324/133584/8837/51804/83548/64094/1071/2719/8357/4659/51340/134266/64979/5797/29993/80149/8350/7450/84269/5501/973/78999/146923/2059/6814/348235/25/10090/11116/5983/1361/22998/10023/11331/80139/55818/1268/11170/8877/54680/57048/55764/150465/4135/8438/10943/65008/7855/85464/1842/84749/4848/353238/6505/345895/4869/3910/4716/23114/53944"
