"","ID","Description","Count","GeneRatio","geneID"
"GO:0044464","GO:0044464","cell part",570,"570/748","1062/127833/123745/79792/79171/83443/6891/4151/374378/9046/1577/10423/10200/29108/11135/3881/216/23093/55218/51170/203/164395/7559/80115/51035/727857/2664/133690/89780/5915/8829/246/283377/373863/140890/81930/5657/1508/57657/56271/8798/51466/2009/130557/80309/84669/2115/81704/143244/5481/51715/140732/22838/9453/83849/84750/6649/65061/54809/340061/79717/22887/6352/10243/3383/1719/9217/142827/255324/200933/374899/130507/3175/54332/6668/1718/259173/7634/2687/109/6196/161725/26061/3853/10294/3782/9026/79673/83875/166793/80169/81789/9119/51634/55163/126567/30832/2549/57572/202151/23468/25797/2099/4210/9228/1431/9858/3010/2733/255057/10743/200576/29087/51379/1936/9080/1676/79574/22911/23046/64921/84948/1267/83538/54795/55188/6670/2020/956/91404/344022/389114/10379/11261/9050/1612/8408/54499/3035/65012/170082/1445/60684/1476/57463/10699/2813/26504/55802/1674/483/55105/79820/284355/81472/55741/128869/339778/3059/1395/2146/10993/54328/389396/10590/26112/6444/9358/30837/84808/221178/4913/7022/94234/27301/6689/51066/55697/51645/2272/23037/84617/51573/84872/54918/3730/84747/9334/3978/5687/5134/400668/6247/1036/116285/23348/1893/8826/4673/55652/11240/602/84466/84066/441024/23016/7761/219287/27148/5686/53905/23078/4313/64207/114571/57624/8165/84433/7168/114294/283807/496/93100/23397/5984/11335/8935/2242/5646/1337/3587/10110/100132074/83743/3300/25822/9267/9312/57538/51133/137075/25981/10672/2835/5095/54982/1738/51363/221/9289/23564/9175/3883/100533177/23332/7638/9940/64061/83590/57628/80824/9240/63895/124976/2098/8106/80023/22807/95681/8863/56970/375449/6041/5595/554282/2210/7718/10501/2261/5734/60468/387267/387264/134430/11108/84301/79643/203062/27344/7436/117246/10111/64377/51523/161253/7357/55531/9743/9398/9885/6326/9245/2887/55466/54994/3563/4616/2036/440822/586/111/147687/5822/257236/51117/84532/23451/554/9832/55374/2064/271/2993/552/8971/63923/7703/28987/10898/142891/79971/8572/121355/57097/571/5313/6694/55255/51389/84458/2525/768/66002/7025/26057/8187/1434/7580/51102/29085/4329/91750/5935/124583/55752/4900/7040/2825/344561/56147/10242/79983/27328/11253/80228/2958/663/128387/9736/9683/84706/2104/55671/6886/3310/1535/1428/26005/55269/9229/8190/10382/55229/79873/10254/10396/85477/390093/79848/128077/247/166336/400961/10409/54977/6331/727851/26515/9990/5872/440145/160418/4100/340485/144233/7087/10621/481/342371/440503/94027/168391/929/22880/4016/57701/9684/7755/55704/2329/79710/10606/6526/80818/55706/324/100128327/26298/11342/8837/51804/83548/23533/342892/284106/29958/51299/2719/9920/8357/5495/10262/10004/387332/4659/1993/84727/152789/27239/25789/51340/134266/64979/122970/10612/54540/5797/29993/54942/80777/80149/8350/9075/901/5019/7450/59345/84269/833/5501/3376/9831/286075/973/7264/390648/78999/6988/275/9547/146923/2059/9468/6814/348235/25/10090/9421/400720/388512/30820/252839/790952/4188/11116/143689/5983/60490/400966/10023/51277/57591/8854/100820829/8303/205/389421/11331/5805/83666/80139/8886/1439/55818/55109/81566/2224/51426/1268/11170/8877/57048/860/6897/55764/140901/4135/8438/2166/10943/65008/55233/4359/7855/85464/6199/84749/84514/129303/4848/5891/5223/353238/6505/345895/1209/7048/23171/4869/3889/3892/283189/51043/4716/7007/11231/84892/10623/23114/100288323/55917/7482/553/53944/326340/85320/26538/2110/27202/2516"
"GO:0005622","GO:0005622","intracellular",514,"514/748","1062/127833/123745/79792/79171/83443/6891/4151/374378/9046/1577/10423/10200/29108/11135/3881/216/23093/55218/51170/203/164395/7559/80115/51035/727857/2664/133690/89780/5915/8829/246/283377/373863/140890/81930/5657/1508/56271/8798/51466/2009/130557/80309/84669/2115/81704/143244/5481/51715/140732/22838/9453/84750/6649/65061/54809/340061/79717/22887/6352/10243/1719/9217/142827/255324/200933/374899/130507/3175/54332/6668/1718/259173/7634/109/6196/161725/26061/3853/10294/9026/79673/83875/166793/80169/81789/9119/51634/55163/126567/30832/2549/57572/202151/23468/25797/2099/4210/9228/1431/9858/3010/2733/255057/10743/200576/29087/51379/1936/9080/1676/79574/22911/23046/64921/84948/1267/83538/54795/55188/6670/2020/91404/344022/389114/10379/11261/9050/1612/8408/54499/3035/170082/1445/60684/1476/10699/55802/1674/483/55105/284355/55741/128869/339778/3059/2146/10993/389396/10590/26112/6444/30837/84808/221178/4913/7022/94234/27301/6689/51066/55697/51645/2272/23037/84617/51573/84872/54918/84747/9334/3978/5687/5134/400668/1036/116285/23348/1893/8826/4673/55652/11240/602/84066/441024/23016/7761/27148/5686/23078/4313/64207/57624/8165/84433/7168/114294/283807/93100/23397/5984/11335/8935/2242/5646/1337/10110/100132074/83743/3300/25822/9267/57538/25981/10672/5095/54982/1738/51363/221/9289/23564/9175/3883/100533177/23332/7638/9940/64061/83590/80824/9240/124976/2098/8106/80023/22807/95681/8863/56970/375449/6041/5595/554282/2210/7718/2261/5734/60468/387267/387264/134430/11108/84301/79643/203062/27344/7436/117246/10111/64377/51523/7357/55531/9743/9885/6326/9245/2887/55466/54994/3563/4616/2036/440822/586/111/147687/5822/257236/51117/84532/23451/554/9832/55374/2064/271/552/8971/7703/28987/10898/142891/79971/8572/121355/57097/571/5313/6694/55255/51389/84458/2525/768/66002/7025/26057/8187/1434/7580/51102/29085/4329/91750/5935/124583/55752/4900/7040/2825/56147/79983/11253/2958/663/128387/9736/9683/84706/2104/55671/6886/3310/1535/1428/26005/55269/8190/10382/55229/79873/10254/10396/85477/79848/128077/247/166336/400961/10409/54977/6331/727851/26515/5872/440145/160418/4100/340485/144233/10621/481/342371/440503/94027/168391/929/22880/4016/57701/9684/7755/55704/2329/79710/10606/80818/55706/324/100128327/26298/11342/8837/51804/83548/23533/342892/284106/29958/2719/9920/8357/5495/10262/387332/4659/1993/84727/152789/25789/51340/134266/64979/122970/10612/54540/5797/29993/54942/80777/80149/8350/901/5019/7450/59345/84269/833/5501/3376/9831/286075/973/7264/6988/275/9547/146923/2059/9468/6814/348235/25/10090/9421/400720/30820/252839/790952/4188/11116/143689/5983/60490/400966/10023/51277/57591/8854/100820829/8303/205/389421/11331/5805/83666/80139/8886/1439/55818/55109/81566/2224/51426/1268/11170/8877/57048/860/6897/55764/140901/4135/8438/2166/10943/65008/55233/4359/7855/85464/6199/84749/84514/129303/4848/5891/5223/353238/345895/7048/23171/4869/3889/3892/51043/4716/11231/84892/10623/23114/100288323/55917/7482/553/53944/326340/85320/2110/2516"
"GO:0044424","GO:0044424","intracellular part",502,"502/748","1062/127833/123745/79792/79171/83443/6891/4151/374378/9046/1577/10423/10200/29108/11135/3881/216/23093/55218/51170/203/164395/7559/80115/51035/727857/2664/133690/89780/5915/8829/246/283377/373863/140890/81930/5657/1508/56271/8798/51466/2009/130557/80309/84669/2115/81704/143244/5481/51715/140732/22838/9453/84750/6649/65061/54809/340061/79717/22887/6352/10243/1719/9217/142827/200933/374899/130507/3175/54332/6668/1718/259173/7634/109/6196/161725/26061/3853/10294/9026/79673/83875/166793/80169/81789/9119/51634/55163/126567/30832/2549/57572/202151/23468/25797/2099/4210/9228/1431/9858/3010/2733/255057/10743/200576/29087/51379/1936/9080/1676/79574/22911/23046/64921/84948/1267/83538/54795/55188/6670/2020/91404/344022/389114/10379/11261/9050/1612/8408/54499/3035/170082/1445/60684/1476/10699/55802/1674/483/55105/284355/55741/128869/339778/3059/2146/10993/389396/10590/26112/6444/30837/84808/221178/4913/7022/94234/27301/6689/51066/55697/51645/2272/23037/84617/51573/84872/54918/84747/9334/3978/5687/5134/400668/1036/116285/23348/1893/8826/4673/55652/11240/602/84066/441024/23016/7761/27148/5686/23078/4313/64207/8165/84433/7168/114294/283807/93100/23397/5984/11335/8935/2242/5646/1337/10110/100132074/83743/3300/25822/9267/57538/25981/10672/5095/54982/1738/51363/221/23564/9175/3883/100533177/23332/7638/9940/64061/83590/80824/9240/124976/2098/8106/80023/22807/95681/8863/56970/375449/6041/5595/554282/2210/7718/2261/60468/387267/387264/134430/11108/84301/79643/203062/27344/7436/117246/10111/64377/51523/7357/55531/9743/9885/9245/2887/55466/54994/4616/2036/440822/586/111/147687/5822/257236/51117/84532/23451/554/9832/2064/271/552/8971/7703/28987/10898/142891/79971/8572/121355/57097/571/5313/6694/55255/51389/84458/2525/768/66002/7025/26057/8187/1434/7580/51102/29085/4329/91750/5935/124583/55752/4900/7040/2825/56147/79983/11253/2958/663/128387/9736/9683/84706/2104/55671/6886/3310/1535/1428/26005/55269/8190/10382/55229/79873/10254/10396/85477/79848/128077/247/166336/400961/10409/54977/6331/727851/26515/5872/440145/160418/4100/340485/144233/10621/342371/440503/94027/168391/929/22880/4016/57701/9684/7755/55704/2329/79710/10606/80818/55706/324/100128327/26298/11342/8837/51804/83548/23533/342892/284106/29958/2719/9920/8357/5495/10262/387332/4659/1993/84727/152789/25789/51340/134266/64979/122970/10612/54540/5797/29993/54942/80777/80149/8350/901/5019/7450/59345/84269/833/5501/3376/9831/286075/973/7264/275/9547/2059/9468/6814/348235/25/10090/9421/400720/30820/252839/790952/4188/11116/143689/5983/60490/10023/51277/57591/8854/100820829/8303/205/389421/11331/5805/83666/80139/8886/55818/55109/81566/2224/51426/1268/11170/8877/57048/860/6897/55764/140901/4135/8438/2166/10943/65008/55233/4359/7855/85464/6199/84749/84514/129303/4848/5891/5223/353238/345895/7048/23171/4869/3889/3892/51043/4716/11231/84892/10623/23114/100288323/55917/7482/553/53944/326340/85320/2110/2516"
"GO:0043229","GO:0043229","intracellular organelle",445,"445/748","1062/127833/123745/79792/79171/83443/6891/374378/1577/10423/10200/29108/11135/3881/23093/55218/51170/164395/7559/80115/51035/727857/2664/89780/5915/8829/246/283377/373863/140890/81930/5657/1508/56271/8798/51466/2009/130557/80309/84669/2115/143244/5481/51715/140732/22838/84750/6649/65061/54809/340061/22887/10243/1719/9217/142827/374899/3175/54332/6668/1718/7634/109/6196/161725/26061/3853/9026/79673/83875/166793/80169/81789/9119/51634/55163/126567/30832/202151/23468/25797/2099/4210/9228/1431/9858/3010/2733/255057/10743/200576/29087/51379/1936/9080/1676/22911/23046/64921/84948/1267/83538/54795/55188/6670/2020/91404/344022/389114/10379/11261/9050/1612/8408/54499/3035/170082/60684/1476/10699/55802/1674/483/55105/284355/55741/128869/339778/3059/2146/10993/389396/10590/26112/6444/30837/84808/221178/4913/7022/94234/27301/6689/51066/55697/51645/2272/23037/84617/51573/84872/54918/9334/3978/5687/5134/400668/116285/1893/8826/4673/55652/11240/602/84066/441024/23016/7761/27148/5686/23078/4313/64207/8165/7168/114294/283807/93100/23397/5984/11335/8935/2242/5646/1337/10110/100132074/83743/3300/25822/9267/57538/25981/10672/5095/54982/1738/51363/221/23564/3883/100533177/23332/7638/64061/83590/80824/9240/124976/2098/8106/80023/22807/95681/8863/56970/6041/5595/554282/2210/7718/2261/60468/387267/387264/134430/11108/84301/79643/27344/7436/117246/10111/64377/51523/7357/55531/9743/9245/54994/4616/2036/586/111/147687/5822/257236/51117/84532/23451/554/9832/2064/552/8971/7703/28987/10898/142891/79971/8572/57097/571/6694/55255/84458/2525/768/66002/7025/26057/8187/1434/7580/51102/4329/91750/5935/124583/55752/4900/7040/2825/56147/79983/11253/2958/663/128387/9683/84706/2104/55671/6886/3310/1535/1428/26005/55269/8190/10382/10254/10396/85477/79848/247/166336/10409/54977/6331/727851/26515/5872/440145/160418/4100/340485/144233/10621/342371/440503/168391/929/22880/4016/57701/7755/55704/2329/79710/80818/55706/324/100128327/26298/11342/51804/83548/23533/342892/284106/29958/2719/8357/5495/10262/387332/4659/1993/152789/25789/51340/134266/64979/122970/10612/54540/29993/54942/80777/80149/8350/5019/7450/59345/84269/5501/9831/286075/973/275/9547/9468/6814/348235/25/10090/9421/400720/252839/790952/4188/11116/143689/5983/10023/51277/57591/100820829/8303/205/389421/11331/5805/83666/80139/8886/55818/55109/81566/2224/51426/1268/11170/8877/57048/860/6897/55764/140901/4135/8438/2166/10943/65008/55233/4359/7855/85464/6199/84749/84514/129303/4848/5891/5223/353238/345895/4869/3889/3892/51043/4716/11231/84892/10623/23114/100288323/55917/7482/553/53944/85320/2110/2516"
"GO:0043227","GO:0043227","membrane-bounded organelle",441,"441/748","1062/127833/123745/79792/79171/83443/6891/4151/374378/1577/10423/10200/29108/3881/216/23093/55218/203/7559/80115/51035/727857/2664/89780/5915/8829/283377/373863/140890/81930/5657/1508/56271/8798/51466/130557/810/80309/84669/2115/143244/5481/51715/140732/22838/84750/6649/65061/54809/340061/79717/22887/3383/1719/9217/142827/374899/3175/54332/6668/1718/7634/109/6196/161725/26061/3853/10294/9026/79673/83875/166793/80169/81789/9119/51634/55163/126567/30832/202151/23468/25797/2099/4210/1431/9858/3010/2733/255057/10743/200576/29087/51379/1936/9080/1676/79574/23046/64921/84948/1267/54795/6670/2020/344022/389114/10379/11261/8408/54499/3035/170082/1445/60684/1476/10699/2813/55802/1674/483/55105/284355/55741/128869/339778/3059/2146/10993/389396/10590/26112/30837/84808/221178/4913/7022/94234/27301/6689/51066/55697/51645/2272/23037/84617/51573/84872/54918/9334/3978/5687/5134/400668/116285/1893/8826/4673/55652/11240/602/84066/441024/23016/7761/27148/5686/23078/4313/64207/8165/84433/114294/283807/93100/23397/5984/11335/8935/2242/5646/1337/10110/100132074/83743/3300/25822/9267/57538/10672/5095/54982/1738/51363/221/9289/23564/9068/23332/7638/64061/83590/80824/9240/124976/2098/8106/80023/22807/8863/56970/6041/5595/554282/2210/7718/2261/60468/134430/11108/84301/79643/27344/7436/117246/10111/64377/51523/7357/55531/9743/9398/9245/54994/4616/586/25992/147687/5822/51117/84532/23451/554/9832/2064/2993/552/8971/7703/28987/10898/142891/79971/8572/57097/571/5313/6694/55255/84458/2525/768/66002/7025/26057/8187/1434/7580/51102/29085/4329/91750/5935/124583/55752/4900/7040/2825/56147/27328/11253/2958/663/128387/9683/84706/2104/55671/6886/3310/1535/1428/55269/8190/10382/10254/10396/85477/247/166336/10409/54977/6331/727851/26515/5872/160418/4100/340485/144233/10621/481/342371/440503/168391/929/22880/4016/7755/55704/2329/79710/10606/80818/55706/324/100128327/26298/11342/51804/83548/23533/342892/284106/29958/1071/2719/8357/5495/10262/387332/4659/1993/25789/51340/134266/64979/122970/10612/54540/29993/54942/80777/80149/8350/9075/5019/7450/59345/84269/5501/3376/9831/286075/973/7264/275/9547/2059/9468/6814/25/10090/9421/400720/252839/790952/4188/11116/143689/5983/1361/10023/51277/57591/8303/205/389421/11331/5805/83666/80139/8886/55818/55109/81566/2224/51426/1268/11170/8877/54680/57048/860/6897/55764/140901/4135/8438/2166/10943/65008/55233/4359/7855/6199/84749/84514/129303/4848/5891/5223/353238/6505/345895/23171/4869/3892/3910/51043/4716/7007/11231/84892/10623/23114/7482/553/53944/85320/2110/2516"
"GO:0044422","GO:0044422","organelle part",324,"324/748","1062/127833/123745/79792/83443/6891/374378/1577/10423/10200/29108/3881/23093/164395/7559/80115/51035/89780/5915/8829/140890/81930/5657/1508/56271/2009/143244/5481/51715/140732/22838/84750/6649/340061/9217/142827/54332/1718/6196/26061/3853/9026/83875/166793/80169/9119/51634/55163/126567/30832/202151/23468/25797/2099/4210/9228/1431/9858/3010/2733/255057/10743/200576/1936/1676/22911/23046/64921/1267/54795/55188/6670/2020/10379/11261/8408/54499/1476/10699/1674/55105/55741/128869/2146/10590/26112/221178/4913/7022/27301/55697/51645/2272/84617/51573/84872/54918/84747/9334/3978/5687/400668/116285/1893/8826/55652/11240/602/441024/23016/5686/4313/64207/8165/7168/283807/93100/23397/5984/11335/8935/5646/1337/10110/83743/3300/9267/25981/5095/54982/1738/51363/221/23564/3883/100533177/23332/64061/83590/80824/9240/124976/2098/8106/22807/95681/56970/6041/5595/2210/387267/387264/134430/11108/84301/79643/27344/7436/117246/10111/64377/51523/7357/55531/9743/9245/54994/5822/257236/51117/84532/23451/554/2064/8971/7703/28987/10898/142891/79971/8572/57097/6694/55255/84458/2525/768/66002/7025/26057/1434/51102/4329/91750/5935/124583/55752/4900/7040/2825/79983/11253/2958/663/9683/84706/2104/55671/6886/3310/1535/1428/26005/55269/8190/10382/10254/10396/85477/79848/166336/10409/54977/6331/727851/26515/5872/440145/340485/10621/342371/168391/929/57701/55704/2329/79710/80818/55706/324/100128327/26298/11342/83548/23533/29958/2719/8357/5495/10262/4659/1993/152789/25789/51340/134266/64979/122970/54540/29993/54942/80777/80149/8350/5019/7450/59345/84269/5501/275/2059/9468/348235/25/10090/9421/252839/11116/5983/57591/100820829/8303/205/389421/11331/83666/80139/8886/55818/55109/2224/51426/1268/11170/57048/860/55764/140901/4135/8438/2166/10943/65008/55233/7855/6199/84749/84514/5891/5223/345895/4869/3889/3892/51043/4716/11231/84892/10623/23114/100288323/85320/2110/2516"
"GO:0044446","GO:0044446","intracellular organelle part",319,"319/748","1062/127833/123745/79792/83443/6891/374378/1577/10423/10200/29108/3881/23093/164395/7559/80115/51035/89780/5915/8829/140890/81930/5657/1508/56271/2009/143244/5481/51715/140732/22838/84750/6649/340061/9217/142827/54332/1718/6196/26061/3853/9026/83875/166793/80169/9119/51634/55163/126567/30832/202151/23468/25797/2099/4210/9228/1431/9858/3010/2733/255057/10743/200576/1936/1676/22911/23046/64921/1267/54795/55188/6670/2020/10379/11261/8408/54499/1476/10699/1674/55105/55741/128869/2146/10590/26112/221178/4913/7022/27301/55697/51645/2272/84617/51573/84872/54918/9334/3978/5687/400668/116285/1893/8826/55652/11240/602/441024/23016/5686/64207/8165/7168/283807/93100/23397/5984/11335/8935/5646/1337/10110/83743/3300/9267/25981/5095/54982/1738/51363/221/23564/3883/100533177/23332/64061/83590/80824/9240/124976/2098/8106/22807/95681/56970/6041/5595/2210/387267/387264/134430/11108/84301/79643/27344/7436/117246/10111/64377/51523/7357/55531/9743/9245/54994/5822/257236/51117/84532/23451/554/2064/8971/7703/28987/10898/142891/79971/8572/57097/6694/55255/84458/2525/768/66002/7025/26057/1434/51102/4329/91750/5935/124583/55752/4900/7040/2825/79983/11253/2958/663/9683/84706/2104/55671/6886/3310/1535/1428/26005/55269/8190/10382/10254/10396/85477/79848/166336/10409/54977/727851/26515/5872/440145/340485/10621/342371/168391/929/57701/55704/2329/79710/80818/55706/324/100128327/26298/11342/83548/23533/29958/2719/8357/5495/10262/4659/1993/152789/25789/51340/134266/64979/122970/54540/29993/54942/80777/80149/8350/5019/7450/59345/84269/5501/275/9468/348235/25/10090/9421/252839/11116/5983/57591/100820829/8303/205/389421/11331/83666/80139/8886/55818/55109/2224/51426/1268/11170/57048/860/55764/140901/4135/8438/2166/10943/65008/55233/7855/6199/84749/84514/5223/345895/4869/3889/3892/51043/4716/11231/84892/10623/23114/100288323/85320/2110/2516"
"GO:0044425","GO:0044425","membrane part",215,"215/748","127833/6891/374378/1577/10423/57583/80115/51035/89780/8829/246/146167/81930/5657/57657/81704/143244/140732/83849/84750/340061/10243/80008/3383/9217/255324/200933/130507/54332/1718/84929/2687/109/3782/728577/9026/2099/9228/255057/200576/9080/79574/64921/54795/956/91404/8408/54499/65012/1445/57463/10699/2813/26504/483/79820/81472/128869/1395/54328/54842/6444/221178/55697/51573/54918/9334/284353/6247/266722/8826/55652/84466/53905/114571/8165/84433/7168/496/2242/1337/3587/3300/9267/9312/137075/10672/2835/54982/51363/9289/83590/57628/54682/63895/124976/80023/10712/5595/2210/10501/2261/5734/79643/203062/7436/64377/136306/7357/9743/9398/6326/9245/3563/111/554/55374/2064/2993/552/142891/79971/8572/26033/2525/768/66002/145748/124583/2825/344561/56147/10242/27328/11253/80228/1535/9229/8190/166752/10396/390093/247/54977/6331/26515/9990/5872/55281/160418/340485/7087/481/168391/929/2329/6526/55706/324/11342/8837/55314/23533/51299/2719/10004/152789/27239/25789/134266/5797/29993/80777/80149/9075/5501/90407/973/390648/78999/6988/2059/9468/6814/221303/25/10090/388512/30820/252839/100820829/8303/1439/399948/1268/57048/2166/4359/7855/84749/129303/6505/1209/7048/283189/4716/7007/11231/84892/23114/553/85320/26538/2110/27202"
"GO:0043233","GO:0043233","organelle lumen",182,"182/748","1062/79792/83443/6891/10200/29108/7559/80115/89780/5915/140890/5657/1508/5481/22838/84750/6649/142827/6196/26061/83875/166793/80169/55163/23468/25797/2099/1431/9858/2733/10743/1936/1676/1267/54795/6670/2020/10379/1476/10699/55105/55741/2146/221178/4913/7022/27301/51645/2272/84872/3978/5687/400668/116285/1893/11240/602/441024/23016/5686/64207/283807/93100/23397/5984/11335/8935/5646/10110/83743/5095/54982/1738/64061/83590/80824/9240/2098/8106/22807/56970/6041/5595/134430/11108/84301/117246/10111/51523/55531/9743/54994/5822/84532/23451/8971/7703/28987/10898/8572/6694/84458/768/7025/1434/51102/4329/91750/5935/124583/7040/2825/2958/9683/84706/2104/55671/6886/3310/1428/55269/10254/10409/26515/10621/342371/79710/80818/324/26298/11342/29958/2719/8357/5495/10262/4659/1993/51340/134266/64979/122970/54540/54942/80149/8350/5019/7450/84269/5501/275/25/9421/5983/57591/205/389421/11331/83666/80139/8886/55818/55109/2224/51426/11170/860/55764/140901/8438/10943/65008/55233/6199/84514/5223/345895/4869/51043/10623/2110/2516"
"GO:0071944","GO:0071944","cell periphery",176,"176/748","127833/79792/10423/11135/23093/80115/89780/8829/246/81930/5657/57657/81704/51715/83849/340061/10243/3383/255324/200933/2687/109/3782/9026/126567/2099/9228/255057/51379/9080/1676/79574/1267/54795/55188/956/11261/1612/65012/1445/57463/10699/2813/26504/1674/483/79820/81472/128869/3059/1395/54328/6444/9358/30837/221178/2272/51573/54918/3730/6247/8826/55652/602/84466/219287/53905/4313/114571/84433/7168/496/8935/2242/3587/9267/9312/51133/137075/10672/2835/221/9289/23332/83590/57628/63895/80023/5595/2210/10501/2261/5734/7436/161253/9743/9398/6326/2887/3563/2036/111/554/2064/2993/552/142891/79971/8572/768/66002/124583/55752/7040/2825/344561/56147/10242/27328/1535/9229/10396/85477/390093/247/10409/6331/9990/5872/4100/7087/481/929/55704/6526/55706/324/8837/83548/23533/51299/2719/10004/27239/5797/29993/9075/5501/973/390648/78999/2059/6814/25/30820/100820829/11331/1439/1268/8877/57048/4359/7855/129303/4848/6505/1209/7048/23171/283189/7007/23114/553/85320/26538/27202"
