"","ID","Description","Count","GeneRatio","geneID"
"GO:0005515","GO:0005515","protein binding",397,"397/748","1062/127833/79792/79171/6891/9046/10423/10200/29108/11135/3881/55218/51035/727857/2664/89780/5915/8829/246/140890/81930/5657/1508/57657/56271/8798/51466/2009/130557/810/80309/84669/2115/81704/5481/51715/140732/9453/83849/6649/65061/54809/340061/6352/10243/3383/9217/255324/200933/6668/9755/1718/84929/259173/109/6196/161725/26061/3853/10294/3782/9026/79673/166793/80169/51634/55163/126567/2549/57572/202151/169981/23468/2099/4210/9228/9858/2733/255057/10743/200576/51379/1936/9080/1676/79574/22911/23046/83538/54795/55188/6670/956/91404/10379/11261/9050/1612/8408/3035/170082/1445/60684/1476/26504/55802/1674/483/3059/1395/2146/10993/26112/6444/30837/221178/338872/4913/7022/55697/51645/2272/84872/54918/3730/84747/5687/5134/23348/1893/8826/4673/55652/11240/602/84466/23016/219287/27148/5686/4313/57624/8165/84433/7168/114294/496/93100/23397/5984/11335/8935/2242/5646/3587/100132074/83743/3300/25822/9267/9312/139231/137075/25981/10672/5095/54982/1738/221/23564/9175/9068/23332/64061/83590/57628/9240/2098/8106/22807/95681/10712/8863/56970/6041/5595/7718/10501/2261/5734/11108/84301/79643/203062/27344/7436/117246/10111/51523/9743/9885/2887/55466/54994/3563/4616/2036/586/111/147687/51117/84532/23451/554/9832/55374/2064/271/2993/552/8971/63923/7703/10898/79971/8572/57097/571/55255/51389/84458/768/7025/26057/8187/1434/7580/29085/91750/5935/124583/55752/4900/7040/2825/79983/80228/2958/663/9736/9683/2104/55671/6886/3310/1535/1428/26005/55269/9229/8190/10382/79873/10254/10396/85477/400961/10409/6331/727851/26515/5872/440145/55281/160418/4100/144233/7087/10621/481/342371/440503/94027/168391/929/57701/9684/7755/55704/79710/10606/80818/324/100128327/11342/8837/83548/2719/8357/5495/10262/91966/4659/1993/84727/152789/51340/134266/147011/122970/10612/5797/29993/54942/80777/80149/8350/9075/5019/7450/833/5501/3376/90407/286075/973/7264/78999/9547/146923/2059/6814/348235/25/9421/400720/30820/4188/11116/5983/60490/22998/79696/10023/51277/57591/100820829/389421/11331/5805/83666/80139/8886/1439/55818/55109/81566/1268/8877/54680/57048/860/6897/55764/4135/8438/2166/10943/65008/55233/7855/85464/1842/129303/4848/5223/60370/6505/1209/7048/23171/4869/3889/3892/3910/51043/4716/11231/84892/10623/23114/55917/7482/553/53944/27202/2516"
"GO:0043167","GO:0043167","ion binding",241,"241/748","1062/127833/123745/79792/6891/4151/374378/1577/219654/10423/23093/203/164395/7559/80115/133690/5915/8829/246/81930/57657/8798/2009/130557/810/84669/51715/22838/9453/83849/6649/65061/340061/10243/1719/142827/374899/130507/6668/1718/84929/7634/109/83887/6196/161725/26061/10294/9026/79673/83875/166793/390667/55163/126567/30832/25797/2099/4210/2733/10743/200576/23046/54795/6670/956/91404/389114/115273/11261/140831/1612/8408/3035/1445/55741/128869/10993/10590/4913/27301/84617/51573/84872/3730/9334/3978/5687/5134/400668/6247/1036/116285/8826/11240/7761/219287/27148/53905/23078/4313/64207/5984/2242/5646/10110/57538/54986/25981/10672/2835/5095/1738/51363/9289/23564/9175/7638/171019/22807/56970/375449/6041/5595/7718/2261/11108/7436/10111/51523/161253/9743/55466/111/25992/147687/84532/2064/271/7703/28987/10898/8572/121355/5313/768/66002/7025/8187/7580/4329/124583/55752/4900/56147/27328/11253/663/128387/84706/2104/3310/1535/10382/55229/166752/79873/10396/85477/247/166336/26515/84842/5872/481/168391/22880/4016/7755/55704/2329/79710/10606/80818/133584/11342/64094/342892/284106/1071/2719/5495/10004/10612/29993/80777/80149/833/5501/3376/9831/286075/25/400720/388512/30820/1361/22998/79696/51277/8303/205/389421/5805/83666/80139/8886/55818/2224/221749/51426/8877/54680/57048/860/6897/140901/150465/8438/55233/6199/1842/5891/353238/6505/7048/51043/53944/85320/2110/2516"
"GO:0097159","GO:0097159","organic cyclic compound binding",229,"229/748","1062/79171/83443/6891/4151/1577/219654/10200/216/23093/55218/203/164395/7559/727857/5915/373863/140890/81930/57657/8798/130557/2115/143244/51715/65061/340061/22887/10243/1719/142827/374899/3175/6668/1718/7634/109/83887/6196/161725/26061/10294/79673/166793/80169/81789/51634/55163/30832/442890/2099/1431/3010/10743/200576/51379/1936/23046/84948/1267/54795/6670/2020/956/344022/389114/115273/10379/1612/8408/3035/1445/1476/55802/55105/284355/2146/10993/4913/7022/94234/27301/6689/2272/84617/84872/3978/5687/5134/116285/4673/55652/602/23016/7761/27148/53905/23078/8165/5984/2242/10110/100132074/83743/57538/54986/25981/10672/5095/1738/51363/9175/7638/64061/8106/22807/8863/375449/6041/5595/7718/2261/60468/134430/11108/117246/10111/51523/161253/9885/55466/440822/111/147687/5822/84532/23451/2064/8971/7703/10898/571/5313/84458/66002/7025/26057/8187/7580/4329/5935/55752/84706/2104/6886/3310/1535/1428/55269/10382/55229/10396/400961/10409/5872/10621/481/342371/7755/2329/10606/80818/26298/57666/51804/342892/29958/1071/8357/10262/387332/1993/152789/51340/134266/80777/80149/8350/833/5501/3376/9831/286075/25/9421/400720/143689/5983/51277/205/389421/83666/80139/8886/55818/55109/81566/2224/51426/8877/860/6897/140901/150465/8438/10943/65008/6199/5891/7048/23171/4869/51043/11231/10623/53944/85320/2110/2516"
"GO:1901363","GO:1901363","heterocyclic compound binding",227,"227/748","1062/79171/83443/6891/4151/1577/219654/10200/216/23093/55218/203/164395/7559/727857/5915/373863/140890/81930/57657/8798/130557/2115/143244/51715/65061/340061/22887/10243/1719/142827/374899/3175/6668/1718/7634/109/83887/6196/161725/26061/10294/79673/166793/80169/81789/51634/55163/30832/442890/2099/1431/3010/10743/200576/51379/1936/23046/84948/1267/54795/6670/2020/956/344022/389114/115273/10379/1612/8408/3035/1445/1476/55802/55105/284355/2146/10993/4913/7022/94234/27301/6689/2272/84617/84872/3978/5687/5134/116285/4673/55652/602/23016/7761/27148/53905/23078/8165/5984/2242/10110/100132074/83743/57538/54986/25981/10672/5095/1738/51363/9175/7638/64061/8106/22807/8863/375449/6041/5595/7718/2261/60468/134430/11108/117246/10111/51523/161253/55466/440822/111/147687/5822/84532/23451/2064/8971/7703/10898/571/5313/84458/66002/7025/26057/8187/7580/4329/5935/55752/84706/2104/6886/3310/1535/1428/55269/10382/55229/10396/400961/10409/5872/10621/481/342371/7755/2329/10606/80818/26298/57666/51804/342892/29958/8357/10262/387332/1993/152789/51340/134266/80777/80149/8350/833/5501/3376/9831/286075/25/9421/400720/143689/5983/51277/205/389421/83666/80139/8886/55818/55109/81566/2224/51426/8877/860/6897/140901/150465/8438/10943/65008/6199/5891/7048/23171/4869/51043/11231/10623/53944/85320/2110/2516"
"GO:0036094","GO:0036094","small molecule binding",102,"102/748","1062/127833/6891/10423/216/23093/203/164395/81930/57657/8798/51715/65061/340061/10243/1719/142827/1718/109/83887/6196/26061/10294/55163/2733/200576/23046/1267/54795/956/115273/1612/8408/3035/1445/10993/2272/84617/3978/116285/27148/53905/23078/5984/2242/10110/57538/54986/25981/10672/5095/1738/51363/23564/9175/375449/6041/5595/2261/10111/161253/9885/55466/111/84532/2064/5313/55752/84706/3310/1428/10382/55229/10396/5872/481/2329/10606/1071/134266/833/3376/25/388512/51277/8854/205/8886/8877/860/6897/140901/150465/8438/6199/5891/6505/7048/23171/53944/85320/2110"
"GO:0016787","GO:0016787","hydrolase activity",92,"92/748","1062/123745/6891/29108/55218/246/81930/5657/1508/84669/51715/6352/2687/161725/200576/23046/1267/956/115273/10699/55802/483/55741/128869/4913/27301/2272/84617/51573/5687/400668/11240/441024/23016/5686/23078/4313/114294/496/5984/5646/25981/10672/221191/23564/57628/80824/171019/2098/6041/84301/10111/161253/9398/271/28987/10898/29085/124583/55752/11253/663/128387/9736/3310/10382/79873/10396/5872/340485/481/8837/5495/10004/147011/122970/5797/80149/5501/3376/5983/1361/51277/8886/8438/2166/85464/84749/4848/5223/353238/85320"
"GO:0097367","GO:0097367","carbohydrate derivative binding",92,"92/748","1062/6891/23093/203/164395/8829/81930/1508/57657/8798/51715/6649/65061/340061/10243/142827/84929/109/83887/6196/10294/55163/200576/23046/54795/956/115273/1612/8408/3035/1445/128869/84617/3730/3978/400668/116285/27148/23078/5984/2242/10110/57538/54986/25981/10672/5095/51363/9289/9175/375449/6041/5595/2261/10111/161253/55466/111/84532/2064/5313/55752/3310/10382/55229/10396/5872/481/929/10606/133584/64094/2719/833/3376/25/51277/205/83666/8886/8877/860/6897/140901/150465/8438/6199/1842/5891/7048/53944/85320"
"GO:0016740","GO:0016740","transferase activity",89,"89/748","374378/10423/203/8829/8798/22838/9453/84750/65061/6352/10243/142827/200933/130507/54332/2687/6196/2549/25797/2099/1431/200576/64921/1612/8408/1445/2146/389396/9334/116285/266722/27148/84433/283807/93100/2242/10110/57538/54986/51363/9175/375449/6041/5595/2261/60468/11108/117246/10111/64377/7357/9245/3563/586/2064/142891/57097/571/5313/2525/84706/55229/144233/10621/168391/11342/23533/9920/84727/10612/5019/275/9468/25/10090/11116/205/83666/1439/2224/51426/8877/140901/6199/5891/7048/84892/10623/53944"
"GO:0140096","GO:0140096","catalytic activity, acting on a protein",80,"80/748","374378/29108/23093/8829/5657/1508/8798/84669/5481/22838/65061/6352/200933/130507/2687/6196/161725/25797/1612/8408/1445/10699/128869/2146/51645/5687/400668/27148/5686/4313/114294/283807/2242/5646/10110/57538/54986/221191/9175/57628/80824/171019/375449/6041/5595/2261/60468/84301/9245/3563/2064/571/285755/29085/9736/168391/4016/11342/8837/9920/5495/10004/84727/10612/5797/80149/5501/25/11116/1361/1439/55818/140901/150465/85464/6199/84749/5891/7048/53944"
"GO:0008144","GO:0008144","drug binding",78,"78/748","1062/6891/4151/1577/23093/203/164395/5915/81930/8798/5481/65061/340061/10243/1719/142827/84929/109/83887/6196/10294/55163/2733/200576/23046/54795/956/1612/8408/3035/1445/10993/3978/116285/27148/23078/5984/2242/10110/57538/54986/25981/5095/9175/375449/6041/5595/2261/10111/55466/111/84532/2064/5313/66002/84706/3310/55229/10396/481/10606/833/3376/25/205/8886/1268/8877/860/6897/140901/150465/8438/6199/5891/7048/53944/85320"
