"","ID","Description","Count","GeneRatio","geneID"
"GO:0005515","GO:0005515","protein binding",800,"800/1471","2893/2977/80315/54469/23008/5357/11343/2615/7036/3268/92104/9228/6009/5579/3217/83896/11274/634/10461/10018/1759/100101267/11278/776/55349/54797/23250/6648/79085/51106/322/25911/30819/4868/117145/83538/108/11073/7018/57732/112574/57097/55140/55286/134266/4496/117178/51035/7620/55325/8470/7023/7704/8732/2804/10072/342371/79774/6506/960/1718/4485/7177/284352/79027/9522/2201/347148/9229/80725/57125/55700/3619/79669/153527/682/5179/111/5079/9833/1004/63976/6891/3831/84923/56895/5019/89790/28513/9851/54517/4318/3767/94027/2321/10592/1056/5527/152831/7277/9652/284217/8549/636/81669/90060/10695/6295/79054/23230/8968/4224/80714/1409/25924/1962/55327/54976/55722/84105/4193/6276/6857/126259/29992/9655/9308/4953/7456/11137/54518/320/8939/3250/6874/23593/58528/90459/23589/10643/6400/51060/9076/55614/5002/1008/168417/2109/29993/7450/8793/83547/5345/493753/3481/9604/24138/4774/6122/55177/9753/57018/1454/6663/90427/7837/26747/29947/7109/284992/8945/139285/23064/51132/116931/56886/6907/3593/2296/3662/11185/3987/3685/23528/163702/10250/83658/5998/3704/1002/342132/64123/85294/3092/60684/60385/1371/26146/23152/3707/8344/946/54862/27341/57050/9682/1029/57509/3181/2067/51257/54788/23225/23534/629/9701/23566/9491/339451/85458/4082/7020/65997/8938/23300/4172/8805/3687/22944/27020/83478/84897/10552/91754/54919/3661/5147/3866/9202/220002/9066/92822/2053/55246/1786/388551/84733/4205/26509/5134/157638/91056/4597/57057/51585/731/2779/55652/386672/90990/50626/5707/9669/10411/57707/25769/7789/9839/91544/79961/8350/91647/2532/3845/2064/4035/84299/6996/51332/7314/5499/916/79651/1501/6355/7040/5813/56477/57498/2255/830/5366/3183/112950/157657/4026/4084/9729/8031/951/114299/7295/84894/6173/3693/57017/1149/2774/3613/50674/9508/7739/23101/5535/116443/28964/2565/27238/81831/10294/4660/127833/9858/653333/7222/890/23542/56000/8744/970/799/8925/6468/84064/6769/1001/1767/10769/54898/2125/10249/4942/9578/25865/10580/65061/9312/6340/246330/23564/23035/389337/9784/725/22931/161742/112752/23660/140462/660/1176/10430/51072/22989/961/23098/230/4883/140767/440023/3191/9982/51659/8529/7292/6581/80350/100820829/133686/10318/90864/10067/30010/245972/11059/219931/1374/80152/23305/5167/27338/6456/56970/5599/57495/10396/258010/6103/23322/94239/239/80011/3627/120892/64856/2563/79849/29070/1058/57007/2266/127602/79801/64328/2706/2324/9945/83648/66036/650/1107/200576/117157/22926/2903/10469/2512/421/5578/5139/9467/8174/9416/11145/81029/3801/55689/57451/6799/9144/6048/55037/219527/3824/1870/6731/29851/2729/146556/29924/5129/51538/56623/10807/4851/94/153222/3084/22809/2166/8438/51108/10410/6547/51258/91782/727851/9554/7054/430/6829/10752/65986/23462/54443/1981/3993/728047/84458/57465/326/754/9074/2258/64708/4880/5775/56241/10223/129049/779/4293/192683/60490/10919/29128/2887/6885/79654/374/57453/22897/1499/8425/29950/55803/253769/9236/84976/51473/9856/51567/84677/56893/7024/1796/79817/5108/219790/51506/8556/79696/5149/1828/494324/153562/26157/6338/26155/4635/996/10382/3091/7994/492/1663/1737/120379/2069/124359/93099/9774/7421/9117/730755/23532/5972/9145/83667/2313/9555/11099/54363/10612/64756/7286/9840/8074/5119/10188/57801/11140/8497/10514/84254/10272/112858/5207/116173/3895/124460/55204/6846/55208/55450/51062/11183/4486/408/22827/55619/2187/80705/5980/7155/51088/929/7936/9751/7850/11047/493861/3689/246175/56339/4753/9914/196/9518/5734/2319/6659/29097/192668/29841/28316/4809/27351/5339/23352/5984/10466/4779/64130/5600/158931/146849/286262/6406/8785/6407/4105/4101/164127/7443/93649/9235/9080/8530/60686/84962/203859/114609/79607/54532/4715/11337/83473/3656/9362/57035/5538/4436/441272/563/23303/79618/9817/7477/8407/29789/57708/120406/55110/2582/2731/90865/3059/23471/134265/84309/80222/613/51441/22823/2539/8266/7133/89870/57590/221935/54776/115703/1412/22878/9001/9869/10163/22800/387755/55684/53616/3326/4046/9547/84289/49856/79677/54941/152007/92181/9734/11314/10693/10126/92342/9024/8751/1356/5137/22806/79980/5933/3300/953/9887/84667/27163/152815/10525/80012/145258/23677/7306/374354/3020/7138/53405/28981/10562/9401/22829/6898/83463/51678/2213/103/4924/3480/57115/729873/414060/255057/148281/204851/91893/85365/3339/22859/11345/3684/149603/4998/6641/10078/975/3066/4159/5314/79037/8419/931/27065/134701/11030/8632/2668/115557/4604/29091/2017/8764/386680/115265/94031/441549/85477/6402/10560/90993/10579/727897/85300/6155/3430/3800/5317/7494/3887/240/161725/143/113146/79608/91653/10320/90381/374654/253559/1794/64841/6815/23646/80110/147372/1645/285195/644150/9805/118788"
"GO:0043167","GO:0043167","ion binding",426,"426/1471","2977/80315/54469/5922/5357/3268/6009/5579/90203/162962/10461/1759/378108/11278/154664/776/55349/23250/6648/79085/30819/27343/8516/108/7018/57732/112574/2588/55140/4496/7620/7704/8732/10072/54932/6506/960/79056/1718/79027/23259/2201/57758/148252/153527/111/9833/1004/63976/79623/6891/64763/28513/4318/3767/2321/10592/1056/7277/113/4224/1409/25924/2224/55819/642280/4193/6276/6857/4016/9704/58528/90459/55614/1008/168417/29993/6309/9604/125/64895/9753/84891/1454/7837/26747/29947/139285/23064/51132/54988/348158/116285/3987/3685/23528/220992/5099/3704/1002/342132/340371/3918/64123/3092/3707/255877/9682/51257/167359/92017/1797/2346/23566/65997/8938/23300/114780/4172/8805/3687/22944/27293/7596/91754/9202/220002/9066/92822/2053/1786/2180/26509/5134/4597/7760/2779/9534/90990/50626/9669/10411/25769/7789/9839/114882/3845/8702/205/2064/4035/6996/23024/5499/6355/2255/728927/4026/4322/10061/10595/2774/3613/9508/7739/5535/116443/10568/28964/153364/84706/10294/127833/10795/7222/6713/84064/57677/6769/1001/1767/10769/57452/4942/9578/25865/1144/65061/23564/23035/9784/22931/23093/23660/660/22989/54707/154661/113235/7053/4883/9982/375449/8529/133686/6507/23305/5167/27338/56970/5599/10396/5009/239/3627/120892/2266/150472/127602/2324/1107/200576/2903/10469/2512/219654/57178/5578/5139/9416/3801/57451/6048/65217/5024/383/2729/5129/51538/4851/94/5198/51351/8438/6547/55501/27330/55647/7054/619279/65986/1981/326/779/4293/23245/10919/29128/6885/284110/162417/10585/8425/55803/79915/64094/51567/126637/79817/79696/5149/1828/22838/26157/4635/10382/7994/492/1663/26521/284349/341640/158326/7421/389114/83667/7546/7673/54363/10612/55733/5119/2162/23087/10188/83872/84254/56132/56129/26167/112858/27301/5207/153918/124460/55204/51062/27109/11183/8814/4486/5549/56985/221955/5980/7155/257101/3689/3363/342357/246175/57615/4753/9914/28316/23352/5984/171425/5600/6406/8785/6407/7443/64600/51302/84962/53905/114609/79987/83473/3656/9362/4436/2766/23303/79831/170959/29789/2731/56125/80222/9609/613/4320/22823/89870/57590/115703/9869/22800/55684/221749/140766/3326/84289/79677/54941/9734/3614/11314/10693/9024/8751/1356/5137/22806/136332/343450/953/56999/152815/10525/84630/80012/7306/7138/9401/6898/103/4924/3480/57115/9520/91612/6529/148281/204851/3339/5553/3684/149603/4998/26974/8632/29091/55229/85477/6402/10493/5378/3800/240/161725/55741/10320/374654/130507/6199/10590/80110/9668/54905/147372/1645/7626/7371"
"GO:0097159","GO:0097159","organic cyclic compound binding",381,"381/1471","2294/2977/80315/8929/54469/11189/6009/5579/3217/63931/162962/10461/1759/11278/154664/55349/23250/51106/6689/27343/108/11073/134266/7620/8470/7023/7704/8732/2804/54932/342371/1718/79027/148252/23277/153527/347741/111/5079/9833/63976/6891/64763/57594/54517/344022/3767/2321/10592/7277/8968/574493/113/80714/2224/642280/4193/9704/8939/6874/58528/90459/23589/10643/55614/168417/24138/4774/6122/64895/9753/84891/2077/1454/6663/7837/26747/5822/23064/6907/2296/3662/54988/348158/116285/23528/10250/220992/3704/342132/340371/23152/3707/8344/54862/27341/57050/255877/1029/3181/2067/167359/1797/4603/7020/65997/23300/4172/8805/22944/7596/91754/3661/9202/92822/9904/1786/84733/25909/2180/4205/4858/5134/4597/57057/51585/7760/2779/55652/9534/90990/9669/10411/7789/9839/114882/8350/3845/205/2064/4035/6996/5813/3183/728927/112950/4084/7295/6173/10061/10595/2774/50674/126789/27238/84706/10294/10795/56000/6713/57677/1767/10769/4942/9578/25865/65061/22931/29842/23093/23660/11333/26024/660/22989/54707/113235/8456/3191/375449/8529/133686/80152/23305/5167/27338/5599/10396/6103/94239/80034/120892/1058/150472/200350/127602/2324/1107/200576/22926/10469/219654/5578/5139/9416/3801/55037/5024/1870/6731/81789/2729/5129/51538/4851/94/153222/5198/22809/51351/8438/55501/27330/55647/7054/430/6829/619279/65986/23462/1981/5435/84458/326/4293/54952/29128/6885/6947/79915/51567/7024/5149/26157/26155/10382/3091/7994/492/1663/284349/9774/7421/389114/2313/7546/9555/7673/54363/55733/5453/10188/57801/10514/84254/55599/112858/27301/5207/80820/3895/51062/11183/8814/4486/408/22827/5980/7155/257101/7936/317649/3363/342357/57615/56339/9914/222642/196/6659/29841/4809/5339/5984/4779/5600/155435/7443/93649/51302/60686/53905/83473/3656/579/4436/5379/23303/79618/170959/29789/57708/2298/55110/2731/84309/80222/9609/613/51441/22823/2539/8402/9869/22800/55684/3326/79677/3614/10693/64864/57060/9024/54039/22806/5933/170302/136332/54502/343450/953/9887/84667/152815/10525/55544/84630/80012/145258/3020/9401/6898/83463/103/4924/3480/204851/4998/26974/3066/11030/8632/55229/2019/90993/6155/5378/3800/7494/161725/143/113146/10320/374654/6199/80110/9668/54905/1645/7626/7371"
"GO:1901363","GO:1901363","heterocyclic compound binding",378,"378/1471","2294/2977/80315/8929/54469/11189/6009/5579/3217/63931/162962/10461/1759/11278/154664/55349/23250/51106/6689/27343/108/11073/134266/7620/8470/7023/7704/8732/2804/54932/342371/1718/79027/148252/23277/153527/347741/111/5079/9833/63976/6891/64763/57594/54517/344022/3767/2321/10592/7277/8968/574493/113/80714/2224/642280/4193/9704/8939/6874/58528/90459/23589/10643/55614/168417/24138/4774/6122/64895/9753/84891/2077/1454/6663/7837/26747/5822/23064/6907/2296/3662/54988/348158/116285/23528/10250/220992/3704/342132/340371/23152/3707/8344/54862/27341/57050/255877/1029/3181/2067/167359/1797/4603/7020/65997/23300/4172/8805/22944/7596/91754/3661/9202/92822/9904/1786/84733/25909/2180/4205/4858/5134/4597/57057/51585/7760/2779/55652/9534/90990/9669/10411/7789/9839/8350/3845/205/2064/4035/6996/5813/3183/728927/112950/4084/7295/6173/10061/10595/2774/50674/126789/27238/84706/10294/10795/56000/6713/57677/1767/10769/4942/9578/25865/65061/22931/29842/23093/23660/11333/26024/660/22989/54707/113235/8456/3191/375449/8529/133686/80152/23305/5167/27338/5599/10396/6103/94239/80034/120892/1058/150472/200350/127602/2324/1107/200576/22926/10469/219654/5578/5139/9416/3801/55037/5024/1870/6731/81789/2729/5129/51538/4851/94/153222/5198/22809/51351/8438/55501/27330/55647/7054/430/6829/619279/65986/23462/1981/5435/84458/326/4293/54952/29128/6885/6947/79915/51567/7024/5149/26157/26155/10382/3091/7994/492/1663/284349/9774/7421/389114/2313/7546/9555/7673/54363/55733/5453/10188/57801/10514/84254/55599/112858/27301/5207/80820/3895/51062/11183/8814/4486/408/22827/5980/7155/257101/7936/317649/3363/342357/57615/56339/9914/196/6659/29841/4809/5339/5984/4779/5600/155435/7443/93649/51302/60686/53905/83473/3656/579/4436/5379/23303/79618/170959/29789/57708/2298/55110/2731/84309/80222/9609/613/51441/22823/2539/8402/9869/22800/55684/3326/79677/3614/10693/64864/57060/9024/54039/22806/5933/170302/136332/54502/343450/953/9887/84667/152815/10525/55544/84630/80012/145258/3020/9401/6898/83463/103/4924/3480/204851/4998/26974/3066/11030/8632/55229/2019/90993/6155/5378/3800/7494/161725/143/113146/10320/374654/6199/80110/9668/54905/7626/7371"
"GO:0016787","GO:0016787","hydrolase activity",177,"177/1471","11343/6009/11274/1759/146547/154664/23250/117145/2588/55325/8732/60526/10072/54932/8972/4485/7177/23259/148252/6891/3831/4318/1056/152831/7277/4224/9704/10171/58528/90459/55614/686/23064/83658/3704/2067/11057/1797/629/2346/65997/4172/27293/5147/3083/2053/2779/90990/5707/9669/23491/3845/6996/5499/79651/150290/4322/55331/10061/10595/2774/3613/441024/9508/153364/84064/1767/23564/23035/22931/22989/54707/51659/80350/245972/5167/10396/440400/239/120892/127602/92949/66036/1107/200576/5139/9416/11145/3801/383/56623/643418/2166/8438/55647/5775/51567/54504/8556/10724/5149/10382/492/1663/5972/11099/5119/1675/112858/27301/5207/51062/56985/221955/7155/360200/246175/9914/51099/27351/5984/57478/29952/26095/64600/55230/83473/283310/5538/4436/5379/563/23303/79831/29789/57708/80222/9609/4320/140838/22800/55684/670/53616/140766/8492/9734/10126/8751/5137/953/9887/56999/27163/10525/7138/9401/22829/103/57115/9520/374462/3066/8632/94031/23358/85300/23175/124739/5378/3800/161725/55741/374654/6815/23646/9805"
"GO:0036094","GO:0036094","small molecule binding",174,"174/1471","2977/6009/5579/10461/1759/154664/55349/23250/108/134266/8732/960/1718/148252/682/111/9833/6891/3767/2321/10592/7277/113/9704/58528/55614/64895/1454/23064/54988/348158/116285/3704/340371/3707/167359/1797/65997/4172/91754/1786/2180/4597/2779/90990/9669/10411/114882/3845/205/2064/6996/10061/10595/2774/116443/84706/10294/127833/7222/6713/1767/10769/4942/9578/25865/65061/23564/22931/23093/660/22989/54707/113235/375449/133686/6507/23305/5167/27338/5599/10396/5009/120892/150472/127602/2324/1107/200576/10469/5578/5139/9416/3801/5024/2729/5129/94/5198/8438/55501/27330/55647/7054/1981/4293/23245/29128/6885/6947/162417/55803/79915/5149/26157/10382/492/1663/7421/83667/54363/55733/10188/84254/112858/5207/51062/11183/8814/4486/5980/7155/9914/222642/5984/5600/7443/53905/83473/3656/4436/23303/29789/2731/80222/9609/613/2539/22800/55684/138307/3326/79677/10693/9024/136332/343450/953/10525/84630/9401/6898/3480/204851/4998/8632/55229/5378/3800/374654/64841/6199/1645/7371"
"GO:0016740","GO:0016740","transferase activity",165,"165/1471","728233/5579/10461/10090/54797/145173/51106/27343/57097/55140/8732/9833/63976/79623/56895/5019/115939/2321/152831/2224/55819/4193/80028/9604/55277/64895/1454/8945/51132/56886/3662/11185/54988/348158/116285/340371/3707/51257/167359/339451/8805/91754/2651/1786/23333/10715/8702/205/2064/23024/6355/2255/10595/9953/114792/389396/56894/84706/653333/890/8925/6468/338596/10769/54898/10249/57452/4942/9578/25865/65061/246330/660/7053/375449/133686/90864/11059/1374/27338/5599/5009/120892/7357/2324/9945/200576/587/5578/11145/6799/6048/29851/5129/94/3084/55501/346606/27330/5435/3036/4293/10919/29128/6885/54093/79654/162417/10585/8425/51506/22838/7994/1737/2069/10612/55733/8074/2162/10188/11140/9469/10514/84254/112858/5207/54332/9245/11183/8814/4486/5980/51088/56339/51099/23352/171425/5600/7443/3656/5379/79618/9817/613/8266/9869/54941/92342/9024/136332/84630/6898/7368/3480/204851/91893/85365/149603/55229/143/130507/64841/6199/7371/118788"
"GO:0097367","GO:0097367","carbohydrate derivative binding",155,"155/1471","2977/6009/5579/10461/1759/154664/23250/108/8732/960/148252/111/9833/6891/3767/2321/10592/1056/7277/113/9704/58528/55614/64895/1454/23064/54988/348158/116285/340371/3918/3707/167359/65997/4172/91754/2180/4597/2779/90990/9669/10411/3845/205/2064/4035/6996/6355/2255/10061/10595/2774/9508/10294/1767/10769/9578/25865/65061/22931/23093/660/22989/54707/9982/375449/133686/23305/5167/27338/5599/10396/3627/120892/150472/127602/2324/9945/1107/200576/10469/5578/5139/9416/3801/5024/2729/5129/94/5198/8438/55501/27330/55647/1981/4293/6885/8425/79915/64094/5149/26157/10382/492/1663/54363/55733/10188/84254/112858/5207/51062/11183/8814/4486/5549/7155/929/9914/5984/5600/7443/83473/3656/4436/23303/29789/80222/9609/613/22800/55684/3326/79677/10693/9024/136332/343450/953/10525/84630/9401/3480/57115/204851/5553/4998/8632/55229/6402/5378/3800/374654/6199/7371"
"GO:0140096","GO:0140096","catalytic activity, acting on a protein",148,"148/1471","5579/11274/10461/146547/54797/55325/8732/10072/4485/7177/9833/63976/79623/4318/2321/4224/55819/4193/80028/4016/9604/1454/8945/51132/3662/340371/9682/51257/167359/629/2346/339451/8805/91754/3083/5707/2064/23024/5499/79651/6355/2255/150290/4322/10595/9508/114792/890/8925/6468/10769/57452/9578/25865/65061/246330/23035/23093/660/7053/375449/80350/90864/11059/27338/5599/120892/92949/2324/1107/5578/6048/5129/94/3084/27330/5775/4293/10919/29128/6885/54093/79654/8425/54504/51506/8556/22838/1737/2069/5972/11099/10612/8074/5119/2162/10188/11140/84254/1675/112858/9245/11183/8814/4486/51088/360200/27351/23352/57478/29952/26095/5600/7443/55230/83473/3656/5538/9817/79831/57708/613/4320/8266/9869/53616/140766/8492/54941/9734/9024/8751/56999/84630/3480/9520/204851/374462/149603/3066/94031/23358/124739/161725/130507/6815/6199/9805"
"GO:0008144","GO:0008144","drug binding",123,"123/1471","5579/10461/154664/23250/108/111/9833/6891/3767/2321/10592/113/9704/55614/64895/1454/23064/54988/348158/116285/340371/3707/167359/4172/91754/2180/4597/90990/205/2064/6996/10061/10595/116443/84706/10294/799/1767/10769/4942/9578/25865/1144/65061/23093/660/22989/113235/375449/133686/23305/5167/27338/5599/10396/120892/150472/127602/2324/1107/200576/10469/5578/9416/3801/5024/2729/5129/94/5198/8438/27330/7054/1981/4293/6885/6947/79915/492/1663/7421/10188/84254/112858/5207/11183/8814/4486/7155/56339/9914/5984/5600/7443/83473/3656/4436/23303/29789/2731/80222/613/3326/79677/10693/9024/136332/343450/953/10525/84630/9401/6898/3480/204851/4998/8632/55229/5378/3800/374654/6199/7371"
