"","eigenvalue","variance.percent","cumulative.variance.percent"
"Dim.1",2238.25555974591,43.4950555722098,43.4950555722098
"Dim.2",520.031315236588,10.1055444080177,53.6005999802274
"Dim.3",362.136928813088,7.03725085140086,60.6378508316283
"Dim.4",240.199386315724,4.66769114488387,65.3055419765121
"Dim.5",216.350841043993,4.20425264368429,69.5097946201964
"Dim.6",190.373342239508,3.69944310609227,73.2092377262887
"Dim.7",179.65534368397,3.491164859774,76.7004025860627
"Dim.8",166.257957721948,3.23081923284003,79.9312218189027
"Dim.9",154.550313914114,3.00330963688523,82.934531455788
"Dim.10",136.82489377474,2.65885918722776,85.5933906430157
"Dim.11",104.532589480937,2.0313367563338,87.6247273993495
"Dim.12",99.6422334020353,1.93630457446629,89.5610319738158
"Dim.13",94.7054425718786,1.8403700460917,91.4014020199075
"Dim.14",92.132671238707,1.79037448967561,93.1917765095831
"Dim.15",84.5075848372877,1.64219947215872,94.8339759817418
"Dim.16",74.3511686860834,1.44483421465378,96.2788101963956
"Dim.17",72.5945426975307,1.41069845894929,97.6895086553449
"Dim.18",63.3887153470878,1.23180558389211,98.921314239237
"Dim.19",55.5091692488635,1.07868576076299,100
