"","eigenvalue","variance.percent","cumulative.variance.percent"
"Dim.1",5637.61926117115,21.8115033124585,21.8115033124585
"Dim.2",3450.16847631185,13.3484291264435,35.159932438902
"Dim.3",2126.20893961915,8.22613432746219,43.3860667663642
"Dim.4",2002.06609398894,7.74583547022454,51.1319022365888
"Dim.5",1597.31239242786,6.17987539144913,57.3117776280379
"Dim.6",1333.90535013905,5.1607743650677,62.4725519931056
"Dim.7",1229.21771551355,4.75574618142743,67.228298174533
"Dim.8",1134.24841723751,4.38831747296596,71.616615647499
"Dim.9",1001.34653893064,3.87413061063427,75.4907462581332
"Dim.10",876.301935775707,3.39034292481026,78.8810891829435
"Dim.11",787.59623223019,3.04714756927376,81.9282367522173
"Dim.12",769.177731574489,2.975887846073,84.9041245982903
"Dim.13",713.090172083759,2.75888951167934,87.6630141099696
"Dim.14",617.961921405935,2.39084582893928,90.0538599389089
"Dim.15",600.175298964983,2.32203079260643,92.3758907315153
"Dim.16",569.613813861245,2.20379082238266,94.579681553898
"Dim.17",516.544760556084,1.99847084983203,96.57815240373
"Dim.18",454.115378488909,1.75693650516079,98.3350889088908
"Dim.19",430.329569718998,1.66491109110921,100
