"","ID","Description","Count","GeneRatio","geneID"
"GO:0044464","GO:0044464","cell part",133,"133/157","8438/64756/348158/54988/10595/343/342357/146547/84706/3801/23491/23035/9914/9851/10462/645027/230/10693/729873/57125/22806/284110/85294/342510/3613/8174/682/10272/1675/2788/29128/79085/51257/11140/10715/23646/7040/284349/4924/64130/6689/79623/2948/56886/5378/6295/79980/7109/9609/129049/5435/27341/6529/6533/389114/2779/11073/8419/1962/57732/3083/10067/55286/56893/54502/10396/80157/55153/10144/115350/8470/133686/5734/9522/9555/134265/10318/3662/2162/51567/10590/10050/3006/629/6293/4172/5167/253769/85477/79027/7036/10466/136332/57509/8793/7994/157378/10171/90865/152007/10592/7295/84886/7739/3698/240/65217/23352/24138/8945/374354/10410/3481/5002/10612/163702/79703/5499/408/91544/7704/10163/79607/7450/83667/196374/9840/4035/65012/3895/7443/8925/60490"
"GO:0005622","GO:0005622","intracellular",118,"118/157","8438/64756/348158/54988/10595/342357/146547/84706/3801/23491/23035/9914/9851/230/10693/729873/57125/22806/284110/85294/3613/682/10272/1675/2788/29128/79085/51257/11140/10715/23646/7040/284349/4924/6689/79623/2948/56886/5378/6295/79980/7109/9609/129049/5435/27341/389114/2779/11073/8419/1962/57732/3083/10067/55286/56893/54502/10396/80157/55153/10144/8470/133686/5734/9522/9555/134265/10318/3662/2162/51567/10590/3006/6293/4172/5167/253769/85477/79027/7036/10466/136332/57509/7994/157378/10171/90865/152007/10592/7295/84886/7739/3698/240/23352/24138/8945/374354/10410/3481/5002/10612/79703/5499/408/91544/7704/10163/79607/7450/83667/196374/9840/4035/3895/7443/8925/60490"
"GO:0044424","GO:0044424","intracellular part",117,"117/157","8438/64756/348158/54988/10595/342357/146547/84706/3801/23491/23035/9914/9851/230/10693/729873/57125/22806/284110/85294/3613/682/10272/1675/2788/29128/79085/51257/11140/10715/23646/7040/284349/4924/6689/79623/2948/56886/5378/6295/79980/7109/9609/129049/5435/27341/389114/2779/11073/8419/1962/57732/3083/10067/55286/56893/54502/10396/80157/55153/10144/8470/133686/9522/9555/134265/10318/3662/2162/51567/10590/3006/6293/4172/5167/253769/85477/79027/7036/10466/136332/57509/7994/157378/10171/90865/152007/10592/7295/84886/7739/3698/240/23352/24138/8945/374354/10410/3481/5002/10612/79703/5499/408/91544/7704/10163/79607/7450/83667/196374/9840/4035/3895/7443/8925/60490"
"GO:0043227","GO:0043227","membrane-bounded organelle",106,"106/157","8438/64756/348158/54988/10595/342357/84706/3801/23491/23035/9914/230/729873/22806/342510/682/10272/1675/2788/29128/79085/51257/11140/10715/23646/7040/284349/4924/6689/79623/56886/5378/92747/79980/7109/9609/129049/5435/27341/389114/2779/11073/1962/57732/3083/10067/55286/56893/54502/10396/80157/55153/8470/133686/56477/9522/9555/10318/3662/2162/51567/10590/3006/629/6293/4172/5167/253769/85477/79027/7036/10466/136332/57509/7994/157378/10171/90865/152007/10592/7295/3698/240/65217/23352/24138/8945/374354/10410/3481/5002/10612/5499/408/7704/54827/10163/79607/7450/83667/196374/9840/4035/3895/7443/8925"
"GO:0043229","GO:0043229","intracellular organelle",104,"104/157","8438/64756/348158/54988/10595/342357/84706/3801/23491/23035/9914/9851/230/729873/22806/85294/682/10272/1675/29128/79085/51257/10715/23646/7040/284349/4924/6689/79623/56886/5378/79980/7109/9609/129049/5435/27341/389114/11073/8419/1962/57732/3083/10067/55286/56893/54502/10396/80157/55153/8470/133686/9522/9555/134265/10318/3662/2162/51567/10590/3006/6293/4172/5167/253769/85477/79027/7036/10466/136332/57509/7994/157378/10171/90865/152007/10592/7295/7739/3698/240/23352/24138/8945/374354/10410/3481/5002/10612/79703/5499/408/91544/7704/10163/79607/7450/83667/196374/9840/4035/3895/7443/8925"
"GO:0044422","GO:0044422","organelle part",88,"88/157","8438/348158/54988/10595/84706/3801/23491/23035/9914/9851/230/729873/22806/85294/682/10272/1675/29128/79085/51257/10715/23646/7040/4924/79623/56886/5378/6295/79980/7109/9609/129049/5435/27341/2779/11073/8419/1962/57732/55286/56893/10396/55153/8470/133686/9522/9555/134265/10318/3662/2162/51567/10590/3006/6293/4172/5167/253769/85477/79027/10466/136332/57509/7994/157378/10171/90865/152007/10592/3698/240/65217/23352/8945/374354/10410/3481/5002/5499/408/7704/79607/7450/196374/9840/4035/3895/7443"
"GO:0044446","GO:0044446","intracellular organelle part",84,"84/157","8438/348158/54988/10595/84706/3801/23491/9914/9851/230/729873/22806/85294/682/10272/1675/29128/79085/51257/10715/23646/7040/4924/79623/56886/5378/79980/7109/9609/129049/5435/27341/11073/8419/1962/57732/55286/56893/10396/55153/8470/133686/9522/9555/134265/10318/3662/2162/51567/10590/3006/6293/4172/5167/253769/85477/79027/10466/136332/57509/7994/157378/10171/90865/152007/10592/3698/240/23352/8945/374354/10410/3481/5002/5499/408/7704/79607/7450/196374/9840/4035/3895/7443"
"GO:0043233","GO:0043233","organelle lumen",51,"51/157","8438/348158/54988/84706/23491/230/22806/10272/1675/29128/7040/4924/56886/79980/5435/27341/11073/1962/55286/56893/55153/8470/133686/9555/10318/3662/2162/51567/3006/4172/253769/79027/10466/57509/7994/10171/90865/10592/3698/240/23352/8945/374354/3481/5499/408/7704/79607/7450/3895/7443"
"GO:0012505","GO:0012505","endomembrane system",50,"50/157","10595/3801/23491/9914/230/729873/682/10272/1675/51257/10715/23646/7040/4924/79623/56886/79980/7109/9609/129049/57732/3083/56893/10396/80157/9522/2162/10590/6293/10466/136332/57509/90865/152007/3698/240/23352/374354/10410/3481/5002/10612/408/10163/7450/9840/4035/3895/7443/8925"
"GO:0044425","GO:0044425","membrane part",49,"49/157","10595/343/23035/9914/10462/57125/342510/8174/682/2788/79085/51257/10715/23646/4924/64130/79623/7109/6529/6533/2779/10067/56893/10396/152519/80157/115350/8470/5734/9522/10050/5167/7036/8793/157378/646962/65217/219623/23352/24138/10410/5002/163702/408/9840/4035/65012/348013/3895"
"GO:0005886","GO:0005886","plasma membrane",44,"44/157","343/23035/10462/645027/729873/57125/22806/284110/342510/8174/682/2788/7040/64130/6529/6533/2779/8419/10396/115350/8470/5734/9522/10050/629/5167/85477/7036/57509/8793/157378/65217/23352/24138/10410/3481/5002/163702/5499/408/7704/4035/65012/3895"
"GO:0071944","GO:0071944","cell periphery",44,"44/157","343/23035/10462/645027/729873/57125/22806/284110/342510/8174/682/2788/7040/64130/6529/6533/2779/8419/10396/115350/8470/5734/9522/10050/629/5167/85477/7036/57509/8793/157378/65217/23352/24138/10410/3481/5002/163702/5499/408/7704/4035/65012/3895"
"GO:0044421","GO:0044421","extracellular region part",41,"41/157","146547/3801/23491/230/342510/284217/682/10272/1675/2788/11140/23646/7040/4924/2948/56886/92747/3083/10067/10396/56477/9555/2162/629/5167/85477/57509/90865/152007/10592/7295/3698/240/65217/10410/3481/5499/54827/10163/7450/196374"
