"","ID","Description","Count","GeneRatio","geneID"
"GO:0005515","GO:0005515","protein binding",94,"94/157","8438/64756/3801/23035/9914/9851/230/10693/729873/57125/22806/85294/284217/3613/8174/682/10272/29128/79085/51257/11140/23646/7040/4924/64130/2948/56886/6295/79980/7109/129049/27341/2779/11073/8419/1962/57732/10067/55286/56893/10396/8470/133686/5734/56477/9522/9555/134265/10318/3662/51567/3006/629/6293/4172/5167/253769/85477/79027/7036/10466/57509/8793/7994/90865/79817/152007/10592/7295/7739/240/23352/24138/8945/374354/10410/3481/5002/10612/163702/5499/408/91544/7704/10163/79607/7450/83667/9840/4035/3895/7443/8925/60490"
"GO:0043167","GO:0043167","ion binding",50,"50/157","8438/348158/54988/10595/342357/84706/3801/23035/9914/10693/22806/284110/3613/29128/79085/51257/284349/4924/79623/2948/5378/9609/6529/389114/2779/57732/10396/133686/221749/2162/51567/10590/4172/5167/85477/79027/136332/7994/79817/10592/7739/240/65217/23352/10612/5499/7704/83667/4035/7443"
"GO:0097159","GO:0097159","organic cyclic compound binding",42,"42/157","8438/348158/54988/10595/342357/84706/3801/9914/10693/22806/29128/284349/4924/6689/5378/9609/5435/27341/389114/2779/11073/54502/10396/8470/133686/9555/3662/51567/3006/4172/5167/79027/136332/7994/10592/7295/24138/408/7704/4035/3895/7443"
"GO:1901363","GO:1901363","heterocyclic compound binding",42,"42/157","8438/348158/54988/10595/342357/84706/3801/9914/10693/22806/29128/284349/4924/6689/5378/9609/5435/27341/389114/2779/11073/54502/10396/8470/133686/9555/3662/51567/3006/4172/5167/79027/136332/7994/10592/7295/24138/408/7704/4035/3895/7443"
"GO:0016740","GO:0016740","transferase activity",23,"23/157","348158/54988/10595/84706/55277/29128/51257/11140/10715/79623/2948/56886/5435/133686/3662/2162/136332/7994/23352/8945/10612/7443/8925"
"GO:0016787","GO:0016787","hydrolase activity",21,"21/157","8438/10595/146547/3801/23491/23035/9914/3613/1675/23646/5378/9609/2779/3083/10396/51567/629/4172/5167/10171/5499"
"GO:0036094","GO:0036094","small molecule binding",21,"21/157","8438/348158/54988/10595/84706/3801/9914/10693/682/29128/5378/9609/2779/10396/133686/4172/5167/136332/10592/83667/7443"
"GO:0140096","GO:0140096","catalytic activity, acting on a protein",18,"18/157","10595/146547/23035/1675/29128/51257/11140/79623/3083/3662/2162/629/23352/8945/10612/5499/7443/8925"
"GO:0097367","GO:0097367","carbohydrate derivative binding",18,"18/157","8438/348158/54988/10595/3801/9914/10693/5378/9609/2779/10396/133686/4172/5167/136332/10592/4035/7443"
"GO:0008144","GO:0008144","drug binding",16,"16/157","8438/348158/54988/10595/84706/3801/9914/10693/5378/10396/133686/4172/5167/136332/10592/7443"
"GO:0044877","GO:0044877","protein-containing complex binding",16,"16/157","645027/8174/10272/29128/2779/9555/5167/85477/7739/3481/5499/408/10163/7450/4035/7443"
"GO:0022857","GO:0022857","transmembrane transporter activity",13,"13/157","343/9914/682/79085/7109/6529/6533/10396/152519/10050/7036/5002/65012"
"GO:0030234","GO:0030234","enzyme regulator activity",11,"11/157","729873/11140/7040/6295/129049/10144/9555/3698/3481/408/83667"
"GO:0003700","GO:0003700","DNA binding transcription factor activity",8,"8/157","342357/22806/29128/284349/6689/3662/79027/7704"
"GO:0008289","GO:0008289","lipid binding",5,"5/157","284110/92747/57732/221749/85477"
"GO:0016491","GO:0016491","oxidoreductase activity",4,"4/157","1962/7295/240/83667"
"GO:0016874","GO:0016874","ligase activity",4,"4/157","348158/54988/10171/8945"
"GO:0140098","GO:0140098","catalytic activity, acting on RNA",4,"4/157","10595/5435/51567/10171"
"GO:0060089","GO:0060089","molecular transducer activity",4,"4/157","115350/5734/8793/163702"
"GO:0003682","GO:0003682","chromatin binding",4,"4/157","29128/9555/3006/7443"
"GO:0030246","GO:0030246","carbohydrate binding",4,"4/157","10462/682/79623/5167"
"GO:0030545","GO:0030545","receptor regulator activity",4,"4/157","7040/56477/90865/3481"
"GO:0016829","GO:0016829","lyase activity",3,"3/157","230/1962/60490"
"GO:0072341","GO:0072341","modified amino acid binding",3,"3/157","284110/2948/85477"
"GO:1901681","GO:1901681","sulfur compound binding",3,"3/157","2948/5167/4035"
"GO:0140097","GO:0140097","catalytic activity, acting on DNA",2,"2/157","8438/51567"
"GO:0005044","GO:0005044","scavenger receptor activity",2,"2/157","5167/4035"
"GO:0005200","GO:0005200","structural constituent of cytoskeleton",2,"2/157","8419/8470"
"GO:0005326","GO:0005326","neurotransmitter transporter activity",2,"2/157","6529/6533"
"GO:0008565","GO:0008565","protein transporter activity",2,"2/157","10693/4035"
"GO:0098631","GO:0098631","cell adhesion mediator activity",2,"2/157","8174/5499"
"GO:0048037","GO:0048037","cofactor binding",2,"2/157","84706/2948"
"GO:0060090","GO:0060090","molecular adaptor activity",2,"2/157","8470/408"
"GO:0005085","GO:0005085","guanyl-nucleotide exchange factor activity",2,"2/157","7109/8925"
"GO:0000988","GO:0000988","transcription factor activity, protein binding",2,"2/157","51567/7994"
"GO:0009975","GO:0009975","cyclase activity",1,"1/157","10171"
"GO:0016853","GO:0016853","isomerase activity",1,"1/157","1962"
"GO:0004998","GO:0004998","transferrin receptor activity",1,"1/157","7036"
"GO:0016964","GO:0016964","alpha-2 macroglobulin receptor activity",1,"1/157","4035"
"GO:0030226","GO:0030226","apolipoprotein receptor activity",1,"1/157","4035"
"GO:0030228","GO:0030228","lipoprotein particle receptor activity",1,"1/157","4035"
"GO:0098748","GO:0098748","endocytic adaptor activity",1,"1/157","408"
"GO:0005201","GO:0005201","extracellular matrix structural constituent",1,"1/157","284217"
"GO:0005212","GO:0005212","structural constituent of eye lens",1,"1/157","8419"
"GO:0008307","GO:0008307","structural constituent of muscle",1,"1/157","8470"
"GO:0005319","GO:0005319","lipid transporter activity",1,"1/157","10396"
