"t_id","g_id"
1,"MSTRG.50"
2,"MSTRG.51"
3,"MSTRG.51"
4,"MSTRG.51"
5,"MSTRG.51"
6,"MSTRG.51"
7,"MSTRG.51"
8,"MSTRG.51"
9,"MSTRG.51"
10,"MSTRG.51"
11,"MSTRG.51"
12,"MSTRG.51"
13,"MSTRG.51"
14,"MSTRG.51"
15,"MSTRG.51"
16,"MSTRG.51"
17,"MSTRG.51"
18,"MIR1302-2"
19,"MIR1302-9"
20,"MIR1302-10"
21,"MIR1302-11"
22,"FAM138A"
23,"FAM138F"
24,"FAM138C"
25,"OR4F5"
26,"MSTRG.7"
27,"MSTRG.8"
28,"MSTRG.9"
29,"MSTRG.10"
30,"MSTRG.11"
31,"OR4F29"
32,"OR4F3"
33,"OR4F16"
34,"LOC100132287"
35,"LOC100132062"
36,"MSTRG.76"
37,"MSTRG.76"
38,"MSTRG.76"
39,"MSTRG.76"
40,"MSTRG.77"
41,"MSTRG.76"
42,"MSTRG.77"
43,"MSTRG.76"
44,"MSTRG.76"
45,"MSTRG.76"
46,"MSTRG.76"
47,"MSTRG.76"
48,"MSTRG.76"
49,"MSTRG.76"
50,"MSTRG.77"
51,"MSTRG.76"
52,"MSTRG.77"
53,"MSTRG.76"
54,"MSTRG.76"
55,"MSTRG.76"
56,"MSTRG.76"
57,"MSTRG.77"
58,"MSTRG.76"
59,"MSTRG.76"
60,"MSTRG.76"
61,"MSTRG.76"
62,"MSTRG.76"
63,"MSTRG.76"
64,"MSTRG.76"
65,"MSTRG.76"
66,"MSTRG.77"
67,"MSTRG.77"
68,"MSTRG.77"
69,"MSTRG.76"
70,"MSTRG.77"
71,"MSTRG.77"
72,"MSTRG.76"
73,"MSTRG.77"
74,"MSTRG.76"
75,"MSTRG.76"
76,"MSTRG.76"
77,"MSTRG.76"
78,"MSTRG.77"
79,"MSTRG.76"
80,"MSTRG.76"
81,"MSTRG.76"
82,"MSTRG.76"
83,"MSTRG.76"
84,"MSTRG.76"
85,"MSTRG.76"
86,"MSTRG.77"
87,"MSTRG.77"
88,"LOC101928626"
89,"MIR6723"
90,"MSTRG.5"
91,"OR4F29"
92,"OR4F3"
93,"OR4F16"
94,"MSTRG.19"
95,"MSTRG.25"
96,"MSTRG.25"
97,"MSTRG.26"
98,"MSTRG.27"
99,"MSTRG.28"
100,"MSTRG.28"
101,"MSTRG.29"
102,"MSTRG.6"
103,"FAM87B"
104,"LINC00115"
105,"MSTRG.45"
106,"MSTRG.45"
107,"MSTRG.45"
108,"MSTRG.45"
109,"MSTRG.45"
110,"MSTRG.45"
111,"MSTRG.46"
112,"MSTRG.47"
113,"MSTRG.46"
114,"MSTRG.48"
115,"MSTRG.48"
116,"MSTRG.48"
117,"MSTRG.48"
118,"MSTRG.49"
