"SRR975587.metastasized_cancer","SRR975588.metastasized_cancer","SRR975589.metastasized_cancer","SRR975591.metastasized_cancer","SRR975593.metastasized_cancer","SRR975598.metastasized_cancer","SRR975599.metastasized_cancer","SRR975601.metastasized_cancer","SRR975603.metastasized_cancer","SRR975604.metastasized_cancer"
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0.001932,0.003082,0,0,0,0,0.008168,0.008717,0.003489
0,0,0,0,0,0,0,0,0,0
0,0.00280952639751553,0,0,0,0,0,0,0,0
0,0,0,0.0096794217603912,0,0.00694429910350448,0,0,0.00527211980440098,0.00815187408312958
0,0,0,0,0.00154563286805373,0,0,0.0092937961548591,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0.019777,0.007049,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.035144,0
0,0,0,0,0.0189090538190364,0,0,0,0.0129300808460635,0
0,0,0,0,0,0,0,0.011117,0.008812,0
0,0,0.0129732887526346,0,0.00810425905345852,0,0,0,0.00779482716995593,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.021099,0.005452,0.019432,0.031753,0.01808,0,0,0,0.027844,0.044212
0,0,0.01539,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.036502,0.01391,0,0.006682,0.007598,0.032462,0.022248,0.020554,0.006075,0
0,0,0,0.00869890502793296,0,0.00659964245810056,0,0.014367687150838,0,0
0.004586,0,0,0,0,0,0,0,0,0
0,0.0188211550210004,0,0,0,0,0,0,0,0
0.0142755080091533,0,0,0,0,0,0.00851401789057624,0,0,0
0,0,0,0,0,0,0,0.00324550446182659,0,0
0,0.00967112465940055,0.0232248317438692,0,0.0240127704359673,0.0255741280653951,0.0483943426430518,0,0.0109285354223433,0.0155671130790191
0,0,0,0,0.0273550190687361,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0.022038,0,0.0151225,0,0,0.030559,0,0.032227,0
0,0,0.007515,0,0,0,0,0,0,0
0.014805,0.027235,0.037246,0.088106,0.022876,0.008404,0.006161,0.004104,0.040552,0
0,0,0,0,0,0.008558,0,0,0,0
0,0.009246,0,0,0,0,0,0,0,0
0,0.038659,0,0.005675,0.009922,0,0,0,0,0
0,0.009376,0.001304,0,0.001161,0.007137,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.00338,0
0,0,0,0,0,0,0.003471,0,0,0
0.070157,0.18807,0.158852,0.222223,0.153974,0.023913,0.031877,0.103659,0.172865,0.067613
0,0,0,0,0,0,0,0,0,0.00833193707865169
0,0,0,0,0.043269,0,0,0,0,0.026722
0,0.008701,0,0,0,0.005623,0,0,0,0
0,0,0,0,0.009302,0,0.004455,0,0,0.000929
0.048594,0.018838,0.276688,0.064913,0.119923,0.025767,0.009113,0.013167,0.012013,0.011486
0.077126,0,0,0,0.016701,0,0,0.085297,0.010376,0
0.003843,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.00597447816593887,0
0,0,0,0,0,0.00370682256297919,0,0,0,0
0,0,0,0,0.01426,0,0,0,0,0
0,0,0.005914,0,0.00184,0,0,0,0,0
