"SRR975569.normal_colon","SRR975572.normal_colon","SRR975574.normal_colon","SRR975575.normal_colon","SRR975576.normal_colon","SRR975577.normal_colon","SRR975580.normal_colon","SRR975582.normal_colon","SRR975585.normal_colon","SRR975586.normal_colon"
0.027221,0,0,0.007782,0,0,0,0,0.009268,0
0,0.00314980789754536,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.010115,0
0,0,0,0,0,0,0,0,0,0.00353147683747412
0,0,0,0,0,0.00482039364303179,0,0,0,0
0,0.00186752067421649,0,0,0,0,0,0,0,0
0,0.023694,0,0,0.010004,0,0,0,0,0
0.006975,0,0,0,0,0,0.031865,0,0,0
0,0,0,0.040551,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0105283008239126,0,0,0
0,0,0,0,0,0.036439,0,0,0,0
0.0167344045248869,0.0275746479638009,0,0.0070900778280543,0.0171277981900453,0.00905817013574661,0,0.0181568036199095,0,0
0.013122,0.009537,0.005621,0.010493,0.021321,0.00436,0.007893,0,0,0.010255
0.029762,0,0,0,0,0.022149,0.069551,0,0,0
0,0,0,0,0,0,0,0,0,0.013547
0.023888,0.010291,0.011271,0.011097,0,0,0.005831,0.014907,0.020575,0.014208
0,0.0155151731843575,0,0,0,0,0.0289671955307263,0,0,0
0.009213,0.015182,0,0.009523,0,0,0,0,0,0
0,0.0144370504009164,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.00560938443935927,0
0,0,0,0,0,0,0,0,0,0
0.0114154311989101,0,0,0.008089439373297,0.00613120844686648,0,0.013426901226158,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0.012458,0,0,0,0,0,0
0,0,0.0214905,0.017502,0.01826,0,0.0205635,0.016275,0,0
0,0,0,0,0,0,0,0,0,0
0.051973,0,0.015452,0,0.060643,0,0.025317,0.052217,0,0
0,0,0,0.006835,0,0,0,0,0,0
0,0,0,0.009495,0.010334,0.006558,0,0,0,0.026563
0.039505,0.083104,0.009066,0.039756,0.017329,0.054715,0.025939,0.026888,0.022907,0.036659
0,0.004719,0,0,0.003573,0,0,0,0.000792,0
0,0,0,0,0,0,0,0.006584,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.145151,0.202271,0.107438,0.081267,0.034638,0.183861,0.027744,0.169284,0.096152,0
0,0,0,0,0,0,0,0,0,0
0,0.027036,0,0.036574,0,0.017589,0,0.017802,0.041458,0
0.009502,0,0,0,0,0,0,0,0,0
0,0,0.002792,0,0,0,0.004258,0,0,0
0.068258,0.010374,0.024234,0.027701,0.020002,0.007017,0.059408,0.020899,0.032734,0.045115
0.012922,0,0,0.012153,0,0,0,0.01402,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0128834492753623,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.046793,0,0,0.015328,0,0,0,0.018996,0,0
