"","eigenvalue","variance.percent","cumulative.variance.percent"
"Dim.1",2232.41663623158,41.6185055225874,41.6185055225874
"Dim.2",541.875999217955,10.1020879794548,51.7205935020422
"Dim.3",373.108388162023,6.95578650563056,58.6763800076727
"Dim.4",255.090937737761,4.75561032322449,63.4319903308972
"Dim.5",225.619474370496,4.20617961167964,67.6381699425769
"Dim.6",214.740152821638,4.00335855372182,71.6415284962987
"Dim.7",201.395366323877,3.75457431625424,75.3961028125529
"Dim.8",176.581821169916,3.29198026043841,78.6880830729913
"Dim.9",172.801650928014,3.22150728799431,81.9095903609856
"Dim.10",147.363575295803,2.7472702329568,84.6568605939424
"Dim.11",123.66915786103,2.30553985572391,86.9624004496663
"Dim.12",106.560482309504,1.98658617280955,88.9489866224759
"Dim.13",103.912860538007,1.9372270793812,90.8862137018571
"Dim.14",103.009055597255,1.92037762112705,92.8065913229841
"Dim.15",92.5929942643925,1.72619303252037,94.5327843555045
"Dim.16",83.7920212862691,1.56211821935625,96.0949025748607
"Dim.17",80.7528040134846,1.505458687798,97.6003612626588
"Dim.18",66.8294173580523,1.24588772106734,98.8462489837261
"Dim.19",61.8872045129331,1.15375101627392,100
