"","eigenvalue","variance.percent","cumulative.variance.percent"
"Dim.1",5980.44914724109,18.9434562788758,18.9434562788758
"Dim.2",3746.51352591181,11.8673219065943,30.8107781854701
"Dim.3",2456.87013244442,7.78229373596584,38.5930719214359
"Dim.4",2371.42670753141,7.51164620694144,46.1047181283773
"Dim.5",1917.65428039392,6.07429293757973,52.1790110659571
"Dim.6",1668.33421135051,5.28455562670419,57.4635666926613
"Dim.7",1568.86424984447,4.96947814331476,62.433044835976
"Dim.8",1443.70841195221,4.57303899889836,67.0060838348744
"Dim.9",1299.99830980773,4.11782803233363,71.123911867208
"Dim.10",1177.96723415804,3.73128677275272,74.8551986399607
"Dim.11",1102.78992912606,3.49315783695301,78.3483564769137
"Dim.12",1070.79293207674,3.39180529641034,81.7401617733241
"Dim.13",1038.38910845403,3.28916410660129,85.0293258799254
"Dim.14",927.648091223855,2.93838483124439,87.9677107111698
"Dim.15",851.329706282256,2.69664145163844,90.6643521628082
"Dim.16",818.10219477896,2.5913911776337,93.2557433404419
"Dim.17",772.82754728512,2.44798082763738,95.7037241680793
"Dim.18",709.050487804594,2.24596290086979,97.9496870689491
"Dim.19",647.283792332778,2.05031293105093,100
