"","ID","Description","Count","GeneRatio","geneID"
"GO:0050789","GO:0050789","regulation of biological process",487,"487/910","8929/79792/374462/57670/2064/1454/10554/7320/5923/3656/5538/79027/9655/80333/8832/79085/170690/6155/23532/408/9320/10318/51311/9518/80725/961/23098/4046/3191/1675/10272/5179/29091/94031/8532/23300/89790/92749/388324/5922/219931/55036/4318/54499/6199/10446/64147/2321/23071/1056/284217/8361/55210/10585/4358/5333/1258/9217/4193/9501/387733/27005/55037/3172/390649/9201/9923/25959/23192/1759/81545/153222/80315/3696/23303/6320/3910/26586/24138/8516/11145/8387/1397/6122/6494/152/55646/54443/9753/157378/7881/284349/1132/676/9145/26533/2719/11059/6949/3340/8850/6402/64786/23399/7277/23322/2645/9508/7626/6505/22897/347148/5734/79883/10763/10562/10643/9244/339345/117157/22926/167359/406984/79849/29953/2555/8938/57060/54941/9578/26974/6157/10363/57732/2296/94234/8793/4646/28959/343472/10752/1991/81035/5137/8811/8451/960/81858/6907/3899/660/140462/10411/25769/9668/7789/4293/3845/7520/148266/219287/205147/9491/55033/3595/317649/6692/5336/1501/6355/2077/23152/5813/3977/389114/84283/11240/54464/4584/3181/89887/7138/401258/653268/10461/1149/9887/9554/4853/2565/9649/10590/23266/11213/116449/5495/57709/4063/51284/51348/1870/6295/246330/23564/23035/92747/830/2001/55706/150290/115330/1646/9839/2887/257101/26037/27091/26747/64423/56999/10144/57451/6663/7620/1717/6456/5599/29128/7040/58524/4692/6019/51567/3020/57713/51332/23334/10509/650/256949/5563/4436/23349/155066/4635/6048/9886/10955/51804/9564/5314/84464/9734/8805/8925/94/55614/79618/5784/10927/2324/645432/3416/70/90427/2764/6906/2294/57018/55835/3993/7837/51393/2516/6775/8027/613/3320/5527/116931/143/120787/226/163/101927423/8741/8742/285852/1499/51465/124976/56893/1029/390445/10276/79754/9939/9103/55722/10871/2977/149603/10382/7292/84808/7673/152503/9982/148867/3683/85414/23466/8633/23504/353355/57568/84466/7466/4920/775/3662/57801/291/57549/3766/8744/1497/124997/25865/1265/112858/79862/10294/9869/152815/10626/161725/54476/4159/9879/6547/3752/5998/51289/22893/85477/6223/6648/10077/2651/7020/6594/64175/64135/4779/5972/8031/55553/728233/9604/6092/619279/1949/3006/2201/79801/84962/776/84312/284340/66036/93649/8821/2099/345557/57115/240/1993/4128/2162/79677/932/57708/3359/65986/2804/125919/54674/22931/55619/322/79171/8751/9397/23101/10919/388503/3326/9241/348980/49856/5576/10049/342908/1004/57498/11024/83463/171425/163702/5933/154810/7295/81793/6173/10333/3987/148252/4036/3066/8021/81033/57758/9204/94027/4826/342357/7456/85464/3552/6574/25924/3053/84959/9858/284352/799/3084/5366/9066/5119/7087/3685/25909/4140/11047/399664/8764/29947/5579/5522/51057/57057/85300/152831/23175/729956/27338/10715/3430/10493/2729/113146/151887/10159/10410/84299/22806/11183/916/5079/9555/256158/8645/8425/6507/10462/9534/147372/3183/545/6895/51162/9919/1001/4774/83715"
"GO:0050794","GO:0050794","regulation of cellular process",462,"462/910","8929/79792/374462/57670/2064/1454/10554/7320/5923/3656/5538/79027/9655/80333/8832/79085/170690/23532/408/9320/10318/51311/9518/80725/961/23098/4046/3191/10272/5179/29091/94031/8532/23300/92749/388324/5922/219931/55036/4318/54499/6199/10446/64147/2321/23071/1056/284217/8361/55210/10585/4358/5333/1258/9217/4193/9501/27005/55037/3172/390649/9201/9923/25959/1759/81545/153222/80315/3696/23303/6320/3910/26586/24138/8516/11145/8387/1397/6494/152/55646/54443/9753/7881/284349/1132/676/9145/26533/2719/11059/6949/3340/8850/64786/23399/7277/23322/2645/9508/7626/22897/347148/5734/79883/10763/10562/10643/9244/339345/22926/167359/406984/79849/29953/2555/8938/57060/54941/9578/26974/10363/57732/2296/94234/8793/4646/28959/343472/10752/1991/81035/5137/8811/8451/960/81858/6907/3899/660/140462/10411/25769/9668/7789/4293/3845/7520/148266/219287/205147/9491/55033/3595/317649/6692/5336/1501/6355/2077/23152/5813/3977/389114/11240/54464/4584/3181/89887/401258/653268/10461/1149/9887/9554/4853/2565/9649/10590/23266/11213/116449/5495/57709/51284/51348/1870/6295/246330/23564/23035/92747/830/2001/55706/150290/115330/1646/9839/2887/257101/26037/27091/26747/64423/56999/10144/57451/6663/7620/1717/6456/5599/29128/7040/58524/4692/6019/51567/3020/57713/51332/23334/10509/650/256949/5563/4436/23349/155066/6048/9886/10955/51804/9564/5314/84464/9734/8805/8925/94/55614/79618/5784/10927/2324/645432/3416/70/90427/2764/6906/2294/57018/55835/3993/7837/51393/2516/6775/8027/613/3320/5527/116931/143/120787/226/163/101927423/8741/8742/285852/1499/51465/124976/56893/1029/390445/10276/79754/9939/9103/55722/10871/2977/149603/10382/7292/84808/7673/152503/9982/148867/3683/85414/23466/8633/23504/353355/57568/84466/7466/4920/775/3662/57801/291/57549/3766/8744/1497/124997/25865/1265/112858/79862/10294/9869/152815/10626/161725/4159/6547/5998/51289/22893/85477/6223/6648/10077/2651/7020/6594/64175/64135/4779/5972/8031/55553/728233/9604/6092/619279/1949/3006/2201/79801/84962/776/84312/284340/66036/93649/8821/2099/345557/57115/240/1993/4128/2162/79677/932/57708/3359/65986/2804/125919/54674/22931/55619/322/79171/8751/9397/23101/10919/388503/3326/9241/49856/5576/10049/342908/1004/57498/11024/83463/171425/163702/5933/154810/7295/81793/10333/3987/148252/4036/3066/8021/57758/9204/94027/4826/342357/7456/85464/3552/6574/25924/3053/84959/9858/284352/799/3084/5366/9066/5119/3685/25909/4140/11047/399664/8764/29947/5579/5522/51057/57057/85300/152831/23175/729956/27338/10715/3430/10493/2729/113146/10159/10410/84299/22806/11183/916/5079/9555/256158/8425/6507/10462/9534/147372/3183/545/6895/51162/1001/4774/83715"
"GO:0071704","GO:0071704","organic substance metabolic process",443,"443/910","8929/153527/2346/374462/249/57670/2064/5129/1454/80335/10554/54905/7320/5923/3656/5538/79027/9655/79085/6392/170690/6155/23532/408/9320/10318/51311/9518/80725/3191/1675/10272/5179/94031/8532/23300/388324/5922/4318/6199/26095/2321/23071/1056/8361/10585/5333/55349/203074/9790/92483/9217/4193/10799/27005/55037/6947/3172/9201/9923/25959/23192/1759/153222/80315/3696/5980/26586/55794/8516/11145/64841/9885/6122/152/55646/9753/66002/284349/676/2719/11059/64708/6949/3340/8850/10893/91833/23399/2645/9154/130507/9508/7626/541466/22897/375743/5734/79883/9718/10643/9244/339345/22926/167359/3614/406984/79849/29953/57060/54941/9578/26974/6157/10363/57732/2296/94234/8793/953/4646/343472/8732/1991/51585/8972/8811/8451/960/81858/124739/6907/3899/660/140462/2187/10411/9668/7789/4293/3845/7520/148266/57733/9491/55033/3595/6799/317649/27109/6692/5336/79623/1501/6355/2077/23152/5813/1582/389114/196463/23352/11240/6390/54464/4584/3181/89887/4322/10461/79877/1149/9887/9554/4853/5009/55775/11213/400566/5495/51284/1870/6295/246330/10072/23564/23035/2001/55706/150290/1646/9839/257101/27091/4439/230/3004/26747/56999/57451/6663/7620/9469/1717/6456/5599/646625/55967/29128/7358/7040/58524/4692/6019/51567/3020/134111/57713/51332/2731/650/6533/5563/4436/6048/29789/80222/10955/51804/80157/5314/84464/9734/8805/8925/94/114792/55614/79618/5784/2166/10927/2324/8859/3416/70/2764/6906/2294/54853/57018/55699/283848/29800/2516/6775/8344/8346/8027/613/3320/5527/116931/143/54093/226/163/101927423/8741/8742/1499/51465/124976/56893/1029/79754/92949/28987/9939/51257/55599/2977/27443/55139/149603/7292/84808/339451/7673/152503/85414/23466/353355/7466/56001/4920/3662/57801/1497/124997/25865/112858/79862/84706/9869/2326/152815/10626/161725/5549/56985/54476/6898/4159/9879/2595/5998/4191/643418/22893/10004/6223/6648/2651/7020/6594/64175/64135/4779/5972/8031/55553/728233/9604/619279/3006/6568/84962/84312/284340/66036/93649/8821/2099/345557/57115/240/1993/4128/2162/79677/57478/57708/65986/2804/125919/322/79171/8751/9397/10919/388503/140766/3326/9241/5576/8492/10049/342908/57498/2813/5378/83463/171425/5933/7295/6173/10333/3704/3987/5122/4036/3066/8021/2766/8266/9204/7384/4826/54965/342357/85464/3552/4172/3053/221687/84959/9858/284352/799/84750/3084/5366/84002/5119/3685/25909/6439/4140/11047/399664/29947/5579/5522/57057/85300/152831/23175/8824/27338/10715/339983/140838/10250/54898/2729/113146/10159/22806/11183/916/5079/9555/8425/6507/9534/147372/4809/3183/545/6895/1001/4774"
"GO:0044237","GO:0044237","cellular metabolic process",439,"439/910","8929/153527/2346/374462/9342/249/57670/2064/5129/1454/80335/10554/54905/7320/5923/3656/5538/79027/9655/79085/6392/6155/23532/408/9320/10318/51311/9518/80725/3191/10272/5179/94031/8532/23300/388324/5922/219931/4318/6199/26095/2321/23071/1056/8361/10585/4358/5333/55349/9790/92483/9217/4193/10799/27005/55037/6947/3172/9201/9923/25959/23192/1759/153222/80315/3696/5980/26586/55794/8516/11145/64841/9885/6122/152/55646/9753/66002/284349/676/2719/11059/64708/6949/3340/8850/91833/23399/136332/2645/9154/130507/7626/541466/22897/375743/5734/79883/9718/10643/9244/339345/22926/167359/3614/406984/79849/29953/57060/54941/9578/26974/6157/10363/57732/2296/94234/8793/953/4646/343472/8732/1991/51585/8972/8811/8451/960/81858/124739/6907/3899/660/140462/2187/10411/9668/7789/4293/3845/7520/148266/57733/9491/55033/3595/6799/317649/27109/6692/5336/79623/1501/6355/2077/23152/5813/1582/389114/23352/11240/6390/54464/4584/3181/89887/4322/10461/79877/1149/9887/9554/4853/5009/55775/80224/84064/11213/400566/5495/57709/51284/1870/6295/246330/23564/23035/2001/55706/150290/1646/9839/2887/257101/27091/4439/230/26747/56999/57451/6663/7620/9469/6456/5599/646625/55967/29128/7358/7040/58524/4692/6019/51567/3020/134111/57713/51332/23334/2731/650/6533/5563/4436/155066/6048/29789/80222/10955/51804/80157/5314/84464/9734/8805/8925/94/114792/55614/79618/5784/2166/10927/2324/8859/3416/90427/2764/6906/2294/54853/57018/55699/7837/29800/2516/6775/8344/8346/8027/613/3320/5527/116931/143/54093/226/163/101927423/8741/1499/51465/124976/56893/1029/79754/92949/28987/9939/51257/55599/2977/27443/55139/149603/7292/84808/339451/7673/152503/85414/23466/23504/353355/7466/4920/3662/57801/291/1497/124997/25865/112858/79862/84706/9869/2326/152815/10626/161725/5549/56985/54476/6898/9879/2595/5998/4191/22893/6223/6648/2651/7020/6594/64175/64135/4779/5972/8031/55553/728233/9604/619279/3006/6568/10050/84962/84312/284340/66036/93649/8821/2099/240/1993/4128/2162/79677/57478/57708/65986/2804/125919/322/79171/9397/23230/10919/388503/3326/9241/5576/10049/342908/57498/2813/5378/83463/171425/5933/7295/6173/10333/3704/3987/5122/4036/3066/8021/2766/8266/9204/7384/4826/54965/342357/85464/3552/6574/4172/3053/221687/84959/9858/284352/799/84750/3084/5366/84002/5119/3685/25909/6439/4140/11047/399664/29947/5579/5522/57057/85300/152831/23175/8824/27338/10715/339983/140838/10250/54898/2729/113146/6649/10159/22806/11183/916/5079/9555/6507/9534/147372/4809/3183/545/6895/1001/4774"
"GO:0044238","GO:0044238","primary metabolic process",428,"428/910","8929/153527/2346/374462/249/57670/2064/5129/1454/80335/10554/54905/7320/5923/3656/5538/79027/9655/79085/6392/170690/6155/23532/408/9320/10318/51311/9518/80725/3191/1675/10272/5179/94031/8532/23300/388324/5922/4318/6199/26095/2321/23071/1056/8361/10585/5333/203074/9790/92483/9217/4193/10799/27005/55037/3172/9201/9923/25959/23192/153222/80315/3696/5980/26586/55794/8516/11145/64841/9885/6122/152/55646/9753/66002/284349/676/2719/11059/64708/6949/3340/8850/10893/91833/23399/2645/9154/130507/9508/7626/541466/22897/375743/5734/79883/9718/10643/9244/339345/22926/167359/3614/406984/79849/29953/57060/54941/9578/26974/6157/10363/57732/2296/94234/8793/953/4646/343472/8732/1991/51585/8972/8811/8451/960/81858/124739/6907/3899/660/140462/2187/10411/9668/7789/4293/3845/7520/148266/57733/9491/55033/3595/6799/317649/27109/6692/5336/79623/1501/6355/2077/23152/5813/1582/389114/196463/23352/11240/6390/54464/4584/3181/89887/4322/10461/79877/1149/9887/9554/4853/5009/55775/11213/400566/5495/51284/1870/6295/246330/10072/23564/23035/2001/55706/150290/1646/9839/257101/4439/230/3004/26747/56999/57451/6663/7620/9469/1717/5599/646625/55967/29128/7358/7040/58524/4692/6019/51567/3020/134111/57713/51332/2731/650/6533/5563/4436/6048/29789/80222/10955/51804/80157/5314/84464/9734/8805/8925/94/114792/79618/5784/2166/10927/2324/8859/3416/2764/6906/2294/54853/57018/55699/283848/29800/2516/6775/8344/8346/8027/613/3320/5527/116931/143/54093/226/163/101927423/8741/8742/1499/51465/124976/56893/1029/79754/92949/28987/9939/51257/55599/2977/27443/55139/149603/7292/84808/339451/7673/152503/85414/23466/353355/7466/4920/3662/57801/1497/124997/25865/112858/79862/84706/9869/2326/152815/10626/161725/56985/54476/6898/9879/2595/5998/4191/643418/22893/10004/6223/6648/2651/7020/6594/64175/64135/4779/5972/8031/55553/728233/9604/619279/3006/84962/84312/284340/66036/93649/8821/2099/345557/240/1993/2162/79677/57478/57708/65986/2804/125919/322/79171/8751/9397/10919/388503/140766/3326/9241/5576/8492/10049/342908/57498/2813/5378/83463/5933/7295/6173/10333/3704/3987/5122/4036/3066/8021/2766/8266/9204/7384/4826/54965/342357/85464/3552/4172/3053/221687/84959/9858/284352/799/84750/3084/5366/84002/5119/3685/25909/6439/4140/11047/399664/29947/5579/5522/57057/85300/152831/23175/8824/27338/10715/339983/140838/10250/54898/2729/113146/10159/22806/11183/916/5079/9555/8425/6507/9534/147372/4809/3183/545/6895/4774"
"GO:0006807","GO:0006807","nitrogen compound metabolic process",411,"411/910","8929/153527/2346/374462/249/57670/2064/5129/1454/80335/7320/5923/3656/5538/79027/9655/79085/6392/170690/6155/23532/408/9320/10318/51311/9518/80725/3191/1675/10272/5179/94031/8532/23300/388324/5922/4318/6199/26095/2321/23071/1056/8361/10585/55349/203074/9790/9217/4193/10799/27005/55037/6947/3172/9201/9923/25959/23192/153222/80315/3696/5980/26586/55794/8516/11145/64841/6122/152/55646/9753/284349/676/2719/11059/64708/6949/3340/8850/10893/91833/23399/2645/9154/130507/9508/7626/541466/22897/375743/5734/79883/9718/10643/9244/339345/22926/167359/3614/406984/79849/29953/57060/54941/9578/26974/6157/10363/57732/2296/94234/8793/953/4646/343472/8732/1991/51585/8811/8451/960/81858/124739/6907/3899/660/140462/2187/10411/9668/7789/4293/3845/7520/148266/57733/9491/55033/3595/6799/317649/27109/6692/79623/1501/6355/2077/23152/5813/389114/23352/11240/54464/4584/3181/89887/4322/10461/79877/1149/9887/9554/4853/5009/55775/11213/400566/5495/51284/1870/6295/246330/10072/23564/23035/2001/55706/150290/1646/9839/257101/4439/230/3004/26747/56999/57451/6663/7620/9469/5599/646625/55967/29128/7358/7040/58524/4692/6019/51567/3020/134111/57713/51332/2731/650/6533/5563/4436/6048/29789/80222/10955/51804/80157/5314/84464/9734/8805/8925/94/114792/79618/5784/10927/2324/8859/3416/2764/6906/2294/54853/57018/55699/29800/2516/6775/8344/8346/8027/613/3320/5527/116931/143/54093/226/163/101927423/8741/8742/1499/51465/124976/56893/1029/79754/92949/28987/9939/51257/55599/2977/27443/55139/149603/7292/84808/339451/7673/152503/23466/353355/7466/4920/3662/57801/1497/124997/25865/112858/79862/84706/9869/2326/152815/10626/161725/5549/56985/54476/6898/9879/5998/4191/22893/10004/6223/6648/2651/7020/6594/64175/64135/4779/5972/8031/55553/9604/619279/3006/6568/84962/84312/284340/93649/2099/57115/1993/4128/2162/79677/57478/57708/65986/2804/125919/322/79171/8751/9397/10919/388503/140766/3326/9241/5576/8492/10049/342908/57498/2813/5378/83463/171425/5933/7295/6173/10333/3704/3987/5122/4036/3066/8021/2766/8266/9204/7384/4826/54965/342357/85464/3552/4172/3053/221687/84959/9858/284352/799/84750/3084/5366/84002/5119/3685/25909/6439/4140/11047/399664/29947/5579/5522/57057/85300/152831/23175/27338/10715/339983/10250/54898/2729/113146/10159/22806/11183/916/5079/9555/8425/6507/9534/147372/4809/3183/545/6895/4774"
"GO:0051716","GO:0051716","cellular response to stimulus",336,"336/910","8929/79792/249/2064/1454/10554/54905/7320/5923/3656/9655/79085/23532/408/9320/10318/51311/9518/961/23098/4046/10272/5179/94031/8532/23300/388324/5922/219931/4318/54499/6199/10446/26095/2321/23071/284217/8361/10585/4358/5333/1258/9217/4193/9501/3172/390649/9201/9923/25959/1759/153222/80315/3696/23303/6320/5980/24138/8516/8387/64841/6122/6494/152/1132/9145/26533/2719/11059/64708/3340/8850/57095/23399/23322/2645/9508/22897/347148/5734/79883/9244/22926/167359/79849/29953/2555/8938/57060/54941/9578/57732/2296/8793/4646/10752/1991/81035/5137/8811/8451/960/81858/124739/6907/660/140462/2187/10411/4293/3845/7520/219287/205147/9491/55033/3595/6799/6692/5336/1501/6355/3977/11240/54464/4584/3181/401258/653268/10461/1149/4853/55775/343/2565/9649/23266/11213/116449/5495/51284/51348/1870/6295/246330/23564/23035/92747/55706/150290/115330/1646/9839/2887/26037/27091/4439/10144/57451/6663/6456/5599/29128/7040/4692/6019/51567/51332/23334/2731/51411/10509/650/5563/4436/23349/155066/6048/9886/10955/9564/5314/84464/9734/8805/94/55614/5784/10927/2324/645432/3416/90427/2764/2294/55835/3993/7837/2516/6775/8027/613/3320/5527/143/120787/163/8741/8742/285852/1499/51465/124976/1029/390445/10276/79754/9103/10871/2977/55139/7292/9982/3683/8633/57568/7466/4920/775/3662/8744/25865/1265/112858/9869/2326/10626/161725/4159/6547/5998/51289/6223/6648/10077/2651/7020/64135/4779/5972/8031/55553/728233/9604/6092/1949/2201/79801/84962/776/284340/93649/8821/2099/345557/57115/240/4128/2162/286133/79677/57708/3359/22931/55619/322/8751/9397/23101/10919/3326/9241/348980/5576/10049/1004/57498/11024/5378/163702/5933/154810/7295/81793/10333/3987/148252/4036/3066/8021/57758/94027/7456/3552/6574/84959/799/3084/5366/3685/4140/8764/5579/51057/57057/152831/2706/23175/8824/729956/10715/3430/2729/6649/10159/10410/11183/916/5079/8425/10462/147372/545/6895/51162/1001"
"GO:0016043","GO:0016043","cellular component organization",308,"308/910","8929/79792/9342/6891/2064/1454/80335/7320/5923/5538/170690/9074/728498/408/9320/9518/80725/961/23098/29091/94031/23300/92749/25914/219931/55036/4318/10446/64147/1056/284217/8361/55210/10585/4358/1258/9217/4193/27005/55037/3172/9201/25959/23192/1759/81545/3696/23303/1008/3910/26586/55794/8516/11145/6122/6494/55646/54443/676/9145/2719/64708/8850/644096/64786/23399/136332/7277/64151/23322/9508/6505/22897/5734/10763/10562/339345/9578/5375/10363/2296/91782/343472/10752/1991/81035/8811/8451/960/7109/81858/6907/10411/3845/7520/27109/6692/57453/5336/1501/5813/28316/9117/11240/54464/3181/7138/4322/10461/1149/9887/9554/5009/273/80224/219844/11213/1767/112574/830/55706/9839/29070/2887/26037/27091/4439/26747/64423/56999/57451/6456/5599/10904/55967/29128/23277/7040/4692/3801/80036/3020/51332/23334/51411/60684/10509/51678/256949/5563/4436/155066/9144/6048/9886/51804/9564/5314/84464/9734/8925/94/79618/10927/4676/3416/70/90427/2764/2294/55835/57465/3993/7837/51393/134266/8344/8346/8027/613/3320/226/163/1499/79895/405754/56893/1029/10276/55722/27443/1828/10382/339451/127733/152503/3683/23466/8633/84466/79414/3662/291/57549/124997/25865/1265/56129/9869/10626/5549/3752/22893/55153/196383/85477/6223/6648/10077/6594/64175/55553/728233/1058/6092/1949/10579/3006/2201/84962/84312/93649/2099/83473/286133/79677/57708/2804/56123/56124/54674/9080/22931/55619/322/8751/10919/140766/3326/9241/348980/49856/10049/1004/57498/171425/5933/154810/10333/3704/3987/4036/3066/8021/8266/84570/10469/9204/7456/85464/3552/3084/5366/9066/5119/7087/3685/25909/4140/11047/29947/5579/51057/57057/85300/2706/23175/729956/27338/10493/85301/2729/113146/151887/84299/916/5079/9555/8425/6507/4809/3183/545/6895/9919/1001/4774/83715"
"GO:0007154","GO:0007154","cell communication",306,"306/910","79792/9342/2064/1454/10554/7320/5923/3656/5538/9655/23532/408/10318/51311/9518/961/23098/4046/10272/5179/94031/8532/388324/5922/219931/4318/54499/6199/10446/2321/1056/284217/5333/1258/55327/9217/4193/9501/3172/390649/9201/25959/1759/153222/80315/3696/23303/6320/24138/8516/8387/6494/152/1132/9145/26533/2719/11059/3340/8850/23399/23322/2645/9508/6505/347148/5734/79883/158326/9244/22926/167359/79849/29953/2555/8938/57060/54941/9578/57732/2296/8793/4646/10752/1991/81035/5137/8811/8451/960/81858/6907/660/140462/10411/25769/4293/3845/219287/205147/9751/9491/55033/3595/5336/1501/6355/3977/11240/4584/3181/401258/653268/10461/1149/4853/2565/9649/10590/273/23266/11213/116449/5495/51284/51348/1870/6295/246330/23564/23035/92747/150290/115330/1646/9839/2887/26037/27091/10144/57451/6663/6456/5599/7040/58524/4692/6019/51567/51332/23334/10509/650/946/5563/4436/23349/155066/9886/10955/9564/5314/8805/94/55614/10927/2324/645432/3416/90427/2764/2294/55835/3993/7837/2516/6775/8027/613/3320/5527/120787/163/8741/8742/285852/1499/124976/1029/390445/10276/79754/9103/10871/2977/7292/9982/3683/8633/23504/57568/7466/4920/775/3662/291/3766/8744/25865/1265/56129/112858/9869/10626/161725/4159/6547/5998/51289/6648/10077/2651/64135/5972/8031/728233/9604/6092/1949/2201/79801/84962/776/284340/93649/8821/2099/345557/57115/240/4128/2162/57708/3359/56123/56124/22931/55619/322/8751/9397/23101/10919/3326/9241/5576/1004/57498/11024/163702/154810/7295/81793/10333/3987/5122/148252/4036/3066/57758/94027/4826/7456/3552/6574/25924/84959/799/3084/5366/9066/3685/4140/8764/5579/51057/57057/152831/2706/729956/3430/2729/113146/79608/10159/10410/11183/916/5079/8425/6507/10462/147372/545/51162/1001"
"GO:0019222","GO:0019222","regulation of metabolic process",284,"284/910","8929/57670/2064/1454/10554/7320/3656/79027/9655/79085/6155/23532/408/9320/10318/51311/9518/80725/3191/10272/94031/23300/388324/219931/4318/6199/2321/8361/10585/4358/9217/4193/27005/55037/3172/9923/25959/23192/153222/80315/3696/26586/8516/6122/152/55646/9753/284349/676/2719/11059/6949/3340/8850/23399/2645/7626/79883/10643/9244/339345/22926/406984/79849/57060/54941/26974/6157/10363/57732/2296/94234/8793/4646/343472/1991/8811/8451/960/6907/3899/140462/10411/9668/7789/4293/3845/7520/148266/9491/317649/6692/5336/1501/6355/2077/23152/5813/389114/11240/54464/3181/89887/10461/1149/9887/9554/4853/11213/57709/51284/1870/6295/23564/2001/55706/150290/9839/2887/257101/26747/57451/6663/7620/1717/6456/5599/29128/7040/58524/4692/6019/51567/3020/57713/23334/650/5563/4436/155066/6048/51804/5314/84464/9734/8805/8925/94/55614/79618/5784/10927/2324/3416/70/90427/2764/6906/2294/57018/2516/6775/613/3320/5527/116931/143/101927423/8741/8742/1499/51465/56893/1029/9939/2977/149603/7292/84808/7673/152503/85414/23466/23504/353355/7466/4920/3662/57801/1497/124997/25865/79862/9869/152815/10626/4159/9879/5998/22893/6223/6648/2651/7020/6594/64175/4779/5972/8031/55553/9604/619279/3006/84962/84312/284340/66036/93649/2099/1993/57708/65986/2804/125919/322/79171/10919/388503/3326/9241/5576/10049/342908/57498/83463/171425/5933/7295/6173/10333/3987/4036/3066/8021/9204/342357/3552/3053/84959/9858/284352/799/3084/5366/5119/3685/25909/11047/399664/29947/5579/5522/57057/85300/152831/23175/27338/10715/2729/113146/10159/22806/11183/916/5079/9555/8425/9534/147372/3183/545/6895/1001/4774"
