"","ID","Description","Count","GeneRatio","geneID"
"GO:0044464","GO:0044464","cell part",694,"694/910","8929/79792/153527/23117/2346/9342/6891/249/57670/340120/2064/5129/1454/80335/10554/54905/7320/5923/3656/5538/79027/9655/80333/83538/8832/79085/6392/9074/6155/23532/728498/408/9320/10318/51311/9518/80725/961/23098/4046/3191/1675/10272/5179/29091/54946/8532/23300/645027/89790/92749/25914/388324/387700/5922/219931/55036/4318/54499/6199/26095/64147/2321/23071/1056/124460/80852/8361/339453/55210/10585/4358/54020/5333/55349/203859/203074/9790/1258/55327/1059/92483/9217/53919/4193/9501/10799/6338/387733/27005/55037/6947/3172/390649/9201/9923/25959/23192/1759/81545/153222/80315/3696/23303/6320/1008/5980/26586/24138/55794/8516/387755/11145/8387/64841/1397/9885/6122/6494/152/55646/54443/54749/9753/157378/7881/66002/284349/1132/676/91056/606293/9145/26533/2719/11059/64708/6949/3340/8850/644096/6402/64786/57095/10893/91833/23399/136332/7277/64151/23322/2645/9154/130507/7626/541466/6505/22897/375743/138255/5734/79883/10763/10562/9718/10643/9244/339345/81492/117157/22926/167359/146556/3614/79849/29953/2555/26157/8938/57060/54941/57125/9578/5375/26974/6157/10363/57732/2296/94234/91782/8793/953/4646/28959/343472/10752/8732/1991/81035/5137/51585/8972/8811/8451/960/55652/7109/81858/124739/6907/3899/660/140462/2187/10411/25769/9668/7789/4293/3845/7520/148266/57733/219287/205147/9751/9491/55033/3595/6799/317649/27109/6692/57453/5336/79623/1501/2077/23152/5813/3977/28316/1582/389114/9117/196463/84283/23352/11240/6390/54464/4584/3181/89887/7138/401258/653268/8214/56905/10461/84910/79877/113829/1149/9887/11309/9554/4853/5009/55775/343/2565/9649/10590/273/80224/219844/84886/9931/11213/55776/1767/8988/112574/154664/116449/5495/57709/4063/51284/51348/1870/6295/246330/10072/23564/10123/23035/830/2001/55706/150290/115330/1646/9839/29070/2887/257101/26037/27091/387775/4439/230/26747/64423/56999/10144/57451/6663/7620/9469/1717/6456/5599/79961/646625/55967/22989/29128/7358/23277/7040/58524/4692/3801/253769/80036/51567/3020/134111/57713/51332/23334/2731/51411/60684/10509/650/51678/256949/127495/946/6533/5563/4436/55262/155066/9144/4635/6048/29789/80222/9886/10955/51804/80157/9564/389396/5314/84464/9734/8805/8925/94/114792/50626/55614/79618/5784/2166/284110/10927/2324/8859/5002/4676/3416/70/90427/2764/2294/54853/57018/55835/55699/57465/3993/7837/51393/134265/134266/29800/2516/51305/6775/8344/8346/8027/613/79029/3320/5527/116931/143/54093/120787/226/163/101927423/8741/8742/285852/222642/1499/256691/79895/405754/51465/124976/56893/1029/390445/10276/79754/92949/28987/9939/9103/51257/55599/55722/10871/2977/27443/1828/55139/149603/10382/90203/7292/84808/339451/127733/6731/7673/152503/9982/148867/3683/85414/23466/8633/23504/353355/84466/7466/79414/56001/4920/775/3662/2512/57801/291/57549/3766/8744/1497/124997/25865/1265/56129/112858/79710/79862/84706/10294/9869/2326/152815/10626/161725/5549/56985/54476/6898/4159/9879/154661/6547/3752/5998/4191/51289/22893/10004/55153/196383/85477/6223/6648/10077/2651/7020/6594/64175/64135/4779/5972/8031/55553/728233/55286/768211/9604/1058/10466/6092/619279/1949/10579/3006/6568/10050/79801/84962/401024/776/84312/66036/93649/8821/2099/345557/83473/57115/240/1993/4128/2162/286133/79677/57478/932/57708/3359/65986/2804/56123/56124/125919/9080/22931/55619/322/79171/8751/9397/23230/10919/3326/348980/49856/127262/5576/8492/10049/342908/23431/1004/57498/11024/2813/5378/83463/171425/163702/5933/154810/7295/81793/6173/10333/3704/3987/5122/148252/4036/3066/8021/79981/81033/2766/8266/84570/10469/57758/9204/7384/94027/4826/54965/342357/7456/85464/3552/6574/4172/25924/3053/221687/84959/9858/799/84750/3084/5366/9066/84002/5119/7087/3685/25909/6439/4140/11047/399664/65012/8764/29947/5579/6286/5522/51057/57057/85300/152831/2706/23175/151473/81789/8824/729956/27338/10715/339983/140838/3430/10493/3887/10250/85301/54898/2729/113146/79608/6649/10159/338707/10410/728888/84299/22806/11183/916/5079/9555/256158/92181/8645/6507/10462/9534/4809/3183/545/6895/196374/51162/9919/1001/4774/83715"
"GO:0005622","GO:0005622","intracellular",603,"603/910","8929/79792/153527/23117/2346/9342/6891/340120/2064/5129/1454/80335/10554/54905/7320/5923/3656/5538/79027/9655/80333/83538/79085/6392/6155/23532/728498/408/9320/10318/51311/9518/80725/961/23098/4046/3191/1675/10272/5179/29091/8532/23300/92749/25914/388324/5922/219931/55036/4318/54499/6199/26095/64147/2321/23071/1056/124460/80852/8361/55210/10585/4358/54020/5333/55349/203859/203074/9790/1258/55327/1059/92483/9217/4193/9501/10799/6338/27005/55037/6947/3172/9201/9923/25959/23192/1759/81545/153222/80315/23303/6320/5980/26586/24138/55794/8516/387755/11145/64841/1397/9885/6122/6494/152/55646/54443/54749/9753/157378/7881/66002/284349/676/91056/606293/9145/2719/11059/64708/6949/3340/8850/644096/6402/64786/57095/10893/91833/23399/136332/7277/64151/23322/2645/130507/7626/541466/22897/375743/138255/5734/79883/10763/10562/9718/10643/9244/339345/81492/117157/22926/167359/146556/3614/79849/29953/2555/26157/8938/57060/54941/57125/9578/5375/26974/6157/10363/57732/2296/94234/91782/4646/28959/343472/8732/1991/81035/5137/51585/8972/8811/8451/960/55652/7109/81858/124739/6907/3899/660/140462/2187/10411/9668/7789/4293/3845/7520/148266/57733/9751/9491/55033/6799/317649/27109/5336/79623/1501/2077/23152/5813/1582/389114/9117/196463/84283/23352/11240/6390/54464/4584/3181/89887/7138/401258/653268/8214/56905/10461/84910/79877/113829/1149/9887/9554/4853/5009/55775/9649/10590/273/80224/219844/84886/9931/11213/55776/1767/8988/112574/154664/116449/5495/57709/51284/1870/6295/246330/10072/23564/10123/23035/830/2001/55706/150290/1646/9839/29070/2887/257101/26037/4439/230/26747/64423/56999/10144/57451/6663/7620/9469/1717/6456/5599/79961/646625/55967/22989/29128/7358/23277/7040/58524/4692/3801/253769/51567/3020/134111/57713/51332/23334/2731/51411/60684/650/256949/127495/5563/4436/55262/155066/9144/4635/6048/29789/80222/9886/10955/51804/80157/9564/389396/5314/84464/9734/8805/8925/114792/50626/55614/79618/5784/2166/284110/10927/2324/8859/5002/4676/3416/70/90427/2764/2294/54853/57018/55835/55699/57465/3993/7837/51393/134265/134266/29800/2516/51305/6775/8344/8346/8027/613/79029/3320/5527/116931/143/54093/226/163/101927423/8741/8742/222642/1499/256691/79895/51465/124976/56893/1029/10276/79754/92949/28987/9939/9103/51257/55599/55722/2977/27443/1828/55139/149603/10382/90203/84808/339451/6731/7673/152503/148867/3683/23466/353355/7466/56001/4920/775/3662/2512/57801/291/1497/124997/25865/1265/112858/79710/79862/84706/10294/9869/2326/152815/10626/161725/5549/56985/54476/6898/4159/9879/154661/6547/5998/4191/22893/55153/196383/85477/6223/6648/10077/2651/7020/6594/64175/64135/4779/5972/8031/55553/728233/55286/768211/9604/1058/10466/619279/10579/3006/79801/84962/401024/776/84312/66036/93649/8821/2099/345557/83473/57115/240/1993/4128/2162/79677/57478/932/57708/3359/65986/2804/125919/9080/22931/55619/322/79171/8751/9397/23230/10919/3326/49856/127262/5576/8492/10049/342908/23431/57498/5378/83463/171425/5933/154810/7295/6173/10333/3704/3987/5122/4036/3066/8021/79981/2766/8266/84570/10469/9204/7384/94027/4826/54965/342357/7456/85464/3552/4172/25924/3053/221687/84959/9858/799/84750/3084/5366/9066/84002/5119/3685/25909/6439/4140/11047/399664/29947/5579/6286/5522/51057/57057/85300/152831/2706/23175/81789/8824/27338/10715/339983/140838/3430/10493/3887/10250/85301/54898/2729/113146/79608/6649/10159/338707/10410/728888/84299/22806/11183/5079/9555/256158/92181/9534/4809/3183/545/6895/196374/9919/1001/4774/83715"
"GO:0044424","GO:0044424","intracellular part",592,"592/910","8929/79792/153527/23117/2346/9342/6891/340120/2064/5129/1454/80335/10554/54905/7320/5923/3656/5538/79027/9655/80333/83538/79085/6392/6155/23532/728498/408/9320/10318/51311/9518/80725/961/23098/4046/3191/1675/10272/5179/29091/8532/23300/92749/25914/388324/5922/219931/55036/4318/54499/6199/26095/64147/2321/23071/1056/124460/80852/8361/55210/10585/4358/54020/5333/55349/203859/203074/9790/1258/55327/1059/92483/9217/4193/9501/10799/6338/27005/55037/6947/3172/9923/25959/23192/1759/81545/153222/80315/23303/6320/5980/26586/24138/55794/8516/387755/11145/64841/1397/9885/6122/6494/152/55646/54443/54749/9753/157378/7881/66002/284349/676/91056/606293/9145/2719/11059/64708/6949/3340/8850/644096/6402/64786/57095/10893/91833/23399/136332/7277/64151/23322/2645/130507/7626/541466/22897/375743/138255/79883/10763/10562/9718/10643/9244/339345/117157/22926/167359/146556/3614/79849/29953/2555/26157/8938/57060/54941/57125/9578/5375/26974/6157/10363/57732/2296/94234/91782/4646/28959/343472/8732/1991/81035/5137/51585/8972/8451/960/55652/7109/81858/124739/6907/3899/660/140462/2187/10411/9668/7789/4293/3845/7520/148266/57733/9751/9491/55033/6799/317649/27109/5336/79623/1501/2077/23152/5813/1582/389114/9117/196463/84283/23352/11240/6390/54464/4584/3181/89887/7138/401258/653268/8214/56905/10461/84910/79877/113829/1149/9887/9554/4853/5009/55775/9649/10590/273/80224/219844/84886/9931/11213/55776/1767/8988/112574/154664/5495/57709/51284/1870/6295/246330/10072/23564/10123/23035/830/2001/55706/150290/1646/9839/29070/2887/257101/26037/4439/230/26747/64423/56999/10144/57451/6663/7620/9469/1717/6456/5599/79961/646625/55967/22989/29128/7358/23277/7040/58524/4692/3801/253769/51567/3020/134111/57713/51332/23334/2731/51411/60684/650/256949/127495/5563/4436/55262/155066/9144/4635/6048/29789/80222/9886/10955/51804/80157/9564/389396/5314/84464/9734/8805/8925/114792/50626/55614/79618/5784/2166/284110/10927/2324/8859/5002/4676/3416/70/90427/2294/54853/57018/55835/55699/57465/3993/7837/51393/134265/134266/29800/2516/51305/6775/8344/8346/8027/613/79029/3320/5527/116931/143/54093/226/163/101927423/8741/8742/222642/1499/256691/79895/51465/124976/56893/1029/10276/79754/92949/28987/9939/9103/51257/55599/55722/2977/27443/1828/55139/149603/10382/90203/84808/339451/6731/7673/152503/148867/3683/23466/353355/7466/56001/4920/775/3662/2512/57801/291/1497/124997/25865/1265/112858/79710/79862/84706/10294/9869/2326/152815/10626/161725/5549/56985/54476/6898/9879/154661/6547/5998/4191/22893/55153/196383/85477/6223/6648/2651/7020/6594/64175/64135/4779/5972/8031/55553/728233/55286/768211/9604/1058/10466/619279/10579/3006/79801/84962/401024/776/84312/66036/93649/8821/2099/345557/83473/240/1993/4128/2162/79677/57478/932/57708/3359/65986/2804/125919/9080/22931/55619/322/79171/8751/9397/23230/10919/3326/49856/127262/5576/8492/10049/342908/23431/57498/5378/83463/171425/5933/154810/7295/6173/10333/3704/3987/5122/4036/3066/8021/79981/2766/8266/84570/10469/9204/7384/94027/4826/54965/342357/7456/85464/3552/4172/25924/3053/221687/84959/9858/84750/3084/5366/9066/84002/5119/3685/25909/6439/4140/11047/399664/29947/5579/6286/5522/51057/57057/85300/2706/23175/81789/8824/27338/10715/339983/140838/3430/10493/3887/10250/85301/54898/2729/113146/79608/6649/10159/338707/10410/728888/84299/22806/11183/5079/9555/256158/92181/9534/4809/3183/545/6895/196374/9919/1001/4774/83715"
"GO:0043227","GO:0043227","membrane-bounded organelle",513,"513/910","8929/79792/153527/23117/2346/9342/6891/249/340120/2064/5129/1454/80335/10554/54905/7320/3656/5538/79027/80333/8832/79085/6392/6155/23532/728498/408/9320/10318/51311/9518/961/23098/4046/3191/1675/10272/5179/8532/23300/388324/219931/4318/54499/6199/26095/64147/2321/23071/1056/124460/8361/55210/10585/4358/54020/5333/55349/203859/9790/1258/55327/1059/92483/9217/92017/4193/9501/10799/6338/27005/55037/6947/3172/54827/9923/25959/1759/81545/153222/80315/3696/3910/5980/24138/55794/8516/11145/64841/6122/6494/152/55646/54443/54749/9753/157378/66002/284349/676/91056/606293/9145/2719/11059/64708/6949/3340/8850/644096/6402/64786/57095/10893/91833/23399/136332/7277/64151/23322/2645/9508/7626/541466/6505/22897/10562/9718/10643/339345/22926/167359/146556/3614/29953/2555/8938/54941/9578/5375/26974/6157/10363/57732/2296/94234/91782/953/4646/28959/343472/10752/8732/1991/81035/51585/8972/8451/960/55652/7109/124739/6907/3899/660/140462/2187/10411/9668/7789/3845/7520/148266/9751/9491/55033/27109/6692/5336/79623/1501/2077/23152/5813/3977/1582/389114/9117/196463/84283/23352/11240/6390/54464/4584/3181/89887/401258/653268/8214/84910/79877/113829/1149/9887/9554/4853/5009/55775/10590/273/80224/219844/84064/9931/11213/55776/8988/112574/154664/5495/57709/51284/1870/10072/23564/10123/23035/92747/830/2001/55706/150290/9839/29070/257101/4439/230/26747/56999/57451/6663/7620/9469/1717/6456/5599/79961/646625/55967/29128/7358/7040/58524/4692/3801/253769/51567/3020/134111/57713/51332/23334/2731/51411/60684/650/51678/5563/4436/55262/155066/9144/6048/29789/80222/9886/10955/51804/80157/389396/5314/84464/9734/8805/8925/50626/55614/79618/5784/2166/10927/2324/8859/5002/4676/3416/70/90427/6906/2294/54853/57018/55835/55699/3993/7837/51393/134266/29800/2516/51305/6775/8344/8346/8027/613/3320/5527/116931/143/54093/226/163/101927423/8741/222642/1499/256691/79895/51465/124976/56893/1029/10276/92949/28987/9939/51257/55599/27443/1828/55139/149603/10382/90203/84808/6731/7673/152503/148867/3683/23466/353355/7466/56001/4920/3662/2512/57801/291/1497/124997/25865/1265/112858/79710/79862/84706/10294/9869/2326/10626/161725/5549/54476/6898/9879/6547/5998/4191/22893/55153/196383/85477/6223/6648/2651/7020/6594/64175/64135/4779/8031/55553/55286/9604/1058/10466/6092/619279/10579/3006/84962/401024/84312/93649/2099/83473/240/1993/4128/2162/79677/57478/932/57708/65986/2804/125919/9080/22931/55619/322/79171/8751/9397/23230/10919/3326/127262/5576/8492/10049/342908/23431/1004/57498/2813/5378/83463/171425/5933/154810/7295/6173/10333/5122/4036/3066/8021/8266/84570/10469/9204/7384/54965/342357/7456/4172/25924/3053/84959/9858/84750/3084/5366/9066/84002/5119/3685/25909/6439/4140/11047/399664/29947/5579/6286/57057/85300/2706/23175/81789/8824/27338/10715/339983/3430/10493/10250/85301/54898/113146/79608/6649/10159/338707/10410/728888/84299/22806/5079/9555/8425/9534/4809/3183/545/6895/196374/9919/4774"
"GO:0043229","GO:0043229","intracellular organelle",512,"512/910","8929/79792/153527/23117/9342/6891/340120/2064/5129/1454/80335/10554/54905/7320/3656/5538/79027/80333/83538/79085/6392/6155/23532/728498/408/9320/10318/51311/9518/80725/961/23098/4046/3191/1675/10272/5179/8532/23300/92749/25914/388324/219931/55036/4318/54499/6199/26095/64147/2321/23071/124460/8361/55210/10585/4358/54020/55349/203859/9790/1258/1059/92483/9217/4193/9501/10799/6338/27005/55037/6947/3172/9923/25959/1759/81545/153222/80315/23303/5980/26586/24138/55794/8516/11145/64841/6122/6494/152/55646/54443/54749/9753/157378/66002/284349/676/91056/606293/9145/2719/11059/64708/6949/3340/8850/644096/6402/64786/57095/10893/91833/23399/136332/7277/64151/23322/2645/7626/541466/22897/10763/10562/9718/10643/339345/22926/167359/3614/2555/26157/8938/54941/9578/26974/6157/10363/57732/2296/94234/91782/4646/28959/343472/8732/1991/81035/51585/8972/8451/960/55652/7109/124739/6907/3899/660/140462/2187/10411/9668/7789/3845/7520/148266/9751/9491/55033/27109/79623/1501/2077/23152/5813/1582/389114/9117/196463/84283/23352/11240/6390/54464/4584/3181/89887/7138/401258/653268/8214/84910/79877/113829/1149/9887/9554/4853/5009/55775/10590/273/80224/219844/9931/11213/55776/1767/8988/112574/154664/5495/57709/51284/1870/10072/23564/10123/23035/830/2001/55706/150290/9839/29070/257101/26037/4439/230/26747/56999/57451/6663/7620/9469/1717/6456/5599/79961/646625/55967/22989/29128/7358/7040/58524/4692/3801/253769/51567/3020/134111/57713/51332/23334/2731/51411/60684/650/256949/127495/5563/4436/55262/155066/9144/4635/6048/29789/80222/9886/10955/51804/80157/9564/389396/5314/84464/9734/8805/8925/50626/55614/79618/5784/2166/10927/2324/8859/5002/4676/3416/70/90427/2294/54853/57018/55835/55699/3993/7837/51393/134265/134266/29800/2516/51305/6775/8344/8346/8027/3320/5527/116931/143/54093/226/163/101927423/8741/222642/1499/256691/79895/51465/124976/56893/1029/10276/92949/28987/9939/51257/55599/55722/27443/1828/55139/149603/10382/90203/84808/339451/6731/7673/152503/148867/3683/23466/353355/7466/56001/4920/775/3662/2512/57801/291/1497/124997/25865/1265/112858/79710/79862/84706/9869/2326/152815/10626/161725/5549/54476/6898/9879/6547/5998/4191/22893/55153/196383/85477/6223/6648/2651/7020/6594/64175/64135/4779/8031/55553/55286/768211/9604/1058/10466/619279/10579/3006/79801/84962/401024/776/84312/93649/2099/83473/240/1993/4128/2162/79677/57478/932/57708/65986/2804/125919/9080/22931/55619/322/79171/8751/9397/23230/10919/3326/49856/127262/5576/8492/10049/342908/23431/57498/5378/83463/171425/5933/154810/7295/6173/10333/5122/4036/3066/8021/79981/8266/84570/10469/9204/7384/54965/342357/7456/85464/4172/25924/3053/84959/9858/84750/3084/5366/9066/84002/5119/3685/25909/6439/11047/399664/29947/5579/6286/51057/57057/85300/2706/23175/81789/8824/27338/10715/339983/3430/10493/3887/10250/85301/54898/113146/79608/6649/10159/338707/10410/728888/22806/5079/9555/9534/4809/3183/545/6895/196374/9919/4774/83715"
"GO:0044422","GO:0044422","organelle part",399,"399/910","8929/79792/153527/23117/9342/6891/2064/1454/80335/10554/54905/7320/3656/5538/79027/79085/6392/6155/728498/408/9320/10318/51311/961/23098/3191/1675/10272/5179/23300/92749/25914/388324/219931/55036/4318/54499/6199/26095/64147/23071/124460/8361/55210/10585/4358/54020/55349/203859/9790/1258/1059/92483/9217/4193/9501/10799/6338/27005/55037/6947/3172/1759/153222/23303/5980/26586/55794/11145/64841/6122/55646/54443/157378/66002/91056/9145/2719/64708/6949/3340/8850/644096/6402/10893/91833/23399/136332/7277/64151/23322/2645/541466/22897/10763/10562/9718/22926/3614/2555/54941/9578/6157/57732/2296/91782/4646/28959/8732/1991/81035/51585/8972/8451/960/55652/7109/124739/6907/3899/660/2187/10411/9668/7520/9751/9491/55033/27109/79623/2077/23152/5813/1582/9117/196463/84283/23352/11240/6390/4584/3181/7138/401258/10461/84910/113829/1149/9887/9554/4853/5009/10590/273/80224/219844/55776/1767/112574/154664/5495/57709/51284/1870/6295/10072/23564/23035/830/55706/150290/9839/29070/27091/4439/230/26747/57451/6663/9469/1717/6456/5599/79961/55967/22989/29128/7358/7040/4692/3801/253769/51567/3020/57713/51332/23334/2731/51411/127495/5563/4436/55262/155066/9144/4635/6048/29789/80222/10955/5314/84464/9734/8805/50626/55614/79618/5784/2166/10927/2324/8859/5002/3416/70/90427/54853/57018/55835/55699/3993/134265/134266/2516/6775/8344/8346/8027/3320/5527/116931/143/54093/226/163/101927423/8741/222642/1499/79895/51465/124976/56893/1029/92949/28987/9939/51257/55599/55722/27443/1828/55139/149603/10382/90203/152503/3683/23466/7466/56001/4920/775/3662/2512/291/1497/124997/25865/1265/112858/79710/84706/9869/2326/10626/5549/54476/9879/6547/5998/4191/22893/55153/196383/85477/6223/6648/2651/7020/6594/64175/4779/55553/55286/1058/10466/10579/3006/79801/84962/776/84312/93649/2099/83473/240/1993/4128/2162/79677/932/57708/65986/2804/22931/55619/322/10919/3326/49856/127262/5576/10049/23431/5378/83463/5933/154810/6173/10333/5122/4036/3066/8021/8266/84570/10469/9204/7384/54965/7456/4172/25924/3053/9858/84750/3084/5366/9066/84002/5119/3685/25909/6439/11047/29947/5579/6286/51057/85300/23175/8824/27338/10715/339983/10493/3887/10250/85301/54898/113146/79608/6649/10159/338707/10410/728888/22806/5079/9555/4809/3183/545/6895/196374/9919/4774/83715"
"GO:0044446","GO:0044446","intracellular organelle part",392,"392/910","8929/79792/153527/23117/9342/6891/2064/1454/80335/10554/54905/7320/3656/5538/79027/79085/6392/6155/728498/408/9320/10318/51311/961/23098/3191/1675/10272/5179/23300/92749/25914/388324/219931/55036/4318/54499/6199/26095/64147/23071/124460/8361/55210/10585/4358/54020/55349/203859/9790/1258/1059/92483/9217/4193/9501/10799/6338/27005/55037/6947/3172/1759/153222/23303/5980/26586/55794/11145/64841/6122/55646/54443/157378/66002/91056/9145/2719/64708/6949/3340/8850/644096/6402/10893/91833/23399/136332/7277/64151/23322/2645/541466/22897/10763/10562/9718/22926/3614/2555/54941/9578/6157/57732/2296/91782/4646/28959/8732/1991/81035/51585/8972/8451/960/55652/7109/124739/6907/3899/660/2187/10411/9668/7520/9751/9491/55033/27109/79623/2077/23152/5813/1582/9117/196463/84283/23352/11240/6390/4584/3181/7138/401258/84910/113829/1149/9887/9554/4853/5009/10590/273/80224/219844/55776/1767/112574/154664/5495/57709/51284/1870/10072/23564/830/55706/150290/9839/29070/4439/230/26747/57451/6663/9469/1717/6456/5599/79961/55967/22989/29128/7358/7040/4692/3801/253769/51567/3020/57713/51332/23334/2731/51411/5563/4436/55262/155066/9144/4635/6048/29789/80222/10955/5314/84464/9734/8805/50626/55614/79618/5784/2166/10927/2324/8859/5002/3416/70/90427/54853/57018/55835/55699/3993/134265/134266/2516/6775/8344/8346/8027/3320/5527/116931/143/54093/226/163/101927423/8741/222642/1499/79895/51465/124976/56893/1029/92949/28987/9939/51257/55599/55722/27443/1828/55139/149603/10382/90203/152503/3683/23466/7466/56001/4920/3662/2512/291/1497/124997/25865/1265/112858/79710/84706/9869/2326/10626/5549/54476/9879/6547/5998/4191/22893/55153/196383/85477/6223/6648/2651/7020/6594/64175/4779/55553/55286/1058/10466/10579/3006/79801/84962/84312/93649/2099/83473/240/1993/4128/2162/79677/932/57708/65986/2804/22931/55619/322/10919/3326/49856/127262/5576/10049/23431/5378/83463/5933/154810/6173/10333/5122/4036/3066/8021/8266/84570/10469/9204/7384/54965/7456/4172/25924/3053/9858/84750/3084/5366/9066/84002/5119/3685/25909/6439/11047/29947/5579/6286/51057/85300/23175/8824/27338/10715/339983/10493/3887/10250/85301/54898/113146/79608/6649/10159/338707/10410/728888/22806/5079/9555/4809/3183/545/6895/196374/9919/4774/83715"
"GO:0044425","GO:0044425","membrane part",303,"303/910","23117/2346/374462/9342/6891/249/57670/2064/10554/54905/5538/80333/8832/79085/6392/9074/6155/408/51311/80725/961/23098/29091/54946/8532/114780/89790/387700/5922/219931/54499/84899/10446/2321/23071/1056/339453/55210/10585/4358/54020/203859/203074/1258/55327/9217/53919/6338/387733/390649/120406/9201/1759/80315/3696/1008/24138/8516/11145/8387/152/157378/7881/66002/1132/91056/9145/26533/2719/3340/6402/10893/23399/9154/130507/6505/138255/5734/136306/9718/158326/22926/79849/29953/2555/26157/399888/54941/57125/91782/8793/953/4646/28959/10752/81035/8972/8811/960/55652/7109/660/25769/3845/9751/3595/27109/57453/79623/3977/401934/28316/1582/9117/84283/23352/6390/4584/10461/84910/113829/11309/9554/4853/100288413/343/2565/273/23266/55776/112574/154664/57709/4063/51284/51348/23035/55706/115330/26037/27091/387775/57451/6663/9469/1717/51751/10904/55967/80036/51332/51411/10509/650/946/6533/155066/9144/6048/10955/80157/5314/94/2166/2324/5002/401498/51393/134266/29800/51305/653567/613/3320/120787/163/8742/222642/1499/79895/405754/51465/124976/56893/390445/9103/51257/10871/1828/55139/219623/7292/339451/148867/3683/85414/8633/84466/89858/7466/79414/4920/775/291/57549/3766/8744/1497/124997/56129/2326/388335/4159/6547/3752/51289/10004/646962/414152/10077/2651/4779/768211/100507050/6092/1949/6568/10050/776/2099/4128/286133/932/3359/2804/56123/56124/54674/9080/22931/322/8751/9397/23230/3326/348980/5576/23431/1004/57498/11024/2813/163702/154810/81793/10333/4036/81033/8273/84570/7384/54965/6574/84222/221687/799/84750/3084/9066/84002/5119/7087/3685/6439/11047/65012/8764/6286/51057/152831/2706/23175/151473/729956/10715/339983/10493/54898/113146/79608/10159/338707/10410/728888/84299/916/256158/8645/124842/6507/10462/9919/1001"
"GO:0071944","GO:0071944","cell periphery",273,"273/910","79792/2346/9342/249/57670/2064/54905/7320/5923/3656/80333/8832/9074/23532/408/51311/80725/961/4046/5179/29091/54946/8532/645027/89790/387700/5922/219931/2321/1056/124460/80852/339453/5333/203859/1258/55327/53919/4193/9501/6338/387733/27005/55037/390649/9201/1759/80315/3696/1008/24138/8516/387755/8387/1397/152/54443/157378/7881/66002/1132/9145/26533/2719/11059/6402/10893/23322/9154/6505/138255/5734/10562/79849/29953/2555/57125/9578/8793/953/4646/10752/81035/8972/8811/960/55652/660/10411/25769/3845/7520/219287/205147/9751/3595/6692/57453/5336/3977/28316/23352/6390/54464/4584/401258/10461/11309/4853/55775/343/2565/9649/273/80224/219844/11213/112574/154664/4063/51284/51348/10072/10123/23035/830/55706/115330/2887/26037/27091/387775/57451/6456/7040/80036/134111/51332/2731/51411/10509/650/51678/946/6533/55262/9886/10955/9564/5314/94/284110/2324/5002/3416/90427/55835/57465/3993/51393/51305/613/3320/120787/163/8742/285852/1499/79895/405754/390445/10276/9103/10871/2977/1828/7292/339451/152503/9982/3683/85414/8633/23504/84466/79414/4920/775/291/57549/3766/8744/1497/25865/56129/9869/10626/4159/6547/3752/5998/51289/10004/85477/10077/5972/728233/768211/6092/1949/10579/6568/10050/84962/776/2099/286133/932/3359/56123/56124/9080/22931/322/8751/9397/3326/348980/5576/8492/1004/11024/2813/163702/154810/81793/6173/10333/3987/148252/4036/81033/84570/7456/6574/25924/799/3084/9066/7087/3685/4140/11047/65012/8764/5579/6286/51057/152831/2706/151473/729956/113146/10159/10410/84299/22806/916/256158/8645/6507/10462/1001"
"GO:0005886","GO:0005886","plasma membrane",268,"268/910","79792/2346/9342/249/57670/2064/54905/7320/5923/3656/80333/8832/9074/23532/408/51311/80725/961/4046/5179/29091/54946/8532/645027/89790/387700/5922/219931/2321/1056/124460/80852/339453/5333/203859/1258/55327/53919/4193/9501/6338/387733/27005/55037/390649/9201/1759/80315/3696/1008/24138/8516/387755/8387/152/157378/7881/66002/1132/9145/26533/2719/11059/6402/10893/23322/9154/6505/138255/5734/10562/79849/29953/2555/57125/9578/8793/953/4646/10752/81035/8972/8811/960/55652/660/10411/25769/3845/7520/219287/205147/9751/3595/6692/57453/5336/3977/28316/23352/6390/54464/4584/401258/10461/11309/4853/55775/343/2565/9649/273/80224/219844/11213/112574/154664/4063/51284/51348/10072/10123/23035/55706/115330/2887/26037/27091/387775/57451/6456/7040/80036/134111/51332/2731/51411/10509/650/51678/946/6533/55262/9886/10955/9564/5314/94/284110/2324/5002/3416/90427/55835/57465/3993/51393/51305/613/3320/120787/163/8742/285852/1499/79895/405754/390445/10276/9103/10871/2977/1828/7292/339451/152503/9982/3683/85414/8633/23504/84466/79414/4920/775/291/57549/3766/8744/1497/25865/56129/9869/10626/4159/6547/3752/5998/51289/10004/85477/10077/5972/728233/768211/6092/1949/10579/6568/10050/84962/776/2099/286133/932/3359/56123/56124/9080/22931/322/8751/9397/3326/348980/5576/8492/1004/11024/2813/163702/154810/81793/6173/10333/3987/148252/4036/81033/84570/6574/799/3084/9066/7087/3685/4140/11047/65012/8764/5579/6286/51057/152831/2706/151473/729956/113146/10159/10410/84299/22806/916/256158/8645/6507/10462/1001"
