"","ID","Description","Count","GeneRatio","geneID"
"GO:0005515","GO:0005515","protein binding",498,"498/910","79792/153527/4107/9342/6891/249/2064/5129/1454/80335/10554/7320/5923/3656/5538/79027/9655/80333/83538/8832/79085/60686/9074/6155/23532/408/9320/10318/9518/80725/961/23098/4046/3191/10272/5179/29091/54946/94031/23300/89790/388324/219931/4318/64147/2321/23071/1056/124460/284217/80852/8361/5333/55349/203859/1258/55327/92483/9217/4193/9501/6338/27005/55037/3172/120406/25959/23192/1759/153222/80315/3696/23303/6320/1008/3910/5980/24138/387755/11145/64841/1397/9885/6122/6494/152/55646/54443/9753/7881/5669/676/91056/9145/2719/11059/64708/6949/3340/8850/644096/6402/64786/10893/91833/23399/7277/64151/133015/23322/2645/9508/6505/22897/347148/5734/10562/10643/9244/339345/117157/22926/146556/1412/126823/79849/26157/8938/54941/57125/9578/5375/6157/10363/57732/2296/91782/8793/953/4646/343472/10752/8732/1991/5137/51585/8811/8451/960/55652/7109/81858/6907/660/140462/2187/10411/25769/7789/4293/3845/7520/148266/57733/219287/205147/9751/9491/3595/6799/57453/5336/1501/6355/23152/5813/3977/28316/9117/84283/23352/11240/6390/54464/3181/7138/653268/10461/1149/9887/9554/4853/55775/2565/9649/273/219844/83648/84064/9931/11213/1767/112574/116449/5495/1870/6295/246330/10072/23564/10123/23035/830/79696/9839/29070/2887/26037/4439/230/3004/26747/64423/57451/6663/7620/30010/6456/5599/10904/79961/57495/22989/29128/7040/58524/4692/3801/6019/253769/51567/3020/134111/57713/51332/2731/51411/60684/10509/650/51678/127495/946/5563/57035/4436/9144/4635/6048/29789/80222/9886/9564/5314/84464/9734/8805/8925/94/50626/55614/79618/5784/2166/10927/2324/5002/4676/3416/70/90427/2764/57018/55835/57465/3993/7837/134265/134266/2516/51305/6775/8344/8346/8027/613/3320/5527/116931/143/226/163/8741/8742/1499/51465/56893/1029/10276/79754/9939/9103/51257/55722/2977/1828/55139/149603/10382/7292/339451/127733/6731/152503/9982/3683/23466/84466/7466/4920/775/3662/2512/57801/291/57549/3766/8744/124997/25865/1265/112858/79710/10294/9869/92342/2326/152815/10626/161725/54476/6898/4159/6547/3752/5998/4191/22893/196383/85477/6223/6648/7020/6594/64135/4779/5972/8031/55553/55286/93487/9604/1058/10466/6092/1949/10579/3006/2201/79801/84962/776/84312/79817/66036/93649/8821/2099/83473/57115/240/1993/79677/932/57708/3359/65986/2804/125919/9080/22931/55619/322/79171/8751/23230/23101/10919/3326/9241/348980/49856/127262/5576/84968/10049/342908/23431/1004/57498/83463/163702/5933/154810/7295/84328/6173/10333/3704/3987/5122/4036/3066/8021/8266/10469/7384/94027/9755/7456/85464/3552/4172/25924/221687/84959/9858/284352/799/3084/5366/9066/5119/7087/3685/6439/4140/11047/8764/29947/5579/6286/5522/57057/85300/152831/2706/729956/27338/3430/3887/10250/54898/2729/113146/79608/151887/6649/10159/10410/84299/22806/11183/916/5079/9555/92181/8425/147372/4809/3183/545/6895/51162/9919/1001/4774/83715"
"GO:0043167","GO:0043167","ion binding",288,"288/910","79792/153527/2346/6891/249/2064/5129/1454/54905/7320/3656/79027/80333/79085/6392/170690/29091/8532/114780/23300/5922/4318/6199/64147/2321/1056/124460/55210/10585/5333/55349/9790/1258/92017/4193/9501/27005/3172/9201/9923/1759/80315/23303/1008/5980/55794/8516/1397/55646/54749/9753/7881/66002/284349/2719/6402/10893/136332/7277/2645/130507/9508/7626/6505/9718/158326/100507096/339345/167359/3614/29953/26157/8938/54941/9578/5375/26974/57732/953/4646/8732/1991/81035/5137/960/81858/660/10411/25769/9668/7789/4293/3845/7520/148266/219287/205147/55033/27109/79623/6355/401934/28316/1582/389114/23352/11240/6390/89887/7138/401258/653268/4322/10461/79877/4853/5009/10590/273/80224/84064/9931/11213/1767/112574/154664/5495/10072/23564/10123/23035/79696/1646/9839/257101/4439/26747/56999/57451/7620/5599/22989/29128/58524/3801/51567/134111/2731/51411/5563/4436/23349/4635/6048/29789/80222/9886/9734/8805/94/50626/55614/284110/2324/8859/3416/70/150472/55699/7837/2516/613/79029/3320/79895/51465/28987/51257/2977/1828/55139/149603/10382/90203/7673/9982/3683/353355/4920/775/2512/3766/25865/56129/112858/79710/79862/84706/10294/9869/2326/152815/10626/161725/5549/56985/54476/6898/9879/154661/6547/3752/10004/85477/6648/254552/6594/64175/64135/9604/619279/2201/84962/776/79817/2099/83473/57115/240/2162/79677/55778/3359/65986/56123/56124/125919/22931/8751/10919/140766/3326/348980/5576/342908/1004/5378/171425/3704/3987/148252/4036/2766/84570/10469/57758/9204/7384/342357/3552/4172/25924/3053/221687/9066/5119/3685/4140/399664/29947/5579/6286/27338/10493/85301/2729/151887/6649/22806/11183/256158/8425/6507/9534/147372/545/51162/1001"
"GO:0097159","GO:0097159","organic cyclic compound binding",250,"250/910","8929/153527/6891/2064/5129/1454/54905/7320/3656/79027/6392/60686/6155/408/51311/3191/23300/6199/64147/2321/8361/55210/55349/9790/1258/1059/4193/55037/6947/3172/9201/9923/1759/153222/80315/23303/5980/24138/55794/9885/6122/152/55646/9753/7881/66002/284349/6949/8850/136332/7277/2645/7626/10643/100507096/339345/22926/167359/3614/406984/26157/57060/9578/5375/26974/6157/10363/2296/94234/953/4646/343472/8732/51585/55652/6907/3899/660/10411/9668/7789/4293/3845/7520/148266/55033/317649/2077/23152/5813/1582/389114/54464/3181/89887/401258/10461/79877/9887/55775/80224/9931/11213/1767/154664/51284/1870/10123/2001/1646/9839/257101/4439/26747/6663/7620/1717/5599/22989/29128/7358/23277/58524/4692/3801/51567/3020/134111/2731/5563/4436/29789/80222/9886/51804/8805/94/55614/79618/2324/8859/4676/3416/70/150472/2294/55699/7837/134266/29800/2516/6775/8344/8346/613/79029/3320/143/226/222642/79895/51465/1029/9939/55599/2977/55139/10382/6731/7673/23466/353355/56001/4920/3662/57801/3766/25865/112858/79862/84706/10294/9869/2326/152815/10626/161725/6898/9879/4191/22893/6223/7020/6594/64135/4779/55553/1058/619279/3006/93649/2099/83473/1993/79677/55778/57708/3359/65986/2804/125919/22931/79171/3326/348980/5576/10049/342908/5378/83463/5933/7295/6173/3704/148252/3066/10469/9204/342357/4172/25909/4140/399664/5579/57057/81789/27338/10250/2729/113146/22806/11183/5079/9555/9534/4809/3183/545/6895/4774"
"GO:1901363","GO:1901363","heterocyclic compound binding",245,"245/910","8929/153527/6891/2064/5129/1454/54905/7320/3656/79027/6392/60686/6155/408/51311/3191/23300/6199/64147/2321/8361/55210/55349/9790/1258/1059/4193/55037/6947/3172/9201/9923/1759/153222/80315/23303/5980/24138/55794/6122/55646/9753/7881/66002/284349/6949/8850/136332/7277/2645/7626/10643/100507096/339345/22926/167359/3614/406984/26157/57060/9578/26974/6157/10363/2296/94234/953/4646/343472/8732/51585/55652/6907/3899/660/10411/9668/7789/4293/3845/7520/148266/55033/317649/2077/23152/5813/1582/389114/54464/3181/89887/401258/10461/79877/9887/55775/80224/9931/11213/1767/154664/51284/1870/10123/2001/9839/257101/4439/26747/6663/7620/1717/5599/22989/29128/7358/23277/58524/4692/3801/51567/3020/134111/2731/5563/4436/29789/80222/9886/51804/8805/94/55614/79618/2324/8859/4676/3416/70/150472/2294/55699/7837/134266/29800/2516/6775/8344/8346/613/79029/3320/143/226/79895/51465/1029/9939/55599/2977/55139/10382/6731/7673/23466/353355/56001/4920/3662/57801/3766/25865/112858/79862/84706/10294/9869/2326/152815/10626/161725/6898/9879/4191/22893/6223/7020/6594/64135/4779/55553/1058/619279/3006/93649/2099/83473/1993/79677/55778/57708/3359/65986/2804/125919/22931/79171/3326/348980/5576/10049/342908/5378/83463/5933/7295/6173/3704/148252/3066/10469/9204/342357/4172/25909/4140/399664/5579/57057/81789/27338/10250/2729/113146/22806/11183/5079/9555/9534/4809/3183/545/6895/4774"
"GO:0016787","GO:0016787","hydrolase activity",125,"125/910","2346/374462/6891/249/5538/170690/1675/94031/8532/4318/26095/64147/1056/5333/203074/9790/10799/27005/23192/1759/23303/55794/11145/3340/10893/91833/23399/7277/9508/9718/29953/953/4646/8732/1991/5137/8972/124739/3845/7520/57733/5336/196463/11240/54464/7138/401258/4322/9887/55775/84064/9931/1767/154664/5495/10072/23564/10123/23035/150290/4439/3004/56999/22989/3801/51567/4436/155066/29789/80222/9886/84464/9734/55614/5784/2166/3416/70/55699/283848/3320/79895/92949/28987/55139/10382/112858/161725/56985/9879/2595/643418/10004/254552/6594/64135/5972/84312/66036/8821/345557/83473/57115/57478/57708/22931/8751/140766/8492/5378/3704/5122/148252/3066/7384/85464/4172/84959/5119/5522/85300/152831/23175/8824/140838"
"GO:0140096","GO:0140096","catalytic activity, acting on a protein",119,"119/910","2346/374462/2064/5129/1454/80335/7320/3656/5538/170690/9320/1675/94031/8532/4318/6199/26095/2321/23071/203074/4193/27005/9201/23192/11059/10893/91833/23399/130507/9508/375743/9718/167359/29953/54941/9578/8732/1991/8451/81858/124739/660/4293/55033/79623/6355/23352/4322/10461/11213/5495/246330/10072/23035/150290/3004/56999/5599/29128/134111/5563/6048/9734/8805/8925/94/114792/5784/2324/8859/3416/29800/613/3320/54093/51465/92949/51257/55139/149603/339451/4920/3662/25865/112858/9869/161725/54476/10004/64175/5972/9604/1949/84312/83473/2162/57478/57708/8751/10919/140766/8492/5122/3066/8266/7384/85464/221687/84959/3084/5119/4140/5579/5522/27338/338707/11183/8425/545"
"GO:0036094","GO:0036094","small molecule binding",116,"116/910","6891/2064/5129/1454/7320/3656/6199/64147/2321/55210/55349/9790/1258/6947/3172/9201/1759/23303/5980/55794/64841/9885/7881/136332/7277/2645/6505/100507096/167359/26157/9578/5375/953/4646/8732/81035/960/660/10411/4293/3845/7520/401258/10461/79877/5009/80224/9931/11213/1767/154664/23564/10123/1646/4439/1717/5599/22989/29128/7358/3801/134111/2731/5563/4436/29789/80222/9886/94/55614/2324/8859/3416/70/150472/55699/134266/613/79029/3320/226/222642/79895/51465/2977/10382/4920/3766/25865/112858/84706/10294/2326/6898/9879/6594/64175/64135/83473/79677/22931/3326/348980/5576/5378/3704/148252/10469/4172/4140/5579/27338/2729/11183/6507/545"
"GO:0097367","GO:0097367","carbohydrate derivative binding",104,"104/910","6891/2064/5129/1454/7320/3656/6199/64147/2321/1056/55210/9790/1258/9201/1759/23303/55794/2719/6402/136332/7277/2645/9508/100507096/167359/26157/9578/953/4646/8732/1991/960/660/10411/4293/3845/7520/6355/401258/10461/79877/80224/9931/11213/1767/154664/10123/4439/5599/22989/3801/134111/5563/4436/29789/80222/9886/94/55614/2324/8859/3416/70/150472/55699/613/79029/3320/79895/51465/2977/10382/9982/4920/3766/25865/112858/10294/5549/9879/6594/64135/83473/57115/79677/22931/3326/348980/5576/5378/148252/84570/10469/4172/3053/4140/5579/27338/2729/151887/6649/11183/8425/545"
"GO:0016740","GO:0016740","transferase activity",98,"98/910","2064/5129/1454/80335/10554/7320/3656/9320/6199/2321/10585/4193/9201/5980/11145/64841/11059/3340/8850/136332/2645/130507/375743/9718/167359/54941/9578/8732/8451/81858/660/4293/6799/79623/6355/23352/10461/79877/5009/11213/246330/9469/5599/29128/134111/5563/6048/389396/8805/8925/94/114792/79618/2324/8859/29800/613/3320/143/54093/51465/51257/149603/339451/4920/3662/25865/112858/84706/9869/92342/54476/6898/2651/728233/9604/1949/2099/2162/9397/10919/171425/8266/221687/84750/3084/84002/4140/5579/152831/27338/10715/339983/54898/338707/11183/8425/545"
"GO:0008144","GO:0008144","drug binding",83,"83/910","6891/2064/5129/1454/7320/3656/51311/6199/64147/2321/55210/9790/6947/9201/23303/55794/66002/136332/2645/167359/9578/953/4646/660/4293/7520/55033/1582/10461/79877/80224/9931/11213/1767/154664/51284/4439/5599/22989/3801/134111/2731/5563/4436/29789/80222/94/55614/2324/8859/3416/70/150472/55699/613/79029/3320/79895/51465/4920/3766/25865/112858/84706/10294/6898/9879/6594/64135/83473/79677/3326/5378/4036/10469/4172/799/4140/5579/27338/2729/11183/545"
