"","eigenvalue","variance.percent","cumulative.variance.percent"
"Dim.1",1569.7850764975,41.4409999075369,41.4409999075369
"Dim.2",290.432217878463,7.66716520270494,49.1081651102418
"Dim.3",245.576958794633,6.48302425540213,55.591189365644
"Dim.4",195.403690333358,5.15849235304537,60.7496817186893
"Dim.5",186.582729731759,4.9256264448722,65.6753081635615
"Dim.6",163.73551756224,4.32247934430413,69.9977875078656
"Dim.7",156.22769094729,4.12427906407841,74.1220665719441
"Dim.8",130.625478909042,3.44840229432529,77.5704688662694
"Dim.9",114.934023475926,3.03416112660839,80.6046299928777
"Dim.10",111.219699635854,2.93610611499086,83.5407361078686
"Dim.11",88.0351589282623,2.32405382598369,85.8647899338523
"Dim.12",86.2604645452428,2.27720339348582,88.1419933273381
"Dim.13",78.0542222340534,2.06056552888208,90.2025588562202
"Dim.14",72.9172318457332,1.92495332222105,92.1275121784413
"Dim.15",69.2935891185722,1.82929221537941,93.9568043938207
"Dim.16",63.984176507927,1.68912820770663,95.6459326015273
"Dim.17",59.2934960819119,1.56529820701985,97.2112308085471
"Dim.18",55.3247597297119,1.46052692000295,98.6717577285501
"Dim.19",50.313817242523,1.32824227144992,100
