"","eigenvalue","variance.percent","cumulative.variance.percent"
"Dim.1",5096.87466742541,21.2697686743121,21.2697686743121
"Dim.2",3049.06285919855,12.7240448157516,33.9938134900637
"Dim.3",2134.37952863157,8.90697962956043,42.9007931196241
"Dim.4",1733.57048018915,7.23436331089243,50.1351564305165
"Dim.5",1492.28083429207,6.22743744227381,56.3625938727903
"Dim.6",1291.60412413478,5.38999342375654,61.7525872965469
"Dim.7",1081.41140457012,4.51283814451497,66.2654254410619
"Dim.8",1037.4633419037,4.32943847558193,70.5948639166438
"Dim.9",1012.02410521682,4.22327799197437,74.8181419086182
"Dim.10",885.399768901159,3.69486194925994,78.5130038578781
"Dim.11",765.660164047554,3.19517658076015,81.7081804386382
"Dim.12",710.693644241815,2.96579578617792,84.6739762248162
"Dim.13",648.097902860112,2.70457748554067,87.3785537103568
"Dim.14",574.159590531821,2.39602549986154,89.7745792102184
"Dim.15",538.659903970569,2.24788175091002,92.0224609611284
"Dim.16",519.756241398687,2.16899487292362,94.191455834052
"Dim.17",489.877520193768,2.04430797560309,96.2357638096551
"Dim.18",475.399742578287,1.98389075899631,98.2196545686514
"Dim.19",426.624175714061,1.78034543134858,100
