"","ID","Description","Count","GeneRatio","geneID"
"GO:0005515","GO:0005515","protein binding",49,"49/91","23035/230/85464/57125/22806/284217/147372/10272/1265/29128/79085/79171/23646/6295/9885/7109/7384/111/8751/94031/55286/5734/9555/134265/6949/10318/3662/3006/4172/27244/253769/85477/2645/10466/8793/65986/81858/7564/6505/7295/240/24138/10410/960/163702/154810/10562/3183/8925"
"GO:0043167","GO:0043167","ion binding",28,"28/91","342357/84706/28987/23035/22806/284110/81035/147372/29128/79085/79623/5378/7384/111/8751/2162/10590/4172/27244/85477/2645/136332/65986/81858/7564/6505/240/960"
"GO:0097159","GO:0097159","organic cyclic compound binding",24,"24/91","342357/84706/22806/29128/79171/5378/1059/9885/111/7358/54502/9555/6949/3662/94234/3006/4172/2645/136332/65986/7564/7295/24138/3183"
"GO:1901363","GO:1901363","heterocyclic compound binding",23,"23/91","342357/84706/22806/29128/79171/5378/1059/111/7358/54502/9555/6949/3662/94234/3006/4172/2645/136332/65986/7564/7295/24138/3183"
"GO:0036094","GO:0036094","small molecule binding",13,"13/91","84706/81035/29128/5378/9885/111/7358/4172/27244/2645/136332/6505/960"
"GO:0140096","GO:0140096","catalytic activity, acting on a protein",12,"12/91","23035/85464/1675/29128/79623/7384/8751/94031/3662/2162/81858/8925"
"GO:0016787","GO:0016787","hydrolase activity",11,"11/91","283848/28987/23035/85464/1675/23646/5378/7384/8751/94031/4172"
"GO:0016740","GO:0016740","transferase activity",10,"10/91","84706/29128/10715/79623/3662/2162/2645/136332/81858/8925"
"GO:0044877","GO:0044877","protein-containing complex binding",10,"10/91","645027/81035/147372/10272/29128/8751/9555/85477/960/3183"
"GO:0022857","GO:0022857","transmembrane transporter activity",9,"9/91","343/79085/54020/7109/6533/57709/10050/6505/65012"
"GO:0008144","GO:0008144","drug binding",6,"6/91","84706/5378/111/4172/2645/136332"
"GO:0097367","GO:0097367","carbohydrate derivative binding",6,"6/91","5378/111/4172/2645/136332/960"
