"t_id","g_id"
1,"MSTRG.65"
2,"MSTRG.66"
3,"MSTRG.66"
4,"MSTRG.66"
5,"MSTRG.66"
6,"MSTRG.66"
7,"MSTRG.66"
8,"MSTRG.66"
9,"MSTRG.66"
10,"MSTRG.66"
11,"MSTRG.66"
12,"MSTRG.66"
13,"MSTRG.66"
14,"MSTRG.66"
15,"MSTRG.66"
16,"MSTRG.66"
17,"MSTRG.66"
18,"MSTRG.66"
19,"MSTRG.66"
20,"MSTRG.66"
21,"MSTRG.66"
22,"MIR1302-2"
23,"MIR1302-9"
24,"MIR1302-10"
25,"MIR1302-11"
26,"FAM138A"
27,"FAM138F"
28,"FAM138C"
29,"OR4F5"
30,"MSTRG.75"
31,"MSTRG.76"
32,"MSTRG.77"
33,"MSTRG.78"
34,"MSTRG.79"
35,"MSTRG.80"
36,"MSTRG.81"
37,"MSTRG.82"
38,"MSTRG.82"
39,"MSTRG.83"
40,"MSTRG.82"
41,"MSTRG.82"
42,"MSTRG.82"
43,"MSTRG.82"
44,"MSTRG.82"
45,"MSTRG.82"
46,"MSTRG.82"
47,"MSTRG.82"
48,"MSTRG.83"
49,"MSTRG.83"
50,"MSTRG.82"
51,"MSTRG.82"
52,"MSTRG.82"
53,"MSTRG.82"
54,"MSTRG.82"
55,"MSTRG.83"
56,"MSTRG.82"
57,"MSTRG.82"
58,"MSTRG.82"
59,"MSTRG.82"
60,"MSTRG.82"
61,"MSTRG.82"
62,"MSTRG.82"
63,"MSTRG.82"
64,"MSTRG.83"
65,"MSTRG.83"
66,"MSTRG.82"
67,"MSTRG.82"
68,"MSTRG.83"
69,"MSTRG.83"
70,"MSTRG.82"
71,"MSTRG.82"
72,"MSTRG.82"
73,"MSTRG.82"
74,"MSTRG.82"
75,"MSTRG.82"
76,"MSTRG.82"
77,"MSTRG.82"
78,"MSTRG.82"
79,"MSTRG.82"
80,"MSTRG.82"
81,"MSTRG.83"
82,"MSTRG.82"
83,"MSTRG.83"
84,"LOC101928626"
85,"MIR6723"
86,"MSTRG.15"
87,"MSTRG.16"
88,"MSTRG.16"
89,"OR4F29"
90,"OR4F3"
91,"OR4F16"
92,"MSTRG.23"
93,"MSTRG.35"
94,"MSTRG.35"
95,"MSTRG.36"
96,"MSTRG.37"
97,"MSTRG.38"
98,"MSTRG.38"
99,"MSTRG.39"
100,"MSTRG.40"
101,"FAM87B"
102,"LINC00115"
103,"MSTRG.26"
104,"MSTRG.26"
105,"MSTRG.26"
106,"MSTRG.26"
107,"MSTRG.26"
108,"MSTRG.26"
109,"MSTRG.27"
110,"MSTRG.28"
111,"MSTRG.29"
112,"MSTRG.29"
113,"MSTRG.29"
114,"MSTRG.29"
115,"MSTRG.17"
116,"MSTRG.18"
117,"MSTRG.19"
118,"LOC100130417"
119,"LOC100130417"
120,"MSTRG.41"
121,"MSTRG.42"
122,"MSTRG.42"
123,"MSTRG.42"
124,"MSTRG.43"
125,"MSTRG.44"
126,"MSTRG.45"
127,"MSTRG.45"
128,"MSTRG.46"
129,"MSTRG.47"
130,"MSTRG.45"
131,"MSTRG.45"
132,"MSTRG.48"
133,"MSTRG.48"
134,"MSTRG.48"
135,"MSTRG.48"
136,"HES4"
137,"HES4"
138,"MSTRG.5"
139,"MSTRG.2"
140,"ISG15"
141,"MSTRG.20"
142,"MSTRG.20"
143,"MSTRG.20"
144,"MSTRG.20"
145,"MSTRG.20"
146,"MSTRG.20"
147,"MSTRG.20"
148,"MSTRG.21"
149,"MSTRG.21"
150,"MSTRG.22"
151,"MSTRG.22"
152,"MSTRG.22"
153,"MSTRG.22"
154,"MSTRG.22"
155,"MSTRG.22"
156,"MSTRG.22"
157,"MSTRG.22"
158,"RNF223"
159,"MSTRG.1"
160,"MSTRG.6"
161,"MSTRG.7"
162,"MSTRG.7"
163,"MSTRG.8"
164,"MSTRG.24"
165,"MSTRG.25"
166,"MSTRG.30"
167,"MSTRG.30"
168,"MSTRG.31"
169,"MSTRG.32"
170,"MSTRG.33"
171,"MSTRG.33"
172,"MSTRG.34"
173,"MSTRG.4"
174,"MSTRG.3"
175,"MSTRG.9"
176,"MSTRG.10"
177,"MSTRG.10"
178,"MSTRG.10"
179,"MSTRG.10"
180,"MSTRG.9"
181,"MSTRG.11"
182,"MSTRG.12"
183,"MSTRG.12"
184,"MSTRG.12"
185,"MSTRG.13"
186,"MSTRG.14"
187,"MSTRG.50"
188,"MSTRG.50"
189,"MSTRG.50"
190,"MSTRG.51"
191,"MSTRG.50"
192,"MSTRG.50"
193,"MSTRG.52"
194,"MSTRG.52"
195,"MSTRG.50"
196,"MSTRG.50"
197,"MSTRG.50"
198,"MSTRG.50"
199,"MSTRG.53"
200,"MSTRG.53"
201,"MSTRG.54"
202,"MSTRG.50"
203,"MSTRG.50"
204,"MSTRG.55"
205,"MSTRG.56"
206,"MSTRG.56"
207,"MSTRG.57"
208,"MSTRG.56"
209,"MSTRG.56"
210,"MSTRG.58"
211,"MSTRG.56"
212,"MSTRG.56"
213,"MSTRG.59"
214,"MSTRG.56"
215,"MSTRG.59"
216,"MSTRG.60"
217,"MSTRG.67"
218,"MSTRG.67"
219,"MSTRG.68"
220,"MSTRG.68"
221,"MSTRG.68"
222,"MSTRG.68"
223,"MSTRG.68"
224,"MSTRG.68"
225,"MSTRG.67"
226,"MSTRG.68"
227,"MSTRG.68"
228,"MSTRG.68"
229,"MSTRG.68"
230,"MSTRG.68"
231,"MSTRG.69"
232,"MSTRG.68"
233,"MSTRG.68"
234,"MSTRG.68"
235,"MSTRG.68"
236,"MSTRG.68"
237,"MSTRG.68"
238,"MSTRG.70"
239,"MSTRG.70"
240,"MSTRG.71"
241,"MSTRG.71"
242,"MSTRG.71"
243,"MSTRG.72"
244,"MSTRG.72"
245,"MSTRG.72"
246,"MSTRG.73"
247,"MSTRG.72"
248,"MSTRG.72"
249,"MSTRG.74"
250,"MSTRG.49"
251,"MSTRG.49"
252,"MSTRG.49"
253,"MSTRG.49"
254,"MSTRG.49"
255,"MSTRG.49"
256,"MSTRG.61"
257,"MSTRG.62"
258,"MSTRG.63"
259,"MSTRG.64"
260,"MSTRG.64"
261,"MSTRG.64"
262,"MSTRG.64"
263,"MSTRG.64"
264,"MSTRG.88"
265,"MSTRG.89"
266,"MSTRG.89"
267,"MSTRG.89"
268,"MSTRG.89"
269,"MSTRG.89"
270,"MSTRG.89"
271,"MSTRG.88"
272,"MSTRG.89"
273,"MSTRG.89"
274,"MSTRG.90"
275,"MSTRG.91"
276,"MSTRG.91"
277,"MSTRG.89"
278,"MSTRG.89"
279,"MSTRG.89"
280,"MSTRG.89"
281,"MSTRG.89"
282,"MSTRG.89"
283,"MSTRG.89"
284,"MSTRG.89"
285,"MSTRG.89"
286,"MSTRG.89"
287,"MSTRG.92"
288,"MSTRG.92"
289,"MSTRG.92"
290,"MSTRG.93"
291,"MSTRG.94"
292,"MSTRG.94"
293,"MSTRG.94"
294,"MSTRG.95"
295,"MSTRG.95"
296,"MSTRG.89"
297,"MSTRG.96"
298,"MSTRG.89"
299,"MSTRG.89"
300,"MSTRG.89"
301,"MSTRG.84"
302,"MSTRG.84"
303,"MSTRG.85"
304,"MSTRG.86"
305,"MSTRG.86"
306,"MSTRG.86"
307,"MSTRG.87"
308,"MSTRG.178"
309,"MSTRG.179"
310,"MSTRG.179"
311,"MSTRG.179"
312,"MSTRG.179"
313,"MSTRG.179"
314,"MSTRG.179"
315,"MSTRG.179"
316,"MSTRG.179"
317,"MSTRG.179"
318,"MSTRG.179"
319,"MSTRG.179"
320,"MSTRG.179"
321,"MSTRG.179"
322,"MSTRG.179"
323,"MSTRG.179"
324,"MSTRG.179"
325,"MSTRG.180"
326,"MSTRG.181"
327,"MSTRG.182"
328,"MSTRG.183"
329,"MSTRG.183"
330,"MSTRG.183"
331,"MSTRG.183"
332,"MSTRG.183"
333,"MSTRG.183"
334,"MSTRG.183"
335,"MSTRG.183"
336,"MSTRG.183"
337,"MSTRG.183"
338,"MSTRG.183"
339,"MSTRG.183"
340,"MSTRG.183"
341,"MSTRG.183"
342,"MSTRG.183"
343,"MSTRG.183"
344,"MSTRG.183"
345,"MSTRG.183"
346,"MSTRG.183"
347,"MSTRG.183"
348,"MSTRG.183"
349,"MSTRG.183"
350,"MSTRG.183"
351,"MSTRG.183"
352,"MSTRG.183"
353,"MSTRG.183"
354,"MSTRG.183"
