"","eigenvalue","variance.percent","cumulative.variance.percent"
"Dim.1",550.115183363694,55.623375466501,55.623375466501
"Dim.2",62.8291794263589,6.35279872865106,61.976174195152
"Dim.3",60.7440393392473,6.14196555503007,68.1181397501821
"Dim.4",39.4200739980027,3.98585176926215,72.1039915194443
"Dim.5",34.90499621942,3.52932216576542,75.6333136852097
"Dim.6",29.8950315942737,3.0227534473482,78.6560671325579
"Dim.7",28.4533298023678,2.87697975757005,81.5330468901279
"Dim.8",26.9330921153728,2.72326512794467,84.2563120180726
"Dim.9",22.7725403811708,2.30258244501222,86.5588944630848
"Dim.10",20.4077344339134,2.06347163133604,88.6223660944209
"Dim.11",18.5019984425831,1.87077840673237,90.4931445011532
"Dim.12",15.7303635203146,1.59053220630077,92.083676707454
"Dim.13",14.828792101991,1.49937230556026,93.5830490130143
"Dim.14",13.3275628757823,1.34757966388092,94.9306286768952
"Dim.15",12.8636089098816,1.30066824164627,96.2312969185415
"Dim.16",10.3930053608145,1.05085999603786,97.2821569145793
"Dim.17",9.8822773595074,0.999219146562934,98.2813760611423
"Dim.18",9.0063252216696,0.910649668520689,99.1920257296629
"Dim.19",7.99086553363347,0.807974270337056,100
