"SRR975555.primary_colorectal_cancer","SRR975556.primary_colorectal_cancer","SRR975558.primary_colorectal_cancer","SRR975559.primary_colorectal_cancer","SRR975560.primary_colorectal_cancer","SRR975562.primary_colorectal_cancer","SRR975564.primary_colorectal_cancer","SRR975565.primary_colorectal_cancer","SRR975567.primary_colorectal_cancer","SRR975568.primary_colorectal_cancer"
0.015973,0,0,0,0,0,0,0,0.01248,0.027172
0,0,0,0,0,0,0,0,0,0
0,0,0,0.017678,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.007091,0,0,0.031535,0.010658,0.018217,0,0,0.002634,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.00558,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0.015538,0,0,0,0,0,0
0,0,0,0,0,0.011931,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0.005561,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0133645279255319,0,0
0.047132664495114,0,0,0.0778987625981989,0.00712645430159034,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0.00935,0.025032,0,0,0.011518,0,0.067858,0.013387,0
0.00771749720670391,0,0,0,0.00609358659217877,0.0152043351955307,0,0.0130267262569832,0.00604943016759777,0.0109496312849162
0,0,0,0.015814,0.016775,0,0,0,0,0
0,0,0,0,0,0,0,0,0.008091,0
0,0,0,0,0,0,0,0,0,0.00051
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.015686385687539,0,0.0274150986061993,0,0.00733714894944872
0.00802942438692098,0.00731698841961853,0.00788325885558583,0.0375471178474114,0.0135159557220708,0.011277977520436,0.0144297322888283,0.019975310626703,0.0142738869209809,0.0149301798365123
0.00905277871396896,0,0,0,0,0,0,0,0,0
0.000348,0,0,0,0,0,0,0,0,0.009121
0.005416,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.017259,0.110456,0.008185,0.020963,0.036641,0,0.018667,0.027692,0.042157,0.01187
0,0.0238325,0.0574125,0.0118285,0.0328475,0.011633,0,0.013461,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0.00497465052973475,0,0,0,0.00383706287216766,0,0
0,0.018808,0.032835,0.063142,0.050704,0.035957,0,0.018929,0.084378,0.017516
0.000516,0.002604,0.002134,0,0,0,0,0,0,0.007002
0,0,0,0,0,0,0,0,0,0
0.079387,0.227817,0.232041,0.14696,0,0.031313,0.03429,0.127132,0.285408,0.083597
0,0,0,0,0,0,0,0,0,0.0052
0.023534,0.018166,0.023984,0,0,0,0,0.089719,0,0.050925
0,0,0,0,0,0,0,0,0,0
0,0,0.004393,0,0,0.00848,0,0.008404,0,0
0.012356,0,0,0,0,0,0,0,0,0.008021
0,0,0,0,0,0,0,0,0,0.011131
0,0,0,0.0147089326599327,0.0319398451178451,0.0511642727272727,0.0337362760942761,0,0,0.0144290033670034
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.00398642085152838,0
0,0,0,0,0.00449191348134585,0,0,0,0,0
0,0.006331,0,0,0,0,0,0.005986,0,0.007279
0.008891,0.017719,0,0.021339,0.028028,0,0,0,0.022169,0
0,0.025751,0,0.020939,0.016615,0,0,0,0,0
0.033604,0,0,0,0,0,0,0,0.013929,0
0,0,0,0,0,0,0,0,0.004691,0
0,0.0365769541062802,0.0938225531400966,0.132493117149758,0.0388772330917874,0,0,0.0598749855072464,0.0682016654589372,0.0503673393719807
0,0,0,0,0,0,0,0,0.003383,0
0.00854414509683369,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.066538125113054,0.0412832993668978,0.0220815598432318,0.0170788854386494
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0120844729064039,0,0,0,0,0
0.0208994936877076,0.0133324916943522,0,0.0074580657807309,0,0,0,0,0,0
0,0.00474,0,0,0,0,0,0,0,0
0,0.008841,0,0,0,0,0,0,0.007265,0
0,0,0,0,0,0,0,0,0.016122,0
0,0,0,0,0.008191,0,0,0,0,0
0,0,0.017918,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0.015502,0.020356,0.004111,0,0.013831,0,0.033504,0.05159,0.00433
0.00819404077849861,0,0.00548426135310473,0,0,0,0,0,0.00633891380908248,0
0,0,0,0,0.015884,0,0,0,0,0
0.0251905881397238,0.00798569618196588,0,0.000628115353371243,0.000743771324126726,0,0,0,0.00294969740048741,0
0.0133693004963727,0.00392762542955326,0,0.00828260862924781,0.00557400534555174,0,0,0.001359709240168,0,0.00247340511645666
0,0,0,0.028434,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.00779933364697027,0
0,0,0,0,0,0.008959,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.00300973360655738,0,0.00990699873896595,0.00807751418663304,0.00603424495586381,0.00264915668348045,0.00261171973518285,0.0185736522698613,0,0.00917993379571248
0,0,0.009603,0,0.06223,0,0,0.026376,0.065674,0
0,0.057902,0.030644,0,0.004251,0,0.008284,0.021494,0.13803,0
0.002532,0,0,0,0,0,0,0,0,0
0,0.0300690987292278,0.0196016031280547,0.0356641388074291,0.0287756324535679,0.0778475073313783,0,0,0.0211056568914956,0.044882082111437
0.127893,0.169663,0.336645,0.291676,0.13643,0.087348,0.379346,0.338612,0.436998,0.264951
0.009456,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.00402,0.004678,0,0,0,0,0,0,0,0
0,0.029913,0.007615,0,0,0,0,0,0,0
0,0,0,0,0,0.026008,0,0,0,0
0,0,0.010984,0.006513,0,0,0,0,0,0
0.00644297728652982,0,0,0,0,0,0,0.0150368696708369,0,0
0,0,0,0,0,0.011683,0,0,0,0
0.039529,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.00851152274368231,0.0297112226233454,0.129107443802647,0.0147478705174489,0.0283397114320096,0.0257490791817088,0.0415015598074609,0.0482882592057762,0.0464294878459687,0
0.02542,0,0,0.024885,0.060364,0.010342,0,0.011968,0.098382,0.008991
0,0,0,0,0,0,0,0,0,0.015705
0,0,0,0,0.028165,0,0,0,0,0
0,0,0,0.011949,0,0,0,0,0,0
0,0,0,0,0.018735,0,0,0,0,0
0,0,0,0.041542,0,0,0,0,0,0
0.020101,0,0.257638,0,0,0,0,0,0,0
0,0,0,0,0,0,0.052714,0,0,0
0,0,0,0,0,0.019834,0.019895,0,0.017504,0
0.044642,0,0.031535,0,0,0.025238,0,0,0,0.013247
0,0,0.096805,0.046432,0,0,0,0.079262,0.072842,0
0,0,0,0.023838,0,0,0,0,0,0
0,0,0,0,0.024408,0,0,0,0.02476,0
0,0,0,0.006742,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0.011718,0.003181,0,0,0,0,0,0
0.008654,0.002348,0.006075,0,0,0.002492,0,0.006463,0,0.002581
0,0,0,0,0,0,0,0.027662,0,0
0,0,0,0,0,0,0,0,0,0
0.0177050535110404,0.0153005657449771,0.0163036140839467,0.0156454163517008,0.0151917099661826,0.0134266711756515,0.045539407201114,0.0251577673894304,0.0510166917313176,0.00304458643326039
0.152311,0.166477,0.289023,0.07079,0.131037,0.054153,0.034577,0.46937,0.246911,0.157148
0,0,0.013575,0.004759,0.004305,0.00254,0,0,0,0
0,0,0,0,0,0,0,0.034986,0,0
0,0,0,0,0,0.0101794437761069,0,0,0.0103528041771094,0
0,0.021476,0.057266,0.281241,0,0.03024,0,0.027102,0,0.02243
0,0,0,0,0,0,0,0,0,0
0,0,0.0487273820084725,0.0217293194617493,0.0293427231497633,0,0,0.0427853107400947,0,0
0,0,0,0,0,0,0,0.011919,0,0
0,0,0,0,0,0,0,0,0,0
0.0125314220411056,0,0,0,0.0208631289865344,0,0.0135533447909284,0.0500182048192771,0,0.014796
0,0,0.012817,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.023962,0.026178,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.013087,0
0,0,0,0,0,0,0,0,0,0
0,0,0.017306,0,0,0,0,0,0,0
0,0,0,0,0.001531,0,0,0,0,0
0,0.050652,0.017745,0,0,0,0,0,0,0
0.064194,0.005371,0.073127,0.084795,0.060775,0.040155,0,0.259091,0.01476,0.039052
0,0,0,0,0,0,0,0,0,0
0,0.00640739746588694,0.00532966218323587,0.0212054575048733,0,0,0.014534914619883,0.00884826471734893,0.00807914483430799,0
0,0,0.002218,0,0,0,0,0.003053,0,0
0,0,0,0,0,0.017518,0,0,0.027557,0
0,0,0,0.0143937393767705,0,0,0,0.0154713975448536,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.002014,0,0,0.007603,0,0,0,0,0,0
0,0,0.082157,0.012944,0.03897,0,0.01504,0,0.037035,0
0,0,0,0,0.012763,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.040308,0,0,0.030019,0.007012,0,0,0.035821,0,0.008073
0,0,0,0,0,0.003957,0,0,0,0
0,0,0,0,0,0.011717,0,0,0,0
0,0,0,0.022031,0,0.033352,0,0,0,0
0.00246514285714286,0.005853,0.00287157142857143,0.00172514285714286,0.00139914285714286,0.000760428571428571,0.00622014285714286,0.000794285714285714,0.00429371428571429,0.00158628571428571
0.000444885209967697,0.000237334160129211,0.000748167685740655,0.000302085832948777,0.000252225715274573,0,5.90343793262575e-05,0,0.00102871394785418,0.000662142362713429
0,0.004479,0,0.010658,0,0,0,0,0,0
0.0202739944642857,0.00288145,0.0325360610714286,0.0296410723214286,0.0273644196428571,0.0150864489285714,0.0180782921428571,0.0140985232142857,0.02661500625,0.00681724875
0.0119670280669986,0.0256138284291535,0.0163148229968311,0.0172213173381621,0.0472185337256677,0.0290688003621548,0.00857150316885468,0.0300786713444998,0.00938089361702128,0.00972370190131281
0.02673,0.028629,0.020135,0.021957,0.027128,0.007564,0.009618,0.027161,0.012931,0.005419
0.00323065423728814,0.0197517624293785,0,0,0.0191561228813559,0,0,0,0,0.0161601742937853
0.020197,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.0167,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0704305,0,0
0,0,0,0,0,0,0,0,0,0
0.0056608,0.0179508,0.0021976,0.0037348,0.013706,0.0046938,0.0024962,0.0055332,0.005004,0.022276
0.0503370219487862,0,0,0,0,0.0142600019953442,0.0884725221150649,0.0138253275690057,0,0
0,0,0,0,0,0.0432307678978568,0.04050289375285,0,0,0
0,0.111623,0.02003,0,0.021419,0.104868,0,0.067462,0.028979,0.131121
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.031259,0.019036,0,0,0,0
0,0,0,0,0,0.014549,0,0,0,0
0.0179711698818898,0,0.050330886023622,0.027042911023622,0.021436768503937,0.0429097366141732,0.00321680531496063,0,0,0.0162627891732283
0,0,0,0,0.016214,0,0,0,0,0
0,0,0,0.075372,0.021766,0.025631,0,0.109437,0.039734,0
0,0,0.0151461604095563,0.00886584470989761,0,0,0.0244767064846416,0.0838334044368601,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.012814
0,0,0,0,0,0,0,0,0,0.005822
0,0.012087,0.061437,0,0.033276,0,0,0.021852,0,0.012495
0,0,0.005428,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.008126,0,0
0.00845761225849434,0,0.00738781345769487,0.0101572744836775,0,0.0100613414390406,0,0,0,0
0,0,0.014467825,0,0,0,0,0,0,0
0,0,0.008587,0,0,0,0,0,0,0
0.012491,0.046497,0.036651,0,0.042067,0,0.017266,0,0.02323,0.049107
0.008183,0,0,0,0,0.060736,0,0,0,0
0.00171103759398496,0.00153128684210526,0,0.0216378312030075,0.00262961578947368,0.00684047631578947,0,0,0,0.0053836522556391
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.010134,0,0,0,0.011413,0
0,0,0,0,0,0,0,0,0,0
0.019288,0.092954,0.027612,0,0.04941,0,0.018214,0.031035,0,0
0,0,0,0,0.01783568756027,0,0,0,0,0
0,0.030678,0.022147,0.008099,0.026437,0.003522,0,0,0.023174,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.073178,0.279947,0.475185,0.77071,0.480039,0.511734,0.256169,0.174181,0.857032,0.137402
0.068752,0,0,0,0.005684,0,0,0,0.011159,0
0.013489,0,0.023875,0,0.007003,0,0.028392,0.047408,0.013655,0
0,0,0,0,0,0,0,0,0,0
0.039325341006424,0.0300088088865096,0.0160779796573876,0.0193349389721627,0.132589999464668,0.0152653683083512,0,0.0214772039614561,0.0665616632762313,0.00819288115631692
0,0,0,0,0,0,0,0.00742573532518485,0,0.00145114018409537
0,0,0,0.003408,0,0,0,0,0,0
0,0,0,0,0.023275,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0.545867,0.024434,0.013086,0.156341,0.082079,0.060826,0.043612,0.064339
0,0,0,0,0,0,0,0,0,0.0270896445733223
0,0,0,0,0,0,0,0,0,0
0.015562,0,0,0.00964,0.029584,0.004717,0,0,0,0
0.015394,0,0,0.061747,0,0,0.012996,0,0.014083,0
0,0,0.034234,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0.018065,0,0,0.010774,0,0.023504,0.010414,0.011536
0,0,0,0,0,0,0.009906,0,0,0
0,0,0,0,0,0.035662,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0123174570446735,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0.01404,0,0,0,0,0,0
0,0.0524205401273885,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.020494,0,0,0.037963,0,0
0,0,0.01417,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.011539
0.018364,0,0,0,0.030574,0.04164,0.014811,0.014171,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0.032249,0.018829,0,0.020507,0,0,0.051847,0.038699,0.035983
0.01357,0,0,0,0,0,0,0,0.025134,0
0,0,0,0,0,0,0,0.010826,0,0
0.010952,0.006372,0.011161,0.026437,0,0,0.0118455,0.016013,0,0.024884
0,0.035752,0,0,0,0,0,0,0,0.019945
0,0,0.012505,0.005165,0.006458,0,0.006395,0.010972,0.006819,0.016725
0.047276,0.144889,0.161022,0.225654,0.273024,0.058231,0.254065,0.219062,0.080554,0.123904
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.0227944729281768,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0246458118556701,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0.0410169241274659,0,0,0,0.0435313566009105,0,0.0620317921092564,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0.00311004961832061,0,0,0,0.00324089312977099,0,0,0,0.0181536984732824
0.0413214444444444,0,0.0757584114114114,0,0.0334922102102102,0,0.171837840840841,0,0.0497834324324324,0.0220880630630631
0,0,0,0,0,0,0,0,0,0.150948068281938
0,0,0,0,0,0,0,0,0,0
0,0.025655,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.0275995,0.0720735,0.0561605,0,0,0,0.086104,0.0616,0.1777425,0
0,0,0.018948,0.067538,0.014449,0,0,0,0,0
0,0,0.0143108377997179,0,0,0,0,0,0,0
0.028129,0.044557,0.262783,0.053497,0.089836,0.023736,0.126239,0.411042,0.223958,0.23181
0,0,0,0,0,0,0,0,0,0
0.21822,0.248512,1.114402,0.311534,0.512639,0.163418,0.158741,0.031372,0.165508,0.133159
0,0,0,0,0.0125444176352705,0,0,0.00905731022044088,0.00822349899799599,0.00672588617234469
0,0,0,0.06556,0.049779,0.055821,0,0,0.038665,0
0.0625141583054627,0.0390413229282794,0.00671691787439614,0.0922840115198811,0.0853320512820513,0,0,0,0.0535720364176886,0.0339960144927536
0.0190254941860465,0,0,0.014624168157424,0,0.0143823568872987,0.00855272025939177,0.0110953477191413,0,0
0,0,0.009685,0,0,0,0,0,0,0.012339
0,0,0,0,0,0,0,0,0.055021,0
0,0.000988875,0,0,0,0,0,0,0.00112725,0
0,0,0,0.0417573986420951,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.011099243706481,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0.040115,0.032928,0.064625,0,0.087085,0.052155,0.019259
0,0,0,0.029782,0,0,0,0,0,0
0.00559197975964579,0,0,0,0,0,0,0,0,0.00679282732447818
0.017564636753214,0.0366498535417192,0.0235241008318629,0.0335822321653643,0.100838366019662,0.010809443408117,0.00964136576758256,0.0366271724224855,0.015257777917822,0.0134716397781699
0.032033,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.050012,0.03061,0.033071
0.03616,0.045242,0,0,0.020067,0,0,0,0,0
0,0.020355,0,0,0,0,0,0,0,0
0.026273,0.011868,0.034167,0.042304,0.082433,0,0.014208,0.018523,0,0
0,0,0,0,0,0.004808,0,0,0,0
0.0242566046184173,0.0231189912700648,0,0.0122785440720924,0.0220514587440158,0,0.0215426527738665,0,0.023343633905942,0.0258598234300197
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.016237,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.020046,0
