"SRR975569.normal_colon","SRR975572.normal_colon","SRR975574.normal_colon","SRR975575.normal_colon","SRR975576.normal_colon","SRR975577.normal_colon","SRR975580.normal_colon","SRR975582.normal_colon","SRR975585.normal_colon","SRR975586.normal_colon"
0,0.014541,0,0.014403,0,0.011939,0.018121,0,0,0.013892
0.027212,0,0,0.00778,0,0,0,0,0.009263,0
0,0,0,0,0,0,0,0,0,0
0,0.003147848452508,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.013828,0,0,0
0,0,0,0,0,0,0,0,0,0.00353077795031056
0,0,0,0,0,0.00482138427057865,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0.00186656834342902,0,0,0,0,0,0,0,0
0,0.023682,0,0,0.009998,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.006973,0,0,0,0,0,0.031857,0,0,0
0,0,0,0.040542,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.017188,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0105254445296034,0,0,0
0,0,0,0,0,0.036443,0,0,0,0
0.0167293466063348,0.0275617221719457,0,0.00708839185520362,0.0171176823529412,0.00905929411764706,0,0.0181494977375566,0,0
0.029753,0,0,0,0,0.022152,0.069535,0,0,0
0,0,0,0,0,0,0,0,0,0.013546
0.023881,0.010286,0.011274,0.011094,0,0,0.00583,0.014901,0.020564,0.014207
0,0.0155076201117318,0,0,0,0,0.0289608044692737,0,0,0
0.014112,0,0.017814,0.034612,0.034867,0.02883,0,0.011904,0,0
0,0,0.012696,0,0.016984,0,0,0,0,0
0.009211,0.015175,0,0.009521,0,0,0,0,0,0
0,0.0144304620084002,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.00560645933014354,0
0.0114115592643052,0,0,0.00808750340599455,0.00612733651226158,0,0.0134230292915531,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0.012455,0,0,0,0,0,0
0.092862,0.039636,0.047572,0.057971,0.018463,0.018585,0.037441,0.029363,0,0.059006
0,0,0.0214965,0.017498,0.018249,0,0.0205585,0.0162685,0,0
0,0,0,0.009493,0.010328,0.006559,0,0,0,0.026562
0.00151356182816488,0,0,0.00641669027917408,0.00424396550924136,0,0.00538155316680844,0,0,0.00462090619441652
0.039493,0.083065,0.009069,0.039747,0.017319,0.054722,0.025933,0.026877,0.022895,0.036656
0,0.004716,0,0,0.003571,0,0,0,0.000791,0
0,0,0,0,0,0,0,0.006582,0,0
0.145107,0.202175,0.107468,0.081249,0.034618,0.183883,0.027737,0.169217,0.096103,0
0,0,0,0,0,0,0,0,0,0
0,0.027024,0,0.036566,0,0.017591,0,0.017795,0.041437,0
0.009499,0,0,0,0,0,0,0,0,0
0,0,0.002793,0,0,0,0.004257,0,0,0
0.012918,0,0,0.01215,0,0,0,0.014015,0,0
0,0,0,0,0,0,0,0,0,0
0,0.0746547878787879,0,0.0154641313131313,0,0.039238936026936,0.0196308047138047,0.0866612255892256,0.0438817508417508,0
0,0,0,0,0,0,0.0128797198067633,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.011011,0,0.01131,0,0.004421,0.00989,0,0,0,0.010146
0.009295,0,0,0,0,0.019724,0.006891,0,0,0.007881
0.046779,0,0,0.015325,0,0,0,0.018989,0,0
0.023876,0,0,0.034583,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.0435793888888889,0.131574394927536,0.0430679263285024,0.0415231183574879,0.0324887270531401,0.0611288937198068,0.0373115845410628,0.0831070217391304,0.0699427222222222,0.114398283816425
0.002008,0,0,0.003778,0.007096,0,0.005069,0.002168,0.004095,0.003295
0,0.00753926467875807,0,0,0,0,0,0,0,0
0,0.0457457871570696,0.0155737651492312,0.0190184461863129,0,0.0209201145613506,0.0131001863129334,0.0376288884534218,0.0333673183599638,0
0,0,0,0,0,0,0,0.014936,0,0
0,0.00979471551724138,0,0.0206666933497537,0.0230061280788177,0,0.011665895320197,0.0123494187192118,0,0.0333629334975369
0,0.0269812235880399,0,0,0.0123813322259136,0,0,0.0379797162790698,0,0.00842304551495017
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0109,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.013093,0,0.046943,0.031999,0,0
0,0,0,0,0.0297880818897638,0,0,0,0,0
0,0,0,0.263036,0,0,0,0,0,0
0,0,0,0,0.00611078189593728,0,0,0,0,0
0.1249,0.05683,0.04261,0.114942,0.076378,9.2e-05,0.042661,0,0.035683,0
0.00568223169601483,0.0121099907321594,0.011754609823911,0.00923990361445783,0,0,0.00731524559777572,0.0154272011121409,0.00854749026876738,0
0,0,0,0,0,0,0,0,0,0
0.00223037367993501,0,0,0.00319041226645004,0,0,0.00513023558082859,0,0.00228773151909017,0
0,0,0,0,0.00361115234822451,0.00104908190148912,0,0,0,0
0,0.00804,0.01352,0,0.012027,0,0,0,0,0
0.0069233633797516,0.010883886149793,0.00745551975912683,0,0.0142376262702296,0.0074617386149793,0,0,0,0
0,0.013355,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.015874
0.00409836065573771,0.0120980453972257,0,0,0,0.0123955706179067,0.0025063051702396,0.00488552175283733,0,0.0111660624211854
0,0,0,0,0,0,0,0,0,0
0.047848,0.170238,0.012871,0.222261,0.032734,0.017133,0.004103,0,0.011301,0.149677
0,0,0,0,0,0,0,0,0,0
0.0542108084066471,0,0.0382480772238514,0.0232524516129032,0,0,0.044052706744868,0.0294063968719453,0.0274981348973607,0
