"","ID","Description","Count","GeneRatio","geneID"
"GO:0050789","GO:0050789","regulation of biological process",522,"522/1001","160/8929/374462/57670/79989/2064/4130/1454/1268/10554/7320/5923/3656/5538/2915/79027/55140/9655/11035/80333/8832/79085/170690/6155/23532/408/51266/10318/51311/9518/80725/89932/961/27346/4046/1511/1675/10272/5179/29091/94031/8532/23300/92749/388324/54471/5922/219931/2046/55036/4318/54499/6199/10446/5686/2321/23071/84101/284217/81669/55210/10585/4358/5449/5333/1258/5139/4193/2956/9501/5066/387733/27005/55037/390195/3172/390649/9201/11137/54518/25959/503582/1759/81545/153222/80315/3696/6400/1786/10439/23303/3910/24138/10236/8516/11145/8387/1397/8725/1936/6122/6494/55646/54443/9753/157378/7881/284349/1132/676/9145/26533/2719/11059/6949/3340/4101/8850/6402/64786/23399/7277/23322/2645/4907/9508/7626/22897/60385/5734/150577/10763/10562/10643/339345/22926/66008/167359/7345/7484/219790/406984/2555/8938/114907/57060/126731/3312/54941/10363/57732/2296/94234/8793/4646/10752/152330/1991/81035/8811/960/326/81858/201140/6907/3899/660/140462/10411/9668/114882/4293/2532/3845/7520/219287/9491/7850/3595/317649/5336/1501/6355/2077/23152/150681/3977/389114/11240/4584/3181/89887/7138/653268/10461/1149/2695/90134/9887/9554/4853/2565/9649/10590/23266/219869/345222/51643/11213/9235/10320/116449/57709/4063/9177/51284/1870/80818/6295/200558/246330/23564/23035/92747/830/2001/29842/55706/150290/115330/64328/1646/9839/2887/552/26037/27091/4778/3214/26747/64423/56999/10144/57451/158297/6663/6456/4158/54861/29128/58524/4692/3020/80760/57713/51332/23334/650/3824/83591/5563/4436/4635/6048/10955/51804/2048/9564/5314/84464/8805/306/8925/94/55614/51106/79618/5784/645432/70/90427/2764/6906/2294/23593/57018/55835/3993/80032/7837/51393/4880/5624/56241/6775/8027/613/3320/5527/116931/126961/143/9656/26268/226/101927423/8741/8742/285852/1499/56893/1029/10276/79754/1796/6434/10807/9939/9103/55722/10871/2977/5136/149603/10382/4082/7292/84808/7673/148867/3683/23466/81/8633/4287/23504/353355/57568/6713/84466/7466/148327/207/4920/775/3662/57801/291/3766/8744/1497/25865/1265/112858/79862/3921/10294/9869/152815/10626/161725/9064/4159/9879/79000/3752/5998/6885/51289/22893/84216/11095/85477/55785/6648/6531/2651/7020/6594/64175/64135/5972/8031/55553/728233/192286/8427/4496/9604/6092/84105/619279/1949/3006/2201/79801/776/84312/54429/284340/93649/8821/2099/345557/57115/9362/240/2162/124512/57708/3359/65986/2804/125919/4088/22931/57590/8452/55619/322/5160/79171/1364/4094/8751/64343/23101/10919/388503/9241/6300/348980/84289/49856/79753/5576/387129/10049/342908/1004/57498/5155/11024/83463/440822/171425/163702/5933/154810/7295/81793/6173/3987/4848/148252/3066/8021/81033/10589/51742/57758/147741/94027/4826/342357/7456/85464/10888/23435/79651/3552/6574/25924/3053/284352/799/3084/5366/23677/27032/9066/5119/192683/3685/25909/11047/399664/8764/29947/5522/57057/441549/85300/152831/23175/729956/27338/10715/3430/10493/2729/113146/10410/84299/22806/916/9555/256158/8425/6507/26033/10462/147372/3183/545/1119/6895/9919/1001/2016/4774/83715"
"GO:0050794","GO:0050794","regulation of cellular process",499,"499/1001","160/8929/374462/57670/79989/2064/4130/1454/1268/10554/7320/5923/3656/5538/2915/79027/55140/9655/11035/80333/8832/79085/170690/23532/408/51266/10318/51311/9518/80725/89932/961/27346/4046/10272/5179/29091/94031/8532/23300/92749/388324/54471/5922/219931/2046/55036/4318/54499/6199/10446/5686/2321/23071/84101/284217/81669/55210/10585/4358/5449/5333/1258/5139/4193/2956/9501/5066/27005/55037/390195/3172/390649/9201/11137/54518/25959/503582/1759/81545/153222/80315/3696/6400/1786/10439/23303/3910/24138/10236/8516/11145/8387/1397/8725/1936/6494/55646/54443/9753/7881/284349/1132/676/9145/26533/2719/11059/6949/3340/4101/8850/64786/23399/7277/23322/2645/9508/7626/22897/60385/5734/150577/10763/10562/10643/339345/22926/66008/167359/7345/7484/219790/406984/2555/8938/57060/126731/3312/54941/10363/57732/2296/94234/8793/4646/10752/152330/1991/81035/8811/960/326/81858/201140/6907/3899/660/140462/10411/9668/114882/4293/2532/3845/7520/219287/9491/7850/3595/317649/5336/1501/6355/2077/23152/150681/3977/389114/11240/4584/3181/89887/653268/10461/1149/2695/9887/9554/4853/2565/9649/10590/23266/219869/51643/11213/9235/10320/116449/57709/9177/51284/1870/80818/6295/200558/246330/23564/23035/92747/830/2001/29842/55706/150290/115330/1646/9839/2887/552/26037/27091/4778/3214/26747/64423/56999/10144/57451/158297/6663/6456/4158/54861/29128/58524/4692/3020/80760/57713/51332/23334/650/3824/83591/5563/4436/6048/10955/51804/2048/9564/5314/84464/8805/306/8925/94/55614/51106/79618/5784/645432/70/90427/2764/6906/2294/23593/57018/55835/3993/80032/7837/51393/4880/5624/56241/6775/8027/613/3320/5527/116931/126961/143/9656/26268/226/101927423/8741/8742/285852/1499/56893/1029/10276/79754/1796/6434/10807/9939/9103/55722/10871/2977/5136/149603/10382/4082/7292/84808/7673/148867/3683/23466/81/8633/4287/23504/353355/57568/84466/7466/148327/207/4920/775/3662/57801/291/3766/8744/1497/25865/1265/112858/79862/10294/9869/152815/10626/161725/9064/4159/79000/5998/6885/51289/22893/84216/11095/85477/55785/6648/6531/2651/7020/6594/64175/64135/5972/8031/55553/728233/192286/8427/4496/9604/6092/84105/619279/1949/3006/2201/79801/776/84312/54429/284340/93649/8821/2099/345557/57115/9362/240/2162/124512/57708/3359/65986/2804/125919/4088/22931/57590/8452/55619/322/5160/79171/1364/4094/8751/64343/23101/10919/388503/9241/6300/84289/49856/79753/5576/387129/10049/342908/1004/57498/5155/11024/83463/440822/171425/163702/5933/154810/7295/81793/3987/4848/148252/3066/8021/10589/51742/57758/147741/94027/4826/342357/7456/85464/10888/23435/79651/3552/6574/25924/3053/284352/799/3084/5366/23677/27032/9066/5119/192683/3685/25909/11047/399664/8764/29947/5522/57057/441549/85300/152831/23175/729956/27338/10715/3430/10493/2729/113146/10410/84299/22806/916/9555/256158/8425/6507/26033/10462/147372/3183/545/1119/6895/1001/2016/4774/83715"
"GO:0071704","GO:0071704","organic substance metabolic process",479,"479/1001","160/8929/1593/153527/248/729920/2346/374462/249/57670/2064/5129/1454/80335/1268/10554/54905/7320/5923/3656/5538/2915/79027/55140/9655/11035/79085/23190/9653/170690/6155/80832/23532/408/51266/10318/51311/9518/80725/89932/1511/1675/10272/5179/158471/94031/8532/23300/388324/5922/2046/115939/4318/6199/5686/2321/23071/84101/252969/81669/10585/5449/5333/55349/203074/9790/92483/5139/4193/2956/5066/10799/27005/55037/6947/3172/9201/11137/25959/503582/1759/153222/80315/3696/6400/1786/10439/10236/55794/8516/11145/64841/9885/8725/1936/6122/55646/9753/66002/284349/676/2719/11059/64708/6949/3340/4101/8850/10893/91833/23399/2645/4907/9154/9508/7626/22897/5734/9718/10643/339345/22926/66008/56655/167359/3614/7345/7484/406984/3849/114907/57060/3312/54941/43849/10363/57732/2296/94234/8793/953/4646/152330/8732/1991/51585/8972/8811/960/326/81858/124739/412/6907/3899/660/140462/2187/10411/9668/114882/4293/3845/7520/57733/642636/9491/7850/3595/6799/317649/27109/5336/79623/1501/6355/2077/23152/389114/196463/23352/11240/4584/3181/89887/27068/4322/10461/1149/9887/9554/4853/345222/11213/10320/400566/51284/1870/80818/6295/200558/246330/10072/23564/23035/2001/29842/55706/150290/1646/9839/552/27091/4778/4439/641372/230/3214/3004/26747/56999/57451/6663/9469/6456/54861/646625/55967/29128/7358/58524/4692/3020/80760/57713/51332/2731/650/83591/6533/5563/4436/6048/29789/80222/10955/51804/2048/80157/5314/84464/8805/51102/306/8925/94/114792/55614/51106/79618/5784/2166/143279/70/2764/6906/2294/54853/57018/55699/80032/10317/36/4880/5624/283848/6775/8344/8346/8027/613/3320/5527/116931/126961/143/9656/26268/226/79654/101927423/8741/8742/1499/56893/1029/79754/6434/92949/28987/9939/51257/55599/2977/27443/266971/5136/149603/7292/84808/339451/7673/23466/81/100133315/2230/4287/353355/6713/7466/148327/207/56001/4920/3662/57801/1497/25865/112858/9348/79862/3921/54935/84706/9869/2326/152815/10626/161725/5549/11001/9064/56985/197258/4159/9879/79000/2595/5998/27351/643418/6885/22893/10004/11095/6648/6531/2651/7020/6594/9435/64175/64135/5972/8031/55553/728233/8427/9604/84105/619279/3006/6568/84312/284340/93649/8821/2099/345557/57115/6707/9362/240/2162/57478/124512/122970/57708/65986/2804/125919/4088/8452/322/5160/79171/4094/8751/10919/388503/140766/9241/6300/84289/79753/5576/8492/10049/342908/57498/5155/5378/83463/440822/171425/5933/7295/4016/6173/3704/3987/4848/3066/8021/2766/333926/10589/51742/147741/7384/4826/54965/342357/85464/23435/79651/3552/4172/3053/221687/284352/799/84750/3084/5366/84002/5119/3685/25909/6439/11047/399664/2583/29947/5522/57057/85300/152831/23175/27338/10715/339983/10250/2729/113146/22806/916/9555/8425/6507/147372/51258/3183/545/1119/6895/1001/2016/4774"
"GO:0044237","GO:0044237","cellular metabolic process",470,"470/1001","160/8929/1593/153527/248/729920/2346/374462/9342/249/57670/2064/5129/1454/80335/1268/10554/54905/7320/5923/3656/5538/2915/79027/55140/9655/11035/79085/23190/9653/6155/23532/408/51266/10318/51311/9518/80725/89932/1511/10272/5179/158471/94031/8532/23300/388324/5922/219931/2046/115939/4318/6199/5686/2321/23071/84101/252969/81669/10585/4358/5449/5333/55349/9790/92483/5139/4193/2956/5066/10799/27005/55037/6947/3172/9201/11137/25959/503582/1759/153222/80315/3696/6400/1786/10236/55794/8516/11145/64841/9885/8725/1936/6122/55646/9753/66002/284349/676/2719/11059/64708/6949/3340/4101/8850/91833/23399/136332/2645/4907/9154/7626/22897/60385/5734/9718/10643/339345/22926/66008/56655/167359/3614/7345/7484/406984/3849/114907/57060/3312/54941/10363/57732/2296/94234/8793/953/4646/152330/8732/1991/51585/8972/8811/960/326/81858/124739/412/6907/3899/660/140462/2187/10411/9668/114882/4293/3845/7520/57733/642636/9491/7850/3595/6799/317649/27109/5336/79623/1501/6355/2077/23152/389114/23352/11240/4584/3181/89887/27068/4322/10461/1149/9887/9554/4853/80224/84064/11213/10320/400566/57709/51284/1870/80818/6295/200558/246330/23564/23035/2001/29842/55706/150290/1646/9839/2887/552/27091/4778/4439/641372/230/3214/26747/56999/57451/6663/9469/6456/54861/646625/55967/29128/7358/58524/4692/3020/80760/57713/51332/23334/2731/650/83591/6533/5563/4436/6048/29789/80222/10955/51804/2048/80157/5314/84464/8805/51102/306/8925/94/114792/55614/51106/79618/5784/2166/143279/90427/2764/6906/2294/54853/57018/55699/80032/10317/36/7837/4880/5624/6775/8344/8346/8027/613/3320/5527/116931/126961/143/9656/26268/226/79654/101927423/8741/1499/56893/1029/79754/6434/92949/28987/9939/51257/55599/2977/27443/266971/5136/149603/7292/84808/339451/7673/23466/81/100133315/2230/4287/23504/353355/6713/7466/148327/207/4920/3662/57801/291/1497/25865/112858/9348/79862/3921/54935/84706/9869/2326/152815/10626/161725/5549/11001/9064/56985/197258/9879/79000/2595/5998/6885/22893/6648/6531/2651/7020/6594/9435/64175/64135/5972/8031/55553/728233/8427/9604/84105/619279/3006/6568/10050/84312/284340/93649/8821/2099/6707/9362/240/2162/57478/124512/122970/57708/65986/2804/125919/4088/8452/322/5160/79171/4094/23230/10919/388503/9241/6300/84289/79753/5576/10049/342908/57498/5155/5378/83463/440822/171425/5933/7295/4016/6173/3704/3987/4848/3066/8021/2766/333926/10589/51742/147741/7384/4826/54965/342357/85464/23435/3552/6574/4172/3053/221687/284352/799/84750/3084/5366/23677/84002/5119/3685/25909/6439/11047/399664/2583/29947/5522/57057/85300/152831/23175/27338/10715/339983/10250/2729/113146/6649/22806/916/9555/6507/147372/51258/3183/545/1119/6895/1001/2016/4774"
"GO:0044238","GO:0044238","primary metabolic process",462,"462/1001","160/8929/1593/153527/248/729920/2346/374462/249/57670/2064/5129/1454/80335/1268/10554/54905/7320/5923/3656/5538/2915/79027/55140/9655/11035/79085/23190/9653/170690/6155/80832/23532/408/51266/10318/51311/9518/80725/89932/1511/1675/10272/5179/94031/8532/23300/388324/5922/2046/115939/4318/6199/5686/2321/23071/84101/252969/81669/10585/5449/5333/203074/9790/92483/5139/4193/2956/5066/10799/27005/55037/3172/9201/11137/25959/503582/153222/80315/3696/6400/1786/10236/55794/8516/11145/64841/9885/8725/1936/6122/55646/9753/66002/284349/676/2719/11059/64708/6949/3340/4101/8850/10893/91833/23399/2645/4907/9154/9508/7626/22897/5734/9718/10643/339345/22926/66008/56655/167359/3614/7345/7484/406984/3849/114907/57060/3312/54941/43849/10363/57732/2296/94234/8793/953/4646/152330/8732/1991/51585/8972/8811/960/326/81858/124739/412/6907/3899/660/140462/2187/10411/9668/114882/4293/3845/7520/57733/642636/9491/7850/3595/6799/317649/27109/5336/79623/1501/6355/2077/23152/389114/196463/23352/11240/4584/3181/89887/27068/4322/10461/1149/9887/9554/4853/11213/10320/400566/51284/1870/80818/6295/200558/246330/10072/23564/23035/2001/29842/55706/150290/1646/9839/552/4778/4439/641372/230/3214/3004/26747/56999/57451/6663/9469/54861/646625/55967/29128/7358/58524/4692/3020/80760/57713/51332/2731/650/83591/6533/5563/4436/6048/29789/80222/10955/51804/2048/80157/5314/84464/8805/51102/306/8925/94/114792/51106/79618/5784/2166/143279/2764/6906/2294/54853/57018/55699/80032/10317/36/4880/5624/283848/6775/8344/8346/8027/613/3320/5527/116931/126961/143/9656/26268/226/79654/101927423/8741/8742/1499/56893/1029/79754/6434/92949/28987/9939/51257/55599/2977/27443/266971/5136/149603/7292/84808/339451/7673/23466/81/100133315/2230/4287/353355/6713/7466/148327/207/4920/3662/57801/1497/25865/112858/9348/79862/3921/54935/84706/9869/2326/152815/10626/161725/11001/9064/56985/197258/9879/79000/2595/5998/27351/643418/6885/22893/10004/11095/6648/6531/2651/7020/6594/9435/64175/64135/5972/8031/55553/728233/8427/9604/84105/619279/3006/84312/284340/93649/8821/2099/345557/6707/9362/240/2162/57478/124512/122970/57708/65986/2804/125919/4088/8452/322/5160/79171/4094/8751/10919/388503/140766/9241/6300/84289/79753/5576/8492/10049/342908/57498/5155/5378/83463/440822/5933/7295/4016/6173/3704/3987/4848/3066/8021/2766/333926/10589/51742/147741/7384/4826/54965/342357/85464/23435/79651/3552/4172/3053/221687/284352/799/84750/3084/5366/84002/5119/3685/25909/6439/11047/399664/2583/29947/5522/57057/85300/152831/23175/27338/10715/339983/10250/2729/113146/22806/916/9555/8425/6507/147372/51258/3183/545/1119/6895/2016/4774"
"GO:0006807","GO:0006807","nitrogen compound metabolic process",440,"440/1001","160/8929/153527/248/729920/2346/374462/249/57670/2064/5129/1454/80335/7320/5923/3656/5538/2915/79027/55140/9655/11035/79085/23190/9653/170690/6155/80832/23532/408/51266/10318/51311/9518/80725/89932/1511/1675/10272/5179/94031/8532/23300/388324/5922/2046/115939/4318/6199/5686/2321/23071/84101/252969/81669/10585/5449/55349/203074/9790/5139/4193/2956/5066/10799/27005/55037/6947/3172/9201/11137/25959/503582/153222/80315/3696/6400/1786/10236/55794/8516/11145/64841/8725/1936/6122/55646/9753/284349/676/2719/11059/64708/6949/3340/4101/8850/10893/91833/23399/2645/4907/9154/9508/7626/22897/5734/9718/10643/339345/22926/66008/56655/167359/3614/7345/7484/406984/3849/114907/57060/3312/54941/43849/10363/57732/2296/94234/8793/953/4646/152330/8732/1991/51585/8811/960/326/81858/124739/412/6907/3899/660/140462/2187/10411/9668/114882/4293/3845/7520/57733/642636/9491/7850/3595/6799/317649/27109/79623/1501/6355/2077/23152/389114/23352/11240/4584/3181/89887/27068/4322/10461/1149/9887/9554/4853/11213/10320/400566/51284/1870/80818/6295/200558/246330/10072/23564/23035/2001/29842/55706/150290/1646/9839/4778/4439/230/3214/3004/26747/56999/57451/6663/9469/54861/646625/55967/29128/7358/58524/4692/3020/80760/57713/51332/2731/650/83591/6533/5563/4436/6048/29789/80222/10955/51804/2048/80157/5314/84464/8805/306/8925/94/114792/51106/79618/5784/143279/2764/6906/2294/54853/57018/55699/80032/10317/36/4880/5624/6775/8344/8346/8027/613/3320/5527/116931/126961/143/9656/26268/226/79654/101927423/8741/8742/1499/56893/1029/79754/6434/92949/28987/9939/51257/55599/2977/27443/5136/149603/7292/84808/339451/7673/23466/81/100133315/4287/353355/7466/148327/207/4920/3662/57801/1497/25865/112858/9348/79862/3921/54935/84706/9869/2326/152815/10626/161725/5549/9064/56985/197258/9879/79000/5998/27351/6885/22893/10004/11095/6648/6531/2651/7020/6594/9435/64175/64135/5972/8031/55553/8427/9604/84105/619279/3006/6568/84312/284340/93649/2099/57115/6707/2162/57478/124512/57708/65986/2804/125919/4088/8452/322/5160/79171/4094/8751/10919/388503/140766/9241/6300/84289/79753/5576/8492/10049/342908/57498/5155/5378/83463/440822/171425/5933/7295/4016/6173/3704/3987/4848/3066/8021/2766/333926/10589/51742/147741/7384/4826/54965/342357/85464/23435/79651/3552/4172/3053/221687/284352/799/84750/3084/5366/84002/5119/3685/25909/6439/11047/399664/2583/29947/5522/57057/85300/152831/23175/27338/10715/339983/10250/2729/113146/22806/916/9555/8425/6507/147372/51258/3183/545/1119/6895/2016/4774"
"GO:0051716","GO:0051716","cellular response to stimulus",356,"356/1001","160/8929/249/79989/2064/1454/1268/10554/54905/7320/5923/3656/2915/9655/11035/79085/23190/23532/408/51266/10318/51311/9518/961/4046/1511/10272/5179/94031/8532/23300/388324/5922/219931/2046/4318/54499/6199/10446/5686/2321/23071/252969/284217/10585/4358/5449/5333/1258/5139/4193/2956/9501/390195/3172/390649/9201/11137/54518/25959/1759/153222/80315/3696/6400/1786/10439/23303/24138/8516/8387/64841/8725/1936/6122/6494/1132/9145/26533/2719/11059/64708/3340/4101/8850/23399/23322/2645/9508/22897/5734/22926/167359/7345/7484/219790/2555/8938/114907/57060/3312/54941/57732/2296/8793/4646/10752/1991/81035/8811/960/81858/124739/6907/660/140462/2187/10411/114882/4293/2532/3845/7520/219287/642636/9491/7850/3595/6799/5336/1501/6355/150681/3977/11240/4584/3181/653268/10461/1149/2695/4853/343/2565/9649/23266/219869/51643/11213/9235/10777/116449/9177/51284/1870/6295/200558/246330/23564/23035/92747/55706/150290/115330/1646/9839/2887/552/26037/27091/4439/10144/57451/158297/6663/6456/4158/54861/29128/4692/51332/23334/2731/51411/650/3824/5563/4436/6048/10955/2048/9564/5314/84464/8805/94/55614/5784/645432/90427/2764/2294/55835/3993/7837/4880/6775/8027/613/3320/5527/126961/143/9656/26268/8741/8742/285852/1499/1029/10276/79754/1796/6434/9103/10871/2977/5136/7292/3683/81/100133315/8633/2230/4287/57568/7466/148327/207/4920/775/3662/8744/25865/1265/112858/9869/2326/10626/161725/9064/4159/79000/5998/6885/51289/84216/55785/6648/2651/7020/64135/5972/8031/55553/728233/4496/9604/6092/1949/2201/79801/776/54429/284340/93649/8821/2099/345557/57115/9362/240/2162/286133/57708/3359/4088/22931/57590/8452/55619/322/1364/8751/64343/23101/10919/9241/6300/348980/84289/79753/5576/387129/10049/1004/57498/5155/11024/5378/163702/5933/154810/7295/81793/3987/4848/148252/3066/8021/57758/94027/7456/10888/79651/3552/6574/254428/799/3084/5366/23677/27032/192683/3685/8764/57057/441549/152831/2706/23175/729956/10715/3430/2729/6649/10410/916/8425/26033/10462/147372/545/1119/6895/1001"
"GO:0016043","GO:0016043","cellular component organization",333,"333/1001","160/8929/729920/200162/9342/79989/2064/4130/1454/80335/1268/7320/5923/5538/2915/55140/11035/170690/728498/408/51266/9518/84902/80725/961/27346/1511/29091/94031/23300/4917/55299/92749/25914/54471/219931/2046/55036/4318/10446/84101/1404/284217/55210/10585/4358/1258/5139/4193/2956/5066/27005/55037/3172/9201/11137/25959/1759/81545/3696/2703/1786/10439/23303/1008/3910/51175/55794/8516/11145/8725/6122/6494/55646/54443/676/9145/2719/64708/8850/644096/64786/23399/136332/7277/64151/151011/23322/9508/22897/5734/150577/10763/10562/339345/66008/56655/7345/219790/3849/126731/3312/5375/10363/2296/91782/10752/152330/1991/81035/8811/960/7109/81858/6907/10411/114882/3845/7520/642636/27109/57453/5336/1501/28316/11240/3181/7138/4322/10461/1149/9887/9554/273/80224/11213/112574/10320/830/29842/55706/9839/29070/2887/552/26037/27091/4778/4439/26747/64423/56999/57451/158297/1010/6456/10904/55967/29128/23277/4692/3801/80036/3020/51332/23334/51411/60684/51678/5563/4436/9144/6048/51804/2048/9564/5314/84464/8925/94/51106/79618/4676/70/90427/2764/2294/23593/55835/57465/3993/7837/51393/134266/8344/8346/8027/613/3320/126961/6103/226/1499/405754/56893/1029/10276/1796/6434/55722/27443/1828/10382/4082/339451/127733/93099/3683/23466/81/8633/4287/84466/79414/207/3662/291/25865/1265/3921/9869/10626/5549/100128553/79000/3752/6885/22893/55153/196383/85477/55785/6648/6594/64175/55553/728233/1058/6092/84105/1949/10579/3006/2201/84312/93649/2099/83473/9362/286133/57708/2804/113457/9080/4088/22931/8452/55619/322/8751/10919/140766/9241/348980/84289/49856/79753/10049/1004/57498/5155/171425/5933/154810/4016/3704/3987/4848/3066/8021/84570/10469/51742/7456/85464/23435/3552/3084/5366/23677/27032/9066/5119/192683/3685/25909/11047/29947/57057/441549/85300/2706/23175/729956/27338/10493/85301/2729/113146/84299/916/9555/8425/6507/51258/3183/545/6895/9919/1001/2016/4774/83715"
"GO:0007154","GO:0007154","cell communication",325,"325/1001","160/9342/79989/2064/1454/1268/10554/7320/5923/3656/5538/2915/9655/11035/9899/23532/408/51266/10318/51311/9518/84902/961/4046/10272/5179/94031/8532/388324/5922/219931/2046/4318/54499/6199/10446/5686/2321/284217/5449/5333/1258/55327/5139/4193/2956/9501/390195/3172/390649/9201/11137/54518/25959/1759/153222/80315/3696/6400/2703/1786/10439/23303/24138/8516/8387/8725/1936/6494/1132/9145/26533/2719/11059/3340/4101/8850/23399/23322/2645/9508/5734/158326/22926/167359/7345/7484/219790/2555/8938/57060/3312/54941/57732/2296/8793/4646/10752/152330/1991/81035/8811/960/81858/6907/660/140462/10411/114882/4293/2532/3845/219287/9751/9491/7850/3595/5336/1501/6355/150681/3977/11240/4584/3181/653268/10461/1149/2695/4853/2565/9649/10590/273/23266/219869/51643/11213/9235/116449/9177/51284/1870/6295/246330/23564/23035/92747/150290/115330/1646/9839/2887/552/26037/27091/10144/57451/6663/6456/4158/54861/58524/4692/51332/23334/650/3824/946/5563/4436/10955/2048/9564/5314/8805/94/55614/645432/90427/2764/2294/55835/3993/5100/7837/4880/6775/8027/613/3320/5527/126961/26268/8741/8742/285852/1499/1029/10276/79754/1796/9103/10871/2977/5136/4082/7292/3683/81/8633/4287/23504/57568/7466/148327/207/4920/775/3662/291/3766/8744/25865/1265/112858/9869/10626/161725/9064/4159/5998/6885/51289/84216/55785/6648/6531/2651/64135/5972/8031/728233/9604/6092/1949/2201/79801/776/54429/284340/93649/8821/2099/345557/57115/9362/240/2162/57708/3359/4088/22931/57590/8452/55619/322/1364/8751/64343/23101/10919/9241/6300/84289/79753/5576/387129/1004/57498/5155/11024/163702/154810/7295/81793/3987/4848/148252/3066/57758/94027/4826/7456/10888/79651/3552/6574/25924/799/3084/5366/23677/27032/9066/3685/8764/57057/441549/152831/2706/729956/3430/2729/113146/10410/916/8425/6507/26033/10462/147372/545/1119/1001"
"GO:0019222","GO:0019222","regulation of metabolic process",306,"306/1001","160/8929/57670/2064/1454/1268/10554/7320/3656/2915/79027/55140/9655/11035/79085/6155/23532/408/10318/51311/9518/80725/89932/10272/94031/23300/388324/219931/2046/4318/6199/5686/2321/84101/81669/10585/4358/5449/4193/2956/5066/27005/55037/3172/11137/25959/503582/153222/80315/3696/1786/10439/10236/8516/8725/1936/6122/55646/9753/284349/676/2719/11059/6949/3340/4101/8850/23399/2645/7626/60385/10643/339345/22926/66008/7345/7484/406984/57060/3312/54941/10363/57732/2296/94234/8793/4646/1991/8811/960/326/6907/3899/140462/10411/9668/114882/4293/3845/7520/9491/7850/317649/5336/1501/6355/2077/23152/389114/11240/3181/89887/10461/1149/9887/9554/4853/345222/11213/10320/57709/51284/1870/80818/6295/200558/23564/2001/29842/55706/150290/9839/2887/552/4778/3214/26747/57451/6663/6456/29128/58524/4692/3020/80760/57713/23334/650/83591/5563/4436/6048/51804/2048/5314/84464/8805/306/8925/94/55614/51106/79618/5784/70/90427/2764/6906/2294/57018/80032/4880/6775/613/3320/5527/116931/126961/143/101927423/8741/8742/1499/56893/1029/6434/9939/2977/149603/7292/84808/7673/23466/81/4287/23504/353355/6713/7466/148327/207/4920/3662/57801/1497/25865/79862/3921/9869/152815/10626/9064/4159/9879/79000/5998/6885/22893/6648/6531/2651/7020/6594/64175/5972/8031/55553/8427/9604/84105/619279/3006/84312/284340/93649/2099/124512/57708/65986/2804/125919/4088/8452/322/5160/79171/4094/10919/388503/9241/6300/84289/79753/5576/10049/342908/57498/5155/83463/440822/171425/5933/7295/6173/3987/4848/3066/8021/10589/51742/147741/342357/23435/3552/3053/284352/799/3084/5366/23677/5119/3685/25909/11047/399664/29947/5522/57057/85300/152831/23175/27338/10715/2729/113146/22806/916/9555/8425/147372/3183/545/6895/1001/2016/4774"
