"","ID","Description","Count","GeneRatio","geneID"
"GO:0005515","GO:0005515","protein binding",541,"541/1001","160/153527/84281/730755/248/729920/4107/9342/249/79989/2064/4130/5129/1454/80335/1268/10554/7320/5923/3656/5538/2915/79027/55140/9655/11035/80333/83538/8832/79085/23190/9899/6155/23532/408/51266/10318/9518/84902/80725/961/27346/4046/1511/10272/5179/29091/54946/94031/23300/4917/388324/54471/219931/2046/4318/5686/2321/23071/84101/252969/124460/284217/80852/81669/27147/5449/374355/5333/55349/203859/1258/55327/6293/92483/5139/4193/2956/9501/5066/6338/27005/55037/3172/120406/11137/54518/25959/1759/153222/80315/3696/6400/1786/10439/23303/1008/3910/24138/10236/387755/11145/64841/1397/9885/8725/1936/6122/6494/55646/54443/9753/7881/5669/676/91056/9145/2719/11059/64708/6949/3340/4101/8850/644096/6402/64786/10893/91833/23399/7277/64151/151011/23322/2645/414157/9508/22897/60385/79745/5734/10562/10643/339345/22926/66008/56655/1412/7345/7484/126823/219790/3849/26157/8938/114907/126731/3312/54941/57125/5375/10363/57732/2296/91782/8793/953/4646/10752/8732/1991/51585/8811/960/55652/326/7109/81858/6907/660/140462/2187/10411/4293/2532/3845/7520/57733/219287/9751/9491/7850/3595/6799/57453/5336/1501/6355/23152/3977/28316/23352/11240/3181/7138/653268/10461/1149/2695/9887/9554/4853/2565/9649/273/83648/84064/9931/51643/11213/9235/10777/112574/10320/116449/1870/80818/6295/200558/246330/10072/23564/10123/23035/830/79696/64328/9839/29070/2887/552/26037/4778/4439/230/3004/26747/64423/57451/158297/6663/1010/30010/6456/4158/10904/79961/57495/29128/58524/4692/3801/253769/3020/57713/51332/2731/51411/60684/650/51678/3824/127495/946/5563/4436/9144/4635/6048/29789/80222/2048/9564/5314/84464/8805/306/8925/94/90990/50626/55614/51106/79618/5784/2166/5002/4676/70/90427/2764/23593/57018/55835/57465/3993/7837/4880/5624/134265/134266/51305/56241/6775/8344/8346/8027/613/3320/5527/116931/126961/143/11270/9656/6103/26268/226/79654/8741/8742/1499/56893/1029/10276/79754/1796/6434/10807/9939/9103/51257/55722/2977/1828/5136/149603/10382/4082/7292/339451/127733/6731/93099/3683/23466/81/4287/84466/7466/6276/207/4920/775/3662/2512/57801/291/3766/8744/91828/25865/1265/112858/79710/3921/54935/10294/9869/92342/2326/152815/10626/161725/11001/4159/79000/3752/5998/27351/6885/22893/196383/11095/85477/55785/6648/6531/7020/6594/285195/64135/5972/8031/55553/55286/4496/9604/1058/10466/6092/84105/1949/10579/3006/2201/79801/776/84312/79817/93649/8821/2099/83473/57115/6707/9362/240/6340/124512/122970/57708/3359/65986/2804/125919/113457/9080/4088/22931/57590/8452/55619/322/5160/79171/1364/4094/8751/64343/23230/23101/10919/9241/6300/348980/84289/49856/127262/79753/5576/84968/10049/342908/23431/1004/57498/5155/83463/163702/5933/154810/7295/84328/6173/3704/3987/4848/3066/8021/10589/10469/51742/7384/94027/9755/7456/85464/23435/79651/3552/4172/25924/221687/284352/799/3084/5366/23677/9066/5119/192683/3685/6439/11047/147744/8764/29947/55231/6286/5522/57057/441549/85300/152831/2706/729956/27338/3430/3887/10250/2729/113146/6649/10410/84299/22806/916/9555/8425/147372/51258/3183/545/1119/6895/9919/1001/2016/4774/83715"
"GO:0043167","GO:0043167","ion binding",290,"290/1001","1593/153527/248/2346/249/2064/5129/1454/54905/7320/3656/79027/55140/11035/80333/79085/170690/1511/29091/158471/8532/114780/23300/54471/5922/2046/4318/6199/2321/84101/252969/124460/1404/55210/10585/23217/5333/55349/9790/1258/92017/5139/4193/2956/9501/5066/27005/3172/9201/1759/80315/1786/23303/1008/51175/55794/8516/1397/55646/54749/9753/7881/66002/284349/2719/6402/10893/136332/7277/151011/2645/4907/9508/7626/9718/158326/100507096/339345/167359/3614/26157/8938/3312/54941/5375/57732/953/4646/8732/1991/81035/960/326/81858/412/660/10411/9668/114882/4293/96626/3845/7520/219287/27109/79623/6355/28316/389114/23352/11240/89887/7138/27068/653268/4322/10461/4853/10590/273/80224/84064/9931/11213/112574/154664/10320/80818/200558/10072/23564/10123/23035/79696/1646/9839/4439/26747/56999/57451/1010/54861/29128/58524/3801/2731/51411/83591/5563/4436/4635/6048/29789/80222/2048/8805/306/94/90990/50626/55614/284110/70/150472/55699/80032/5100/36/7837/5624/613/79029/3320/28987/51257/2977/1828/5136/149603/10382/90203/7673/3683/81/2230/353355/6713/6276/207/4920/775/2512/3766/25865/112858/79710/79862/84706/10294/9869/2326/152815/10626/161725/5549/11001/9064/56985/197258/9879/154661/3752/6885/10004/11095/85477/55785/6648/6531/254552/6594/64175/64135/8427/4496/9604/619279/2201/776/79817/2099/83473/57115/9362/240/2162/3359/65986/125919/113457/4088/22931/57590/8751/10919/140766/6300/348980/84289/5576/342908/1004/5378/171425/4016/3704/3987/148252/2766/84570/10469/57758/147741/7384/342357/3552/4172/25924/3053/221687/27032/9066/5119/3685/399664/29947/6286/27338/10493/85301/2729/6649/22806/256158/8425/6507/147372/545/1119/1001"
"GO:0097159","GO:0097159","organic cyclic compound binding",263,"263/1001","8929/1593/153527/2064/5129/1454/54905/7320/3656/79027/11035/6155/408/51311/347741/23300/55299/54471/2046/6199/2321/252969/55210/5449/23217/55349/9790/1258/1059/5139/4193/2956/55037/6947/3172/9201/503582/1759/153222/80315/1786/23303/51175/24138/10236/55794/9885/1936/6122/55646/9753/7881/66002/284349/6949/8850/136332/7277/151011/2645/4907/7626/10643/100507096/339345/22926/56655/167359/3614/406984/26157/57060/3312/5375/10363/2296/94234/953/4646/8732/51585/55652/326/6907/3899/660/10411/9668/114882/4293/3845/7520/317649/2077/23152/389114/3181/89887/10461/9887/80224/9931/11213/10777/154664/10320/25972/51284/1870/80818/200558/10123/2001/29842/1646/9839/4778/4439/3214/26747/6663/54861/29128/7358/23277/58524/4692/3801/3020/2731/83591/5563/4436/29789/80222/51804/2048/8805/94/90990/55614/51106/79618/4676/54596/70/150472/2294/55699/80032/36/7837/134266/6775/8344/8346/613/79029/3320/126961/143/6103/226/1029/6434/9939/55599/2977/5136/10382/6731/7673/23466/81/100133315/353355/6713/148327/207/56001/4920/3662/57801/3766/25865/112858/79862/3921/84706/10294/9869/2326/152815/10626/161725/11001/9064/197258/9879/79000/6885/22893/6531/7020/6594/64135/55553/8427/1058/619279/3006/93649/2099/83473/57708/3359/65986/2804/125919/113457/4088/22931/79171/4094/6300/348980/79753/5576/10049/342908/5378/83463/440822/5933/7295/6173/3704/148252/3066/10589/10469/51742/147741/342357/23435/4172/27032/25909/399664/57057/81789/27338/10250/2729/113146/22806/9555/3183/545/1119/6895/2016/4774"
"GO:1901363","GO:1901363","heterocyclic compound binding",258,"258/1001","8929/1593/153527/2064/5129/1454/54905/7320/3656/79027/11035/6155/408/51311/347741/23300/55299/54471/2046/6199/2321/252969/55210/5449/23217/55349/9790/1258/1059/5139/4193/2956/55037/6947/3172/9201/503582/1759/153222/80315/1786/23303/51175/24138/10236/55794/1936/6122/55646/9753/7881/66002/284349/6949/8850/136332/7277/151011/2645/4907/7626/10643/100507096/339345/22926/56655/167359/3614/406984/26157/57060/3312/10363/2296/94234/953/4646/8732/51585/55652/326/6907/3899/660/10411/9668/4293/3845/7520/317649/2077/23152/389114/3181/89887/10461/9887/80224/9931/11213/10777/154664/10320/25972/51284/1870/80818/200558/10123/2001/29842/9839/4778/4439/3214/26747/6663/54861/29128/7358/23277/58524/4692/3801/3020/2731/83591/5563/4436/29789/80222/51804/2048/8805/94/90990/55614/51106/79618/4676/54596/70/150472/2294/55699/80032/36/7837/134266/6775/8344/8346/613/79029/3320/126961/143/6103/226/1029/6434/9939/55599/2977/5136/10382/6731/7673/23466/81/100133315/353355/6713/148327/207/56001/4920/3662/57801/3766/25865/112858/79862/3921/84706/10294/9869/2326/152815/10626/161725/11001/9064/197258/9879/79000/6885/22893/7020/6594/64135/55553/8427/1058/619279/3006/93649/2099/83473/57708/3359/65986/2804/125919/113457/4088/22931/79171/4094/6300/348980/79753/5576/10049/342908/5378/83463/440822/5933/7295/6173/3704/148252/3066/10589/10469/51742/147741/342357/23435/4172/27032/25909/399664/57057/81789/27338/10250/2729/113146/22806/9555/3183/545/1119/6895/2016/4774"
"GO:0016787","GO:0016787","hydrolase activity",136,"136/1001","248/2346/374462/249/5538/170690/89932/1511/1675/158471/94031/8532/4318/5686/84101/252969/5333/203074/9790/5139/2956/10799/27005/1759/23303/51175/55794/11145/3340/10893/91833/23399/7277/151011/4907/9508/9718/7345/3312/43849/953/4646/8732/1991/8972/124739/412/3845/7520/57733/5336/196463/11240/7138/27068/4322/9887/84064/9931/154664/200558/10072/23564/10123/23035/150290/4439/641372/3004/56999/3801/4436/29789/80222/84464/90990/55614/5784/2166/70/55699/5624/283848/3320/92949/28987/5136/10382/126767/4287/112858/9348/54935/161725/56985/9879/2595/27351/643418/10004/11095/254552/6594/64135/5972/84312/8821/345557/83473/57115/57478/122970/57708/113457/22931/8751/140766/8492/5378/3704/4848/148252/3066/333926/51742/7384/85464/79651/4172/27032/5119/5522/85300/152831/23175/1119"
"GO:0140096","GO:0140096","catalytic activity, acting on a protein",122,"122/1001","2346/374462/2064/5129/1454/80335/7320/3656/5538/11035/170690/89932/1511/1675/94031/8532/2046/4318/6199/5686/2321/23071/84101/203074/4193/5066/27005/9201/11059/10893/91833/23399/9508/9718/167359/7345/114907/54941/43849/8732/1991/81858/124739/660/4293/79623/6355/23352/27068/4322/10461/11213/246330/10072/23035/150290/3004/56999/54861/29128/5563/6048/2048/8805/8925/94/114792/5784/143279/5624/613/3320/26268/79654/92949/51257/149603/339451/4287/207/4920/3662/25865/112858/54935/9869/161725/9064/27351/6885/10004/11095/64175/5972/9604/1949/84312/83473/2162/57478/57708/8452/8751/10919/140766/6300/8492/4016/3066/333926/51742/7384/85464/79651/221687/3084/5119/5522/27338/338707/8425/545"
"GO:0036094","GO:0036094","small molecule binding",120,"120/1001","2064/5129/1454/7320/3656/11035/54471/2046/6199/2321/1404/55210/55349/9790/1258/5139/2956/5066/6947/3172/9201/1759/1786/23303/51175/55794/64841/9885/7881/136332/7277/151011/2645/4907/100507096/167359/26157/3312/5375/953/4646/8732/81035/960/660/10411/114882/4293/3845/7520/10461/80224/9931/11213/154664/200558/23564/10123/1646/4439/54861/29128/7358/3801/2731/5563/4436/29789/80222/2048/94/90990/55614/70/150472/55699/36/134266/613/79029/3320/226/2977/5136/10382/81/6713/207/4920/3766/25865/112858/84706/10294/2326/11001/9064/197258/9879/6885/6594/64175/64135/83473/113457/22931/6300/348980/5576/5378/3704/148252/10469/4172/27032/27338/2729/6507/545/1119"
"GO:0097367","GO:0097367","carbohydrate derivative binding",106,"106/1001","2064/5129/1454/7320/3656/11035/1511/54471/2046/6199/2321/1404/55210/9790/1258/5139/2956/9201/1759/23303/51175/55794/2719/6402/136332/7277/151011/2645/9508/100507096/167359/26157/3312/953/4646/8732/1991/960/660/10411/4293/3845/7520/6355/10461/80224/9931/11213/154664/10123/4439/54861/3801/5563/4436/29789/80222/2048/94/90990/55614/70/150472/55699/613/79029/3320/2977/5136/10382/81/207/4920/3766/25865/112858/10294/5549/11001/9064/197258/9879/6885/11095/6594/64135/83473/57115/113457/22931/6300/348980/5576/5378/148252/84570/10469/4172/3053/27032/27338/2729/6649/8425/545/1119"
"GO:0016740","GO:0016740","transferase activity",103,"103/1001","729920/2064/5129/1454/80335/10554/7320/3656/55140/11035/9653/2046/115939/6199/2321/10585/4193/9201/1786/11145/64841/11059/3340/8850/136332/2645/9718/56655/167359/114907/54941/8732/81858/660/4293/6799/79623/6355/23352/10461/11213/246330/9469/54861/29128/5563/6048/2048/8805/8925/94/114792/51106/79618/143279/10317/613/3320/143/26268/79654/51257/266971/149603/339451/207/4920/3662/25865/112858/9348/84706/9869/92342/9064/197258/6885/2651/9435/728233/9604/1949/2099/2162/124512/8452/10919/6300/5155/171425/221687/84750/3084/84002/2583/152831/27338/10715/339983/338707/8425/545/1119"
"GO:0008144","GO:0008144","drug binding",78,"78/1001","2064/5129/1454/1268/7320/3656/11035/51311/2046/6199/2321/55210/9790/2956/6947/9201/23303/55794/66002/136332/2645/167359/3312/953/4646/660/4293/7520/10461/80224/9931/11213/154664/51284/4439/54861/3801/2731/5563/4436/29789/80222/2048/94/90990/55614/70/150472/55699/613/79029/3320/207/4920/3766/25865/112858/84706/10294/11001/9064/197258/9879/6885/6531/6594/64135/83473/6300/5378/10469/4172/799/27032/27338/2729/545/1119"
