"gene.name","SRR975555.primary_colorectal_cancer","SRR975556.primary_colorectal_cancer","SRR975558.primary_colorectal_cancer","SRR975559.primary_colorectal_cancer","SRR975560.primary_colorectal_cancer","SRR975562.primary_colorectal_cancer","SRR975564.primary_colorectal_cancer","SRR975565.primary_colorectal_cancer","SRR975567.primary_colorectal_cancer","SRR975568.primary_colorectal_cancer","SRR975569.normal_colon","SRR975572.normal_colon","SRR975574.normal_colon","SRR975575.normal_colon","SRR975576.normal_colon","SRR975577.normal_colon","SRR975580.normal_colon","SRR975582.normal_colon","SRR975585.normal_colon","SRR975586.normal_colon","primary_colorectal_cancer.average","normal_colon.average","primary_colorectal_cancer.normal_colon.average","log2FC","logCPM","pval"
"AP2A1",0,0.0198518787654238,0.0146912418657538,0.0360554224290825,0.0201333224083731,0,0,0,0.051273174541674,0,0.0311506607381107,0.174977277398276,0.0373663848659055,0.0478600563215179,0.0186064018538224,0.0389053838244164,0.0576797850161448,0.0366613772868695,0,0.0812922131899723,0.0142005040010307,0.0524499540495036,0.0333252290252671,1.71102165101767,-3.84909797115566,0.0291442575373278
"SBSPON",0,0,0,0.108166267287247,0,0,0,0.0573434224581988,0,0.059922160085967,0,0,0,0,0,0,0,0,0,0,0.0225431849831413,0,0.0112715924915707,-3.45601906400208,-4.40751371485198,0.0428264196184481
"PHOX2B",0,0,0.0734562093287691,0.0901385560727061,0.140933256858612,0,0,0,0,0,0.0623013214762213,0.209972732877932,0,0.111673464750208,0.204670420392047,0,0.0769063800215264,0.146645509147478,0.13169279750086,0.386138012652368,0.0304528022260087,0.133000063881864,0.0817264330539364,2.04230484763274,-3.08773647913235,0.0362722293794401
"CCDC108",7.03780283251371,0.615408241728139,0.484810981569876,0.126193978501789,0.382533125759089,0.551435306665683,4.90975491837396,2.15993557925882,0.871643967208457,2.99610800429835,0.295931277012051,0.157479549658449,0.429713425957913,0.0638134084286905,0.76286247600672,0.194526919122082,0.653704230182974,0.329952395581825,0.362155193127364,0.101615266487465,2.01356269358779,0.335175414156553,1.17436905387217,-2.58043613985066,0.276803436217904,4.53777612883524e-05
"CYP27A1",0,0,0,0,0,0,0,0,0,0,0.046725991107166,0.0349954554796553,0,0,0,0,0.0769063800215264,0,0,0.0406461065949861,0,0.0199273933203334,0.00996369666016669,3.29548397709204,-4.44302536065812,0.0264033891389135
"ZMAT2",0.989932706111818,0.0992593938271192,0.0440737255972615,0.522803625221696,0.201333224083731,0.529377894399055,0.159522722979659,1.89233294112056,0.290547989069486,0.479377280687736,0.0623013214762213,0.0699909109593105,0.130782347030669,0,0.334915233368804,0.0972634595610409,0.230719140064579,0.109984131860608,0.181077596563682,0,0.520856150309812,0.121703414088492,0.321279782199152,-2.07936530419068,-1.48664897027421,0.00221161522980089
"GCSAML-AS1",0.0928061911979829,0,0,0,0,0,0,0.0573434224581988,0.051273174541674,0,0,0,0,0,0,0,0,0,0,0,0.0201422788197856,0,0.0100711394098928,-3.33166948829225,-4.42885649131749,0.0463779850286238
"C2orf88",0.10827388973098,0,0,0.0901385560727061,0,0.110287061333137,0.0531742409932198,0.0573434224581988,0,0,0,0,0,0,0,0,0,0,0,0,0.0419217170588241,0,0.0209608585294121,-4.29258466185034,-4.13624642676297,0.00191023659673665
"NPIPB3",0.0618707941319886,0.0595556362962715,0.837400786347968,0.0360554224290825,0.281866513717224,0.110287061333137,0.531742409932198,0.0573434224581988,0.017091058180558,0.059922160085967,0.763191188083711,0.647415926373622,0.392347041092007,1.03696788696622,0.353521635222626,0.369601146331955,0.422985090118395,1.24648682775356,0.329231993752149,0.101615266487465,0.205313526491259,0.566336400218172,0.385824963354715,1.4457662133191,-1.24056573272534,0.0208095575710685
"KRTAP2-3",0,0,0,0,0,0,0,0,0,0,0.0311506607381107,0,0,0,0,0,0.11535957003229,0.0366613772868695,0,0.0406461065949861,0,0.0223817714652256,0.0111908857326128,3.44060673535344,-4.40925799801762,0.0254018719676518
