"","eigenvalue","variance.percent","cumulative.variance.percent"
"Dim.1",1572.30720139364,38.7363193248002,38.7363193248002
"Dim.2",325.8469356529,8.02776387417837,46.7640831989785
"Dim.3",278.916496668016,6.87155695166336,53.6356401506419
"Dim.4",211.972831146123,5.22229197206511,58.857932122707
"Dim.5",208.082008325122,5.12643528763542,63.9843674103424
"Dim.6",181.009758246297,4.45946682055425,68.4438342308967
"Dim.7",167.343768190895,4.12278315326175,72.5666173841584
"Dim.8",139.59315010817,3.43910199823034,76.0057193823888
"Dim.9",128.400206419699,3.16334580979797,79.1690651921867
"Dim.10",118.384534551891,2.91659360807811,82.0856588002649
"Dim.11",102.694512239779,2.53004464744466,84.6157034477095
"Dim.12",99.4111551324968,2.44915385889374,87.0648573066032
"Dim.13",91.4445091249378,2.25288270817782,89.3177400147811
"Dim.14",85.2735628441856,2.10085151131278,91.4185915260938
"Dim.15",78.7712118910509,1.94065562678125,93.3592471528751
"Dim.16",75.0146889044873,1.84810763499599,95.2073547878711
"Dim.17",68.8976039374876,1.69740339831209,96.9047581861832
"Dim.18",66.8606905291182,1.6472207570613,98.5519789432445
"Dim.19",58.7751746937066,1.44802105675552,100
