"","eigenvalue","variance.percent","cumulative.variance.percent"
"Dim.1",5560.50116623116,17.6585511328755,17.6585511328755
"Dim.2",3537.62756596888,11.2344868556286,28.8930379885041
"Dim.3",2608.87604612027,8.28503936650979,37.1780773550139
"Dim.4",2170.61275785956,6.89324131556911,44.071318670583
"Dim.5",1920.69762987377,6.09958280629352,50.1709014768765
"Dim.6",1694.96866192963,5.3827325794075,55.553634056284
"Dim.7",1468.30490074043,4.66291371825217,60.2165477745362
"Dim.8",1431.76737019523,4.54688103844271,64.7634288129789
"Dim.9",1392.11230467427,4.42094796492194,69.1843767779008
"Dim.10",1262.34490335712,4.00884405143739,73.1932208293382
"Dim.11",1147.99882255026,3.64571381291961,76.8389346422578
"Dim.12",1113.62354264756,3.53654781875435,80.3754824610122
"Dim.13",1055.83329840603,3.35302263776567,83.7285050987778
"Dim.14",961.347057867062,3.05296153535222,86.7814666341301
"Dim.15",925.388522649706,2.93876757804219,89.7202342121722
"Dim.16",849.182129658502,2.69675800964941,92.4169922218217
"Dim.17",840.488736283227,2.66915029465282,95.0861425164745
"Dim.18",806.073971968728,2.55985890936114,97.6460014258356
"Dim.19",741.250611018623,2.35399857416439,100
