"","group","lib.size","norm.factors","normalized.lib.size"
"SRR975555","primary_colorectal_cancer",64092156,1.00871718529311,64650859.1996867
"SRR975556","primary_colorectal_cancer",49749600,1.01253208139434,50373066.0365359
"SRR975558","primary_colorectal_cancer",65776920,1.03482749080511,68067765.0764883
"SRR975559","primary_colorectal_cancer",54264815,1.02221224904696,55470158.5852671
"SRR975560","primary_colorectal_cancer",50028102,0.992820017918025,49668901.1240448
"SRR975562","primary_colorectal_cancer",46921560,0.966213267860821,45336233.8207276
"SRR975564","primary_colorectal_cancer",63691276,0.885808830749231,56418294.7224866
"SRR975565","primary_colorectal_cancer",46774976,1.1184693097483,52316375.1202134
"SRR975567","primary_colorectal_cancer",55274173,1.05854370529773,58510127.8946879
"SRR975568","primary_colorectal_cancer",51341718,0.975131974700327,50064950.8578473
"SRR975569","normal_colon",61710082,1.0404150102887,64204095.5989463
"SRR975572","normal_colon",54615503,1.04641126772053,57150277.7314245
"SRR975574","normal_colon",55325008,0.967447546670564,53524043.2591293
"SRR975575","normal_colon",62043476,1.01030366417711,62682751.1410846
"SRR975576","normal_colon",52674042,1.02033070900632,53744942.6200888
"SRR975577","normal_colon",53462541,0.961547393835937,51406766.9663969
"SRR975580","normal_colon",54724157,0.950426510105145,52011289.555956
"SRR975582","normal_colon",54734964,0.99668146633963,54553324.1795669
"SRR975585","normal_colon",61598798,0.986178944774027,60747437.6109884
"SRR975586","normal_colon",50863795,0.96739153687825,49205204.8165102
