"gene.name","SRR3396381.amphotericin_B","SRR3396382.amphotericin_B","SRR3396384.amphotericin_B","SRR3396385.control","SRR3396386.control","SRR3396387.control","amphotericin_B.average","control.average","amphotericin_B.control.average","baseMean","log2FC","lfcSE","stat","pval","padj"
"RHB1",530.008052633661,526.812336786359,576.782900742083,636.090738929077,579.455017908028,615.797089672588,544.534430054034,610.447615503231,577.491022778633,577.491022778633,-0.163763552175855,0.109276348832397,-1.49861844695258,0.133972644351131,0.252169836749025
"NPP1",1994.71577292712,2014.28246418314,2021.58612085753,1863.91723657665,2036.87218416155,1948.06920590074,2010.19478598926,1949.61954221298,1979.90716410112,1979.90716410112,0.0440066636066012,0.0768920318276588,0.572317606396916,0.567106823962931,0.716916424026012
"PMP1",4909.18521636819,4796.29144573236,4693.00166113665,5775.22003696463,5853.69710275829,6047.51840286397,4799.4927744124,5892.1451808623,5345.81897763735,5345.81897763735,-0.296068478430301,0.0645937492529055,-4.58354688889627,4.57154311537293e-06,3.85442742133326e-05
"YCR024C-B",7709.83514308315,6729.60275378704,6445.16945335808,8612.93070271004,8412.72572251479,8509.72930585643,6961.53578340942,8511.79524369375,7736.66551355159,7736.66551355159,-0.290303980329222,0.0860700061834139,-3.37288206661202,0.000743858056875643,0.00341377715387572
"SLM5",901.358597103667,1064.62075650374,899.325970236011,929.438448958176,859.478734696117,958.88403963303,955.101774614474,915.933741095774,935.517757855124,935.517757855124,0.0609412337295788,0.110393082616947,0.552038518038661,0.580921963599273,0.727357904261161
"YCR023C",2681.08194954815,2611.06987416693,2550.93621726227,1945.57072287341,2164.40773834227,2187.54585188453,2614.36268032578,2099.1747710334,2356.76872567959,2356.76872567959,0.316263485629197,0.0822594030138496,3.84470922522923,0.000120695469244941,0.000695602874660006
"HTL1",643.827569359762,959.658146707599,1006.5241080384,1313.51225487256,865.9479294734,842.566811583763,870.003274701922,1007.34233197658,938.672803339249,938.672803339249,-0.210325294058602,0.203340986741475,-1.03434775953953,0.300973617060323,0.46021505702547
"MAK31",509.313595047097,654.766756347373,568.244995961361,938.511058546705,767.985837131692,531.73589965379,577.441782451944,746.077598444062,661.759690448003,661.759690448003,-0.368990266866023,0.194287961995135,-1.89919263693375,0.057539152497187,0.12952665331654
"PET18",438.032685582267,407.85471235073,395.589588173435,260.08147487116,262.46447382118,277.597418201611,413.825662035477,266.714455631317,340.270058833397,340.270058833397,0.632638792964048,0.129499635173861,4.88525540720397,1.03294864915053e-06,9.85918937614241e-06
"MAK32",799.03600125899,701.750019779932,792.127832433617,741.937850795247,811.421859207732,862.115925541623,764.30461782418,805.158545181534,784.731581502857,784.731581502857,-0.0756580041014577,0.110801873482784,-0.682822426402502,0.494719056782031,0.65337943186344
