"","ID","Description","Count","GeneRatio","geneID"
"GO:0071704","GO:0071704","organic substance metabolic process",132,"132/192","856147/854850/854714/856468/852076/853419/852934/856863/856488/853762/854075/851605/854096/856921/856268/853593/853594/852854/851584/853169/854845/854165/855890/852519/856411/856228/853669/854275/853357/853904/854193/855993/852551/851678/850877/851154/853465/856539/852334/853860/853048/854297/852821/851403/854479/856804/852559/852550/850652/854793/856723/856778/856782/854344/851980/856370/850523/853972/851384/855619/854758/855982/854755/853007/852714/852241/853573/855806/851488/852691/854711/853356/851705/852672/855091/854024/854461/853230/853188/852442/854948/852439/855269/852648/853064/9164918/852226/853784/850327/852920/855581/852858/853996/853926/854834/853163/852507/852752/850714/854852/9164945/852995/856832/851656/850747/854754/854744/851016/855084/850591/853664/853473/851736/855855/851956/855149/856800/855292/855335/852412/852410/852719/853374/850348/855786/852704/852695/855871/850664/851272/856095/856824"
"GO:0044237","GO:0044237","cellular metabolic process",131,"131/192","856147/854850/854714/856468/852076/853419/852934/856863/856488/853762/854075/851605/854096/856921/856268/853593/853594/852854/851584/853169/854845/854165/855890/852519/856411/856228/853669/854275/853357/853904/854193/852979/855993/852551/850877/851154/853465/856539/852334/853860/853048/854297/852821/851403/854479/856804/852559/852550/850652/854793/856723/856778/856782/854344/851980/856370/850523/851384/855619/854758/855982/854755/853007/852714/852241/853573/855806/851488/852691/854711/853356/851705/852672/855091/854024/854461/853230/853188/852442/854948/852439/855269/852648/853064/9164918/852226/853784/850327/852920/855581/852858/853996/853926/854834/853163/852507/852752/850714/854852/9164945/852995/856832/851656/850747/854754/854744/851016/855084/850591/853664/853473/851736/855855/851956/855149/856800/855292/855335/852412/852410/852719/853374/850348/855786/852704/852695/855871/850664/851272/856095/856824"
"GO:0044238","GO:0044238","primary metabolic process",128,"128/192","856147/854850/854714/856468/852076/853419/852934/856863/856488/853762/854075/851605/854096/856921/856268/853593/853594/852854/851584/853169/854845/854165/855890/852519/856411/856228/853669/854275/853357/853904/854193/855993/852551/851678/850877/851154/853465/856539/852334/853860/853048/854297/852821/851403/854479/852550/850652/854793/856723/856778/856782/854344/851980/850523/853972/851384/855619/854758/855982/854755/853007/852714/852241/853573/855806/851488/852691/854711/853356/851705/852672/855091/854024/854461/853230/853188/852442/854948/852439/855269/852648/853064/9164918/852226/853784/850327/852920/855581/852858/853996/853926/854834/853163/852507/852752/850714/854852/9164945/852995/856832/851656/850747/854754/854744/851016/855084/850591/853664/853473/851736/855855/851956/855149/856800/855335/852412/852410/852719/853374/850348/855786/852704/852695/855871/850664/851272/856095/856824"
"GO:0006807","GO:0006807","nitrogen compound metabolic process",127,"127/192","856147/854850/854714/856468/852076/853419/854642/852934/856863/856488/853762/854075/851605/854096/856921/856268/853593/853594/852854/851584/853169/854845/854165/855890/856411/856228/853669/854275/853357/853904/854193/855993/852551/851678/850877/851154/853465/856539/852334/853860/853048/854297/852821/851403/854479/852559/852550/850652/854793/856723/856778/856782/854344/851980/856370/850523/851384/855619/855982/854755/852714/852241/853573/855806/851488/852691/854711/853356/851705/852672/855091/854024/854461/853230/853188/852442/854948/852439/855269/852648/853064/9164918/852226/853784/850327/855581/852858/853996/853926/854834/853163/852507/852752/850714/854852/9164945/852995/856832/851656/850747/854754/854744/851016/855084/850591/853664/853473/851736/855855/851956/855149/856800/855292/855335/852412/852410/852719/853374/850348/855786/852704/852695/855871/850664/851272/856095/856824"
"GO:0009058","GO:0009058","biosynthetic process",82,"82/192","856147/854714/856468/851605/854096/856268/853594/853169/852519/856411/853669/854275/853357/853904/854193/855993/852551/850877/853465/856539/853860/856424/854297/854479/856804/852559/852550/856778/856782/850523/853972/851384/855619/854758/854755/852714/852241/853573/851488/852691/854711/853356/851705/852672/855091/854024/853230/852442/854948/9164918/852226/850327/852920/855581/852858/854834/852752/850714/854852/9164945/852995/856832/854754/854744/855084/850591/853664/853473/851736/855855/851956/855149/856800/852412/852410/853374/850348/855786/855871/850664/851272/856824"
"GO:0044281","GO:0044281","small molecule metabolic process",73,"73/192","856147/854850/854714/852076/852934/851605/854096/856268/853594/853169/854845/852519/856411/853669/854275/853357/853904/855993/852551/850877/853465/856539/854297/852821/854479/856804/852559/852550/856778/856782/856370/853972/851384/855619/854758/852241/853573/852691/854711/853356/851705/852672/853230/852442/854948/852648/850327/855581/852858/854834/853163/852507/852752/850714/854852/850747/854744/855084/853664/853473/851736/855855/851956/855149/856800/852412/852410/853374/850348/855786/850664/851272/856824"
"GO:0044085","GO:0044085","cellular component biogenesis",49,"49/192","853419/856863/856488/853762/854075/852854/851584/854165/855890/856411/856228/856591/851678/851154/852334/853860/853048/851403/850652/854793/856723/855789/855982/851488/854711/854461/853188/852445/854062/852439/855269/853064/853784/852920/853160/851497/852995/856832/851656/851016/852331/852569/855335/852410/853320/852704/852695/853714/856095"
"GO:0051234","GO:0051234","establishment of localization",40,"40/192","856488/851329/851608/851678/852401/850631/854297/852360/856723/854565/854564/855789/856370/856646/853968/854397/852714/850333/856494/852444/856324/851574/853160/851497/855580/854030/853926/853912/853019/852331/852569/852343/854530/855863/852956/852410/856171/853320/852695/853714"
"GO:0016043","GO:0016043","cellular component organization",35,"35/192","853210/856488/854075/856921/851329/853169/855890/856411/856228/856591/850468/852334/853860/850652/852328/851845/855982/851488/855091/852445/854062/856324/855269/853064/852920/853160/856832/851016/852331/852630/854631/853232/852410/852719/852695"
"GO:0050789","GO:0050789","regulation of biological process",33,"33/192","856468/856921/851584/853169/854274/853904/854193/855993/852334/853860/856424/854344/851980/850523/855914/851384/854755/852714/851488/853356/855091/853188/856324/852226/852920/853160/854834/850591/852756/856800/852410/852719/855871"
