"","ID","Description","Count","GeneRatio","geneID"
"GO:0097159","GO:0097159","organic cyclic compound binding",72,"72/192","856147/854714/853419/856488/854075/854096/856268/853594/851608/851584/854165/855890/852519/856228/853904/854193/852979/850877/853465/856539/853860/852821/854479/850652/856723/855789/856778/856782/854344/851980/850523/853972/851845/851384/854755/852241/853573/851488/852691/853356/851705/852672/854948/852439/855269/853064/852226/850321/853784/851574/850327/852858/853996/854834/852507/850714/854852/852995/850747/854754/854744/850591/852569/851736/856800/855335/852719/852704/852695/855871/851272/856095"
"GO:1901363","GO:1901363","heterocyclic compound binding",72,"72/192","856147/854714/853419/856488/854075/854096/856268/853594/851608/851584/854165/855890/852519/856228/853904/854193/852979/850877/853465/856539/853860/852821/854479/850652/856723/855789/856778/856782/854344/851980/850523/853972/851845/851384/854755/852241/853573/851488/852691/853356/851705/852672/854948/852439/855269/853064/852226/850321/853784/851574/850327/852858/853996/854834/852507/850714/854852/852995/850747/854754/854744/850591/852569/851736/856800/855335/852719/852704/852695/855871/851272/856095"
"GO:0043167","GO:0043167","ion binding",67,"67/192","856147/854714/853419/854096/856921/856268/853594/851608/851584/853169/854845/852519/853357/853904/852979/855993/851678/850877/856539/852821/854479/850652/856723/855789/856778/856782/850523/853972/855914/851845/851384/854758/852714/852241/853573/852691/853356/851705/852672/853230/852442/854948/852439/853784/851574/850327/855581/852858/852507/850714/850747/854744/853473/852569/855855/856800/855335/852412/852719/853374/850348/852704/852695/855871/850664/851272/856824"
"GO:0036094","GO:0036094","small molecule binding",49,"49/192","856147/854714/853419/854096/856268/853594/851608/851584/852519/856228/853357/850877/853465/856539/852821/854479/850652/856723/855789/856778/856782/853972/851845/852241/853573/852691/851705/852672/852439/853064/853784/851574/850327/852858/852507/850714/850747/854744/850591/851736/856800/855335/852412/852719/853374/850348/852704/852695/851272"
"GO:0016740","GO:0016740","transferase activity",43,"43/192","852076/852934/851605/853593/853594/853669/854275/853357/852551/850877/856539/852821/852559/852550/856778/856782/851384/855619/853007/853573/855806/854711/851705/852672/855091/854024/856922/852920/853996/850714/851656/850747/855084/855855/851956/855149/856800/855292/852719/853374/850348/852695/850664"
"GO:0008144","GO:0008144","drug binding",37,"37/192","856147/853419/854096/856268/853594/851608/851584/852519/850877/856539/852821/854479/850652/856778/856782/853972/851845/852241/853573/852691/851705/852672/852439/853784/851574/850327/852858/852507/850714/850747/854744/856800/855335/852719/852704/852695/851272"
"GO:0097367","GO:0097367","carbohydrate derivative binding",32,"32/192","856147/853419/854096/856268/851608/851584/852519/850877/852821/854479/850652/856723/855789/856778/856782/853972/851845/852241/853573/851705/852439/853784/851574/850327/852507/854744/856800/855335/852719/852704/852695/851272"
"GO:0016787","GO:0016787","hydrolase activity",31,"31/192","854850/853419/854642/854075/851608/851584/854845/855993/851678/852550/850652/856723/855789/854344/851845/854758/853007/853573/852439/852648/856445/853784/851574/850327/855581/853163/852507/851016/855149/855335/852704"
"GO:0022857","GO:0022857","transmembrane transporter activity",26,"26/192","851329/851608/852401/850631/854297/852360/856370/856646/853968/854397/850333/856494/852444/856324/851574/855580/854030/853926/853912/853019/852331/852343/854530/855863/852956/856171"
"GO:0016491","GO:0016491","oxidoreductase activity",19,"19/192","854714/856921/850331/852979/853465/856804/852559/851705/852442/854948/850327/852752/854852/854744/853664/851736/856800/852412/855786"
