"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008652","GO:0008652","cellular amino acid biosynthetic process","41/191","140/6396",1.40926228288741e-30,1.2415600712238e-27,1.02505288155284e-27,"854714/853357/850664/854479/851605/854096/854834/856268/853594/854275/852858/853573/850348/854852/852551/856539/854297/852550/856778/856782/855619/853473/852691/852672/850327/851705/852752/855084/856147/853230/853669/851736/856411/850714/855855/851956/856800/852412/853374/855786/856824",41
"GO:1901607","GO:1901607","alpha-amino acid biosynthetic process","38/191","132/6396",5.08841108317167e-28,2.24144508213712e-25,1.85057476761664e-25,"854714/853357/850664/854479/854096/854834/856268/853594/854275/852858/853573/850348/854852/856539/854297/852550/856778/856782/855619/853473/852691/852672/850327/852752/855084/856147/853230/853669/851736/856411/850714/855855/851956/856800/852412/853374/855786/856824",38
"GO:0006520","GO:0006520","cellular amino acid metabolic process","50/191","271/6396",4.99242170886599e-27,1.46610784183698e-24,1.21044329853558e-24,"851384/854711/854714/852076/853357/850664/854479/851605/854096/854834/856268/853594/854275/852858/853573/850348/854852/855993/852551/850877/856539/854297/852550/856778/856782/855619/853473/852691/852672/852442/850327/850747/851705/852507/852752/855084/856147/853230/853669/851736/856411/850714/855855/851956/856800/852412/853374/855786/852241/856824",50
"GO:1901605","GO:1901605","alpha-amino acid metabolic process","44/191","206/6396",1.73220688859646e-26,3.81518567213371e-24,3.14988147373725e-24,"854714/852076/853357/850664/854479/854096/854834/856268/853594/854275/852858/853573/850348/854852/855993/850877/856539/854297/852550/856778/856782/855619/853473/852691/852672/850327/850747/852507/852752/855084/856147/853230/853669/851736/856411/850714/855855/851956/856800/852412/853374/855786/852241/856824",44
"GO:0016053","GO:0016053","organic acid biosynthetic process","45/191","244/6396",3.01033551979391e-24,4.42017598823072e-22,3.64937165645191e-22,"854714/853357/850664/854479/851605/854096/854834/856268/853594/854275/852858/853573/850348/854852/856804/852551/856539/854297/852550/856778/856782/855619/853473/852691/852672/850327/851705/853169/852752/855084/856147/853230/853669/851736/856411/850714/855855/851956/856800/852410/852412/853465/853374/855786/856824",45
"GO:0046394","GO:0046394","carboxylic acid biosynthetic process","45/191","244/6396",3.01033551979391e-24,4.42017598823072e-22,3.64937165645191e-22,"854714/853357/850664/854479/851605/854096/854834/856268/853594/854275/852858/853573/850348/854852/856804/852551/856539/854297/852550/856778/856782/855619/853473/852691/852672/850327/851705/853169/852752/855084/856147/853230/853669/851736/856411/850714/855855/851956/856800/852410/852412/853465/853374/855786/856824",45
"GO:0044283","GO:0044283","small molecule biosynthetic process","54/191","404/6396",3.71156594331192e-22,4.67127085151115e-20,3.85667979974216e-20,"854714/853357/850664/854479/851605/854096/854834/856268/853594/854275/852858/853573/850348/854852/856804/852551/856539/854297/852559/852550/856778/856782/853972/855619/853473/852691/853356/852672/852442/854948/850327/851705/853169/852752/855084/856147/853230/853664/853669/851736/856411/850714/855855/851956/856800/852519/852410/852412/853465/853374/855786/854758/852241/856824",54
"GO:0019752","GO:0019752","carboxylic acid metabolic process","55/191","453/6396",1.52802355464861e-20,1.51974838934884e-18,1.25472983695567e-18,"851384/854711/854714/852076/853357/850664/854479/851605/854096/854834/856268/853594/854275/852858/853573/850348/854852/855993/856804/852551/850877/856539/854297/852550/856778/856782/855619/853473/852691/852672/852442/850327/850747/851705/853169/852507/852752/855084/856147/853230/853669/851736/856411/850714/855855/851956/856800/852519/852410/852412/853465/853374/855786/852241/856824",55
"GO:0043436","GO:0043436","oxoacid metabolic process","56/191","470/6396",1.55252389377294e-20,1.51974838934884e-18,1.25472983695567e-18,"851384/854711/854714/852076/853357/850664/854479/851605/854096/854834/856268/853594/854275/852858/853573/853904/850348/854852/855993/856804/852551/850877/856539/854297/852550/856778/856782/855619/853473/852691/852672/852442/850327/850747/851705/853169/852507/852752/855084/856147/853230/853669/851736/856411/850714/855855/851956/856800/852519/852410/852412/853465/853374/855786/852241/856824",56
"GO:0006082","GO:0006082","organic acid metabolic process","56/191","472/6396",1.91114966943684e-20,1.68372285877385e-18,1.39010991745353e-18,"851384/854711/854714/852076/853357/850664/854479/851605/854096/854834/856268/853594/854275/852858/853573/853904/850348/854852/855993/856804/852551/850877/856539/854297/852550/856778/856782/855619/853473/852691/852672/852442/850327/850747/851705/853169/852507/852752/855084/856147/853230/853669/851736/856411/850714/855855/851956/856800/852519/852410/852412/853465/853374/855786/852241/856824",56
