"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030684","GO:0030684","preribosome","25/191","191/6403",2.82708556433644e-10,3.8165655118542e-08,3.51153785886e-08,"853419/856863/856488/853762/852854/854165/855890/856228/851678/853860/853048/851403/850652/856723/855789/854461/853188/855269/852995/851656/852569/855335/852704/853714/856095",25
"GO:0005730","GO:0005730","nucleolus","31/191","368/6403",1.0185772879278e-07,6.87539669351266e-06,6.32590105134109e-06,"853419/856863/856488/853762/854075/852854/851584/854165/855890/856228/851678/853860/853048/851403/850652/854793/856723/855789/854711/854461/853188/852439/855269/853064/853784/853160/852995/851656/855335/852704/856095",31
"GO:0030687","GO:0030687","preribosome, large subunit precursor","13/191","91/6403",2.45163636212577e-06,0.00011032363629566,0.000101506347624856,"856863/856488/852854/855890/851678/853860/850652/856723/855789/852995/851656/852569/855335",13
"GO:0005887","GO:0005887","integral component of plasma membrane","12/191","127/6403",0.000375239035790907,0.0126643174579431,0.0116521595324545,"851608/852360/856370/856646/850333/856494/856324/855580/853912/853019/854530/855863",12
"GO:0031226","GO:0031226","intrinsic component of plasma membrane","12/191","141/6403",0.000965919966377327,0.0201467653890979,0.0185365950558561,"851608/852360/856370/856646/850333/856494/856324/855580/853912/853019/854530/855863",12
"GO:0005628","GO:0005628","prospore membrane","8/191","73/6403",0.00138335620821101,0.0201467653890979,0.0185365950558561,"856149/852334/852445/854062/852920/856832/851016/850591",8
"GO:0042763","GO:0042763","intracellular immature spore","8/191","73/6403",0.00138335620821101,0.0201467653890979,0.0185365950558561,"856149/852334/852445/854062/852920/856832/851016/850591",8
"GO:0042764","GO:0042764","ascospore-type prospore","8/191","73/6403",0.00138335620821101,0.0201467653890979,0.0185365950558561,"856149/852334/852445/854062/852920/856832/851016/850591",8
"GO:0044459","GO:0044459","plasma membrane part","14/191","190/6403",0.00153491314276298,0.0201467653890979,0.0185365950558561,"851608/850631/852360/856370/856646/850333/856494/856324/852920/855580/853912/853019/854530/855863",14
"GO:0030686","GO:0030686","90S preribosome","9/191","92/6403",0.00158795684486726,0.0201467653890979,0.0185365950558561,"856228/853048/854461/855269/852995/851656/855335/852704/856095",9
"GO:0009277","GO:0009277","fungal-type cell wall","11/191","130/6403",0.00164158829096353,0.0201467653890979,0.0185365950558561,"853210/853465/850468/852328/854565/854564/854389/851016/852630/854631/853232",11
"GO:0005618","GO:0005618","cell wall","11/191","136/6403",0.00235525646953596,0.024458432568258,0.0225036650530561,"853210/853465/850468/852328/854565/854564/854389/851016/852630/854631/853232",11
"GO:0030312","GO:0030312","external encapsulating structure","11/191","136/6403",0.00235525646953596,0.024458432568258,0.0225036650530561,"853210/853465/850468/852328/854565/854564/854389/851016/852630/854631/853232",11
"GO:0032040","GO:0032040","small-subunit processome","6/191","54/6403",0.00511410381195217,0.0493145724723959,0.0453732518654403,"853419/853762/854165/853048/851403/855269",6
