"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005342","GO:0005342","organic acid transmembrane transporter activity","13/191","81/6391",6.3694451546623e-07,0.000148013455374927,0.000119411546787302,"852401/854297/852360/856646/854397/850333/852444/854030/853912/854530/855863/852956/856171",13
"GO:0031406","GO:0031406","carboxylic acid binding","6/191","14/6391",1.62058527782767e-06,0.000148013455374927,0.000119411546787302,"852519/853357/856778/856800/853374/850348",6
"GO:0043177","GO:0043177","organic acid binding","6/191","14/6391",1.62058527782767e-06,0.000148013455374927,0.000119411546787302,"852519/853357/856778/856800/853374/850348",6
"GO:0046943","GO:0046943","carboxylic acid transmembrane transporter activity","12/191","78/6391",2.7740771584127e-06,0.00019002428535127,0.000153304264017544,"854297/852360/856646/854397/850333/852444/854030/853912/854530/855863/852956/856171",12
"GO:0015171","GO:0015171","amino acid transmembrane transporter activity","9/191","45/6391",5.50204669267895e-06,0.000262541063240291,0.000211808003382486,"854297/852360/856646/850333/852444/853912/854530/855863/856171",9
"GO:0016829","GO:0016829","lyase activity","14/191","113/6391",5.74907437752463e-06,0.000262541063240291,0.000211808003382486,"854850/853594/853169/856411/853669/852550/853972/852691/851705/853230/852858/853473/851272/856824",14
"GO:0015179","GO:0015179","L-amino acid transmembrane transporter activity","8/191","36/6391",8.10820052027207e-06,0.000309352623754493,0.000249573764842272,"854297/852360/856646/850333/853912/854530/855863/856171",8
"GO:0016597","GO:0016597","amino acid binding","5/191","11/6391",9.03219339429176e-06,0.000309352623754493,0.000249573764842272,"853357/856778/856800/853374/850348",5
"GO:0016879","GO:0016879","ligase activity, forming carbon-nitrogen bonds","9/191","50/6391",1.36695519145884e-05,0.000416161913844136,0.000335743380358312,"856147/854096/856268/852519/854479/852241/853573/852507/851272",9
"GO:0016741","GO:0016741","transferase activity, transferring one-carbon groups","13/191","108/6391",1.72103042633229e-05,0.000447597663281966,0.000361104530500242,"852076/853593/853357/853573/854711/854024/856922/853996/851656/850747/855855/855149/850664",13
"GO:0008514","GO:0008514","organic anion transmembrane transporter activity","12/191","93/6391",1.79692492558454e-05,0.000447597663281966,0.000361104530500242,"854297/852360/856646/854397/850333/852444/854030/853912/854530/855863/852956/856171",12
"GO:0022857","GO:0022857","transmembrane transporter activity","26/191","359/6391",2.04864270244051e-05,0.000465595960406636,0.000375624862410271,"851329/851608/852401/850631/854297/852360/856370/856646/853968/854397/850333/856494/852444/856324/851574/855580/854030/853926/853912/853019/852331/852343/854530/855863/852956/856171",26
"GO:0015238","GO:0015238","drug transmembrane transporter activity","10/191","66/6391",2.20903192893659e-05,0.000465595960406636,0.000375624862410271,"850631/854297/850333/851574/853912/852331/854530/855863/852956/856171",10
"GO:0016810","GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","11/191","86/6391",4.40010669155528e-05,0.00086116373820439,0.000694753688140307,"854850/854642/854845/855993/852550/853573/850327/855581/852507/851016/855149",11
"GO:0019842","GO:0019842","vitamin binding","9/191","59/6391",5.43420248449817e-05,0.000992647653834999,0.000800829839820783,"853594/852519/856539/852691/852672/852858/850714/850747/852412",9
"GO:0008509","GO:0008509","anion transmembrane transporter activity","12/191","107/6391",7.41508931672342e-05,0.00126983404548888,0.00102445312928416,"854297/852360/856646/854397/850333/852444/854030/853912/854530/855863/852956/856171",12
"GO:0048037","GO:0048037","cofactor binding","18/191","227/6391",0.000135498928492257,0.00218392390628697,0.00176190557172594,"854714/856921/853594/852519/852979/853465/856539/852691/852672/853230/850327/852858/850714/850747/853473/851736/856800/852412",18
"GO:0015075","GO:0015075","ion transmembrane transporter activity","20/191","271/6391",0.000153623661236094,0.0023384935099272,0.00188660636605729,"851608/850631/854297/852360/856370/856646/854397/850333/856494/852444/855580/854030/853926/853912/853019/852343/854530/855863/852956/856171",20
"GO:0015203","GO:0015203","polyamine transmembrane transporter activity","4/191","11/6391",0.000216367567991188,0.00312024808576766,0.00251729580488363,"850631/856370/853912/852331",4
"GO:0004004","GO:0004004","ATP-dependent RNA helicase activity","7/191","43/6391",0.000246779188976133,0.00321988084664097,0.00259767567343297,"853419/851584/850652/852439/853784/855335/852704",7
"GO:0008186","GO:0008186","RNA-dependent ATPase activity","7/191","43/6391",0.000246779188976133,0.00321988084664097,0.00259767567343297,"853419/851584/850652/852439/853784/855335/852704",7
"GO:0030170","GO:0030170","pyridoxal phosphate binding","7/191","44/6391",0.000286148896796716,0.00340890424879566,0.00275017246349246,"853594/856539/852691/852672/852858/850714/850747",7
"GO:0070279","GO:0070279","vitamin B6 binding","7/191","44/6391",0.000286148896796716,0.00340890424879566,0.00275017246349246,"853594/856539/852691/852672/852858/850714/850747",7
"GO:0003724","GO:0003724","RNA helicase activity","7/191","45/6391",0.000330413333410462,0.00377221888976944,0.00304328070246478,"853419/851584/850652/852439/853784/855335/852704",7
"GO:0015291","GO:0015291","secondary active transmembrane transporter activity","11/191","108/6391",0.000350004565751467,0.00383605004063608,0.00309477721296034,"850631/852360/856370/856646/850333/856494/854030/853912/854530/855863/852956",11
"GO:0016620","GO:0016620","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","5/191","22/6391",0.000393612214540118,0.0041480671839997,0.00334650060945039,"853465/856804/851736/856800/852412",5
"GO:0005215","GO:0005215","transporter activity","26/191","432/6391",0.000436343952169522,0.00442808307016478,0.0035724066259493,"851329/851608/852401/850631/854297/852360/856370/856646/853968/854397/850333/856494/852444/856324/851574/855580/854030/853926/853912/853019/852331/852343/854530/855863/852956/856171",26
"GO:0008757","GO:0008757","S-adenosylmethionine-dependent methyltransferase activity","9/191","80/6391",0.000584090732369398,0.00566665534922371,0.00457163896787161,"852076/853593/854711/854024/856922/853996/851656/855855/850664",9
"GO:0050662","GO:0050662","coenzyme binding","13/191","153/6391",0.000615872264369227,0.00566665534922371,0.00457163896787161,"854714/853594/852519/853465/856539/852691/852672/850327/852858/850714/850747/851736/856800",13
"GO:0015297","GO:0015297","antiporter activity","7/191","50/6391",0.000641117940970566,0.00566665534922371,0.00457163896787161,"850631/852360/856646/850333/853912/854530/855863",7
"GO:0016765","GO:0016765","transferase activity, transferring alkyl or aryl (other than methyl) groups","7/191","50/6391",0.000641117940970566,0.00566665534922371,0.00457163896787161,"851605/853594/852551/850877/852559/851705/855292",7
"GO:0015175","GO:0015175","neutral amino acid transmembrane transporter activity","4/191","15/6391",0.000814616829860101,0.00697515660567712,0.00562728731153359,"850333/853912/854530/856171",4
"GO:0016903","GO:0016903","oxidoreductase activity, acting on the aldehyde or oxo group of donors","5/191","29/6391",0.0014977447529373,0.012435820069843,0.0100327399718288,"853465/856804/851736/856800/852412",5
"GO:0008519","GO:0008519","ammonium transmembrane transporter activity","4/191","18/6391",0.00170215961257375,0.0137174039366238,0.0110666724037303,"850631/856370/855580/853019",4
"GO:0051287","GO:0051287","NAD binding","5/191","31/6391",0.00204172010683321,0.0159837516934943,0.0128950743589466,"854714/853465/850327/851736/856800",5
"GO:0008168","GO:0008168","methyltransferase activity","9/191","98/6391",0.00249895220670472,0.019019802906586,0.0153444433745027,"852076/853593/854711/854024/856922/853996/851656/855855/850664",9
"GO:0042134","GO:0042134","rRNA primary transcript binding","3/191","10/6391",0.00269998067220508,0.0199944514644376,0.0161307522379251,"856488/856228/855269",3
"GO:0016874","GO:0016874","ligase activity","10/191","120/6391",0.00300830468832131,0.0216914601210537,0.0174998333669661,"856147/854096/856268/852519/854479/852241/853573/854711/852507/851272",10
