"","ID","Description","Count","GeneRatio","geneID"
"GO:0097159","GO:0097159","organic cyclic compound binding",72,"72/180","851574/851584/851608/851705/851736/851845/854714/854744/854754/854755/854852/852226/856723/856778/856782/852241/856800/850523/852672/852691/852695/852704/852719/852821/853064/856488/856539/852858/852979/852995/853356/853594/853784/853860/853904/853972/853419/853465/852439/853573/850652/850714/850747/850877/852507/854948/852519/855068/855335/855269/852569/855611/855789/853996/854075/854096/850298/854165/854193/854344/850321/850327/854479/855871/855890/856095/856147/856228/856268/851384/851272/851488"
"GO:1901363","GO:1901363","heterocyclic compound binding",72,"72/180","851574/851584/851608/851705/851736/851845/854714/854744/854754/854755/854852/852226/856723/856778/856782/852241/856800/850523/852672/852691/852695/852704/852719/852821/853064/856488/856539/852858/852979/852995/853356/853594/853784/853860/853904/853972/853419/853465/852439/853573/850652/850714/850747/850877/852507/854948/852519/855068/855335/855269/852569/855611/855789/853996/854075/854096/850298/854165/854193/854344/850321/850327/854479/855871/855890/856095/856147/856228/856268/851384/851272/851488"
"GO:0043167","GO:0043167","ion binding",68,"68/180","851574/851584/851608/851678/851705/851845/854714/854744/854758/854845/856723/856778/856782/852241/856800/856824/856921/850523/852672/852691/852695/852704/852714/852719/852821/853169/856539/853230/852858/852979/853356/853357/853374/853594/853784/852412/853904/853972/853419/853473/852439/852442/853573/850664/850652/850714/850747/850877/852507/854948/852519/855131/855335/852569/855581/855611/855789/854096/850327/854479/855855/855871/850348/855993/856147/856268/851384/851272"
"GO:0036094","GO:0036094","small molecule binding",49,"49/180","851574/851584/851608/851705/851736/851845/854714/854744/856723/856778/856782/852241/856800/852672/852691/852695/852704/852719/852821/853064/856539/852858/853357/853374/853594/853784/852412/853972/853419/853465/852439/853573/850652/850714/850747/850877/852507/852519/855335/855611/855789/854096/850327/854479/850348/856147/856228/856268/851272"
"GO:0016740","GO:0016740","transferase activity",43,"43/180","851605/851656/851705/851956/852076/854711/856778/856782/856800/856922/852672/852695/852719/852821/856539/852920/852934/853007/853357/853374/853593/853594/853669/853573/850664/850714/850747/850877/854872/855084/855091/855149/852550/852551/855292/852559/855619/855806/853996/854275/855855/850348/851384"
"GO:0008144","GO:0008144","drug binding",38,"38/180","851574/851584/851608/851705/851845/854744/856778/856782/852241/856800/852672/852691/852695/852704/852719/852821/856539/852858/853594/853784/853972/853419/852439/853573/850652/850714/850747/850877/852507/852519/855335/855611/854096/850327/854479/856147/856268/851272"
"GO:0097367","GO:0097367","carbohydrate derivative binding",33,"33/180","851574/851584/851608/851705/851845/854744/856723/856778/856782/852241/856800/852695/852704/852719/852821/853784/853972/853419/852439/853573/850652/850877/852507/852519/855335/855611/855789/854096/850327/854479/856147/856268/851272"
"GO:0016787","GO:0016787","hydrolase activity",32,"32/180","851574/851584/851608/851678/851845/854642/854758/854845/854850/856723/852648/852704/853163/856445/853007/853784/853419/852439/853573/850652/854872/852507/855149/852550/855335/855581/855611/855789/854075/854344/850327/855993"
"GO:0022857","GO:0022857","transmembrane transporter activity",26,"26/180","851574/851608/856646/856370/852331/856494/852343/852360/852956/853019/852401/853912/853926/853968/852444/850631/855580/854030/854297/854397/850333/854530/855863/856171/856324/851329"
"GO:0016491","GO:0016491","oxidoreductase activity",18,"18/180","851705/851736/854714/854744/854852/856804/856800/856921/852752/852979/853664/852412/853465/852442/854948/852559/855786/850327"
"GO:0048037","GO:0048037","cofactor binding",18,"18/180","851736/854714/856800/856921/852672/852691/856539/853230/852858/852979/853594/852412/853465/853473/850714/850747/852519/850327"
"GO:0005515","GO:0005515","protein binding",15,"15/180","851736/851845/856800/856921/850523/852714/852719/852334/850714/855619/854193/854275/856268/851488/851497"
"GO:0016829","GO:0016829","lyase activity",14,"14/180","851705/854850/856824/852691/853169/856411/853230/852858/853594/853669/853972/853473/852550/851272"
"GO:0140098","GO:0140098","catalytic activity, acting on RNA",11,"11/180","851584/851656/854711/852704/853784/853419/852439/850652/855335/855611/853996"
"GO:0016874","GO:0016874","ligase activity",10,"10/180","854711/852241/853573/852507/852519/854096/854479/856147/856268/851272"
"GO:0140096","GO:0140096","catalytic activity, acting on a protein",7,"7/180","851678/852076/852695/852719/852821/853593/855806"
"GO:0030234","GO:0030234","enzyme regulator activity",7,"7/180","856832/856468/852334/854872/854274/850348/855993"
"GO:0003700","GO:0003700","DNA binding transcription factor activity",7,"7/180","854755/850523/852714/853356/853904/854193/851384"
"GO:0003682","GO:0003682","chromatin binding",3,"3/180","852112/850523/853465"
"GO:0033218","GO:0033218","amide binding",3,"3/180","853064/852412/852519"
"GO:0051540","GO:0051540","metal cluster binding",3,"3/180","856921/853230/853473"
"GO:0000988","GO:0000988","transcription factor activity, protein binding",3,"3/180","854755/850523/851384"
"GO:0016853","GO:0016853","isomerase activity",2,"2/180","856424/855131"
"GO:0005326","GO:0005326","neurotransmitter transporter activity",2,"2/180","855863/856171"
"GO:0140097","GO:0140097","catalytic activity, acting on DNA",1,"1/180","854845"
"GO:0003735","GO:0003735","structural constituent of ribosome",1,"1/180","853860"
"GO:0044877","GO:0044877","protein-containing complex binding",1,"1/180","855068"
"GO:0060090","GO:0060090","molecular adaptor activity",1,"1/180","854754"
"GO:0072341","GO:0072341","modified amino acid binding",1,"1/180","852412"
"GO:1901681","GO:1901681","sulfur compound binding",1,"1/180","852519"
"GO:0004601","GO:0004601","peroxidase activity",1,"1/180","852979"
"GO:0004133","GO:0004133","glycogen debranching enzyme activity",0,"0/180",""
"GO:0008987","GO:0008987","quinolinate synthetase A activity",0,"0/180",""
"GO:0009975","GO:0009975","cyclase activity",0,"0/180",""
"GO:0010280","GO:0010280","UDP-L-rhamnose synthase activity",0,"0/180",""
"GO:0032451","GO:0032451","demethylase activity",0,"0/180",""
"GO:0046572","GO:0046572","versicolorin B synthase activity",0,"0/180",""
"GO:0046905","GO:0046905","phytoene synthase activity",0,"0/180",""
"GO:0061783","GO:0061783","peptidoglycan muralytic activity",0,"0/180",""
"GO:0070283","GO:0070283","radical SAM enzyme activity",0,"0/180",""
"GO:1990055","GO:1990055","phenylacetaldehyde synthase activity",0,"0/180",""
"GO:0000156","GO:0000156","phosphorelay response regulator activity",0,"0/180",""
"GO:0004879","GO:0004879","nuclear receptor activity",0,"0/180",""
"GO:0004708","GO:0004708","MAP kinase kinase activity",0,"0/180",""
"GO:0005057","GO:0005057","signal transducer activity, downstream of receptor",0,"0/180",""
"GO:0005068","GO:0005068","transmembrane receptor protein tyrosine kinase adaptor activity",0,"0/180",""
"GO:0030297","GO:0030297","transmembrane receptor protein tyrosine kinase activator activity",0,"0/180",""
"GO:0005231","GO:0005231","excitatory extracellular ligand-gated ion channel activity",0,"0/180",""
"GO:0008086","GO:0008086","light-activated voltage-gated calcium channel activity",0,"0/180",""
"GO:0008384","GO:0008384","IkappaB kinase activity",0,"0/180",""
"GO:0009927","GO:0009927","histidine phosphotransfer kinase activity",0,"0/180",""
"GO:0038078","GO:0038078","MAP kinase phosphatase activity involved in regulation of innate immune response",0,"0/180",""
"GO:0060089","GO:0060089","molecular transducer activity",0,"0/180",""
"GO:0097199","GO:0097199","cysteine-type endopeptidase activity involved in apoptotic signaling pathway",0,"0/180",""
"GO:0099107","GO:0099107","ion channel regulator activity involved in G-protein coupled receptor signaling pathway",0,"0/180",""
"GO:0099604","GO:0099604","ligand-gated calcium channel activity",0,"0/180",""
"GO:1990890","GO:1990890","netrin receptor binding",0,"0/180",""
"GO:0004873","GO:0004873","asialoglycoprotein receptor activity",0,"0/180",""
"GO:0004998","GO:0004998","transferrin receptor activity",0,"0/180",""
"GO:0005044","GO:0005044","scavenger receptor activity",0,"0/180",""
"GO:0008196","GO:0008196","vitellogenin receptor activity",0,"0/180",""
"GO:0016964","GO:0016964","alpha-2 macroglobulin receptor activity",0,"0/180",""
"GO:0030226","GO:0030226","apolipoprotein receptor activity",0,"0/180",""
"GO:0030228","GO:0030228","lipoprotein particle receptor activity",0,"0/180",""
"GO:0033568","GO:0033568","lactoferrin receptor activity",0,"0/180",""
"GO:0061714","GO:0061714","folic acid receptor activity",0,"0/180",""
"GO:0070287","GO:0070287","ferritin receptor activity",0,"0/180",""
"GO:0098748","GO:0098748","endocytic adaptor activity",0,"0/180",""
"GO:0005199","GO:0005199","structural constituent of cell wall",0,"0/180",""
"GO:0005200","GO:0005200","structural constituent of cytoskeleton",0,"0/180",""
"GO:0005201","GO:0005201","extracellular matrix structural constituent",0,"0/180",""
"GO:0005212","GO:0005212","structural constituent of eye lens",0,"0/180",""
"GO:0005213","GO:0005213","structural constituent of chorion",0,"0/180",""
"GO:0008147","GO:0008147","structural constituent of bone",0,"0/180",""
"GO:0008307","GO:0008307","structural constituent of muscle",0,"0/180",""
"GO:0016490","GO:0016490","structural constituent of peritrophic membrane",0,"0/180",""
"GO:0017056","GO:0017056","structural constituent of nuclear pore",0,"0/180",""
"GO:0019911","GO:0019911","structural constituent of myelin sheath",0,"0/180",""
"GO:0030280","GO:0030280","structural constituent of epidermis",0,"0/180",""
"GO:0030527","GO:0030527","structural constituent of chromatin",0,"0/180",""
"GO:0032947","GO:0032947","protein-containing complex scaffold activity",0,"0/180",""
"GO:0035804","GO:0035804","structural constituent of egg coat",0,"0/180",""
"GO:0039660","GO:0039660","structural constituent of virion",0,"0/180",""
"GO:0042302","GO:0042302","structural constituent of cuticle",0,"0/180",""
"GO:0043886","GO:0043886","structural constituent of carboxysome",0,"0/180",""
"GO:0097099","GO:0097099","structural constituent of albumen",0,"0/180",""
"GO:0097493","GO:0097493","structural molecule activity conferring elasticity",0,"0/180",""
"GO:0098918","GO:0098918","structural constituent of synapse",0,"0/180",""
"GO:0005319","GO:0005319","lipid transporter activity",0,"0/180",""
"GO:0008565","GO:0008565","protein transporter activity",0,"0/180",""
"GO:0017089","GO:0017089","glycolipid transporter activity",0,"0/180",""
"GO:0034202","GO:0034202","glycolipid-translocating activity",0,"0/180",""
"GO:0034437","GO:0034437","glycoprotein transporter activity",0,"0/180",""
"GO:0000035","GO:0000035","acyl binding",0,"0/180",""
"GO:0001871","GO:0001871","pattern binding",0,"0/180",""
"GO:0003823","GO:0003823","antigen binding",0,"0/180",""
"GO:0030246","GO:0030246","carbohydrate binding",0,"0/180",""
"GO:0098631","GO:0098631","cell adhesion mediator activity",0,"0/180",""
"GO:0005549","GO:0005549","odorant binding",0,"0/180",""
"GO:0008289","GO:0008289","lipid binding",0,"0/180",""
"GO:0008430","GO:0008430","selenium binding",0,"0/180",""
"GO:0015643","GO:0015643","toxic substance binding",0,"0/180",""
"GO:0019808","GO:0019808","polyamine binding",0,"0/180",""
"GO:0050840","GO:0050840","extracellular matrix binding",0,"0/180",""
"GO:0031409","GO:0031409","pigment binding",0,"0/180",""
"GO:0033226","GO:0033226","2-aminoethylphosphonate binding",0,"0/180",""
"GO:0035731","GO:0035731","dinitrosyl-iron complex binding",0,"0/180",""
"GO:0042165","GO:0042165","neurotransmitter binding",0,"0/180",""
"GO:0042562","GO:0042562","hormone binding",0,"0/180",""
