"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008652","GO:0008652","cellular amino acid biosynthetic process","40/180","140/6396",1.94068137341851e-30,1.68451143212726e-27,1.40954752385134e-27,"851605/851705/851736/851956/854714/854852/856778/856782/856800/856824/852672/852691/852752/856411/856539/853230/852858/853357/853374/853594/853669/852412/853473/853573/850664/850714/855084/852550/852551/855619/855786/854096/854275/854297/850327/854479/855855/850348/856147/856268",40
"GO:1901607","GO:1901607","alpha-amino acid biosynthetic process","37/180","132/6396",8.31758339447737e-28,3.60983119320318e-25,3.02059607483652e-25,"851736/851956/854714/854852/856778/856782/856800/856824/852672/852691/852752/856411/856539/853230/852858/853357/853374/853594/853669/852412/853473/853573/850664/850714/855084/852550/855619/855786/854096/854275/854297/850327/854479/855855/850348/856147/856268",37
"GO:0006520","GO:0006520","cellular amino acid metabolic process","49/180","271/6396",2.43098214733914e-27,7.03364167963459e-25,5.88553572513688e-25,"851605/851705/851736/851956/852076/854711/854714/854852/856778/856782/852241/856800/856824/852672/852691/852752/856411/856539/853230/852858/853357/853374/853594/853669/852412/853473/852442/853573/850664/850714/850747/850877/852507/855084/852550/852551/855619/855786/854096/854275/854297/850327/854479/855855/850348/855993/856147/856268/851384",49
"GO:1901605","GO:1901605","alpha-amino acid metabolic process","43/180","206/6396",1.41162236990443e-26,3.06322054269262e-24,2.56320904008963e-24,"851736/851956/852076/854714/854852/856778/856782/852241/856800/856824/852672/852691/852752/856411/856539/853230/852858/853357/853374/853594/853669/852412/853473/853573/850664/850714/850747/850877/852507/855084/852550/855619/855786/854096/854275/854297/850327/854479/855855/850348/855993/856147/856268",43
"GO:0016053","GO:0016053","organic acid biosynthetic process","43/180","244/6396",1.95327219922299e-23,2.82573378154259e-21,2.36448739905941e-21,"851605/851705/851736/851956/854714/854852/856778/856782/856804/856800/856824/852672/852691/852752/853169/856411/856539/853230/852858/853357/853374/853594/853669/852412/853465/853473/853573/850664/850714/855084/852550/852551/855619/855786/854096/854275/854297/850327/854479/855855/850348/856147/856268",43
"GO:0046394","GO:0046394","carboxylic acid biosynthetic process","43/180","244/6396",1.95327219922299e-23,2.82573378154259e-21,2.36448739905941e-21,"851605/851705/851736/851956/854714/854852/856778/856782/856804/856800/856824/852672/852691/852752/853169/856411/856539/853230/852858/853357/853374/853594/853669/852412/853465/853473/853573/850664/850714/855084/852550/852551/855619/855786/854096/854275/854297/850327/854479/855855/850348/856147/856268",43
"GO:0044283","GO:0044283","small molecule biosynthetic process","52/180","404/6396",7.87153057362646e-22,9.76069791129682e-20,8.1674527756425e-20,"851605/851705/851736/851956/854714/854758/854852/856778/856782/852241/856804/856800/856824/852672/852691/852752/853169/856411/856539/853230/852858/853356/853357/853374/853594/853664/853669/852412/853972/853465/853473/852442/853573/850664/850714/854948/852519/855084/852550/852551/852559/855619/855786/854096/854275/854297/850327/854479/855855/850348/856147/856268",52
"GO:0043436","GO:0043436","oxoacid metabolic process","54/180","470/6396",2.43896445324939e-20,2.52356578088645e-18,2.11164247976188e-18,"851605/851705/851736/851956/852076/854711/854714/854852/856778/856782/852241/856804/856800/856824/852672/852691/852752/853169/856411/856539/853230/852858/853357/853374/853594/853669/852412/853904/853465/853473/852442/853573/850664/850714/850747/850877/852507/852519/855084/852550/852551/855619/855786/854096/854275/854297/850327/854479/855855/850348/855993/856147/856268/851384",54
"GO:0019752","GO:0019752","carboxylic acid metabolic process","53/180","453/6396",2.61660046405277e-20,2.52356578088645e-18,2.11164247976188e-18,"851605/851705/851736/851956/852076/854711/854714/854852/856778/856782/852241/856804/856800/856824/852672/852691/852752/853169/856411/856539/853230/852858/853357/853374/853594/853669/852412/853465/853473/852442/853573/850664/850714/850747/850877/852507/852519/855084/852550/852551/855619/855786/854096/854275/854297/850327/854479/855855/850348/855993/856147/856268/851384",53
"GO:0006082","GO:0006082","organic acid metabolic process","54/180","472/6396",2.98278472714569e-20,2.58905714316246e-18,2.16644364392687e-18,"851605/851705/851736/851956/852076/854711/854714/854852/856778/856782/852241/856804/856800/856824/852672/852691/852752/853169/856411/856539/853230/852858/853357/853374/853594/853669/852412/853904/853465/853473/852442/853573/850664/850714/850747/850877/852507/852519/855084/852550/852551/855619/855786/854096/854275/854297/850327/854479/855855/850348/855993/856147/856268/851384",54
"GO:0006525","GO:0006525","arginine metabolic process","11/180","18/6396",1.73569877478437e-13,1.36962412410258e-11,1.14605947808729e-11,"856800/856411/853357/853374/853573/852507/855084/854096/854297/854479/855993",11
"GO:0009067","GO:0009067","aspartate family amino acid biosynthetic process","16/180","59/6396",3.03456757065938e-12,2.19500387611028e-10,1.83671195066226e-10,"851736/854714/854852/856778/852672/852691/852752/856539/853230/853594/852412/850664/850714/855786/855855/856268",16
"GO:0006526","GO:0006526","arginine biosynthetic process","9/180","13/6396",5.8939229604922e-12,3.93532702285171e-10,3.2929610062669e-10,"856800/856411/853357/853374/853573/855084/854096/854297/854479",9
"GO:0009064","GO:0009064","glutamine family amino acid metabolic process","16/180","70/6396",5.23591291819655e-11,3.24626600928186e-09,2.71637587485385e-09,"852241/856800/856411/853357/853374/853669/853573/852507/855084/852550/854096/854297/854479/855993/856147/856268",16
"GO:0009066","GO:0009066","aspartate family amino acid metabolic process","17/180","84/6396",1.01095171121995e-10,5.85004056892613e-09,4.89513460169661e-09,"851736/854714/854852/856778/852672/852691/852752/856539/853230/853594/852412/850664/850714/850877/855786/855855/856268",17
"GO:0071941","GO:0071941","nitrogen cycle metabolic process","8/180","12/6396",1.51646442799212e-10,8.22681952185724e-09,6.88395036391159e-09,"856370/853357/853904/853573/852507/854096/854479/855993",8
"GO:0042254","GO:0042254","ribosome biogenesis","39/180","475/6396",5.76260013878397e-10,2.94231583556735e-08,2.46203968777767e-08,"851584/851656/851678/854711/854793/856723/856863/852704/853064/853160/853188/856488/852854/852995/853048/853320/853714/853762/853784/853860/853419/852439/850652/851154/855068/855335/855269/852569/855611/855789/854075/850298/854165/854461/855890/856095/856228/851403/851497",39
"GO:0009085","GO:0009085","lysine biosynthetic process","8/180","14/6396",8.76510434198079e-10,4.22672809379963e-08,3.53679648886944e-08,"851736/854714/854852/856778/852672/853230/852412/855786",8
"GO:0006553","GO:0006553","lysine metabolic process","8/180","15/6396",1.83332909589329e-09,7.95664827617688e-08,6.65787934824406e-08,"851736/854714/854852/856778/852672/853230/852412/855786",8
"GO:0009073","GO:0009073","aromatic amino acid family biosynthetic process","8/180","15/6396",1.83332909589329e-09,7.95664827617688e-08,6.65787934824406e-08,"851605/851705/851956/856824/852672/852858/853669/852551",8
"GO:0006364","GO:0006364","rRNA processing","32/180","351/6396",2.04418560231019e-09,8.4493004895488e-08,7.0701156170127e-08,"851584/851656/854711/854793/856723/856863/852704/853064/853188/856488/852854/852995/853048/853762/853784/853860/853419/852439/850652/851154/855068/855335/855269/855611/854075/850298/854165/854461/855890/856095/856228/851403",32
"GO:0009084","GO:0009084","glutamine family amino acid biosynthetic process","10/180","30/6396",4.48007237056874e-09,1.76759218984258e-07,1.47906695487676e-07,"856800/856411/853357/853374/853573/855084/854096/854297/854479/856147",10
