"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005342","GO:0005342","organic acid transmembrane transporter activity","13/180","81/6391",3.20715477200378e-07,8.69138943213025e-05,6.92070240274501e-05,"856646/852956/852360/852401/853912/852444/854030/854297/854397/850333/854530/855863/856171",13
"GO:0031406","GO:0031406","carboxylic acid binding","6/180","14/6391",1.14345818103122e-06,0.000100419024634911,7.99607692761961e-05,"856778/856800/853357/853374/852519/850348",6
"GO:0043177","GO:0043177","organic acid binding","6/180","14/6391",1.14345818103122e-06,0.000100419024634911,7.99607692761961e-05,"856778/856800/853357/853374/852519/850348",6
"GO:0046943","GO:0046943","carboxylic acid transmembrane transporter activity","12/180","78/6391",1.48219962560754e-06,0.000100419024634911,7.99607692761961e-05,"856646/852956/852360/853912/852444/854030/854297/854397/850333/854530/855863/856171",12
"GO:0016829","GO:0016829","lyase activity","14/180","113/6391",2.85895429425757e-06,0.000152412780817189,0.000121361895775971,"851705/854850/856824/852691/853169/856411/852858/853230/853594/853669/853972/853473/852550/851272",14
"GO:0015171","GO:0015171","amino acid transmembrane transporter activity","9/180","45/6391",3.37445271181969e-06,0.000152412780817189,0.000121361895775971,"856646/852360/853912/852444/854297/850333/854530/855863/856171",9
"GO:0015179","GO:0015179","L-amino acid transmembrane transporter activity","8/180","36/6391",5.22152918363008e-06,0.000202147772680536,0.000160964433480326,"856646/852360/853912/854297/850333/854530/855863/856171",8
"GO:0016597","GO:0016597","amino acid binding","5/180","11/6391",6.75141405238347e-06,0.000208674267057852,0.00016616129247178,"856778/856800/853357/853374/850348",5
"GO:0022857","GO:0022857","transmembrane transporter activity","26/180","359/6391",6.93014171040837e-06,0.000208674267057852,0.00016616129247178,"851574/851608/856646/856370/852331/856494/852343/852956/853019/852360/852401/853912/853926/853968/850631/852444/855580/854030/854297/854397/850333/854530/855863/856171/856324/851329",26
"GO:0016879","GO:0016879","ligase activity, forming carbon-nitrogen bonds","9/180","50/6391",8.44945287621768e-06,0.000228980172945499,0.000182330298907855,"852241/853573/852507/852519/854096/854479/856147/856268/851272",9
