"gene.name","SRR3396381.amphotericin_B","SRR3396382.amphotericin_B","SRR3396384.amphotericin_B","SRR3396385.control","SRR3396386.control","SRR3396387.control","amphotericin_B.average","control.average","amphotericin_B.control.average","fc","log2FC","pval","qval"
"YAL067W-A",0,0,0.993097,0,0.456251,0.474639,0.331032333333333,0.310296666666667,0.3206645,1.02900194302766,0.0412457064240279,0.931017284191711,0.956110635135003
"YAL064W-B",5.83739603285151,7.64242348620236,5.84145097897503,7.38807571484888,7.11971780551905,7.04489700919842,6.44042349934297,7.18423017652212,6.81232683793255,1.10081075208392,0.138566466633743,0.344621550476227,0.492604463135341
"BUD14",44.021194,43.166126,44.38549,47.494492,51.825718,44.708149,43.8576033333333,48.009453,45.9335281666667,1.09649729578096,0.13290225399216,0.0925702185690913,0.19525803322706
"STP4",14.661506,17.256418,14.401937,21.606007,15.682492,19.197943,15.4399536666667,18.828814,17.1343838333333,1.19571387965821,0.257872210788951,0.227552091868877,0.365020750356436
"SIT4",118.332909,122.797523,131.734573,132.612961,140.582336,133.380463,124.288335,135.525253333333,129.906794166667,1.09295798657222,0.128237944716244,0.110133341678811,0.221046443635721
"NPC2",680.189941,744.399048,699.250732,580.514954,551.966125,565.871643,707.946573666667,566.117574,637.032073833333,0.7992169822272,-0.32334085620815,0.00719436683923913,0.0464610670959579
"MTF2",22.73687,22.514883,22.303078,20.307377,20.566561,19.872267,22.518277,20.248735,21.383506,0.904419526965267,-0.144935953802086,0.00267279909755114,0.033000221610357
"MRP10",194.984741,197.203934,229.944611,228.782242,222.834259,208.620789,207.377762,220.079096666667,213.728429333333,1.07227763567377,0.100678498846602,0.226121749327516,0.363055015288652
"FAD1",45.75267,50.428158,50.260094,49.385841,50.738392,48.607861,48.8136406666667,49.5773646666667,49.1955026666667,1.0170219171698,0.024350770101473,0.691427331864793,0.790346048536418
"PRP11",29.081858,28.784176,31.587912,35.517036,35.94466,31.875669,29.817982,34.4457883333333,32.1318851666667,1.1590192839335,0.212904570316587,0.00638273873032014,0.044647771963535
"SIR2",16.166044,16.808907,17.227587,22.224884,21.102173,19.494532,16.7341793333333,20.9405296666667,18.8373545,1.24382781037931,0.314786779434821,0.00373588868535302,0.0371255026313548
"YDL041W",2.613126,5.039996,7.428153,7.454585,7.780433,6.596802,5.02709166666667,7.27727333333333,6.1521825,1.47248667469436,0.55825457840932,0.258732366680272,0.402025056492674
"NAT1",55.977051,56.404301,57.998085,61.236572,65.395615,68.439507,56.7931456666667,65.023898,60.9085218333333,1.13673754820441,0.184899200922446,0.0233839629497136,0.0837403463489743
"CDC15",11.865219,11.452823,11.750985,10.342614,9.746539,9.440156,11.6896756666667,9.843103,10.7663893333333,0.857727937971785,-0.221407981872472,0.00225057085037605,0.0309311012707343
"PRM7",3.803522,2.298084,3.733649,4.716657,4.634643,3.680885,3.27841833333333,4.34406166666667,3.81124,1.2892993319775,0.366587247893293,0.0774730676973556,0.172657745525522
"BSC1",2.838081,2.134844,2.857771,3.322412,3.591305,2.040121,2.610232,2.98461266666667,2.79742233333333,1.11998335444896,0.16347729064682,0.165019407593109,0.292154019888175
"PUS9",18.00572,15.778808,16.971752,23.611361,25.316885,22.633774,16.91876,23.8540066666667,20.3863833333333,1.3950809493944,0.480348836679247,0.00490329271973411,0.040595368580322
"GPR1",42.425827,44.375355,45.419495,37.39444,39.780525,37.412571,44.073559,38.1958453333333,41.1347021666667,0.87079636953668,-0.199592702131966,0.02157503482228,0.0801794817962759
"YDL034W",12.039035,14.799876,15.628803,17.480177,14.71679,15.903866,14.1559046666667,16.033611,15.0947578333333,1.1307106350512,0.177229770362439,0.307235358001103,0.454660478483069
"SLM3",16.882648,19.779896,16.943726,20.232388,21.456104,19.675461,17.8687566666667,20.454651,19.1617038333333,1.13681004356689,0.184991205770163,0.133398190333945,0.251809860478987
"YDL032W",0.907408,3.301896,4.569273,2.155062,1.799483,4.914346,2.92619233333333,2.956297,2.94124466666667,1.01350871438886,0.0193584934930705,0.976555361521457,0.984708862915664
"DBP10",25.57358,21.060297,29.185179,41.638889,47.642765,38.505768,25.2730186666667,42.5958073333333,33.934413,1.69221366135545,0.758911736730433,0.00926785883091585,0.0525450524277605
"PRP9",19.139969,16.174789,20.237543,22.269152,22.649191,21.002142,18.5174336666667,21.973495,20.2454643333333,1.19242507275558,0.253898615865941,0.0458487681897267,0.124572566564313
"ARP2",304.776581,333.367554,320.574982,290.017029,276.623169,311.866638,319.573039,292.835612,306.2043255,0.910667356329164,-0.135003924517434,0.0756019007268911,0.170254423403711
"YAR019W-A",1.000787,1.41155,0.681715,1.501677,0.834458,0.668257,1.03135066666667,1.001464,1.01640733333333,0.987083987996024,-0.0187552504181944,0.947625902591229,0.965472221343307
"MPS1",25.542633,25.786594,24.744631,20.500296,24.317295,21.993692,25.3579526666667,22.2704276666667,23.8141901666667,0.879191123255576,-0.185751274682804,0.102557367578083,0.210228848410801
"YDL027C",50.112778,62.047565,58.546211,55.23098,49.888405,50.668285,56.9021846666667,51.9292233333333,54.415704,0.917392525369871,-0.124388942051912,0.365159009807084,0.51194498565832
"YDL026W",13.453563,14.006011,9.911921,12.961456,8.295236,9.522192,12.457165,10.259628,11.3583965,0.832444757358968,-0.264573559554717,0.387689972001352,0.533125670246082
