"SRR3396381.amphotericin_B","SRR3396382.amphotericin_B","SRR3396384.amphotericin_B"
0,0,0.993097
5.83739603285151,7.64242348620236,5.84145097897503
44.021194,43.166126,44.38549
14.661506,17.256418,14.401937
118.332909,122.797523,131.734573
680.189941,744.399048,699.250732
22.73687,22.514883,22.303078
194.984741,197.203934,229.944611
45.75267,50.428158,50.260094
29.081858,28.784176,31.587912
16.166044,16.808907,17.227587
2.613126,5.039996,7.428153
55.977051,56.404301,57.998085
11.865219,11.452823,11.750985
3.803522,2.298084,3.733649
2.838081,2.134844,2.857771
18.00572,15.778808,16.971752
42.425827,44.375355,45.419495
12.039035,14.799876,15.628803
16.882648,19.779896,16.943726
0.907408,3.301896,4.569273
25.57358,21.060297,29.185179
19.139969,16.174789,20.237543
304.776581,333.367554,320.574982
1.000787,1.41155,0.681715
25.542633,25.786594,24.744631
50.112778,62.047565,58.546211
13.453563,14.006011,9.911921
77.457031,81.603012,79.655479
0,1.064509,0.464896
240.049088,268.099945,276.889984
642.616272,657.360718,571.825745
72.03698,80.337753,79.171394
103.80172,97.917175,94.557487
46.669182,45.129303,42.287521
54.505146,68.153992,54.22694
12.144866,14.312494,15.263548
104.84687,32.342186,91.987518
312.837769,350.735107,326.607635
23.762709,21.141058,17.139143
2.548849,1.868634,0.624704
253.312225,300.422363,276.890656
47.856449,50.070084,49.291458
37.480072,38.061356,35.303841
51.2978823431734,53.9659806060886,51.3948922126384
53.954597,59.441216,63.390564
61.306732,56.938633,55.511364
66.835503,67.423035,65.549118
243.895309,250.120148,243.74826
64.01754,68.110458,71.786514
19.001905,18.845442,14.773961
82.272224,91.579605,86.091187
25.650135,24.979919,27.930927
184.282303,186.378067,161.149734
617.664795,669.183655,668.960571
111.600739,131.550934,132.869522
124.681206,145.746063,146.630936
46.871273,51.831135,56.319622
70.700523,67.640892,67.908264
30.006201,29.553442,31.726164
33.698135,39.674114,32.940784
152.225693,187.441879,160.418228
36.058224,49.811867,44.862274
12.065042,10.472596,10.875491
8.142157,6.248694,8.135612
232.789642,249.93866,216.234848
1036.266846,878.435974,914.935303
55.880569,57.498306,63.170845
5.974521,6.264962,6.490101
5.52026070319635,7.34807025570776,5.88888974429224
3.921005,2.781572,3.125242
236.365509,350.351074,288.733917
33.050964,31.785828,32.932354
8.995874,6.943401,10.474093
108.148636,88.801048,84.538017
25.968906,23.443661,23.420715
8.302876,6.167811,8.84891
53.593758,58.928154,54.269863
7.67238,6.300738,6.692891
40.264896,36.368317,33.170784
332.084869,303.684601,339.835114
4.678135,3.38771,4.540044
