"SRR3396385.control","SRR3396386.control","SRR3396387.control"
0,0.456251,0.474639
7.38807571484888,7.11971780551905,7.04489700919842
47.494492,51.825718,44.708149
21.606007,15.682492,19.197943
132.612961,140.582336,133.380463
580.514954,551.966125,565.871643
20.307377,20.566561,19.872267
228.782242,222.834259,208.620789
49.385841,50.738392,48.607861
35.517036,35.94466,31.875669
22.224884,21.102173,19.494532
7.454585,7.780433,6.596802
61.236572,65.395615,68.439507
10.342614,9.746539,9.440156
4.716657,4.634643,3.680885
3.322412,3.591305,2.040121
23.611361,25.316885,22.633774
37.39444,39.780525,37.412571
17.480177,14.71679,15.903866
20.232388,21.456104,19.675461
2.155062,1.799483,4.914346
41.638889,47.642765,38.505768
22.269152,22.649191,21.002142
290.017029,276.623169,311.866638
1.501677,0.834458,0.668257
20.500296,24.317295,21.993692
55.23098,49.888405,50.668285
12.961456,8.295236,9.522192
53.250259,55.141544,53.551552
0,0.15597,1.166866
183.192261,243.056824,340.835175
594.931274,592.414124,677.114441
71.249542,63.39011,69.768684
81.134239,95.480576,97.082138
33.39642,32.895237,33.515186
79.688126,67.476875,65.872017
15.048592,15.821112,14.776073
37.240479,85.890121,29.404064
317.668823,300.711731,306.071899
17.782045,11.767827,14.914373
2.982844,4.161572,0.462343
282.084869,256.272308,270.851257
45.238895,49.821297,48.387417
35.181694,35.981411,39.352627
46.2392028625461,50.8103597670664,45.2630311978782
49.896255,51.337013,53.538666
76.755089,67.154198,66.596329
54.365326,58.221027,54.78017
231.33432,229.328262,212.101852
78.055092,80.751747,73.755157
20.314728,17.995945,16.99855
96.365456,85.663528,89.980072
30.651447,35.489178,32.201878
109.00515,109.038551,126.609238
808.618958,727.193848,660.427429
99.068199,88.439316,102.452446
110.637192,94.499069,125.922958
52.721447,46.506195,48.140656
63.438057,67.048622,64.289093
33.25938,29.872232,29.134985
35.661911,32.424305,33.593761
188.915085,162.580627,144.721588
48.037216,37.431305,31.761698
9.70493,10.38354,9.391577
6.812414,5.085238,4.570607
109.408981,106.440651,115.169243
1086.51416,1178.568604,1032.410278
65.03968,56.112843,64.875595
7.544242,9.301574,8.581344
6.56326328767123,6.91579417351598,5.54646947945206
4.794113,3.657692,3.770934
289.411285,256.005157,242.184326
29.73115,34.313934,30.683311
7.916669,6.557654,6.140891
140.512085,203.548157,164.649384
34.577942,29.618868,27.113823
17.674316,19.776421,13.43212
50.937443,45.736,57.165508
3.622758,3.671722,5.769969
28.921375,29.727228,29.934532
324.06488,362.721863,328.323761
3.651819,4.070021,4.124909
2274.838135,2375.384521,2121.162109
33.048515,38.553108,35.382027
53.478619,56.854565,56.32373
26.13689,29.412586,28.004282
11.976051,11.264702,10.822404
246.718765,177.927017,143.930176
138.094131,124.754417,138.301117
630.753174,571.977417,559.962036
1100.803589,1034.905151,1087.287842
28.693377,31.134502,30.77824
14.4747204644336,15.5510094738427,14.9122548296951
4.489476,3.432709,2.321501
103.979362,90.675308,75.696068
241.82605,229.662262,295.569092
46.83461,44.134659,44.1759
46.890167,58.544998,62.602802
6.347538,3.867272,7.001064
17.140787,18.911987,20.679224
109.538216,119.83757,117.52597
149.591171,125.738419,112.193047
114.85849,97.956688,104.45607
160.917114,164.542877,160.06604
5.580884,8.349741,9.316463
34.672768,33.32436,32.452217
7068.836914,6821.637207,7545.12207
105.623543,86.338722,78.698639
6.272625,6.199863,7.293463
42.155602,44.832085,44.246639
11.991789,14.698164,14.981736
114.73912,125.367165,121.817909
322.232086,307.559448,311.907501
166.451096,151.026443,157.706955
397.022125,445.735382,408.426239
53.605106612393,51.7808981438833,58.0425458236831
21.623747,23.681547,23.73761
46.434921,57.999401,39.424801
35.789394,31.964407,34.028633
49.183392,40.180679,47.330025
0,0.226765,0.787511
1.193998,2.156409,1.633236
96.793571,86.90239,93.333481
32.679985,33.718151,32.023045
40.586861,41.165997,38.876228
135.290573,146.369003,138.402618
205.498413,189.544266,209.331589
3177.276611,3444.234863,3244.11792
22.824011,20.737343,18.99894
24.518911,22.150801,19.764946
54.875324,48.420086,58.524864
110.903625,106.215103,105.419029
15.598038,16.923363,18.426956
301.808136,249.879074,226.327438
390.223358,345.259827,378.669861
138.380981,128.079544,140.04364
90.656624,97.273796,98.53566
220.118454,220.182098,272.977814
49.149776,51.110645,43.792412
26.404232,25.858456,25.772757
24.142759,23.567669,24.232727
48.301525,50.270103,35.618168
11.969212,9.439301,9.656139
130.485474,115.985428,126.836136
804.601257,779.831787,776.600708
85.5746,90.160439,61.599483
42.804272,38.571671,37.81171
2457.86643150616,2461.69782997381,2435.77755458166
39.272327,39.437626,39.373055
108.318306,99.971092,101.462067
268.86911,199.814575,153.419708
18.19058,21.32781,20.043253
1.180034,0.172512,0.859816
4.137242,1.914182,2.788738
30.068604,35.935577,37.286064
55.037479,50.765873,50.10091
85.898842,96.675369,80.416267
271.942688,263.460449,267.045746
22.6055599223539,26.2409937468329,24.9539718267266
0.05642,0.405468,0.359761
23.358271,24.66584,29.333326
25.041616,29.13868,27.175402
20.295748,22.242754,18.31241
127.947212,133.776947,128.679123
30.4272756938698,32.5578116308597,29.7542482696906
25.600521,26.093575,27.42169
8.634069,9.283147,9.406969
57.779423,63.551167,43.520191
12.802786,8.017953,7.028857
8.258964,7.074761,3.567031
71.371025,67.219154,72.471016
3.37627,3.967186,3.515148
0.198716,0.440607,0
40.105839,34.015118,26.962934
23.899946,23.045437,23.644611
21.547529,21.254843,19.569389
23.503878,25.767754,24.10391
54.135189,58.72897,54.343327
25.293406,27.762756,25.670139
0.655436,1.720289,3.261117
39.584923,43.770706,41.697746
19.694437,11.848716,13.360159
262.655884,233.798615,211.337524
80.70694,78.238113,79.999397
43.058548,40.091209,42.631329
17.1452322341488,16.6689585516725,13.9124272975537
57.369041,61.630985,56.922421
128.25679,96.94696,118.74575
69.791611,78.347946,56.737152
60.297707,66.909523,55.302685
41.63398,39.935467,44.939713
27.796772,25.707781,24.4674
16.495739,16.710373,16.483486
13.350051,14.983903,15.085435
20.083338,19.89629,18.948774
48.025135,55.263218,53.512096
15.531822,18.339342,16.675585
190.871017,199.187988,199.466705
39.245697,43.57304,45.673531
18.31444,18.129314,18.847092
16.119736,17.20153,13.794358
2745.83614420962,2583.85738448654,2878.19810604808
27.175289,27.034775,28.518257
43.442692,45.305168,44.031971
2.452813,2.646399,2.501014
29.759575,28.976671,29.292824
28.7071,26.568327,29.403948
