"","ID","Description","Count","GeneRatio","geneID"
"GO:0044464","GO:0044464","cell part",185,"185/193","856147/854714/851215/856468/852076/853419/853210/852934/856863/856488/853762/854075/851605/854096/856921/856268/853593/853594/856149/851329/852854/851608/851584/853169/854845/854165/852519/856411/856228/854274/853669/854275/850331/856591/853357/853904/854193/852979/855993/9164887/852551/851678/850877/851037/852401/851154/853465/850468/856539/852336/852334/853860/850631/853048/851828/854297/852821/851403/852360/854479/9164935/856804/852550/850652/854793/852328/856723/854565/854564/855789/856778/856782/854344/852112/856370/856646/850523/853972/851845/851384/855619/854389/854758/855982/854755/853007/853968/854397/852714/852241/853573/855806/851488/852691/854711/850333/853356/851705/852672/855091/854024/854461/856494/853230/853188/852442/852444/852445/854062/856324/854948/852439/855269/856445/853065/853064/852226/852460/853784/851574/856922/850327/852920/853160/851497/855580/855581/852858/853996/854030/853926/854834/853163/852507/852752/850714/853912/854852/9164945/852995/856832/851656/850747/854754/854744/851016/855084/850591/853019/853664/852331/853473/854104/852756/852343/854530/855863/851736/852630/852956/855855/854631/855235/851956/855149/853232/856800/855292/855335/852412/852410/856171/852719/853374/850348/855786/853320/852704/852695/853714/855871/850664/851272/856095/856824"
"GO:0005622","GO:0005622","intracellular",173,"173/193","856147/854714/851215/856468/852076/853419/852934/856863/856488/853762/854075/851605/854096/856921/856268/853593/853594/851329/852854/851608/851584/853169/854845/854165/852519/856411/856228/854274/853669/854275/850331/856591/853357/853904/854193/852979/855993/9164887/852551/851678/850877/851037/852401/851154/853465/856539/852336/852334/853860/850631/853048/851828/854297/852821/851403/852360/854479/9164935/856804/852550/850652/854793/852328/856723/854565/854564/855789/856778/856782/854344/852112/856370/856646/850523/853972/851845/851384/855619/854389/854758/855982/854755/853007/853968/854397/852714/852241/853573/855806/851488/852691/854711/850333/853356/851705/852672/855091/854024/854461/853230/853188/852442/852444/852445/854062/856324/854948/852439/855269/856445/853065/853064/852226/852460/853784/851574/856922/850327/853160/851497/855581/852858/853996/854030/853926/854834/853163/852507/852752/850714/853912/854852/9164945/852995/856832/851656/850747/854754/854744/855084/853019/853664/853473/854104/852756/852343/854530/855863/851736/855855/855235/851956/855149/853232/856800/855292/855335/852412/852410/856171/852719/853374/850348/855786/853320/852704/852695/853714/855871/850664/851272/856095/856824"
"GO:0044424","GO:0044424","intracellular part",172,"172/193","856147/854714/851215/856468/852076/853419/852934/856863/856488/853762/854075/851605/854096/856921/856268/853593/853594/851329/852854/851608/851584/853169/854845/854165/852519/856411/856228/854274/853669/854275/850331/856591/853357/853904/854193/852979/855993/9164887/852551/851678/850877/851037/852401/851154/853465/856539/852336/852334/853860/850631/853048/851828/854297/852821/851403/852360/854479/9164935/856804/852550/850652/854793/852328/856723/854565/854564/855789/856778/856782/854344/852112/856370/856646/850523/853972/851845/851384/855619/854389/854758/855982/854755/853007/853968/854397/852714/852241/853573/855806/851488/852691/854711/850333/853356/851705/852672/855091/854024/854461/853230/853188/852442/852444/852445/854062/856324/854948/852439/855269/856445/853065/853064/852226/852460/853784/851574/856922/850327/853160/851497/855581/852858/853996/854030/853926/854834/853163/852507/852752/850714/853912/854852/9164945/852995/856832/851656/850747/854754/854744/855084/853019/853664/853473/854104/852756/852343/854530/855863/851736/855855/855235/851956/855149/853232/856800/855292/855335/852412/852410/856171/853374/850348/855786/853320/852704/852695/853714/855871/850664/851272/856095/856824"
"GO:0043229","GO:0043229","intracellular organelle",137,"137/193","856147/854714/851215/856468/852076/853419/852934/856863/856488/853762/854075/851605/856921/853594/851329/852854/851608/851584/853169/854165/856228/854274/854275/850331/856591/853357/853904/854193/852979/855993/852551/851678/850877/851037/852401/851154/853465/856539/852336/853860/850631/853048/854297/852821/851403/852360/854479/9164935/856804/850652/854793/852328/856723/854565/854564/855789/854344/852112/856370/856646/850523/851845/851384/855619/854389/854758/855982/854755/853007/853968/854397/852714/852241/851488/852691/854711/850333/853356/855091/854024/854461/853230/853188/852442/852444/852445/854062/856324/852439/855269/856445/853065/853064/852226/852460/853784/851574/853160/851497/855581/852858/854030/853926/854834/853163/852752/850714/853912/9164945/852995/851656/854744/855084/853019/853473/854104/852343/854530/855863/851736/855855/855235/851956/853232/856800/855335/852410/856171/853374/850348/853320/852704/852695/853714/855871/851272/856095"
"GO:0043227","GO:0043227","membrane-bounded organelle",130,"130/193","856147/854714/856468/852076/853419/852934/856863/856488/853762/854075/851605/856921/853594/851329/852854/851608/851584/853169/854165/856228/854274/854275/850331/856591/853357/853904/854193/852979/855993/852551/851678/851037/852401/851154/853465/856539/852336/853860/850631/853048/854297/852821/851403/852360/856804/850652/854793/852328/856723/854565/854564/855789/854344/852112/856370/856646/850523/851845/851384/855619/854389/854758/855982/854755/853007/853968/854397/852714/852241/851488/852691/854711/850333/853356/855091/854024/854461/853230/853188/852442/852444/856324/852439/855269/856445/853065/853064/852226/852460/853784/851574/853160/851497/855581/852858/854030/853926/854834/853163/852752/850714/853912/852995/851656/854744/855084/853019/853473/854104/852343/854530/855863/851736/855855/855235/851956/853232/856800/855335/852410/856171/853374/850348/853320/852704/852695/853714/855871/851272/856095"
"GO:0044422","GO:0044422","organelle part",64,"64/193","856147/853419/856863/856488/853762/854075/851329/852854/851584/854165/856228/856591/851678/852401/853860/850631/853048/854297/852821/851403/9164935/856804/850652/854793/856723/855789/852112/856646/851845/855982/853007/854397/854711/854461/853188/852444/852445/854062/856324/852439/855269/853064/852226/852460/853784/853160/854030/853926/853912/9164945/852995/851656/855084/855863/855235/856800/855335/856171/853374/850348/852704/852695/853714/856095"
"GO:0044446","GO:0044446","intracellular organelle part",64,"64/193","856147/853419/856863/856488/853762/854075/851329/852854/851584/854165/856228/856591/851678/852401/853860/850631/853048/854297/852821/851403/9164935/856804/850652/854793/856723/855789/852112/856646/851845/855982/853007/854397/854711/854461/853188/852444/852445/854062/856324/852439/855269/853064/852226/852460/853784/853160/854030/853926/853912/9164945/852995/851656/855084/855863/855235/856800/855335/856171/853374/850348/852704/852695/853714/856095"
"GO:0043228","GO:0043228","non-membrane-bounded organelle",46,"46/193","851215/853419/856863/856488/853762/854075/852854/851584/854165/856228/856591/851678/850877/851037/853465/853860/853048/851403/854479/9164935/850652/854793/856723/855789/854344/852112/855982/854711/854461/853188/852445/854062/852439/855269/853064/852226/853784/853160/9164945/852995/851656/855335/850348/853320/852704/856095"
"GO:0043233","GO:0043233","organelle lumen",42,"42/193","856147/853419/856863/856488/853762/854075/852854/851584/854165/856228/851678/853860/853048/852821/851403/856804/850652/854793/856723/855789/852112/851845/855982/854711/854461/853188/852439/855269/853064/852226/853784/853160/853912/852995/851656/855084/856800/855335/853374/850348/852704/856095"
"GO:0071944","GO:0071944","cell periphery",40,"40/193","851215/853210/851608/853169/854274/853465/850468/850631/852360/852328/854565/854564/856370/856646/854389/853968/851488/850333/856494/852445/856324/851574/852920/855580/854030/853912/850747/851016/853019/852331/852343/854530/855863/851736/852630/852956/854631/855149/853232/855786"
"GO:0044425","GO:0044425","membrane part",37,"37/193","851215/853210/851329/851608/852401/850468/850631/854297/852360/852328/854565/854564/856370/856646/854389/853968/854397/850333/856494/852444/856324/852460/851574/852920/855580/854030/853926/853912/853019/853664/852331/852343/854530/855863/852956/856171/853714"
"GO:0031224","GO:0031224","intrinsic component of membrane",35,"35/193","851215/853210/851329/851608/852401/850468/850631/854297/852360/852328/854565/854564/856370/856646/854389/853968/854397/850333/856494/852444/856324/852460/851574/852920/855580/854030/853926/853912/853019/852331/852343/854530/855863/852956/856171"
"GO:1990904","GO:1990904","ribonucleoprotein complex",33,"33/193","853419/856863/856488/853762/852854/851584/854165/856228/9164887/851678/850877/851037/853860/853048/851403/854479/9164935/850652/856723/855789/854344/854461/853188/855269/853784/9164945/852995/851656/855335/853320/852704/853714/856095"
"GO:0005886","GO:0005886","plasma membrane",25,"25/193","851608/853169/854274/853465/850631/852360/856370/856646/853968/850333/856494/856324/851574/852920/855580/853912/850747/853019/852331/852343/854530/855863/851736/852956/855149"
"GO:1902494","GO:1902494","catalytic complex",16,"16/193","856468/851584/853169/853669/852334/854479/853573/855806/852226/852920/853996/854744/855335/850348/852695/856824"
"GO:0031090","GO:0031090","organelle membrane",15,"15/193","851329/852401/850631/854297/856646/853007/854397/852444/854030/853926/855863/855235/856171/852695/853714"
