"","ID","Description","Count","GeneRatio","geneID"
"GO:0097159","GO:0097159","organic cyclic compound binding",71,"71/194","851384/852226/854714/856488/854075/854479/851828/854096/854834/856268/853594/851584/854165/855890/851608/856228/852858/855871/853573/853904/854193/854852/852439/852979/852995/850877/856539/853860/852821/856723/855789/856778/856782/850523/853972/851488/852704/852691/853356/852672/851845/854948/853064/850652/853784/851574/850327/850747/851705/853996/852507/854754/854755/850321/854744/856147/850591/854344/851736/855335/850714/853419/856800/852519/855269/852719/853465/852695/851272/856095/852241"
"GO:1901363","GO:1901363","heterocyclic compound binding",71,"71/194","851384/852226/854714/856488/854075/854479/851828/854096/854834/856268/853594/851584/854165/855890/851608/856228/852858/855871/853573/853904/854193/854852/852439/852979/852995/850877/856539/853860/852821/856723/855789/856778/856782/850523/853972/851488/852704/852691/853356/852672/851845/854948/853064/850652/853784/851574/850327/850747/851705/853996/852507/854754/854755/850321/854744/856147/850591/854344/851736/855335/850714/853419/856800/852519/855269/852719/853465/852695/851272/856095/852241"
"GO:0043167","GO:0043167","ion binding",66,"66/194","851384/854714/853357/850664/854479/854096/856921/856268/853594/851584/851608/852858/855871/853573/853904/850348/855993/852439/852979/851678/850877/856539/852821/856723/855789/856778/856782/850523/853972/852704/853473/852691/853356/852672/851845/852442/854948/850652/853784/851574/850327/850747/851705/855581/854845/855914/853169/852507/854744/856147/853230/855335/850714/855855/853419/856800/852519/852412/852714/852719/853374/854758/852695/851272/852241/856824"
"GO:0036094","GO:0036094","small molecule binding",49,"49/194","854714/853357/854479/854096/856268/853594/851584/851608/856228/852858/853573/850348/852439/850877/856539/852821/856723/855789/856778/856782/853972/852704/852691/852672/851845/853064/850652/853784/851574/850327/850747/851705/852507/854744/856147/850591/851736/855335/850714/853419/856800/852519/852412/852719/853465/853374/852695/851272/852241"
"GO:0016740","GO:0016740","transferase activity",43,"43/194","851384/854711/852076/853357/852920/850664/851605/856922/853594/853593/854275/853573/852934/850348/851656/852551/850877/856539/852821/852559/852550/856778/856782/855619/855806/852672/855091/854024/850747/851705/853996/853007/855084/853669/855149/850714/855855/851956/856800/855292/852719/853374/852695"
"GO:0008144","GO:0008144","drug binding",37,"37/194","854479/854096/856268/853594/851584/851608/852858/853573/852439/850877/856539/852821/856778/856782/853972/852704/852691/852672/851845/850652/853784/851574/850327/850747/851705/852507/854744/856147/855335/850714/853419/856800/852519/852719/852695/851272/852241"
"GO:0097367","GO:0097367","carbohydrate derivative binding",32,"32/194","854479/854096/856268/851584/851608/853573/852439/850877/852821/856723/855789/856778/856782/853972/852704/851845/850652/853784/851574/850327/851705/852507/854744/856147/855335/853419/856800/852519/852719/852695/851272/852241"
"GO:0016787","GO:0016787","hydrolase activity",31,"31/194","854642/854075/851584/853163/854850/851608/853573/855993/852439/851678/851016/852550/856723/855789/852704/851845/852648/856445/850652/853784/851574/850327/855581/854845/852507/853007/854344/855149/855335/853419/854758"
"GO:0022857","GO:0022857","transmembrane transporter activity",26,"26/194","851329/852956/851608/852401/854297/852360/856370/856646/853926/854530/854397/850631/850333/856494/852444/856324/851574/855580/854030/853912/852331/852343/855863/856171/853019/853968"
"GO:0016491","GO:0016491","oxidoreductase activity",19,"19/194","854714/856921/854852/856804/852979/852559/852442/854948/850327/850331/851705/852752/854744/853664/851736/856800/852412/853465/855786"
"GO:0005515","GO:0005515","protein binding",18,"18/194","854834/856921/856268/854275/854193/852334/850523/855619/851488/851845/855914/851736/850714/856800/852410/851497/852714/852719"
"GO:0048037","GO:0048037","cofactor binding",18,"18/194","854714/856921/853594/852858/852979/856539/853473/852691/852672/850327/850747/853230/851736/850714/856800/852519/852412/853465"
"GO:0016829","GO:0016829","lyase activity",14,"14/194","853594/854850/852858/852550/853972/853473/852691/851705/853169/853230/853669/856411/851272/856824"
"GO:0140098","GO:0140098","catalytic activity, acting on RNA",11,"11/194","854711/851584/851656/852439/852704/854024/850652/853784/853996/855335/853419"
"GO:0016874","GO:0016874","ligase activity",10,"10/194","854711/854479/854096/856268/853573/852507/856147/852519/851272/852241"
"GO:0003700","GO:0003700","DNA binding transcription factor activity",8,"8/194","851384/854834/853904/854193/850523/853356/854755/852714"
"GO:0140096","GO:0140096","catalytic activity, acting on a protein",7,"7/194","852076/853593/851678/852821/855806/852719/852695"
"GO:0030234","GO:0030234","enzyme regulator activity",6,"6/194","854274/850348/855993/852334/856468/856832"
"GO:0005199","GO:0005199","structural constituent of cell wall",5,"5/194","853210/853232/850468/852630/854631"
"GO:0000988","GO:0000988","transcription factor activity, protein binding",4,"4/194","851384/850523/854755/852410"
"GO:0003735","GO:0003735","structural constituent of ribosome",3,"3/194","853860/9164945/9164935"
"GO:0003682","GO:0003682","chromatin binding",3,"3/194","852112/850523/853465"
"GO:0033218","GO:0033218","amide binding",3,"3/194","853064/852519/852412"
"GO:0051540","GO:0051540","metal cluster binding",3,"3/194","856921/853473/853230"
"GO:0005326","GO:0005326","neurotransmitter transporter activity",2,"2/194","855863/856171"
"GO:0060090","GO:0060090","molecular adaptor activity",2,"2/194","851828/854754"
"GO:0016853","GO:0016853","isomerase activity",1,"1/194","856424"
"GO:0140097","GO:0140097","catalytic activity, acting on DNA",1,"1/194","854845"
"GO:0072341","GO:0072341","modified amino acid binding",1,"1/194","852412"
"GO:1901681","GO:1901681","sulfur compound binding",1,"1/194","852519"
"GO:0004601","GO:0004601","peroxidase activity",1,"1/194","852979"
"GO:0004133","GO:0004133","glycogen debranching enzyme activity",0,"0/194",""
"GO:0008987","GO:0008987","quinolinate synthetase A activity",0,"0/194",""
"GO:0009975","GO:0009975","cyclase activity",0,"0/194",""
"GO:0010280","GO:0010280","UDP-L-rhamnose synthase activity",0,"0/194",""
"GO:0032451","GO:0032451","demethylase activity",0,"0/194",""
"GO:0046572","GO:0046572","versicolorin B synthase activity",0,"0/194",""
"GO:0046905","GO:0046905","phytoene synthase activity",0,"0/194",""
"GO:0061783","GO:0061783","peptidoglycan muralytic activity",0,"0/194",""
"GO:0070283","GO:0070283","radical SAM enzyme activity",0,"0/194",""
"GO:1990055","GO:1990055","phenylacetaldehyde synthase activity",0,"0/194",""
"GO:0000156","GO:0000156","phosphorelay response regulator activity",0,"0/194",""
"GO:0004879","GO:0004879","nuclear receptor activity",0,"0/194",""
"GO:0004708","GO:0004708","MAP kinase kinase activity",0,"0/194",""
"GO:0005057","GO:0005057","signal transducer activity, downstream of receptor",0,"0/194",""
"GO:0005068","GO:0005068","transmembrane receptor protein tyrosine kinase adaptor activity",0,"0/194",""
"GO:0030297","GO:0030297","transmembrane receptor protein tyrosine kinase activator activity",0,"0/194",""
"GO:0005231","GO:0005231","excitatory extracellular ligand-gated ion channel activity",0,"0/194",""
"GO:0008086","GO:0008086","light-activated voltage-gated calcium channel activity",0,"0/194",""
"GO:0008384","GO:0008384","IkappaB kinase activity",0,"0/194",""
"GO:0009927","GO:0009927","histidine phosphotransfer kinase activity",0,"0/194",""
"GO:0038078","GO:0038078","MAP kinase phosphatase activity involved in regulation of innate immune response",0,"0/194",""
"GO:0060089","GO:0060089","molecular transducer activity",0,"0/194",""
"GO:0097199","GO:0097199","cysteine-type endopeptidase activity involved in apoptotic signaling pathway",0,"0/194",""
"GO:0099107","GO:0099107","ion channel regulator activity involved in G-protein coupled receptor signaling pathway",0,"0/194",""
"GO:0099604","GO:0099604","ligand-gated calcium channel activity",0,"0/194",""
"GO:1990890","GO:1990890","netrin receptor binding",0,"0/194",""
"GO:0004873","GO:0004873","asialoglycoprotein receptor activity",0,"0/194",""
"GO:0004998","GO:0004998","transferrin receptor activity",0,"0/194",""
"GO:0005044","GO:0005044","scavenger receptor activity",0,"0/194",""
"GO:0008196","GO:0008196","vitellogenin receptor activity",0,"0/194",""
"GO:0016964","GO:0016964","alpha-2 macroglobulin receptor activity",0,"0/194",""
"GO:0030226","GO:0030226","apolipoprotein receptor activity",0,"0/194",""
"GO:0030228","GO:0030228","lipoprotein particle receptor activity",0,"0/194",""
"GO:0033568","GO:0033568","lactoferrin receptor activity",0,"0/194",""
"GO:0061714","GO:0061714","folic acid receptor activity",0,"0/194",""
"GO:0070287","GO:0070287","ferritin receptor activity",0,"0/194",""
