"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030684","GO:0030684","preribosome","23/192","191/6403",8.92028688950572e-09,1.23991987764129e-06,1.145552632126e-06,"853419/856863/856488/853762/852854/854165/856228/851678/853860/853048/851403/850652/856723/855789/854461/853188/855269/852995/851656/855335/852704/853714/856095",23
"GO:0005730","GO:0005730","nucleolus","30/192","368/6403",3.89283690744663e-07,2.70552165067541e-05,2.49961106688678e-05,"853419/856863/856488/853762/854075/852854/851584/854165/856228/851678/853860/853048/851403/850652/854793/856723/855789/854711/854461/853188/852439/855269/853064/853784/853160/852995/851656/855335/852704/856095",30
"GO:0030687","GO:0030687","preribosome, large subunit precursor","11/192","91/6403",7.70500807847733e-05,0.00356998707636116,0.00329828415990959,"856863/856488/852854/851678/853860/850652/856723/855789/852995/851656/855335",11
"GO:0005628","GO:0005628","prospore membrane","9/192","73/6403",0.000300175730226469,0.00695407108357987,0.00642481387502267,"851215/856149/852334/852445/854062/852920/856832/851016/850591",9
"GO:0042763","GO:0042763","intracellular immature spore","9/192","73/6403",0.000300175730226469,0.00695407108357987,0.00642481387502267,"851215/856149/852334/852445/854062/852920/856832/851016/850591",9
"GO:0042764","GO:0042764","ascospore-type prospore","9/192","73/6403",0.000300175730226469,0.00695407108357987,0.00642481387502267,"851215/856149/852334/852445/854062/852920/856832/851016/850591",9
"GO:0005887","GO:0005887","integral component of plasma membrane","12/192","127/6403",0.000393586569354021,0.00781550473431556,0.00722068593401362,"851608/852360/856370/856646/850333/856494/856324/855580/853912/853019/854530/855863",12
"GO:0009277","GO:0009277","fungal-type cell wall","12/192","130/6403",0.000487712609998356,0.00847400659872143,0.00782907084471045,"851215/853210/853465/850468/852328/854565/854564/854389/851016/852630/854631/853232",12
"GO:0005618","GO:0005618","cell wall","12/192","136/6403",0.000733644741720852,0.0101976619099198,0.00942154299894147,"851215/853210/853465/850468/852328/854565/854564/854389/851016/852630/854631/853232",12
"GO:0030312","GO:0030312","external encapsulating structure","12/192","136/6403",0.000733644741720852,0.0101976619099198,0.00942154299894147,"851215/853210/853465/850468/852328/854565/854564/854389/851016/852630/854631/853232",12
"GO:0031226","GO:0031226","intrinsic component of plasma membrane","12/192","141/6403",0.00101112936851438,0.0127769983839544,0.0118045725319382,"851608/852360/856370/856646/850333/856494/856324/855580/853912/853019/854530/855863",12
"GO:0044459","GO:0044459","plasma membrane part","14/192","190/6403",0.00161320431031451,0.0176060588380334,0.0162661050983724,"851608/850631/852360/856370/856646/850333/856494/856324/852920/855580/853912/853019/854530/855863",14
"GO:0030686","GO:0030686","90S preribosome","9/192","92/6403",0.00164660981938442,0.0176060588380334,0.0162661050983724,"856228/853048/854461/855269/852995/851656/855335/852704/856095",9
