"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005342","GO:0005342","organic acid transmembrane transporter activity","13/193","81/6391",7.17885580115889e-07,0.000157344560533679,0.000126939522520448,"852956/852401/854297/852360/856646/854530/854397/850333/852444/854030/853912/855863/856171",13
"GO:0031406","GO:0031406","carboxylic acid binding","6/193","14/6391",1.72275066277751e-06,0.000157344560533679,0.000126939522520448,"853357/850348/856778/856800/852519/853374",6
"GO:0043177","GO:0043177","organic acid binding","6/193","14/6391",1.72275066277751e-06,0.000157344560533679,0.000126939522520448,"853357/850348/856778/856800/852519/853374",6
"GO:0046943","GO:0046943","carboxylic acid transmembrane transporter activity","12/193","78/6391",3.09435294070192e-06,0.000211963176438081,0.000171003715144053,"852956/854297/852360/856646/854530/854397/850333/852444/854030/853912/855863/856171",12
"GO:0015171","GO:0015171","amino acid transmembrane transporter activity","9/193","45/6391",5.99270474820246e-06,0.000296448983165834,0.000239163605320112,"854297/852360/856646/854530/850333/852444/853912/855863/856171",9
"GO:0016829","GO:0016829","lyase activity","14/193","113/6391",6.49158357297447e-06,0.000296448983165834,0.000239163605320112,"853594/854850/852858/852550/853972/853473/852691/851705/853169/853230/853669/856411/851272/856824",14
"GO:0015179","GO:0015179","L-amino acid transmembrane transporter activity","8/193","36/6391",8.75678058449037e-06,0.000325550334481762,0.00026264145309708,"854297/852360/856646/854530/850333/853912/855863/856171",8
"GO:0016597","GO:0016597","amino acid binding","5/193","11/6391",9.50511925494195e-06,0.000325550334481762,0.00026264145309708,"853357/850348/856778/856800/853374",5
"GO:0016879","GO:0016879","ligase activity, forming carbon-nitrogen bonds","9/193","50/6391",1.48674197278037e-05,0.000452630333935356,0.000365164695068862,"854479/854096/856268/853573/852507/856147/852519/851272/852241",9
"GO:0016741","GO:0016741","transferase activity, transferring one-carbon groups","13/193","108/6391",1.92439516675446e-05,0.000497094994320158,0.000401037068026251,"854711/852076/853357/850664/856922/853593/853573/851656/854024/850747/853996/855149/855855",13
"GO:0008514","GO:0008514","organic anion transmembrane transporter activity","12/193","93/6391",1.99563683851158e-05,0.000497094994320158,0.000401037068026251,"852956/854297/852360/856646/854530/854397/850333/852444/854030/853912/855863/856171",12
"GO:0015238","GO:0015238","drug transmembrane transporter activity","10/193","66/6391",2.41821606037392e-05,0.000520071883930929,0.000419573936325375,"852956/854297/854530/850631/850333/851574/853912/852331/855863/856171",10
"GO:0022857","GO:0022857","transmembrane transporter activity","26/193","359/6391",2.46749433981828e-05,0.000520071883930929,0.000419573936325375,"851329/852956/851608/852401/854297/852360/856370/856646/853926/854530/854397/850631/850333/856494/852444/856324/851574/855580/854030/853912/852331/852343/855863/856171/853019/853968",26
"GO:0016810","GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","11/193","86/6391",4.84248014709754e-05,0.000947742543074804,0.000764602128489085,"854642/854850/853573/855993/851016/852550/850327/855581/854845/852507/855149",11
"GO:0019842","GO:0019842","vitamin binding","9/193","59/6391",5.89536344421816e-05,0.00107688638914385,0.000868790402305834,"853594/852858/856539/852691/852672/850747/850714/852519/852412",9
"GO:0008509","GO:0008509","anion transmembrane transporter activity","12/193","107/6391",8.20171101797304e-05,0.00140454301182788,0.00113313112748312,"852956/854297/852360/856646/854530/854397/850333/852444/854030/853912/855863/856171",12
"GO:0048037","GO:0048037","cofactor binding","18/193","227/6391",0.000154763733044576,0.00249442722671846,0.00201240767426384,"854714/856921/853594/852858/852979/856539/853473/852691/852672/850327/850747/853230/851736/850714/856800/852519/852412/853465",18
"GO:0015075","GO:0015075","ion transmembrane transporter activity","20/193","271/6391",0.000177170979413493,0.00269693601996094,0.00217578395770956,"852956/851608/854297/852360/856370/856646/853926/854530/854397/850631/850333/856494/852444/855580/854030/853912/852343/855863/856171/853019",20
"GO:0015203","GO:0015203","polyamine transmembrane transporter activity","4/193","11/6391",0.000225245276942293,0.00324827399379939,0.00262058216941172,"856370/850631/853912/852331",4
"GO:0004004","GO:0004004","ATP-dependent RNA helicase activity","7/193","43/6391",0.000263114721748756,0.00343302065519805,0.0027696286499869,"851584/852439/852704/850652/853784/855335/853419",7
"GO:0008186","GO:0008186","RNA-dependent ATPase activity","7/193","43/6391",0.000263114721748756,0.00343302065519805,0.0027696286499869,"851584/852439/852704/850652/853784/855335/853419",7
"GO:0030170","GO:0030170","pyridoxal phosphate binding","7/193","44/6391",0.000305007252070065,0.00363356465509555,0.0029314198139457,"853594/852858/856539/852691/852672/850747/850714",7
