"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"sce01230","sce01230","Biosynthesis of amino acids","40/77","123/2358",1.84924828472356e-33,9.80101590903487e-32,6.03438913962425e-32,"YBR115C/YBR218C/YBR248C/YBR249C/YCL009C/YCL030C/YDR035W/YDR127W/YDR158W/YDR354W/YER052C/YER055C/YER069W/YER090W/YGL026C/YGL184C/YGL202W/YGR043C/YGR254W/YHR018C/YIL094C/YIR034C/YJL071W/YJL088W/YJL200C/YJR009C/YJR016C/YJR130C/YKL211C/YLR027C/YLR058C/YLR180W/YMR062C/YNL104C/YNR050C/YOL058W/YOR108W/YPL111W/YPR035W/YPR145W",40
"sce01110","sce01110","Biosynthesis of secondary metabolites","48/77","301/2358",1.82738417420142e-25,4.84256806163376e-24,2.98152154738126e-24,"YAR015W/YBR115C/YBR145W/YBR248C/YBR249C/YBR256C/YCL009C/YCL030C/YDR035W/YDR127W/YDR158W/YDR354W/YER052C/YER055C/YER069W/YER073W/YER090W/YGL026C/YGL184C/YGL202W/YGR043C/YGR088W/YGR248W/YGR254W/YHR018C/YHR137W/YIR034C/YJL071W/YJL088W/YJR009C/YJR016C/YJR130C/YKL211C/YKR097W/YLL062C/YLR027C/YLR058C/YLR180W/YML056C/YMR062C/YMR120C/YNL104C/YNR050C/YOL058W/YOR108W/YPL111W/YPL273W/YPR145W",48
"sce01130","sce01130","Biosynthesis of antibiotics","38/77","225/2358",4.52518318679493e-20,7.99449029667104e-19,4.92212908037343e-19,"YAR015W/YBR115C/YBR145W/YBR249C/YCL009C/YDR035W/YDR127W/YDR158W/YDR354W/YER052C/YER069W/YER073W/YER090W/YGL026C/YGL202W/YGR043C/YGR088W/YGR248W/YGR254W/YHR018C/YHR137W/YIL094C/YIR034C/YJL071W/YJL088W/YJL200C/YJR009C/YJR016C/YJR130C/YKL211C/YKR097W/YLR027C/YLR058C/YMR062C/YMR120C/YNR050C/YOL058W/YPL111W",38
"sce00220","sce00220","Arginine biosynthesis","10/77","17/2358",1.2352653180979e-11,1.25658730331315e-10,7.73668448911772e-11,"YBR208C/YER069W/YHR018C/YJL071W/YJL088W/YLR027C/YMR062C/YOL058W/YPL111W/YPR035W",10
"sce00400","sce00400","Phenylalanine, tyrosine and tryptophan biosynthesis","10/77","17/2358",1.2352653180979e-11,1.25658730331315e-10,7.73668448911772e-11,"YBR249C/YDR035W/YDR127W/YDR354W/YER090W/YGL026C/YGL202W/YHR137W/YKL211C/YLR027C",10
"sce01210","sce01210","2-Oxocarboxylic acid metabolism","13/77","35/2358",1.4225516641281e-11,1.25658730331315e-10,7.73668448911772e-11,"YCL009C/YDR158W/YER052C/YER069W/YGL202W/YIL094C/YJL071W/YJL200C/YJR016C/YLR027C/YMR062C/YNL104C/YOR108W",13
"sce00300","sce00300","Lysine biosynthesis","8/77","12/2358",4.00020153934122e-10,3.02872402264407e-09,1.86475560480568e-09,"YBR115C/YDR158W/YER052C/YGL202W/YIL094C/YIR034C/YJL200C/YNR050C",8
"sce00270","sce00270","Cysteine and methionine metabolism","9/77","40/2358",3.17758780855873e-06,2.10515192317016e-05,1.29612134296475e-05,"YDR158W/YER052C/YGL184C/YGL202W/YJR130C/YLL062C/YLR027C/YLR180W/YPL273W",9
"sce00250","sce00250","Alanine, aspartate and glutamate metabolism","7/77","32/2358",5.25163031170671e-05,0.000309262673911617,0.000190409987909834,"YHR018C/YJR109C/YLR027C/YOL058W/YOR303W/YPR035W/YPR145W",7
"sce00290","sce00290","Valine, leucine and isoleucine biosynthesis","4/77","12/2358",0.000426652844984805,0.00226126007841947,0.0013922355994241,"YCL009C/YJR016C/YNL104C/YOR108W",4
"sce00340","sce00340","Histidine metabolism","4/77","14/2358",0.000820769737651656,0.00362506634129482,0.00223191770764924,"YBR248C/YCL030C/YER055C/YER073W",4
"sce00350","sce00350","Tyrosine metabolism","4/77","14/2358",0.000820769737651656,0.00362506634129482,0.00223191770764924,"YBR145W/YGL202W/YHR137W/YLR027C",4
"sce01200","sce01200","Carbon metabolism","10/77","113/2358",0.00310766437152884,0.0126697085916176,0.00780061502165134,"YBR218C/YGL125W/YGR043C/YGR088W/YGR248W/YGR254W/YJR009C/YKR097W/YLR027C/YLR058C",10
"sce00360","sce00360","Phenylalanine metabolism","3/77","11/2358",0.00457394197428559,0.0173156374740811,0.010661067759613,"YGL202W/YHR137W/YLR027C",3
"sce00310","sce00310","Lysine degradation","3/77","14/2358",0.00940173925549671,0.033219478702755,0.0204529064505543,"YER073W/YIR034C/YNR050C",3
"sce00670","sce00670","One carbon pool by folate","3/77","15/2358",0.0114792564062549,0.0370361565611799,0.0228027974855328,"YGL125W/YLR058C/YMR120C",3
"sce00620","sce00620","Pyruvate metabolism","5/77","43/2358",0.0118795219158501,0.0370361565611799,0.0228027974855328,"YBR218C/YER073W/YKR097W/YNL104C/YOR108W",5
"sce00380","sce00380","Tryptophan metabolism","3/77","17/2358",0.0163699109401267,0.047238270388935,0.0290841386704466,"YER073W/YGL202W/YGR088W",3
"sce00260","sce00260","Glycine, serine and threonine metabolism","4/77","31/2358",0.0169344742903729,0.047238270388935,0.0290841386704466,"YDR158W/YER052C/YGL026C/YLR058C",4
