"t_id","chr","strand","start","end","t_name","num_exons","length","gene_id","gene_name","cov.SRR3396381","FPKM.SRR3396381","cov.SRR3396382","FPKM.SRR3396382","cov.SRR3396384","FPKM.SRR3396384","cov.SRR3396385","FPKM.SRR3396385","cov.SRR3396386","FPKM.SRR3396386","cov.SRR3396387","FPKM.SRR3396387"
1,"I","+",335,649,"YAL069W",1,315,"YAL069W","YAL069W",0,0,0,0,0,0,0,0,0,0,0,0
2,"I","+",538,792,"YAL068W-A",1,255,"YAL068W-A","YAL068W-A",0,0,0,0,0,0,0,0,0,0,0,0
3,"I","-",1807,2169,"YAL068C",1,363,"YAL068C","PAU8",1.344353,0.85666,0.431589,0.24129,0.869605,0.461139,0.365473,0.206707,1.262626,0.653465,1.112948,0.596249
4,"I","+",2480,2707,"YAL067W-A",1,228,"MSTRG.1","YAL067W-A",0,0,0,0,1.872807,0.993122,0,0,0.881579,0.456256,0.885965,0.474646
5,"I",".",2860,6904,"MSTRG.2.1",1,4045,"MSTRG.2",".",7.179234,4.574814,8.229172,4.600719,9.915698,5.258149,5.880099,3.325706,7.148826,3.699836,6.880099,3.685935
6,"I","-",7235,9016,"YAL067C",1,1782,"MSTRG.6","SEO1",2.363636,1.506177,3.39899,1.900288,5.335578,2.829379,4.608866,2.606713,3.775533,1.954006,3.860269,2.068095
7,"I","+",9035,10032,"MSTRG.7.1",1,998,"MSTRG.7",".",4.227455,2.693856,2.712425,1.516447,3.712425,1.968644,0,0,5.221443,2.702329,4.194389,2.247096
8,"I","+",10091,10399,"YAL066W",1,309,"MSTRG.8","YAL066W",0,0,0,0,0,0,0.537217,0.303843,0,0,0,0
9,"I","-",11565,11951,"YAL065C",1,387,"MSTRG.25","YAL065C",6.905256,4.400227,11.65504,6.516035,12.438845,6.596137,8.568475,4.846215,12.961241,6.708019,8.70715,4.664757
10,"I","+",12046,12426,"YAL064W-B",1,381,"MSTRG.26","YAL064W-B",7.673228,4.889601,6.793798,3.798239,6.990376,3.706894,9.074804,5.132588,6.785433,3.511763,9.669292,5.180213
11,"I","+",12046,24971,"MSTRG.26.1",2,761,"MSTRG.26",".",5.31918,3.389534,10.268808,5.741028,7.516176,3.985718,8.519508,4.818521,10.359724,5.361618,8.309061,4.451485
12,"I","-",13363,13743,"YAL064C-A",1,381,"MSTRG.27","TDA8",12.461943,7.941107,10.84252,6.061775,11.524059,6.11104,11.223098,6.347634,7.472441,3.867321,13.068241,7.001161
13,"I",".",16919,20718,"MSTRG.28.1",1,3800,"MSTRG.28",".",2.758947,1.75808,2.967281,1.658931,3.289035,1.744127,2.576842,1.457428,2.365439,1.22422,3.485614,1.867378
14,"I","+",21566,21850,"YAL064W",1,285,"MSTRG.29","YAL064W",0.533333,0.339855,0.070175,0.039233,1.417544,0.751703,0,0,0,0,1.063158,0.569575
15,"I","-",22395,22685,"YAL063C-A",1,291,"MSTRG.30","YAL063C-A",5.412371,3.448918,4.701031,2.628226,2.824742,1.497919,2.326461,1.315815,3.109966,1.609546,3.556701,1.905462
16,"I",".",22774,23716,"MSTRG.31.1",1,943,"MSTRG.31",".",0.32553,0.207437,0.329056,0.183967,5.188759,2.751523,1.561003,0.882882,8.90639,4.609453,0.732083,0.392205
17,"I","-",24000,27968,"YAL063C",1,3969,"MSTRG.32","FLO9",8.141355,5.187904,9.368414,5.23764,10.202271,5.410115,10.737991,6.073265,11.632829,6.020506,10.59716,5.677308
18,"I",".",28791,30916,"MSTRG.3.1",1,2126,"MSTRG.3",".",5.892286,3.754734,6.501882,3.635036,7.652869,4.058204,3.685795,2.084636,5.428034,2.809249,4.823142,2.583943
19,"I","+",31567,32940,"YAL062W",1,1374,"MSTRG.4","GDH3",112.094612,71.429901,127.070595,71.041916,122.226357,64.81485,83.266373,47.094349,87.326057,45.195118,89.546577,47.97356
20,"I","+",33448,34701,"YAL061W",1,1254,"MSTRG.5","BDH2",968.371582,617.074158,1095.849243,612.661255,992.172241,526.134399,569.956909,322.360016,654.376404,338.668915,772.980835,414.115692
